[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Givosiran.]
[J01XX09, daptomycin, Givosiran may decrease the excretion rate of Daptomycin which could result in a higher serum level.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Cephalexin is combined with Givosiran.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Cefaloridine is combined with Givosiran.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Cefalotin is combined with Givosiran.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Cefapirin is combined with Givosiran.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Cefradine is combined with Givosiran.]
[S01AA13, fusidic acid, The serum concentration of Fusidic acid can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Givosiran may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The serum concentration of Dexchlorpheniramine can be increased when it is combined with Givosiran.]
[S01XA12, dexpanthenol, Givosiran may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[J05AE05, amprenavir, The serum concentration of Amprenavir can be increased when it is combined with Givosiran.]
[N02CC07, frovatriptan, The serum concentration of Frovatriptan can be increased when it is combined with Givosiran.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Givosiran.]
[R02AA03, dichlorobenzyl alcohol, Givosiran may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Givosiran may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The serum concentration of Dihydrocodeine can be increased when it is combined with Givosiran.]
[N02CC06, eletriptan, The serum concentration of Eletriptan can be increased when it is combined with Givosiran.]
[M01AH02, rofecoxib, The serum concentration of Rofecoxib can be increased when it is combined with Givosiran.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be increased when it is combined with Givosiran.]
[M01AC04, droxicam, The risk or severity of nephrotoxicity can be increased when Droxicam is combined with Givosiran.]
[V08CA05, mangafodipir, Givosiran may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, The risk or severity of nephrotoxicity can be increased when Dexketoprofen is combined with Givosiran.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Givosiran.]
[P01BA01, chloroquine, The serum concentration of Chloroquine can be increased when it is combined with Givosiran.]
[R06AB04, chlorpheniramine, The serum concentration of Chlorpheniramine can be increased when it is combined with Givosiran.]
[N05AA01, chlorpromazine, The serum concentration of Chlorpromazine can be increased when it is combined with Givosiran.]
[A10BB02, chlorpropamide, Givosiran may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M03BB03, chlorzoxazone, The serum concentration of Chlorzoxazone can be increased when it is combined with Givosiran.]
[N02BA07, ethenzamide, The risk or severity of nephrotoxicity can be increased when Ethenzamide is combined with Givosiran.]
[M01AB08, etodolac, The risk or severity of nephrotoxicity can be increased when Etodolac is combined with Givosiran.]
[M02AA06, etofenamate, The risk or severity of nephrotoxicity can be increased when Etofenamate is combined with Givosiran.]
[M01AX25, chondroitin sulfates, Givosiran may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, The risk or severity of nephrotoxicity can be increased when Fenbufen is combined with Givosiran.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Givosiran.]
[C01CA19, fenoldopam, Givosiran may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Givosiran may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Givosiran may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Givosiran may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The serum concentration of Formoterol can be increased when it is combined with Givosiran.]
[A02BA01, cimetidine, Givosiran may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Givosiran may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be increased when it is combined with Givosiran.]
[S03AA07, ciprofloxacin, Givosiran may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XA01, cisplatin, Givosiran may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Givosiran.]
[P01CA03, fexinidazole, The serum concentration of Fexinidazole can be increased when it is combined with Givosiran.]
[M01AG01, mefenamic acid, The serum concentration of Mefenamic acid can be increased when it is combined with Givosiran.]
[N01BB10, levobupivacaine, The serum concentration of Levobupivacaine can be increased when it is combined with Givosiran.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be increased when it is combined with Givosiran.]
[N03AE01, clonazepam, Givosiran may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The serum concentration of Clonidine can be increased when it is combined with Givosiran.]
[J05AH02, oseltamivir, Givosiran may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[A04AA01, ondansetron, The serum concentration of Ondansetron can be increased when it is combined with Givosiran.]
[N05AH02, clozapine, The serum concentration of Clozapine can be increased when it is combined with Givosiran.]
[J01GB12, arbekacin, Givosiran may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M01AX13, proquazone, The risk or severity of nephrotoxicity can be increased when Proquazone is combined with Givosiran.]
[R05DA04, codeine, The serum concentration of Codeine can be increased when it is combined with Givosiran.]
