[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vinorelbine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Vinorelbine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Vinorelbine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Vinorelbine.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Vinorelbine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Vinorelbine can be increased when combined with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Vinorelbine.]
[N05AB06, trifluoperazine, Vinorelbine may increase the neurotoxic activities of Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Trifluridine.]
[N05AD02, trifluperidol, Vinorelbine may increase the neurotoxic activities of Trifluperidol.]
[N05AA05, triflupromazine, Vinorelbine may increase the neurotoxic activities of Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Vinorelbine can be increased when combined with Mometasone.]
[R06AD01, trimeprazine, Vinorelbine may increase the neurotoxic activities of Alimemazine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Vinorelbine.]
[J01FA08, troleandomycin, The metabolism of Vinorelbine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Vinorelbine.]
[M03AA02, tubocurarine, Vinorelbine may increase the neurotoxic activities of Tubocurarine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Vinorelbine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Belimumab.]
[A10BH05, linagliptin, The metabolism of Vinorelbine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Vinorelbine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Vinorelbine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Vinorelbine can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Vinorelbine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Vinorelbine.]
[B01AC24, ticagrelor, The metabolism of Vinorelbine can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Vinorelbine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Vinorelbine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinorelbine can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Vinorelbine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Vinorelbine.]
[A11HA03, vitamin E, The metabolism of Vinorelbine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Vinorelbine can be increased when combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Vinorelbine can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Vinorelbine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Vinorelbine can be increased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Vinorelbine can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Vinorelbine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Vinorelbine.]
[R03DC01, zafirlukast, The metabolism of Vinorelbine can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Vinorelbine can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Vinorelbine can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Vinorelbine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Vinorelbine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ruxolitinib.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Vinorelbine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Vinorelbine.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Vinorelbine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Vinorelbine.]
[J02AC03, voriconazole, The metabolism of Vinorelbine can be decreased when combined with Voriconazole.]
[R07AX02, ivacaftor, The metabolism of Vinorelbine can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Vinorelbine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Vinorelbine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Gemcitabine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Vinorelbine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Vinorelbine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Vinorelbine.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Vinorelbine is combined with Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Vinorelbine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Vinorelbine.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Vinorelbine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Vinorelbine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Vinorelbine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Vinorelbine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Vinorelbine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Aldosterone.]
[N05CA04, barbital, The metabolism of Vinorelbine can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Vinorelbine.]
[J05AE04, nelfinavir, The metabolism of Vinorelbine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Bendamustine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Vinorelbine.]
[N03AX22, perampanel, The metabolism of Vinorelbine can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Vinorelbine may increase the immunosuppressive activities of Tofacitinib.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Vinorelbine.]
[N01AA01, ethyl ether, Vinorelbine may increase the neurotoxic activities of Diethyl ether.]
[H01CB05, pasireotide, The metabolism of Vinorelbine can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Vinorelbine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Vinorelbine.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Vinorelbine.]
[C10AX12, lomitapide, The metabolism of Vinorelbine can be decreased when combined with Lomitapide.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Vinorelbine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Vinorelbine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Vinorelbine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pomalidomide.]
[N05AD07, benperidol, Vinorelbine may increase the neurotoxic activities of Benperidol.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Vinorelbine.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Benzocaine.]
[L03AA12, ancestim, The risk or severity of peripheral neuropathy can be increased when Ancestim is combined with Vinorelbine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Vinorelbine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Vinorelbine.]
[L01EC02, dabrafenib, The serum concentration of Vinorelbine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Vinorelbine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Vinorelbine.]
[L03AA14, lipegfilgrastim, Vinorelbine may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Vinorelbine.]
[N03AF04, eslicarbazepine, The metabolism of Vinorelbine can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Vinorelbine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Vinorelbine.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Vinorelbine.]
[N05CH03, tasimelteon, The metabolism of Vinorelbine can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Vinorelbine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Vinorelbine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Vinorelbine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Vinorelbine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Vinorelbine.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Vinorelbine.]
[L04AC11, siltuximab, The metabolism of Vinorelbine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Vinorelbine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vinorelbine can be decreased when combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Vinorelbine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Vinorelbine can be decreased when combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Vinorelbine.]
[J01XA05, oritavancin, The metabolism of Vinorelbine can be increased when combined with Oritavancin.]
[N05AA04, acepromazine, Vinorelbine may increase the neurotoxic activities of Acepromazine.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Vinorelbine can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Vinorelbine.]
[L01XK01, olaparib, The metabolism of Vinorelbine can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Vinorelbine.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Vinorelbine.]
[N06AX11, mirtazapine, The metabolism of Vinorelbine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Vinorelbine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Vinorelbine can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Vinorelbine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Vinorelbine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Vinorelbine.]
[J05AP06, asunaprevir, The metabolism of Vinorelbine can be increased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Vinorelbine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Vinorelbine.]
[N05AX15, cariprazine, Vinorelbine may increase the neurotoxic activities of Cariprazine.]
[S01EC01, acetazolamide, The metabolism of Vinorelbine can be decreased when combined with Acetazolamide.]
[N05AB07, acetophenazine, Vinorelbine may increase the neurotoxic activities of Acetophenazine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Vinorelbine.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Vinorelbine can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Vinorelbine can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Vinorelbine can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Vinorelbine can be decreased when combined with Cobimetinib.]
[M04AB05, lesinurad, The metabolism of Vinorelbine can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The metabolism of Vinorelbine can be increased when combined with Aprobarbital.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Vinorelbine can be decreased when combined with Venetoclax.]
[N06AA19, amineptin, Vinorelbine may increase the neurotoxic activities of Amineptine.]
[N05AX17, pimavanserin, The metabolism of Vinorelbine can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Vinorelbine.]
[N07BC01, buprenorphine, The metabolism of Vinorelbine can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Vinorelbine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Arsenic trioxide.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Vinorelbine.]
[L01XK03, rucaparib, The metabolism of Vinorelbine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Vinorelbine can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Vinorelbine can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Vinorelbine.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Vinorelbine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Vinorelbine can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Vinorelbine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Vinorelbine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Vinorelbine.]
[L04AB02, infliximab, The metabolism of Vinorelbine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Vinorelbine can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Vinorelbine can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Vinorelbine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Vinorelbine can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Vinorelbine can be increased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Vorinostat.]
[A02BX12, bismuth subnitrate, Vinorelbine may increase the neurotoxic activities of Bismuth subnitrate.]
[J05AG03, efavirenz, The metabolism of Vinorelbine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Vinorelbine.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Vinorelbine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Vinorelbine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Vinorelbine.]
[N05AD06, bromperidol, Vinorelbine may increase the neurotoxic activities of Bromperidol.]
[R03BA02, budesonide, The metabolism of Vinorelbine can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Vinorelbine.]
[L01EL02, acalabrutinib, The metabolism of Vinorelbine can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Vinorelbine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Vinorelbine may increase the neurotoxic activities of Butriptyline.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Vinorelbine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Vinorelbine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Vinorelbine can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Vinorelbine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Vinorelbine.]
[B02BX09, fostamatinib, The metabolism of Vinorelbine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Vinorelbine can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Vinorelbine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Vinorelbine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Vinorelbine.]
[L01XX62, ivosidenib, The metabolism of Vinorelbine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Vinorelbine.]
[N03AX17, stiripentol, The metabolism of Vinorelbine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Vinorelbine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Vinorelbine can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Vinorelbine.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Vinorelbine is combined with Chloroprocaine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Vinorelbine.]
[L01ED05, lorlatinib, The metabolism of Vinorelbine can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Vinorelbine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Vinorelbine.]
[L01EX13, gilteritinib, The metabolism of Vinorelbine can be decreased when combined with Gilteritinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Vinorelbine.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Vinorelbine.]
[P02BX04, triclabendazole, The metabolism of Vinorelbine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Vinorelbine can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Vinorelbine can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Vinorelbine can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Vinorelbine can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Vinorelbine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Vinorelbine can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Vinorelbine can be increased when combined with Alpelisib.]
[N05AA06, cyamemazine, Vinorelbine may increase the neurotoxic activities of Cyamemazine.]
[M03BX08, cyclobenzaprine, Vinorelbine may increase the neurotoxic activities of Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Upadacitinib.]
[N07XX11, pitolisant, The serum concentration of Vinorelbine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Vinorelbine can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Vinorelbine can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Vinorelbine.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Vinorelbine.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Vinorelbine.]
[J01DB01, cephalexin, The metabolism of Vinorelbine can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Vinorelbine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Vinorelbine can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Vinorelbine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Vinorelbine can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Vinorelbine can be decreased when it is combined with Cenobamate.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Vinorelbine.]
[L01XX72, tazemetostat, The metabolism of Vinorelbine can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Teprotumumab.]
[J05AB16, remdesivir, The metabolism of Vinorelbine can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Vinorelbine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Vinorelbine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ozanimod.]
