[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rosiglitazone.]
[B01AE07, dabigatran etexilate, Rosiglitazone may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Rosiglitazone.]
[S03AA02, tetracycline, Rosiglitazone may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05AE05, lurasidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Rosiglitazone can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Rosiglitazone.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Rosiglitazone.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Rosiglitazone.]
[P02CA02, thiabendazole, Rosiglitazone may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G04BE06, moxisylyte, Rosiglitazone may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Rosiglitazone may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Rosiglitazone.]
[P01AB02, tinidazole, Rosiglitazone may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Rosiglitazone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Rosiglitazone.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Rosiglitazone.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Rosiglitazone.]
[N06AF04, tranylcypromine, The metabolism of Rosiglitazone can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Rosiglitazone.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Rosiglitazone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Rosiglitazone may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Rosiglitazone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Rosiglitazone may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Rosiglitazone.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Rosiglitazone.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Rosiglitazone.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Rosiglitazone.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Rosiglitazone.]
[N03AC02, trimethadione, The metabolism of Rosiglitazone can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Rosiglitazone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Rosiglitazone.]
[J01FA08, troleandomycin, The metabolism of Rosiglitazone can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Rosiglitazone.]
[L01FX04, ipilimumab, Rosiglitazone may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Rosiglitazone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Rosiglitazone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Rosiglitazone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Rosiglitazone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Rosiglitazone can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Rosiglitazone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Rosiglitazone may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Rosiglitazone may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Rosiglitazone can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Rosiglitazone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Rosiglitazone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01CA02, vincristine, Rosiglitazone may decrease the excretion rate of Vincristine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03BA10, xipamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Xipamide.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Pipemidic acid.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Rosiglitazone.]
[J05AE02, indinavir, The metabolism of Rosiglitazone can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M05BA05, tiludronic acid, Rosiglitazone may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Rosiglitazone may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Rosiglitazone can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Rosiglitazone can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rosiglitazone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Drospirenone.]
[V03AC02, deferiprone, Rosiglitazone may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Rosiglitazone.]
[L01EJ01, ruxolitinib, Rosiglitazone may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Rosiglitazone may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Rosiglitazone may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The metabolism of Rosiglitazone can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Rosiglitazone may decrease the excretion rate of Atropine which could result in a higher serum level.]
[M01CB03, auranofin, Rosiglitazone may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Rosiglitazone.]
[L01EK01, axitinib, The excretion of Axitinib can be decreased when combined with Rosiglitazone.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Rosiglitazone.]
[B03XA04, peginesatide, Rosiglitazone may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Rosiglitazone may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Rosiglitazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Rosiglitazone may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Rosiglitazone.]
[M03BX01, baclofen, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Baclofen.]
[A08AA11, lorcaserin, Rosiglitazone may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Rosiglitazone may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Rosiglitazone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Rosiglitazone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Rosiglitazone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Rosiglitazone can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Rosiglitazone can be decreased when combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Rosiglitazone.]
[L01EX05, regorafenib, The metabolism of Rosiglitazone can be decreased when combined with Regorafenib.]
[D02BA02, octinoxate, Rosiglitazone may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Rosiglitazone can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Rosiglitazone.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Rosiglitazone.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Rosiglitazone.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Rosiglitazone.]
[V09IX04, fluorodeoxyglucose F18, Rosiglitazone may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Rosiglitazone can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Rosiglitazone can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Rosiglitazone may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Rosiglitazone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Rosiglitazone.]
[A16AX08, teduglutide, Rosiglitazone may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Rosiglitazone.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, Rosiglitazone may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Rosiglitazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Rosiglitazone.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Rosiglitazone.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, Rosiglitazone may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Rosiglitazone can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Rosiglitazone.]
[A10AE05, insulin detemir, The risk or severity of congestive heart failure can be increased when Insulin detemir is combined with Rosiglitazone.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Rosiglitazone.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Pramlintide.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Rosiglitazone.]
[L03AA12, ancestim, Rosiglitazone may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AA18, everolimus, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Rosiglitazone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Rosiglitazone can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Rosiglitazone.]
[V09AX05, florbetapir F-18, Rosiglitazone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Rosiglitazone.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Rosiglitazone.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Rosiglitazone.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Lixisenatide.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C02KX04, macitentan, Rosiglitazone may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Rosiglitazone.]
[G03AC08, etonogestrel, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AP08, sofosbuvir, Rosiglitazone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Rosiglitazone.]
[C01CA27, droxidopa, Rosiglitazone may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Rosiglitazone may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Rosiglitazone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Rosiglitazone can be increased when combined with Apremilast.]
[L02BG02, formestane, Rosiglitazone may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Rosiglitazone.]
[S01ED02, betaxolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Betaxolol.]
[V03AB34, fomepizole, The metabolism of Rosiglitazone can be decreased when combined with Fomepizole.]
[C10AB02, bezafibrate, The metabolism of Rosiglitazone can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Rosiglitazone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Rosiglitazone.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Rosiglitazone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Rosiglitazone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01XA05, oritavancin, The metabolism of Rosiglitazone can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Dulaglutide.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Rosiglitazone.]
[S03AA06, gentamicin, Rosiglitazone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Rosiglitazone.]
[B01AA01, dicumarol, The metabolism of Rosiglitazone can be decreased when combined with Dicoumarol.]
[B01AF03, edoxaban, Rosiglitazone may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The metabolism of Rosiglitazone can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02BE01, acetaminophen, Rosiglitazone may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AP06, asunaprevir, The excretion of Asunaprevir can be decreased when combined with Rosiglitazone.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Rosiglitazone.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Rosiglitazone.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01EC01, acetazolamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of congestive heart failure can be increased when Insulin degludec is combined with Rosiglitazone.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Rosiglitazone.]
[V03AB37, idarucizumab, Rosiglitazone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Rosiglitazone.]
[J02AC05, isavuconazole, The metabolism of Rosiglitazone can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Rosiglitazone.]
[L01XG03, ixazomib, Rosiglitazone may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Rosiglitazone.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Rosiglitazone.]
[M04AB05, lesinurad, Rosiglitazone may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Rosiglitazone.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Rosiglitazone.]
[N03AX23, brivaracetam, Rosiglitazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Rosiglitazone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Rosiglitazone can be decreased when combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Rosiglitazone may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Rosiglitazone.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Rosiglitazone.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Rosiglitazone.]
[C03CA02, bumetanide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Bumetanide.]
[N01BB01, bupivacaine, Rosiglitazone may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Rosiglitazone.]
[L02AE01, buserelin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Buserelin.]
[N05BE01, buspirone, Rosiglitazone may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Rosiglitazone.]
[M02AA03, clofezone, Rosiglitazone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Rosiglitazone.]
[L01XK03, rucaparib, The metabolism of Rosiglitazone can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Rosiglitazone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Rosiglitazone.]
[A06AH05, naldemedine, Rosiglitazone may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Rosiglitazone may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The risk or severity of weight gain and edema formation can be increased when Pregabalin is combined with Rosiglitazone.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Rosiglitazone.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Benfluorex.]
[P01CA02, benznidazole, Rosiglitazone may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Rosiglitazone.]
[J05AF06, abacavir, Rosiglitazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Rosiglitazone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Rosiglitazone may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Rosiglitazone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Rosiglitazone can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Rosiglitazone.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Rosiglitazone.]
[J01MA23, delafloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Rosiglitazone can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The metabolism of Rosiglitazone can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Rosiglitazone.]
[L01XH01, vorinostat, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Rosiglitazone can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C07AA17, bopindolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Bopindolol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Rosiglitazone.]
