[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Dasatinib.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Dasatinib.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Dasatinib.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Dasatinib.]
[J01FA08, troleandomycin, The metabolism of Dasatinib can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Dasatinib.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Dasatinib can be increased when it is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Dasatinib can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Dasatinib can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Dasatinib can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Dasatinib can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Dasatinib can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Urokinase.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Dasatinib is combined with Belatacept.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Dasatinib can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Dasatinib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Dasatinib can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Dasatinib.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Dasatinib.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Dasatinib.]
[A11HA03, vitamin E, The metabolism of Dasatinib can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dasatinib.]
[N05AF05, zuclopenthixol, The metabolism of Dasatinib can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Dasatinib can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Dasatinib can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Dasatinib.]
[L01ED01, crizotinib, The metabolism of Dasatinib can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Dasatinib can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Dasatinib.]
[J01MA13, trovafloxacin, The metabolism of Dasatinib can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Dasatinib can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Dasatinib.]
[N02BA01, aspirin, Dasatinib may increase the anticoagulant activities of Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Dasatinib.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Dasatinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Dasatinib.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Dasatinib.]
[J02AC03, voriconazole, The metabolism of Dasatinib can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Atropine.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Dasatinib.]
[R07AX02, ivacaftor, The serum concentration of Dasatinib can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Dasatinib can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Dasatinib.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Dasatinib.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Dasatinib.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Dasatinib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Dasatinib.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Dasatinib.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Dasatinib.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Dasatinib.]
[G04BD12, mirabegron, The serum concentration of Dasatinib can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Dasatinib can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Dasatinib can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Dasatinib can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Dasatinib can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Dasatinib.]
[L04AA31, teriflunomide, The serum concentration of Dasatinib can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Defibrotide.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Dasatinib is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Dasatinib is combined with Aldosterone.]
[L01EX05, regorafenib, The serum concentration of Dasatinib can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Dasatinib can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Dasatinib can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Dasatinib is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Dasatinib.]
[C08CA13, lercanidipine, The metabolism of Dasatinib can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, Dasatinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Dasatinib can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Dasatinib.]
[N02CC03, zolmitriptan, The metabolism of Dasatinib can be decreased when combined with Zolmitriptan.]
[H01CB05, pasireotide, The metabolism of Dasatinib can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Dasatinib can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The serum concentration of Dasatinib can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Dasatinib.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Bencyclane.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Dasatinib can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Dasatinib.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Dasatinib.]
[A10BK02, canagliflozin, The serum concentration of Dasatinib can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dasatinib is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Dasatinib can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Dasatinib can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Dasatinib can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Dasatinib.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Benzocaine.]
[M01AH01, celecoxib, Dasatinib may decrease the excretion rate of Celecoxib which could result in a higher serum level.]
[L04AA18, everolimus, The serum concentration of Dasatinib can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Dasatinib.]
[L01EC02, dabrafenib, The serum concentration of Dasatinib can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Benzyl alcohol.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Dasatinib.]
[L01EB03, afatinib, The serum concentration of Dasatinib can be increased when it is combined with Afatinib.]
[J05AJ03, dolutegravir, Dasatinib may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Bepridil.]
[C02KX05, riociguat, Dasatinib may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Dasatinib may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Dasatinib.]
[N06AX26, vortioxetine, The metabolism of Dasatinib can be decreased when combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The metabolism of Dasatinib can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Dasatinib can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, Dasatinib may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dasatinib can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, The metabolism of Dasatinib can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Dasatinib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Dasatinib can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Dasatinib can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Dasatinib can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Dasatinib can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Argatroban.]
[L04AC11, siltuximab, The metabolism of Dasatinib can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Dasatinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Dasatinib.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Dasatinib is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Dasatinib.]
[N07XX08, tafamidis, The serum concentration of Dasatinib can be increased when it is combined with Tafamidis.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Dasatinib.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Dasatinib can be increased when it is combined with Technetium Tc-99m sestamibi.]
[N03AG01, valproic acid, The metabolism of Dasatinib can be decreased when combined with Valproic acid.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Dasatinib is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Dasatinib can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Dasatinib can be decreased when combined with Pipemidic acid.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Dasatinib is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The serum concentration of Dasatinib can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Dasatinib.]
[J01XA05, oritavancin, The metabolism of Dasatinib can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Dasatinib is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Dasatinib is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Dasatinib can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Blinatumomab.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Dasatinib.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Dasatinib can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Dasatinib can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Dasatinib can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, Dasatinib may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Dasatinib.]
[J05AP07, daclatasvir, The serum concentration of Dasatinib can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Dasatinib can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Dasatinib.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ivabradine.]
[J05AP06, asunaprevir, The serum concentration of Dasatinib can be increased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Cangrelor.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Dasatinib.]
[A04AD14, rolapitant, The serum concentration of Dasatinib can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Dasatinib can be increased when it is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01EC01, acetazolamide, The metabolism of Dasatinib can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, Lansoprazole can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Dasatinib.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Mepolizumab.]
[J02AC05, isavuconazole, The serum concentration of Dasatinib can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Dasatinib can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dasatinib.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Dasatinib.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Dasatinib.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Dasatinib.]
[B01AC27, selexipag, The serum concentration of Dasatinib can be increased when it is combined with Selexipag.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Dasatinib.]
[M04AB05, lesinurad, The metabolism of Dasatinib can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Dasatinib can be decreased when combined with Elbasvir.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[N05CA05, aprobarbital, The metabolism of Dasatinib can be increased when combined with Aprobarbital.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Dasatinib can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Dasatinib.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Dasatinib.]
[N05AX17, pimavanserin, The metabolism of Dasatinib can be decreased when combined with Pimavanserin.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Dasatinib.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Dasatinib can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Dasatinib can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Dasatinib.]
[L01XX27, arsenic trioxide, The serum concentration of Dasatinib can be increased when it is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Dasatinib can be decreased when combined with Artemether.]
[M02AA03, clofezone, Rabeprazole can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Dasatinib.]
[S01GX07, azelastine, The metabolism of Dasatinib can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Dasatinib can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Dasatinib can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Dasatinib can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Dasatinib.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Dasatinib can be decreased when combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Dasatinib.]
[N06BC01, caffeine, The metabolism of Dasatinib can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Dasatinib can be increased when combined with Calcitriol.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Dasatinib.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Dasatinib.]
[J05AE09, tipranavir, The metabolism of Dasatinib can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Dasatinib.]
[N07XX13, valbenazine, The metabolism of Dasatinib can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Dasatinib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Dasatinib can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Dasatinib.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Dasatinib.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[L04AC14, sarilumab, The metabolism of Dasatinib can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Dasatinib may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Dasatinib can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Dasatinib.]
[L01XX59, enasidenib, The serum concentration of Dasatinib can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Dasatinib can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Dasatinib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Dasatinib is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Dasatinib.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Dasatinib.]
