[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apremilast.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Apremilast is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be increased when combined with Apremilast.]
[J01MB04, pipemidic acid, The metabolism of Apremilast can be decreased when combined with Pipemidic acid.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Apremilast may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be increased when combined with Apremilast.]
[V03AB34, fomepizole, The metabolism of Apremilast can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Apremilast can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Apremilast.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Apremilast.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Apremilast.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Apremilast.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Apremilast.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be increased when combined with Apremilast.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Apremilast is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Apremilast.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be increased when combined with Apremilast.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Apremilast.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be increased when combined with Apremilast.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Apremilast.]
[S03AA06, gentamicin, Apremilast may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Apremilast is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be increased when combined with Apremilast.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Apremilast.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be increased when combined with Apremilast.]
[B01AF03, edoxaban, Apremilast may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be increased when combined with Apremilast.]
[L04AC10, secukinumab, The metabolism of Apremilast can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Apremilast.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Apremilast.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Apremilast.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Apremilast.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Apremilast.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Apremilast.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be increased when combined with Apremilast.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Apremilast.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be increased when combined with Apremilast.]
[V03AB37, idarucizumab, Apremilast may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Apremilast.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Apremilast.]
[L01EB04, osimertinib, The serum concentration of Apremilast can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Apremilast.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Apremilast.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Apremilast.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Apremilast.]
[B01AC27, selexipag, The metabolism of Selexipag can be increased when combined with Apremilast.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be increased when combined with Apremilast.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be increased when combined with Apremilast.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Apremilast.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be increased when combined with Apremilast.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Apremilast.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be increased when combined with Apremilast.]
[A02AD05, aluminum magnesium silicate, Apremilast may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be increased when combined with Apremilast.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Apremilast.]
[A05AA04, obeticholic acid, The metabolism of Apremilast can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be increased when combined with Apremilast.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be increased when combined with Apremilast.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Apremilast.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Apremilast.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Apremilast.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Apremilast.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Apremilast.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be increased when combined with Apremilast.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Apremilast.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be increased when combined with Apremilast.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Apremilast.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Apremilast can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be increased when combined with Apremilast.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Ocrelizumab.]
[A06AH05, naldemedine, Apremilast may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Apremilast.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be increased when combined with Apremilast.]
[P01CA02, benznidazole, Apremilast may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Apremilast.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Apremilast.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Apremilast can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Apremilast.]
[L04AB02, infliximab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Infliximab.]
[L01EX10, midostaurin, The metabolism of Apremilast can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Apremilast.]
[L04AC14, sarilumab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Sarilumab.]
[J01MA23, delafloxacin, Apremilast may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be increased when combined with Apremilast.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Apremilast.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Apremilast.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Apremilast.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Apremilast.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Apremilast.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Apremilast can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be increased when combined with Apremilast.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Apremilast.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Apremilast.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Apremilast.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
