[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Ticlopidine.]
[J01DF01, aztreonam, Ticlopidine may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Ticlopidine.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Gemtuzumab ozogamicin.]
[A08AA11, lorcaserin, The metabolism of Ticlopidine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Ticlopidine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Ticlopidine can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Ticlopidine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Bosutinib.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Ticlopidine is combined with Defibrotide.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Ticlopidine.]
[D02BA02, octinoxate, Ticlopidine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Ticlopidine.]
[N04BD02, rasagiline, The risk or severity of bleeding and hemorrhage can be increased when Rasagiline is combined with Ticlopidine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Ticlopidine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Ticlopidine.]
[L04AA29, tofacitinib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Ticlopidine.]
[G04BD10, darifenacin, The metabolism of Ticlopidine can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Ticlopidine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Ticlopidine.]
[G04BE03, sildenafil, The metabolism of Ticlopidine can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Ticlopidine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ticlopidine.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Apixaban.]
[A16AX08, teduglutide, Ticlopidine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Ticlopidine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ticlopidine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Ticlopidine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Ticlopidine.]
[N02BA10, benorilate, The risk or severity of bleeding can be increased when Benorilate is combined with Ticlopidine.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Ticlopidine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Ticlopidine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Ticlopidine.]
[L03AA12, ancestim, Ticlopidine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Ticlopidine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Ticlopidine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Ticlopidine.]
[L01EC02, dabrafenib, The serum concentration of Ticlopidine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of bleeding can be increased when Benzydamine is combined with Ticlopidine.]
[L01EE01, trametinib, Ticlopidine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Ticlopidine.]
[V09AX05, florbetapir F-18, Ticlopidine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of hemorrhage can be increased when Levomilnacipran is combined with Ticlopidine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Ticlopidine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Ticlopidine.]
[A10BJ03, lixisenatide, Ticlopidine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Cholic Acid.]
[C02KX04, macitentan, Ticlopidine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ticlopidine.]
[N06AX26, vortioxetine, The risk or severity of bleeding can be increased when Vortioxetine is combined with Ticlopidine.]
[G03AC08, etonogestrel, Ticlopidine may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Ticlopidine can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Ticlopidine can be increased when it is combined with Luliconazole.]
[J05AP08, sofosbuvir, Ticlopidine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Ticlopidine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Ticlopidine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Ticlopidine.]
[L04AA32, apremilast, The metabolism of Ticlopidine can be increased when combined with Apremilast.]
[L02BG02, formestane, Ticlopidine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Ticlopidine.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Ticlopidine is combined with Argatroban.]
[V03AB34, fomepizole, Ticlopidine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Ticlopidine can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Ticlopidine is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of bleeding can be increased when Ticlopidine is combined with Belinostat.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Ticlopidine.]
[L03AB13, peginterferon beta-1a, The risk or severity of bleeding can be increased when Ticlopidine is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Ticlopidine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Ticlopidine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Ticlopidine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Ticlopidine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Decitabine.]
[N04AA02, biperiden, The metabolism of Ticlopidine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Ticlopidine.]
[S03AA06, gentamicin, Ticlopidine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of bleeding can be increased when Ticlopidine is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ticlopidine.]
[L01XK01, olaparib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Ticlopidine is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Ticlopidine.]
[L04AC10, secukinumab, The metabolism of Ticlopidine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of bleeding can be increased when Ticlopidine is combined with Palbociclib.]
[L01XH03, panobinostat, The metabolism of Ticlopidine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, Ticlopidine may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Ticlopidine may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Ticlopidine can be decreased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Ticlopidine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Ticlopidine.]
[A04AD14, rolapitant, The metabolism of Ticlopidine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Flibanserin can be increased when it is combined with Ticlopidine.]
[M02AA25, aceclofenac, The risk or severity of bleeding can be increased when Aceclofenac is combined with Ticlopidine.]
[M01AB11, acemetacin, The risk or severity of bleeding can be increased when Acemetacin is combined with Ticlopidine.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Ticlopidine.]
[V03AB37, idarucizumab, Ticlopidine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ticlopidine.]
[J02AC05, isavuconazole, The metabolism of Ticlopidine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ticlopidine.]
[L01XG03, ixazomib, Ticlopidine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Ticlopidine.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Ticlopidine.]
[M04AB05, lesinurad, Ticlopidine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of bleeding can be increased when Alminoprofen is combined with Ticlopidine.]
[N02BA02, aloxiprin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Aloxiprin.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Ticlopidine.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Ticlopidine.]
[A02AD05, aluminum magnesium silicate, Ticlopidine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be decreased when combined with Ticlopidine.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Ticlopidine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Ticlopidine.]
[N07BC01, buprenorphine, The metabolism of Ticlopidine can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Ticlopidine.]
[L01AB01, busulfan, The risk or severity of bleeding can be increased when Ticlopidine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of bleeding can be increased when Ticlopidine is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Ticlopidine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Ticlopidine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Ticlopidine.]
[L01XK03, rucaparib, The metabolism of Ticlopidine can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of bleeding can be increased when Balsalazide is combined with Ticlopidine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Ticlopidine.]
[A06AH05, naldemedine, Ticlopidine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Ticlopidine.]
[N02BF02, pregabalin, Ticlopidine may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Ticlopidine.]
[P01CA02, benznidazole, Ticlopidine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Ticlopidine.]
[J05AF06, abacavir, Ticlopidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, Tipranavir may increase the antiplatelet activities of Ticlopidine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ticlopidine.]
[L04AB02, infliximab, The metabolism of Ticlopidine can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Ticlopidine.]
[N04BD03, safinamide, The risk or severity of bleeding and hemorrhage can be increased when Safinamide is combined with Ticlopidine.]
[J01MA23, delafloxacin, Ticlopidine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Ticlopidine is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Ticlopidine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ticlopidine.]
[L01XH01, vorinostat, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vorinostat.]
[C07AB07, bisoprolol, Ticlopidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Ticlopidine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Ticlopidine.]
[L01BA03, raltitrexed, The risk or severity of bleeding can be increased when Ticlopidine is combined with Raltitrexed.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Ticlopidine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Ticlopidine may increase the antiplatelet activities of Buflomedil.]
[M01AB07, bumadizone, The risk or severity of bleeding can be increased when Bumadizone is combined with Ticlopidine.]
[J05AX18, letermovir, The metabolism of Ticlopidine can be increased when combined with Letermovir.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Ticlopidine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Ticlopidine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Ticlopidine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Ticlopidine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L03AB06, interferon alfa-n1, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Ticlopidine.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Ticlopidine.]
[L04AA37, baricitinib, Ticlopidine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Ticlopidine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Ticlopidine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01GB14, plazomicin, Ticlopidine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
