[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Antipyrine.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Mannitol is combined with Tolazoline.]
[V04CA01, tolbutamide, Mannitol may increase the excretion rate of Tolbutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA21, tolmetin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tolmetin.]
[N02AX02, tramadol, Mannitol may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Mannitol.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Mannitol is combined with Tretinoin.]
[C03DB02, triamterene, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Triamterene.]
[N05CD05, triazolam, Mannitol may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, The risk or severity of adverse effects can be increased when Trichlormethiazide is combined with Mannitol.]
[A16AX12, trientine, Mannitol may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AD02, trifluridine, Mannitol may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AA05, trimebutine, Mannitol may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Trimethadione is combined with Mannitol.]
[C02BA01, trimethaphan, Mannitol may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Mannitol may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Mannitol.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Mannitol is combined with Azilsartan medoxomil.]
[R03DX07, roflumilast, Mannitol may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Mannitol may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX04, vandetanib, The serum concentration of Mannitol can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Mannitol may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The serum concentration of Mannitol can be increased when it is combined with Linagliptin.]
[J05AP02, telaprevir, The serum concentration of Mannitol can be increased when it is combined with Telaprevir.]
[S01AA28, vancomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Vancomycin.]
[N03AX21, ezogabine, Mannitol may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Mannitol may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Mannitol.]
[B01AC24, ticagrelor, The serum concentration of Mannitol can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Mannitol can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, Mannitol may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Mannitol.]
[C04AX07, vincamine, Mannitol may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Mannitol.]
[B03BA01, vitamin B12, Mannitol may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, Mannitol may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, The risk or severity of adverse effects can be increased when Xipamide is combined with Mannitol.]
[L01EC01, vemurafenib, The serum concentration of Mannitol can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Pamidronic acid.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Mannitol.]
[M05BA05, tiludronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Tiludronic acid.]
[B06AC02, icatibant, Mannitol may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[L01ED01, crizotinib, The serum concentration of Mannitol can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Mannitol may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Ibandronate.]
[G03AC10, drospirenone, The risk or severity of adverse effects can be increased when Drospirenone is combined with Mannitol.]
[V03AC02, deferiprone, Mannitol may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Mannitol which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Mannitol may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Mannitol may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, Mannitol may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Mannitol.]
[M01CB03, auranofin, Mannitol may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Mannitol.]
[R07AX02, ivacaftor, The serum concentration of Mannitol can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Mannitol may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Mannitol may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Mannitol may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Mannitol may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Mannitol may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Bacitracin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Mannitol.]
[M03BX01, baclofen, Mannitol may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, Mannitol may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, The serum concentration of Mannitol can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Mannitol can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The serum concentration of Mannitol can be increased when it is combined with Cobicistat.]
[L02BB04, enzalutamide, Mannitol may increase the excretion rate of Enzalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Mannitol is combined with Linaclotide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Mannitol.]
[L01EX05, regorafenib, The serum concentration of Mannitol can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Mannitol.]
[D02BA02, octinoxate, Mannitol may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Mannitol.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Mannitol.]
[C08CA13, lercanidipine, The risk or severity of adverse effects can be increased when Lercanidipine is combined with Mannitol.]
[V09IX04, fluorodeoxyglucose F18, Mannitol may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE03, sildenafil, The serum concentration of Mannitol can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Mannitol may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA05, ponatinib, The serum concentration of Mannitol can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Mannitol.]
[A16AX08, teduglutide, Mannitol may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AX12, lomitapide, The serum concentration of Mannitol can be increased when it is combined with Lomitapide.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Bencyclane.]
[A10BH04, alogliptin, Mannitol may increase the excretion rate of Alogliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX09, glycerol phenylbutyrate, Mannitol may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Mannitol.]
[L04AX06, pomalidomide, Mannitol may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Benorilate.]
[A10BK02, canagliflozin, The serum concentration of Mannitol can be increased when it is combined with Canagliflozin.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Mannitol is combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Mannitol.]
[L03AA12, ancestim, Mannitol may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Celecoxib.]
[L04AA18, everolimus, The serum concentration of Mannitol can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Mannitol may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Mannitol.]
[R02AX03, benzydamine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Benzydamine.]
[L01EE01, trametinib, Mannitol may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Mannitol may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EB03, afatinib, The serum concentration of Mannitol can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, Mannitol may increase the excretion rate of Levomilnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Mannitol.]
[C08EA02, bepridil, The risk or severity of adverse effects can be increased when Mannitol is combined with Bepridil.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Mannitol.]
[A10BJ03, lixisenatide, Mannitol may increase the excretion rate of Lixisenatide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KX04, macitentan, Mannitol may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Mannitol may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Mannitol may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP05, simeprevir, The serum concentration of Mannitol can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, Mannitol may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Mannitol.]
[C01CA27, droxidopa, Mannitol may increase the excretion rate of Droxidopa which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Mannitol is combined with Acebutolol.]
[N05CH03, tasimelteon, Mannitol may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA32, apremilast, Mannitol may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG02, formestane, Mannitol may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Mannitol.]
[V03AB34, fomepizole, Mannitol may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Mannitol may increase the hypotensive activities of Bethanidine.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Mannitol.]
[B01AC26, vorapaxar, The serum concentration of Mannitol can be increased when it is combined with Vorapaxar.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Mannitol.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Mannitol.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Mannitol.]
[V08AA01, diatrizoic acid, Mannitol may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AA04, iothalamic acid, Mannitol may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CM19, suvorexant, The serum concentration of Mannitol can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Mannitol can be increased when it is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Dihydrostreptomycin.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Mannitol is combined with Phenolphthalein.]
[A06AH03, naloxegol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Naloxegol.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Mannitol.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Mannitol is combined with Bisacodyl.]
[S03AA06, gentamicin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Gentamicin.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Mannitol.]
[B01AF03, edoxaban, Mannitol may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EF01, palbociclib, The serum concentration of Mannitol can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Mannitol.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Mannitol.]
[J05AP07, daclatasvir, The serum concentration of Mannitol can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, Mannitol may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Mannitol may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Adefovir dipivoxil.]
[J05AP06, asunaprevir, The serum concentration of Mannitol can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The therapeutic efficacy of Mannitol can be decreased when used in combination with Eluxadoline.]
[A04AD14, rolapitant, The serum concentration of Mannitol can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Mannitol can be increased when it is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium peroxide.]
[M02AA25, aceclofenac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Mannitol can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Mannitol.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Mannitol.]
[V03AB37, idarucizumab, Mannitol may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AC05, isavuconazole, The serum concentration of Mannitol can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Mannitol.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Mannitol.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Mannitol.]
[L01XG03, ixazomib, Mannitol may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Mannitol.]
[M04AB05, lesinurad, Mannitol may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Mannitol.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Mannitol.]
[M01AE16, alminoprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Alminoprofen.]
[A02AB06, aloglutamol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Aloglutamol.]
[N03AX23, brivaracetam, Mannitol may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX52, venetoclax, The serum concentration of Mannitol can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Mannitol may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Mannitol is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Mannitol may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Mannitol.]
[C03CA02, bumetanide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Mannitol.]
[C07AA19, bupranolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Buprenorphine.]
[N05BE01, buspirone, Mannitol may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, The serum concentration of Mannitol can be increased when it is combined with Arsenic trioxide.]
[M02AA03, clofezone, Mannitol may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Mannitol can be decreased when used in combination with Butorphanol.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Mannitol is combined with Plecanatide.]
[A07EC04, balsalazide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Balsalazide.]
[A06AH05, naldemedine, Mannitol may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Mannitol may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Mannitol may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Benazepril is combined with Mannitol.]
[P01CA02, benznidazole, Mannitol may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Mannitol.]
[J05AF06, abacavir, Mannitol may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The serum concentration of Mannitol can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, Mannitol may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Mannitol.]
[J01MA23, delafloxacin, Mannitol may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Mannitol.]
[L01BC06, capecitabine, Mannitol may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX59, enasidenib, The serum concentration of Mannitol can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Mannitol can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Mannitol.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Mannitol.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Mannitol.]
[C07AB07, bisoprolol, Mannitol may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefprozil.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Mannitol is combined with Nesiritide.]
[C03DA03, canrenone, The risk or severity of adverse effects can be increased when Canrenone is combined with Mannitol.]
[R03BA02, budesonide, Mannitol may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB07, bumadizone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Bumadizone.]
[A10BK04, ertugliflozin, The risk or severity of adverse effects can be increased when Ertugliflozin is combined with Mannitol.]
[R06AX18, acrivastine, Mannitol may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Mannitol is combined with Captopril.]
[L02BB05, apalutamide, The serum concentration of Mannitol can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Mannitol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Mannitol is combined with Calcium polycarbophil.]
[C07AG02, carvedilol, The serum concentration of Mannitol can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Mannitol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Mannitol.]
[L04AA37, baricitinib, Mannitol may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefepime.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefetamet.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefodizime.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceforanide.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefpodoxime.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Mannitol.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftibuten.]
[J01GB14, plazomicin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Plazomicin.]
[C07AB08, celiprolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Mannitol can be increased when it is combined with Elagolix.]
[A16AX14, migalastat, Mannitol may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, The excretion of Mannitol can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Mannitol.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Mannitol.]
[L01EB07, dacomitinib, The serum concentration of Mannitol can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Mannitol can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Mannitol.]
[S01GX12, cetirizine, Mannitol may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[D08AE05, chloroxylenol, Mannitol may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
