[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Teriflunomide.]
[L01EM02, copanlisib, Teriflunomide may decrease the excretion rate of Copanlisib which could result in a higher serum level.]
[L01EF03, abemaciclib, Teriflunomide may decrease the excretion rate of Abemaciclib which could result in a higher serum level.]
[J05AG03, efavirenz, The serum concentration of Efavirenz can be decreased when it is combined with Teriflunomide.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Teriflunomide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Teriflunomide.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Teriflunomide.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N01BX04, capsaicin, The serum concentration of Capsaicin can be decreased when it is combined with Teriflunomide.]
[A10BK04, ertugliflozin, Teriflunomide may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Teriflunomide.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Teriflunomide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Teriflunomide.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Teriflunomide.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be decreased when it is combined with Teriflunomide.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Teriflunomide.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be decreased when it is combined with Teriflunomide.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Teriflunomide.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Teriflunomide.]
[N03AX17, stiripentol, The excretion of Teriflunomide can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Teriflunomide may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[L01EM04, duvelisib, Teriflunomide may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01EB07, dacomitinib, Teriflunomide may decrease the excretion rate of Dacomitinib which could result in a higher serum level.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be decreased when it is combined with Teriflunomide.]
[L01XK04, talazoparib, Teriflunomide may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[R03BB08, revefenacin, Teriflunomide may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Emapalumab.]
[L01AD01, carmustine, The serum concentration of Carmustine can be decreased when it is combined with Teriflunomide.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Teriflunomide.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ravulizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be decreased when it is combined with Teriflunomide.]
[P02BX04, triclabendazole, The serum concentration of Triclabendazole can be decreased when it is combined with Teriflunomide.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Siponimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Teriflunomide.]
[V03AE02, sevelamer, Sevelamer may increase the excretion rate of Teriflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Teriflunomide.]
[J01DC04, cefaclor, The excretion of Cefaclor can be decreased when combined with Teriflunomide.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Teriflunomide.]
[L02BB06, darolutamide, The serum concentration of Teriflunomide can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, Teriflunomide may increase the hepatotoxic activities of Pexidartinib.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Teriflunomide.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Teriflunomide.]
[M03BX08, cyclobenzaprine, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Teriflunomide.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N04CX01, istradefylline, The serum concentration of Istradefylline can be decreased when it is combined with Teriflunomide.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Teriflunomide.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Teriflunomide.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Teriflunomide.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Teriflunomide.]
[N02CC08, lasmiditan, The serum concentration of Teriflunomide can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Diroximel fumarate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Teriflunomide.]
[L01XX72, tazemetostat, Teriflunomide may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Teriflunomide.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Teriflunomide.]
[N02CC07, frovatriptan, The serum concentration of Frovatriptan can be decreased when it is combined with Teriflunomide.]
[L04AA38, ozanimod, Teriflunomide may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be decreased when it is combined with Teriflunomide.]
[M01AH02, rofecoxib, The serum concentration of Rofecoxib can be decreased when it is combined with Teriflunomide.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Teriflunomide.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Teriflunomide.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Teriflunomide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Teriflunomide.]
[L01EX17, capmatinib, The serum concentration of Teriflunomide can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Fluprednidene.]
[L01EX19, ripretinib, Teriflunomide may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Teriflunomide is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Teriflunomide.]
[J05AX29, fostemsavir, Teriflunomide may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Teriflunomide.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Teriflunomide.]
[L01EX23, pralsetinib, Teriflunomide may decrease the excretion rate of Pralsetinib which could result in a higher serum level.]
[N05AA01, chlorpromazine, The serum concentration of Chlorpromazine can be decreased when it is combined with Teriflunomide.]
[M03BB03, chlorzoxazone, The serum concentration of Chlorzoxazone can be decreased when it is combined with Teriflunomide.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Teriflunomide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Teriflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Teriflunomide.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Teriflunomide.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Voclosporin.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[V03AF12, trilaciclib, Teriflunomide may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be decreased when it is combined with Teriflunomide.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Teriflunomide.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Teriflunomide.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Teriflunomide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Teriflunomide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ponesimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Teriflunomide.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Teriflunomide.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be decreased when it is combined with Teriflunomide.]
[L01XX73, sotorasib, The serum concentration of Teriflunomide can be increased when it is combined with Sotorasib.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Teriflunomide.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Teriflunomide.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Belumosudil.]
[P01CA03, fexinidazole, The serum concentration of Fexinidazole can be decreased when it is combined with Teriflunomide.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Anifrolumab.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Teriflunomide.]
[M01AG01, mefenamic acid, The serum concentration of Mefenamic acid can be decreased when it is combined with Teriflunomide.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N01BB10, levobupivacaine, The serum concentration of Levobupivacaine can be decreased when it is combined with Teriflunomide.]
[L01EJ03, pacritinib, The serum concentration of Teriflunomide can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be decreased when it is combined with Teriflunomide.]
[S01EA04, clonidine, The serum concentration of Clonidine can be decreased when it is combined with Teriflunomide.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Teriflunomide.]
