[L04AA27, fingolimod, Fingolimod may increase the bradycardic activities of Ivabradine.]
[L01EX08, lenvatinib, Ivabradine may increase the QTc-prolonging activities of Lenvatinib.]
[L01XH03, panobinostat, Ivabradine may increase the QTc-prolonging activities of Panobinostat.]
[S01AA13, fusidic acid, The metabolism of Ivabradine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Ivabradine.]
[J02AC05, isavuconazole, The metabolism of Ivabradine can be decreased when combined with Isavuconazole.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ivabradine.]
[L01XX52, venetoclax, The metabolism of Ivabradine can be decreased when combined with Venetoclax.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ivabradine.]
[C08CA01, amlodipine, Amlodipine may increase the bradycardic activities of Ivabradine.]
[C03CA02, bumetanide, The risk or severity of Cardiac Arrhythmia can be increased when Bumetanide is combined with Ivabradine.]
[C07AA19, bupranolol, Bupranolol may increase the bradycardic activities of Ivabradine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ivabradine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Arsenic trioxide is combined with Ivabradine.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Ivabradine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Artemether is combined with Ivabradine.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Sparfloxacin is combined with Ivabradine.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Ivabradine.]
[S01AA26, azithromycin, Ivabradine may increase the QTc-prolonging activities of Azithromycin.]
[L01EF02, ribociclib, The metabolism of Ivabradine can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Ivabradine.]
[J05AE09, tipranavir, The metabolism of Ivabradine can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Ivabradine can be decreased when combined with Midostaurin.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Ivabradine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Ivabradine.]
[C07AB07, bisoprolol, Bisoprolol may increase the bradycardic activities of Ivabradine.]
[J05AG03, efavirenz, Ivabradine may increase the QTc-prolonging activities of Efavirenz.]
[C07AA17, bopindolol, Bopindolol may increase the bradycardic activities of Ivabradine.]
[N06AA15, butriptyline, Ivabradine may increase the QTc-prolonging activities of Butriptyline.]
[C01AA02, acetyldigoxins, Ivabradine may increase the bradycardic activities of Acetyldigoxin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Ivabradine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Ivabradine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Ivabradine can be increased when combined with Carbamazepine.]
[R06AA08, carbinoxamine, Ivabradine may increase the QTc-prolonging activities of Carbinoxamine.]
[L01EC03, encorafenib, Ivabradine may increase the QTc-prolonging activities of Encorafenib.]
[C07AB08, celiprolol, Celiprolol may increase the bradycardic activities of Ivabradine.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Ivabradine can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Ivabradine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Ivabradine.]
[L01EX13, gilteritinib, Ivabradine may increase the QTc-prolonging activities of Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Glasdegib.]
[N07XX05, amifampridine, Ivabradine may increase the QTc-prolonging activities of Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Ivabradine.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Ivabradine.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Ivabradine.]
[J01FA09, clarithromycin, Ivabradine may increase the QTc-prolonging activities of Clarithromycin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Ivabradine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Ivabradine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Ivabradine.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Ivabradine.]
[N03AX25, cenobamate, The serum concentration of Ivabradine can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ivabradine.]
[R06AB02, dexchlorpheniramine, Ivabradine may increase the QTc-prolonging activities of Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ivabradine.]
[J05AE05, amprenavir, The metabolism of Ivabradine can be decreased when combined with Amprenavir.]
[C08CA16, clevidipine, Clevidipine may increase the bradycardic activities of Ivabradine.]
[C01BD07, dronedarone, The metabolism of Ivabradine can be decreased when combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Ivabradine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ivabradine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Ivabradine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Ivabradine.]
[L04AC19, satralizumab, The serum concentration of Ivabradine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Ivabradine may increase the QTc-prolonging activities of Chloroquine.]
[C03AA04, chlorothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Chlorothiazide is combined with Ivabradine.]
[R06AB04, chlorpheniramine, Ivabradine may increase the QTc-prolonging activities of Chlorpheniramine.]
[N05AA01, chlorpromazine, Ivabradine may increase the QTc-prolonging activities of Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Ivabradine.]
[C03BA04, chlorthalidone, The risk or severity of Cardiac Arrhythmia can be increased when Chlorthalidone is combined with Ivabradine.]
[N06BX18, vinpocetine, Vinpocetine may increase the bradycardic activities of Ivabradine.]
[B06AC06, berotralstat, The metabolism of Ivabradine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ivabradine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Ivabradine.]
[P03AX07, abametapir, The serum concentration of Ivabradine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Ivabradine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Ivabradine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ivabradine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Ivabradine.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Ivabradine.]
[J01MB06, cinoxacin, Ivabradine may increase the QTc-prolonging activities of Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Ivabradine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Ivabradine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Citalopram is combined with Ivabradine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Ivabradine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Ivabradine.]
[N06AX25, St. John's wort extract, The metabolism of Ivabradine can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Ivabradine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Ivabradine.]
[N06AA04, clomipramine, Ivabradine may increase the QTc-prolonging activities of Clomipramine.]
[S01EA04, clonidine, Clonidine may increase the bradycardic activities of Ivabradine.]
[C01EB24, mavacamten, The serum concentration of Ivabradine can be decreased when it is combined with Mavacamten.]
[A04AA01, ondansetron, Ivabradine may increase the QTc-prolonging activities of Ondansetron.]
[A04AA02, granisetron, Ivabradine may increase the QTc-prolonging activities of Granisetron.]
[L01XX77, adagrasib, The serum concentration of Ivabradine can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Ivabradine can be decreased when combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Ivabradine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Ivabradine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Ivabradine.]
[J01FA15, telithromycin, Ivabradine may increase the QTc-prolonging activities of Telithromycin.]
[R06AX27, desloratadine, Ivabradine may increase the QTc-prolonging activities of Desloratadine.]
[J02AC02, itraconazole, The metabolism of Ivabradine can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, Ivabradine may increase the QTc-prolonging activities of Emedastine.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Ivabradine.]
[J02AC04, posaconazole, The metabolism of Ivabradine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Lacidipine may increase the bradycardic activities of Ivabradine.]
[N03AX09, lamotrigine, Lamotrigine may increase the bradycardic activities of Ivabradine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Ivabradine.]
[N07BC04, lofexidine, Ivabradine may increase the QTc-prolonging activities of Lofexidine.]
[S01AE04, lomefloxacin, Ivabradine may increase the QTc-prolonging activities of Lomefloxacin.]
[C08CA11, manidipine, Manidipine may increase the bradycardic activities of Ivabradine.]
[C07AA14, mepindolol, Mepindolol may increase the bradycardic activities of Ivabradine.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Ivabradine.]
[C01EB10, adenosine, Ivabradine may increase the QTc-prolonging activities of Adenosine.]
[C04AX01, cyclandelate, Cyclandelate may increase the bradycardic activities of Ivabradine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Ivabradine.]
[N05AD03, metylperon, Ivabradine may increase the QTc-prolonging activities of Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of Cardiac Arrhythmia can be increased when Cyclopenthiazide is combined with Ivabradine.]
[S01XA18, cyclosporine, The metabolism of Ivabradine can be decreased when combined with Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Ivabradine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Ivabradine.]
[C03XA02, conivaptan, The metabolism of Ivabradine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Ivabradine.]
[G03XA01, danazol, The metabolism of Ivabradine can be decreased when combined with Danazol.]
[C07AB12, nebivolol, Nebivolol may increase the bradycardic activities of Ivabradine.]
[N06AX06, nefazodone, The metabolism of Ivabradine can be decreased when combined with Nefazodone.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Escitalopram is combined with Ivabradine.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Ivabradine.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Ivabradine.]
[L01XA03, oxaliplatin, Ivabradine may increase the QTc-prolonging activities of Oxaliplatin.]
[S03BA01, dexamethasone, The metabolism of Ivabradine can be increased when combined with Dexamethasone.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Ivabradine.]
[A03AX04, pinaverium, Pinaverium may increase the bradycardic activities of Ivabradine.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Erlotinib is combined with Ivabradine.]
[C03CA03, piretanide, The risk or severity of Cardiac Arrhythmia can be increased when Piretanide is combined with Ivabradine.]
[C08CA03, isradipine, The metabolism of Ivabradine can be decreased when combined with Isradipine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Ivabradine.]
[C01AA05, digoxin, Ivabradine may increase the bradycardic activities of Digoxin.]
[J05AE08, atazanavir, The metabolism of Ivabradine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Ivabradine.]
[C08DB01, diltiazem, The metabolism of Ivabradine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Ivabradine may increase the QTc-prolonging activities of Dimenhydrinate.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Ivabradine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Ivabradine.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Ivabradine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Ivabradine.]
[S02AA12, rifamycin SV, The metabolism of Ivabradine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ivabradine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Ivabradine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Ivabradine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Ivabradine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Ivabradine.]
[A04AD12, aprepitant, The metabolism of Ivabradine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ivabradine.]
[C01EB18, ranolazine, Ivabradine may increase the QTc-prolonging activities of Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ivabradine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Ivabradine.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Ivabradine.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ivabradine.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Ivabradine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Ivabradine.]
[N05AD08, droperidol, Ivabradine may increase the QTc-prolonging activities of Droperidol.]
[N05AL02, sultopride, Ivabradine may increase the QTc-prolonging activities of Sultopride.]
[C07AB13, talinolol, Talinolol may increase the bradycardic activities of Ivabradine.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Temafloxacin is combined with Ivabradine.]
[G04BD05, terodiline, Terodiline may increase the bradycardic activities of Ivabradine.]
[C07AA16, tertatolol, Tertatolol may increase the bradycardic activities of Ivabradine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the bradycardic activities of Ivabradine.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Ivabradine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Ivabradine.]
[C03CA04, torsemide, The risk or severity of Cardiac Arrhythmia can be increased when Torasemide is combined with Ivabradine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Ivabradine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Ivabradine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Ivabradine.]
[C08CA12, mepirodipine, The metabolism of Ivabradine can be decreased when combined with Barnidipine.]
[N03AX15, zonisamide, Zonisamide may increase the bradycardic activities of Ivabradine.]
[C02AC02, guanfacine, Guanfacine may increase the bradycardic activities of Ivabradine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Ivabradine.]
[N02CA02, ergotamine, The metabolism of Ivabradine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Ivabradine can be decreased when combined with Erythromycin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Ivabradine.]
[N03AD01, ethosuximide, Ethosuximide may increase the bradycardic activities of Ivabradine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Ivabradine.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Ivabradine.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Ivabradine.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Astemizole is combined with Ivabradine.]
[R06AX12, terfenadine, The metabolism of Ivabradine can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Ivabradine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Ivabradine.]
[L02AE02, leuprolide, Ivabradine may increase the QTc-prolonging activities of Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ivabradine.]
[C08CA02, felodipine, Felodipine may increase the bradycardic activities of Ivabradine.]
[C08EA01, fendiline, Fendiline may increase the bradycardic activities of Ivabradine.]
[N02AB03, fentanyl, Fentanyl may increase the bradycardic activities of Ivabradine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Ivabradine.]
[C01BC04, flecainide, Ivabradine may increase the QTc-prolonging activities of Flecainide.]
[J02AC01, fluconazole, The metabolism of Ivabradine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Flunarizine may increase the bradycardic activities of Ivabradine.]
[L01BC02, fluorouracil, Ivabradine may increase the QTc-prolonging activities of Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Ivabradine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Flupentixol.]
[N05AG01, fluspirilene, Fluspirilene may increase the bradycardic activities of Ivabradine.]
[J05AE10, darunavir, The metabolism of Ivabradine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The risk or severity of Cardiac Arrhythmia can be increased when Furosemide is combined with Ivabradine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Ivabradine.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Ivabradine.]
[C08DA02, gallopamil, Gallopamil may increase the bradycardic activities of Ivabradine.]
[J01XA03, telavancin, Ivabradine may increase the QTc-prolonging activities of Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Ivabradine.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ivabradine.]
[N03AD03, methsuximide, Methsuximide may increase the bradycardic activities of Ivabradine.]
[N01AH02, alfentanil, Alfentanil may increase the bradycardic activities of Ivabradine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Ivabradine.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the bradycardic activities of Ivabradine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Ivabradine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Ivabradine.]
[C07AB09, esmolol, Esmolol may increase the bradycardic activities of Ivabradine.]
[L02AE03, goserelin, Ivabradine may increase the QTc-prolonging activities of Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Halofantrine is combined with Ivabradine.]
[N05AD01, haloperidol, The metabolism of Ivabradine can be decreased when combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Ivabradine.]
[N05AH04, quetiapine, Ivabradine may increase the QTc-prolonging activities of Quetiapine.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Ivabradine.]
[C08CA10, nilvadipine, The metabolism of Ivabradine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may increase the bradycardic activities of Ivabradine.]
[R06AE06, oxatomide, Ivabradine may increase the QTc-prolonging activities of Oxatomide.]
