[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[C01BB04, aprindine, Aprindine may increase the arrhythmogenic activities of Flunarizine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Flunarizine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of hypotension can be increased when Tolazoline is combined with Flunarizine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Tolmetin is combined with Flunarizine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Flunarizine is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Flunarizine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Flunarizine can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, The metabolism of Flunarizine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Flunarizine.]
[A03AB12, mepenzolate, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Flunarizine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Flunarizine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Flunarizine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Flunarizine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Flunarizine.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Flunarizine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Flunarizine.]
[R06AC04, tripelennamine, The metabolism of Flunarizine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Flunarizine.]
[A03BB01, butylscopolamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Flunarizine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Flunarizine can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Flunarizine.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Flunarizine may increase the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Flunarizine can be decreased when combined with Roflumilast.]
[L02BX03, abiraterone, The serum concentration of Flunarizine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Flunarizine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Flunarizine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Flunarizine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Flunarizine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Ezogabine.]
[B01AC24, ticagrelor, The metabolism of Flunarizine can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, Verapamil may increase the arrhythmogenic activities of Flunarizine.]
[N06AX09, viloxazine, The metabolism of Flunarizine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Flunarizine can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The metabolism of Flunarizine can be decreased when combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Flunarizine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of hypotension can be increased when Zuclopenthixol is combined with Flunarizine.]
[J05AE02, indinavir, The metabolism of Flunarizine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Flunarizine.]
[L01EC01, vemurafenib, The serum concentration of Flunarizine can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Flunarizine.]
[R03DC01, zafirlukast, The metabolism of Flunarizine can be decreased when combined with Zafirlukast.]
[J01MA13, trovafloxacin, The metabolism of Flunarizine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Flunarizine.]
[N02BA01, aspirin, The risk or severity of hyperkalemia can be increased when Acetylsalicylic acid is combined with Flunarizine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Flunarizine.]
[G04BD07, tolterodine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Flunarizine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Flunarizine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Flunarizine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Flunarizine may increase the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Flunarizine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Flunarizine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Flunarizine.]
[L04AX01, azathioprine, The metabolism of Flunarizine can be decreased when combined with Azathioprine.]
[J01CA09, azlocillin, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Flunarizine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[A08AA11, lorcaserin, The metabolism of Flunarizine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Flunarizine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Flunarizine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Flunarizine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Flunarizine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Flunarizine.]
[L04AA31, teriflunomide, The serum concentration of Flunarizine can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, The risk or severity of hypotension can be increased when Magnesium silicate is combined with Flunarizine.]
[L01EX05, regorafenib, The metabolism of Flunarizine can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Flunarizine can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Flunarizine.]
[J05AE04, nelfinavir, The metabolism of Flunarizine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Flunarizine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Flunarizine.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Flunarizine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Flunarizine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[L04AA29, tofacitinib, Flunarizine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Flunarizine.]
[R06AC06, thonzylamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Flunarizine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Flunarizine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Flunarizine.]
[H01CB05, pasireotide, Flunarizine may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Flunarizine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Flunarizine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Flunarizine.]
[C04AX11, bencyclane, Flunarizine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Flunarizine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the bradycardic activities of Flunarizine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Flunarizine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Flunarizine can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Flunarizine can be decreased when combined with Benzbromarone.]
[A12CC09, magnesium orotate, The risk or severity of hypotension can be increased when Magnesium orotate is combined with Flunarizine.]
[S01AE07, moxifloxacin, The metabolism of Flunarizine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Flunarizine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Pramlintide.]
[M01AH01, celecoxib, The metabolism of Flunarizine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Flunarizine.]
[L04AA18, everolimus, The metabolism of Flunarizine can be decreased when combined with Everolimus.]
[A12CC05, magnesium aspartate, The risk or severity of hypotension can be increased when Magnesium aspartate is combined with Flunarizine.]
[N04AC01, benztropine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Flunarizine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Flunarizine is combined with Levomilnacipran.]
[C08EA02, bepridil, Bepridil may increase the arrhythmogenic activities of Flunarizine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Lixisenatide.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Flunarizine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Flunarizine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Flunarizine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Flunarizine.]
[A10BK01, dapagliflozin, The metabolism of Flunarizine can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, Acebutolol may increase the arrhythmogenic activities of Flunarizine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Flunarizine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Flunarizine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Flunarizine can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Flunarizine.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Flunarizine.]
[V03AB34, fomepizole, The metabolism of Flunarizine can be decreased when combined with Fomepizole.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Flunarizine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Flunarizine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Flunarizine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Flunarizine can be decreased when combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Flunarizine can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Flunarizine.]
[D11AA01, glycopyrronium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Flunarizine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Flunarizine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of hypotension can be increased when Acepromazine is combined with Flunarizine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Flunarizine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Dulaglutide.]
[N04AA02, biperiden, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Flunarizine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Flunarizine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Flunarizine.]
[B01AA01, dicumarol, The metabolism of Flunarizine can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Flunarizine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Flunarizine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Flunarizine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Flunarizine may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Flunarizine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The risk or severity of hypotension can be increased when Brexpiprazole is combined with Flunarizine.]
[A04AD14, rolapitant, The metabolism of Flunarizine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flunarizine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The risk or severity of hypotension can be increased when Magnesium peroxide is combined with Flunarizine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Cariprazine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Flunarizine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Flunarizine.]
[A02BC03, lansoprazole, The metabolism of Flunarizine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Flunarizine.]
[J02AC05, isavuconazole, The metabolism of Flunarizine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Flunarizine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Flunarizine.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Acetohexamide.]
[G04CA01, alfuzosin, The risk or severity of hypotension can be increased when Alfuzosin is combined with Flunarizine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Flunarizine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Flunarizine.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Flunarizine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Flunarizine.]
[N04BC01, bromocriptine, The risk or severity of hypotension can be increased when Bromocriptine is combined with Flunarizine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Flunarizine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Flunarizine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Flunarizine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Flunarizine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Flunarizine.]
[A05AA04, obeticholic acid, The metabolism of Flunarizine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Bupivacaine.]
[C07AA19, bupranolol, Flunarizine may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Flunarizine.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Flunarizine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Flunarizine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Flunarizine.]
[R06AX09, azatadine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Flunarizine can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Flunarizine.]
[L01EF02, ribociclib, The metabolism of Flunarizine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Balsalazide is combined with Flunarizine.]
[R03DA08, bamifylline, Flunarizine may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Flunarizine.]
[N02BF02, pregabalin, The therapeutic efficacy of Flunarizine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Flunarizine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Benazepril is combined with Flunarizine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Oxybuprocaine.]
[G04BA03, calcium chloride, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Linezolid.]
[J05AE09, tipranavir, The metabolism of Flunarizine can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Flunarizine.]
[L04AB02, infliximab, The metabolism of Flunarizine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Flunarizine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Flunarizine is combined with Safinamide.]
[J01MA23, delafloxacin, The metabolism of Flunarizine can be increased when combined with Delafloxacin.]
[D01AC10, bifonazole, The therapeutic efficacy of Bifonazole can be increased when used in combination with Flunarizine.]
[P03AC02, bioallethrin, Flunarizine may increase the arrhythmogenic activities of Bioallethrin.]
[L01BC06, capecitabine, The metabolism of Flunarizine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Flunarizine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Flunarizine can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The serum concentration of Flunarizine can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of bradycardia can be increased when Flunarizine is combined with Bopindolol.]
[N04AA11, bornaprine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Brotizolam.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Canrenone.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Flunarizine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Flunarizine.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Flunarizine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Flunarizine may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Capsaicin.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Flunarizine is combined with Vinylbital.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Captopril is combined with Flunarizine.]
[L02BB05, apalutamide, The metabolism of Flunarizine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Flunarizine can be decreased when it is combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Flunarizine.]
[A03AA03, camylofine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
