[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Medroxyprogesterone acetate.]
[B01AD04, urokinase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Urokinase.]
[S01AA28, vancomycin, Medroxyprogesterone acetate may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Medroxyprogesterone acetate.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Medroxyprogesterone acetate.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Medroxyprogesterone acetate.]
[S01XA02, vitamin A, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Vitamin A.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Medroxyprogesterone acetate can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Medroxyprogesterone acetate.]
[S01AA13, fusidic acid, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Medroxyprogesterone acetate.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Medroxyprogesterone acetate.]
[J05AE02, indinavir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Medroxyprogesterone acetate.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Medroxyprogesterone acetate.]
[M05BA05, tiludronic acid, Medroxyprogesterone acetate may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Medroxyprogesterone acetate may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Medroxyprogesterone acetate.]
[B01AE01, desirudin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Medroxyprogesterone acetate.]
[A02BC04, rabeprazole, Medroxyprogesterone acetate may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Medroxyprogesterone acetate may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Medroxyprogesterone acetate.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Medroxyprogesterone acetate.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Medroxyprogesterone acetate.]
[J01DH04, doripenem, Medroxyprogesterone acetate may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Medroxyprogesterone acetate may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Medroxyprogesterone acetate.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Medroxyprogesterone acetate.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Medroxyprogesterone acetate.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Medroxyprogesterone acetate.]
[L01BC07, azacitidine, Medroxyprogesterone acetate may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Medroxyprogesterone acetate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CA09, azlocillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Medroxyprogesterone acetate.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A08AA11, lorcaserin, Medroxyprogesterone acetate may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Medroxyprogesterone acetate may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Medroxyprogesterone acetate.]
[B01AX01, defibrotide, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Medroxyprogesterone acetate.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Medroxyprogesterone acetate.]
[N05CA04, barbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Barbital.]
[D02BA02, octinoxate, Medroxyprogesterone acetate may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Medroxyprogesterone acetate may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Medroxyprogesterone acetate.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Medroxyprogesterone acetate.]
[V09IX04, fluorodeoxyglucose F18, Medroxyprogesterone acetate may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Medroxyprogesterone acetate.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Medroxyprogesterone acetate.]
[V08CA11, gadofosveset, Medroxyprogesterone acetate may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Medroxyprogesterone acetate.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Apixaban.]
[A16AX08, teduglutide, Medroxyprogesterone acetate may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Medroxyprogesterone acetate.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Medroxyprogesterone acetate.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Medroxyprogesterone acetate can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Medroxyprogesterone acetate.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Medroxyprogesterone acetate.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Medroxyprogesterone acetate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Medroxyprogesterone acetate.]
[L03AA12, ancestim, Medroxyprogesterone acetate may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Medroxyprogesterone acetate.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Medroxyprogesterone acetate.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EE01, trametinib, Medroxyprogesterone acetate may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Medroxyprogesterone acetate may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Medroxyprogesterone acetate.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Medroxyprogesterone acetate.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Medroxyprogesterone acetate.]
[A05AA03, cholic acid, The therapeutic efficacy of Cholic Acid can be decreased when used in combination with Medroxyprogesterone acetate.]
[C02KX04, macitentan, Medroxyprogesterone acetate may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Medroxyprogesterone acetate.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Medroxyprogesterone acetate.]
[N03AF04, eslicarbazepine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Medroxyprogesterone acetate may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Medroxyprogesterone acetate.]
[C01CA27, droxidopa, Medroxyprogesterone acetate may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Medroxyprogesterone acetate.]
[A16AA07, metreleptin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Metreleptin.]
[L04AA32, apremilast, Medroxyprogesterone acetate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, The metabolism of Medroxyprogesterone acetate can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Medroxyprogesterone acetate.]
[B01AE03, argatroban, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Argatroban.]
[V03AB34, fomepizole, Medroxyprogesterone acetate may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Medroxyprogesterone acetate.]
[L04AC11, siltuximab, The metabolism of Medroxyprogesterone acetate can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Medroxyprogesterone acetate.]
[B01AC26, vorapaxar, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Medroxyprogesterone acetate.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Medroxyprogesterone acetate.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Medroxyprogesterone acetate.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Medroxyprogesterone acetate.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Medroxyprogesterone acetate.]
[J01XA05, oritavancin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Medroxyprogesterone acetate.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Medroxyprogesterone acetate.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Medroxyprogesterone acetate.]
[S03AA06, gentamicin, Medroxyprogesterone acetate may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Medroxyprogesterone acetate.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Medroxyprogesterone acetate.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Edoxaban.]
[B06AC01, C1 esterase inhibitor (human), The risk or severity of thromboembolism can be increased when Medroxyprogesterone acetate is combined with Human C1-esterase inhibitor.]
[B06AC04, C1 esterase inhibitor (recombinant), The risk or severity of thromboembolism can be increased when Medroxyprogesterone acetate is combined with Conestat alfa.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Medroxyprogesterone acetate.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Medroxyprogesterone acetate.]
[N02BE01, acetaminophen, The metabolism of Medroxyprogesterone acetate can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Cangrelor.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Medroxyprogesterone acetate.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Flibanserin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Medroxyprogesterone acetate.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01EC01, acetazolamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Medroxyprogesterone acetate.]
[D05BB02, acitretin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Acitretin.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Medroxyprogesterone acetate.]
[V03AB37, idarucizumab, Medroxyprogesterone acetate may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Medroxyprogesterone acetate.]
[J02AC05, isavuconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Medroxyprogesterone acetate.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Medroxyprogesterone acetate.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Medroxyprogesterone acetate.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Medroxyprogesterone acetate.]
[V03AB35, sugammadex, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Sugammadex.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Medroxyprogesterone acetate.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Medroxyprogesterone acetate.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Medroxyprogesterone acetate.]
[M04AB05, lesinurad, The metabolism of Medroxyprogesterone acetate can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The metabolism of Medroxyprogesterone acetate can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Medroxyprogesterone acetate can be increased when combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Medroxyprogesterone acetate.]
[N05BA08, bromazepam, Medroxyprogesterone acetate may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Medroxyprogesterone acetate.]
[A02AD05, aluminum magnesium silicate, Medroxyprogesterone acetate may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Medroxyprogesterone acetate.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Medroxyprogesterone acetate.]
[A05AA04, obeticholic acid, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Medroxyprogesterone acetate.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Medroxyprogesterone acetate.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Medroxyprogesterone acetate.]
[L01XX27, arsenic trioxide, Medroxyprogesterone acetate may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Medroxyprogesterone acetate.]
[M02AA03, clofezone, Medroxyprogesterone acetate may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Medroxyprogesterone acetate.]
[J01CE04, azidocillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Azidocillin.]
