[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[N03AX14, levetiracetam, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Chloroquine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Chloroquine.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Chloroquine.]
[M05BA05, tiludronic acid, Chloroquine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Chloroquine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Chloroquine.]
[A02BC04, rabeprazole, Chloroquine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Chloroquine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Chloroquine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Chloroquine.]
[J01DH04, doripenem, Chloroquine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Chloroquine.]
[J02AC03, voriconazole, The metabolism of Chloroquine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Chloroquine.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Chloroquine.]
[M01CB03, auranofin, Chloroquine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Chloroquine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Chloroquine.]
[H02AB11, prednylidene, The metabolism of Chloroquine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Chloroquine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Chloroquine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Chloroquine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Chloroquine.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Chloroquine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Chloroquine.]
[G04BD12, mirabegron, The serum concentration of Chloroquine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Chloroquine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Chloroquine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Chloroquine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Chloroquine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Chloroquine can be decreased when combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Chloroquine.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Chloroquine.]
[D02BA02, octinoxate, Chloroquine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Chloroquine can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Chloroquine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Chloroquine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Chloroquine.]
[N03AX22, perampanel, The therapeutic efficacy of Perampanel can be decreased when used in combination with Chloroquine.]
[G04BD10, darifenacin, The metabolism of Chloroquine can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Chloroquine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Chloroquine can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Chloroquine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Chloroquine.]
[V08CA11, gadofosveset, Chloroquine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Chloroquine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Chloroquine.]
[A16AX08, teduglutide, Chloroquine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Chloroquine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Chloroquine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Chloroquine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Chloroquine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Chloroquine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium orotate.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Chloroquine.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Chloroquine.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Chloroquine.]
[L03AA12, ancestim, Chloroquine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Chloroquine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Chloroquine can be decreased when combined with Everolimus.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium aspartate.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Chloroquine.]
[L01EC02, dabrafenib, The serum concentration of Chloroquine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Chloroquine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Chloroquine.]
[V09AX05, florbetapir F-18, Chloroquine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Chloroquine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Chloroquine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Chloroquine.]
[A10BJ03, lixisenatide, Chloroquine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Chloroquine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Chloroquine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Chloroquine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The therapeutic efficacy of Eslicarbazepine can be decreased when used in combination with Chloroquine.]
[J05AP05, simeprevir, The metabolism of Chloroquine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Chloroquine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Chloroquine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Chloroquine.]
[C01CA27, droxidopa, Chloroquine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Chloroquine.]
[N05CH03, tasimelteon, Chloroquine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Chloroquine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Chloroquine can be increased when combined with Apremilast.]
[L02BG02, formestane, Chloroquine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Chloroquine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Chloroquine.]
[V03AB34, fomepizole, Chloroquine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Chloroquine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Chloroquine.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Chloroquine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Chloroquine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Chloroquine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Acepromazine.]
[N04AA02, biperiden, The metabolism of Chloroquine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Chloroquine.]
[S03AA06, gentamicin, Chloroquine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Chloroquine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Chloroquine.]
[B01AF03, edoxaban, Chloroquine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Chloroquine.]
[L04AC10, secukinumab, The metabolism of Chloroquine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Chloroquine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Chloroquine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Chloroquine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Chloroquine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Chloroquine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Chloroquine.]
[A04AD14, rolapitant, The metabolism of Chloroquine can be decreased when combined with Rolapitant.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB07, acetophenazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Acetophenazine.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Chloroquine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Chloroquine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Chloroquine.]
[J02AC05, isavuconazole, The metabolism of Chloroquine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chloroquine.]
[L01XG03, ixazomib, Chloroquine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Chloroquine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Chloroquine.]
[M04AB05, lesinurad, Chloroquine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Chloroquine.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Chloroquine.]
[L01XX52, venetoclax, The metabolism of Chloroquine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Chloroquine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Chloroquine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Chloroquine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Chloroquine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Chloroquine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Chloroquine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Chloroquine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Artemether.]
[M02AA03, clofezone, Chloroquine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Chloroquine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Chloroquine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Chloroquine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Chloroquine.]
[L01EF02, ribociclib, The metabolism of Chloroquine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[A06AH05, naldemedine, Chloroquine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Chloroquine.]
[N02BF02, pregabalin, The therapeutic efficacy of Pregabalin can be decreased when used in combination with Chloroquine.]
[N03AX30, beclamide, The therapeutic efficacy of Beclamide can be decreased when used in combination with Chloroquine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P01CA02, benznidazole, Chloroquine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Chloroquine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Chloroquine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Chloroquine.]
[L04AB02, infliximab, The metabolism of Chloroquine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Chloroquine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Chloroquine.]
