[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[N05AC02, thioridazine, The risk or severity of CNS depression can be increased when Thioridazine is combined with Eszopiclone.]
[N05AF04, thiothixene, The risk or severity of CNS depression can be increased when Thiothixene is combined with Eszopiclone.]
[G04BE06, moxisylyte, Eszopiclone may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of CNS depression can be increased when Tiapride is combined with Eszopiclone.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of CNS depression can be increased when Tilidine is combined with Eszopiclone.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[P01AB02, tinidazole, Eszopiclone may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Eszopiclone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Eszopiclone may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Eszopiclone.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of CNS depression can be increased when Tolperisone is combined with Eszopiclone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Tramadol is combined with Eszopiclone.]
[N06AF04, tranylcypromine, The risk or severity of CNS depression can be increased when Tranylcypromine is combined with Eszopiclone.]
[N06AX05, trazodone, The risk or severity of CNS depression can be increased when Trazodone is combined with Eszopiclone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Eszopiclone.]
[S01BA05, triamcinolone, The serum concentration of Eszopiclone can be decreased when it is combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of CNS depression can be increased when Triazolam is combined with Eszopiclone.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Eszopiclone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of CNS depression can be increased when Trifluoperazine is combined with Eszopiclone.]
[S01AD02, trifluridine, Eszopiclone may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of CNS depression can be increased when Trifluperidol is combined with Eszopiclone.]
[N05AA05, triflupromazine, The risk or severity of CNS depression can be increased when Triflupromazine is combined with Eszopiclone.]
[N04AA01, trihexyphenidyl, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The serum concentration of Eszopiclone can be decreased when it is combined with Mometasone.]
[A03AA05, trimebutine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of CNS depression can be increased when Alimemazine is combined with Eszopiclone.]
[N03AC02, trimethadione, The risk or severity of CNS depression can be increased when Trimethadione is combined with Eszopiclone.]
[J01EA01, trimethoprim, The metabolism of Eszopiclone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of CNS depression can be increased when Trimipramine is combined with Eszopiclone.]
[R06AX07, triprolidine, The risk or severity of CNS depression can be increased when Triprolidine is combined with Eszopiclone.]
[A03BB01, butylscopolamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The serum concentration of Eszopiclone can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of CNS depression can be increased when Vilazodone is combined with Eszopiclone.]
[N06AX02, tryptophan, The risk or severity of CNS depression can be increased when Tryptophan is combined with Eszopiclone.]
[M03AA02, tubocurarine, The risk or severity of CNS depression can be increased when Tubocurarine is combined with Eszopiclone.]
[R03DX07, roflumilast, Eszopiclone may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Eszopiclone may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Eszopiclone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Eszopiclone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Eszopiclone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Eszopiclone can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Eszopiclone can be increased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Eszopiclone can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Eszopiclone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of CNS depression can be increased when Ezogabine is combined with Eszopiclone.]
[B01AF01, rivaroxaban, Eszopiclone may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Eszopiclone can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Eszopiclone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The risk or severity of CNS depression can be increased when Viloxazine is combined with Eszopiclone.]
[L01CA01, vinblastine, The serum concentration of Eszopiclone can be decreased when it is combined with Vinblastine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A11HA03, vitamin E, The serum concentration of Eszopiclone can be decreased when it is combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Eszopiclone can be decreased when it is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Eszopiclone can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Eszopiclone.]
[N05AF05, zuclopenthixol, The risk or severity of CNS depression can be increased when Zuclopenthixol is combined with Eszopiclone.]
[J05AE02, indinavir, The serum concentration of Eszopiclone can be increased when it is combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of CNS depression can be increased when Levetiracetam is combined with Eszopiclone.]
[L01EC01, vemurafenib, The serum concentration of Eszopiclone can be decreased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Eszopiclone can be decreased when combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Eszopiclone may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Eszopiclone may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Eszopiclone can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Eszopiclone can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Eszopiclone can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of CNS depression can be increased when Ziprasidone is combined with Eszopiclone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Eszopiclone may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Eszopiclone may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Eszopiclone may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The serum concentration of Eszopiclone can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of CNS depression can be increased when Atracurium is combined with Eszopiclone.]
[S01FA01, atropine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Eszopiclone may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[R07AX02, ivacaftor, The metabolism of Eszopiclone can be decreased when combined with Ivacaftor.]
[B03XA04, peginesatide, Eszopiclone may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Eszopiclone may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Eszopiclone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Eszopiclone may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Eszopiclone.]
[M03BX01, baclofen, The risk or severity of CNS depression can be increased when Baclofen is combined with Eszopiclone.]
[A08AA11, lorcaserin, The risk or severity of CNS depression can be increased when Lorcaserin is combined with Eszopiclone.]
[G04BD12, mirabegron, Eszopiclone may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The serum concentration of Eszopiclone can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Eszopiclone can be increased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Eszopiclone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Eszopiclone can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Eszopiclone can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Eszopiclone can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of CNS depression can be increased when Barbital is combined with Eszopiclone.]
[D02BA02, octinoxate, Eszopiclone may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The serum concentration of Eszopiclone can be increased when it is combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Eszopiclone.]
[N04BD02, rasagiline, The risk or severity of CNS depression can be increased when Rasagiline is combined with Eszopiclone.]
[A03FA09, mosapride, The risk or severity of CNS depression can be increased when Mosapride is combined with Eszopiclone.]
[N06DA02, donepezil, The risk or severity of CNS depression can be increased when Donepezil is combined with Eszopiclone.]
[N03AX22, perampanel, The risk or severity of CNS depression can be increased when Perampanel is combined with Eszopiclone.]
[N02CC03, zolmitriptan, The risk or severity of CNS depression can be increased when Zolmitriptan is combined with Eszopiclone.]
[R06AC06, thonzylamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Eszopiclone may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of CNS depression can be increased when Diethyl ether is combined with Eszopiclone.]
[L01EX07, cabozantinib, The metabolism of Eszopiclone can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The metabolism of Eszopiclone can be decreased when combined with Pasireotide.]
[V08CA11, gadofosveset, Eszopiclone may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Eszopiclone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Eszopiclone.]
[A16AX08, teduglutide, Eszopiclone may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Eszopiclone can be decreased when combined with Lomitapide.]
[A10BH04, alogliptin, Eszopiclone may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The serum concentration of Eszopiclone can be decreased when it is combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of CNS depression can be increased when Pomalidomide is combined with Eszopiclone.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of CNS depression can be increased when Benperidol is combined with Eszopiclone.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The metabolism of Eszopiclone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of CNS depression can be increased when Benzocaine is combined with Eszopiclone.]
[L03AA12, ancestim, Eszopiclone may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Eszopiclone.]
[N02CC02, naratriptan, The risk or severity of CNS depression can be increased when Naratriptan is combined with Eszopiclone.]
[L04AA18, everolimus, The metabolism of Eszopiclone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Eszopiclone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01EE01, trametinib, The serum concentration of Eszopiclone can be decreased when it is combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of CNS depression can be increased when Benzyl alcohol is combined with Eszopiclone.]
[V09AX05, florbetapir F-18, Eszopiclone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of CNS depression can be increased when Levomilnacipran is combined with Eszopiclone.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Eszopiclone.]
[A10BJ03, lixisenatide, Eszopiclone may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Eszopiclone may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of CNS depression can be increased when Vortioxetine is combined with Eszopiclone.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of CNS depression can be increased when Eslicarbazepine is combined with Eszopiclone.]
[J05AP05, simeprevir, The metabolism of Eszopiclone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Eszopiclone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of CNS depression can be increased when Vigabatrin is combined with Eszopiclone.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Eszopiclone may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of CNS depression can be increased when Tasimelteon is combined with Eszopiclone.]
[A16AA07, metreleptin, The metabolism of Eszopiclone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Eszopiclone can be increased when combined with Apremilast.]
[L02BG02, formestane, The serum concentration of Eszopiclone can be decreased when it is combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Eszopiclone can be decreased when it is combined with Betamethasone.]
[V03AB34, fomepizole, Eszopiclone may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Eszopiclone can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The serum concentration of Eszopiclone can be decreased when it is combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Eszopiclone can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[L01EM01, idelalisib, The metabolism of Eszopiclone can be decreased when combined with Idelalisib.]
[N01AX05, alfaxalone, The risk or severity of CNS depression can be increased when Alfaxalone is combined with Eszopiclone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Eszopiclone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[D11AA01, glycopyrronium, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05CM19, suvorexant, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The serum concentration of Eszopiclone can be decreased when it is combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of CNS depression can be increased when Acepromazine is combined with Eszopiclone.]
[A06AH03, naloxegol, The risk or severity of respiratory depression can be increased when Naloxegol is combined with Eszopiclone.]
[N04AA02, biperiden, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, Eszopiclone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Eszopiclone.]
[L01XK01, olaparib, The metabolism of Eszopiclone can be decreased when combined with Olaparib.]
[B01AF03, edoxaban, Eszopiclone may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of CNS depression can be increased when Mirtazapine is combined with Eszopiclone.]
[L04AC10, secukinumab, The metabolism of Eszopiclone can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Eszopiclone can be decreased when combined with Palbociclib.]
[N02BE01, acetaminophen, The serum concentration of Eszopiclone can be decreased when it is combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A03AA09, difemerine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Eszopiclone can be decreased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of respiratory depression can be increased when Eluxadoline is combined with Eszopiclone.]
[N05AX16, brexpiprazole, The risk or severity of CNS depression can be increased when Brexpiprazole is combined with Eszopiclone.]
[G02CX02, flibanserin, The risk or severity of CNS depression can be increased when Flibanserin is combined with Eszopiclone.]
[N05AX15, cariprazine, The risk or severity of CNS depression can be increased when Cariprazine is combined with Eszopiclone.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of CNS depression can be increased when Acetazolamide is combined with Eszopiclone.]
[N05AB07, acetophenazine, The risk or severity of CNS depression can be increased when Acetophenazine is combined with Eszopiclone.]
[A02BC03, lansoprazole, The serum concentration of Eszopiclone can be decreased when it is combined with Lansoprazole.]
[V03AB37, idarucizumab, Eszopiclone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Eszopiclone can be decreased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Eszopiclone.]
[L01XG03, ixazomib, Eszopiclone may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Eszopiclone.]
[M04AB05, lesinurad, Eszopiclone may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Eszopiclone can be decreased when combined with Elbasvir.]
[N05CA05, aprobarbital, The risk or severity of CNS depression can be increased when Aprobarbital is combined with Eszopiclone.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of CNS depression can be increased when Brivaracetam is combined with Eszopiclone.]
[L01XX52, venetoclax, The metabolism of Eszopiclone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of CNS depression can be increased when Bromazepam is combined with Eszopiclone.]
[N04BC01, bromocriptine, The risk or severity of CNS depression can be increased when Bromocriptine is combined with Eszopiclone.]
[A02AD05, aluminum magnesium silicate, Eszopiclone may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of CNS depression can be increased when Alverine is combined with Eszopiclone.]
[R06AB01, brompheniramine, The risk or severity of CNS depression can be increased when Dexbrompheniramine is combined with Eszopiclone.]
[N06AA19, amineptin, The risk or severity of CNS depression can be increased when Amineptine is combined with Eszopiclone.]
[N06BX11, aniracetam, The risk or severity of CNS depression can be increased when Aniracetam is combined with Eszopiclone.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of CNS depression can be increased when Bupivacaine is combined with Eszopiclone.]
[N07BC01, buprenorphine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of CNS depression can be increased when Buspirone is combined with Eszopiclone.]
[L01XX27, arsenic trioxide, Eszopiclone may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The serum concentration of Eszopiclone can be decreased when it is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Eszopiclone can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of CNS depression can be increased when Butorphanol is combined with Eszopiclone.]
[S01GX07, azelastine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Eszopiclone can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The serum concentration of Eszopiclone can be increased when it is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[A06AH05, naldemedine, Eszopiclone may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Eszopiclone is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Eszopiclone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of CNS depression can be increased when Beclamide is combined with Eszopiclone.]
[S01HA02, benoxinate, The risk or severity of CNS depression can be increased when Oxybuprocaine is combined with Eszopiclone.]
[D05AX03, calcitriol, The serum concentration of Eszopiclone can be decreased when it is combined with Calcitriol.]
[P01CA02, benznidazole, Eszopiclone may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Eszopiclone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Eszopiclone can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, Eszopiclone may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Eszopiclone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of Eszopiclone can be increased when it is combined with Midostaurin.]
[L01ED04, brigatinib, The serum concentration of Eszopiclone can be decreased when it is combined with Brigatinib.]
[N04BD03, safinamide, The risk or severity of CNS depression can be increased when Safinamide is combined with Eszopiclone.]
[L04AC14, sarilumab, The serum concentration of Eszopiclone can be decreased when it is combined with Sarilumab.]
[J01MA23, delafloxacin, The serum concentration of Eszopiclone can be decreased when it is combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Eszopiclone can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, Eszopiclone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Eszopiclone can be decreased when it is combined with Enasidenib.]
[C07AB07, bisoprolol, Eszopiclone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of CNS depression can be increased when Efavirenz is combined with Eszopiclone.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N04AA11, bornaprine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
