[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Interferon alfa-2a.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Interferon alfa-2a.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Interferon alfa-2a.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Interferon alfa-2a.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfa-2a.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Trifluridine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mometasone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Interferon alfa-2a.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Belimumab.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Interferon alfa-2a.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Interferon alfa-2a.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Interferon alfa-2a.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Interferon alfa-2a.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vindesine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Interferon alfa-2a.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Interferon alfa-2a.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Zidovudine.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Interferon alfa-2a.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Alemtuzumab.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Interferon alfa-2a.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Interferon alfa-2a.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Rituximab.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Interferon alfa-2a.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Interferon alfa-2a.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Gemcitabine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Interferon alfa-2a.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Gemtuzumab ozogamicin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Interferon alfa-2a.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Interferon alfa-2a.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Aldosterone.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Interferon alfa-2a.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Interferon alfa-2a.]
[L04AA29, tofacitinib, Interferon alfa-2a may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Interferon alfa-2a.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Interferon alfa-2a.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Interferon alfa-2a.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Everolimus.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Interferon alfa-2a may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ibrutinib.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Interferon alfa-2a.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Interferon alfa-2a.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Interferon alfa-2a.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Interferon alfa-2a.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Interferon alfa-2a.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Interferon alfa-2a.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Interferon alfa-2a.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Interferon alfa-2a.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Interferon alfa-2a.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Interferon alfa-2a.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bleomycin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Interferon alfa-2a.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Interferon alfa-2a.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mepolizumab.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ixekizumab.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Interferon alfa-2a.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Levobupivacaine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Arsenic trioxide.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Interferon alfa-2a.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Interferon alfa-2a.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Brodalumab.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Interferon alfa-2a.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ocrelizumab.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Interferon alfa-2a.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Daclizumab.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Linezolid.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Interferon alfa-2a.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Interferon alfa-2a.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Interferon alfa-2a.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Basiliximab.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Raltitrexed.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Interferon alfa-2a.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Interferon alfa-2a.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Capsaicin.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Interferon alfa-2a.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Interferon alfa-2a.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Baricitinib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Interferon alfa-2a.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Interferon alfa-2a.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Interferon alfa-2a.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Carmustine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Interferon alfa-2a.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Interferon alfa-2a.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Interferon alfa-2a.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Siponimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Interferon alfa-2a.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Risankizumab.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon alfa-2a.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Upadacitinib.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Interferon alfa-2a.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Interferon alfa-2a.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Trastuzumab emtansine.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Interferon alfa-2a.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Diroximel fumarate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Teprotumumab.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Interferon alfa-2a.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Interferon alfa-2a.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Interferon alfa-2a.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bexarotene.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Chlorambucil.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Interferon alfa-2a.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Interferon alfa-2a is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Stepronin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Satralizumab.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Interferon alfa-2a.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Interferon alfa-2a.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Interferon alfa-2a.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Fludarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Voclosporin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Interferon alfa-2a.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Interferon alfa-2a.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Interferon alfa-2a.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cisplatin.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Interferon alfa-2a.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Anifrolumab.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Interferon alfa-2a.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Interferon alfa-2a.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Interferon alfa-2a.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Interferon alfa-2a.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Interferon alfa-2a is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Interferon alfa-2a.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Interferon alfa-2a.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Interferon alfa-2a.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Interferon alfa-2a.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Interferon alfa-2a.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Interferon alfa-2a.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Alefacept.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Interferon alfa-2a.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Interferon alfa-2a may increase the immunosuppressive activities of Cyclosporine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Interferon alfa-2a.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Interferon alfa-2a.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Daunorubicin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Interferon alfa-2a.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Interferon alfa-2a.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Interferon alfa-2a.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Interferon alfa-2a.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Oxaliplatin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Interferon alfa-2a.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Adalimumab.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Interferon alfa-2a.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Interferon alfa-2a.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Interferon alfa-2a.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Interferon alfa-2a.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Interferon alfa-2a.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pirarubicin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Difluocortolone.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Interferon alfa-2a.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pegaspargase.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Lenalidomide.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Pramocaine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Interferon alfa-2a.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Interferon alfa-2a.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Interferon alfa-2a.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Interferon alfa-2a.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Sirolimus.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Interferon alfa-2a.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Natalizumab.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Interferon alfa-2a.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Efalizumab.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Ropivacaine.]
