[S02DA03, antipyrine, The metabolism of Ozanimod can be decreased when combined with Antipyrine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Ozanimod.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Ozanimod.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ozanimod.]
[L01EC01, vemurafenib, Vemurafenib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Brentuximab vedotin is combined with Ozanimod.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Ozanimod.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Ozanimod.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Ozanimod.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Ozanimod.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Ozanimod is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Ozanimod.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ozanimod.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Ozanimod.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Ozanimod.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Ozanimod.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Ozanimod.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L02BB04, enzalutamide, The metabolism of Ozanimod can be decreased when combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Bosutinib is combined with Ozanimod.]
[L04AA31, teriflunomide, Teriflunomide may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Ozanimod.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Ozanimod.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ozanimod.]
[L04AA29, tofacitinib, Ozanimod may increase the immunosuppressive activities of Tofacitinib.]
[L01EX07, cabozantinib, The metabolism of Ozanimod can be decreased when combined with Cabozantinib.]
[L01EA05, ponatinib, Ponatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[B01AF02, apixaban, The metabolism of Ozanimod can be decreased when combined with Apixaban.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ozanimod.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Ozanimod.]
[A06AX06, tegaserod, The metabolism of Ozanimod can be decreased when combined with Tegaserod.]
[M01AH01, celecoxib, The metabolism of Ozanimod can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Ozanimod.]
[L01EC02, dabrafenib, The metabolism of Ozanimod can be decreased when combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Ozanimod can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Ozanimod can be decreased when combined with Benzyl alcohol.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Ozanimod can be decreased when combined with Levomilnacipran.]
[C02KX05, riociguat, The metabolism of Ozanimod can be decreased when combined with Riociguat.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ozanimod.]
[N06AX26, vortioxetine, The metabolism of Ozanimod can be decreased when combined with Vortioxetine.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Apremilast is combined with Ozanimod.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Ozanimod.]
[C10AB02, bezafibrate, The metabolism of Ozanimod can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Ozanimod.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Ozanimod.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Ozanimod.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Idelalisib is combined with Ozanimod.]
[N07XX08, tafamidis, Tafamidis may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[R03AC19, olodaterol, The metabolism of Ozanimod can be decreased when combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Peginterferon beta-1a is combined with Ozanimod.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Ozanimod.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ozanimod.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Ozanimod.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Olaparib is combined with Ozanimod.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Ozanimod.]
[L01EF01, palbociclib, Palbociclib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Ozanimod.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Ozanimod.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Ozanimod.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Ozanimod.]
[J02AC05, isavuconazole, Isavuconazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EB04, osimertinib, Osimertinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Ozanimod can be decreased when combined with Selexipag.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ixekizumab is combined with Ozanimod.]
[L01XX52, venetoclax, Venetoclax may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N07BC01, buprenorphine, Buprenorphine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Ozanimod.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Ozanimod.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Ozanimod can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, Rucaparib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Brodalumab is combined with Ozanimod.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Ocrelizumab is combined with Ozanimod.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Ozanimod.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Ozanimod.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Ozanimod.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ozanimod.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Guselkumab is combined with Ozanimod.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ozanimod.]
[L01XX59, enasidenib, Enasidenib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Ozanimod.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Ozanimod can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Ozanimod.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Ozanimod.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Ozanimod.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Ozanimod can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ozanimod.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Ozanimod.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Baricitinib is combined with Ozanimod.]
[H01CC03, elagolix, The metabolism of Ozanimod can be decreased when combined with Elagolix.]
[N03AX17, stiripentol, Stiripentol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Ozanimod can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, Dacomitinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Ozanimod.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ravulizumab is combined with Ozanimod.]
[P02BX04, triclabendazole, The metabolism of Ozanimod can be decreased when combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Siponimod is combined with Ozanimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Ozanimod is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Ozanimod can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Ozanimod.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Ozanimod is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Ozanimod can be decreased when combined with Alpelisib.]
[L02BB06, darolutamide, Darolutamide may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Ozanimod is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Deflazacort is combined with Ozanimod.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Ozanimod.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Ozanimod.]
[N02CC08, lasmiditan, Lasmiditan may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Ozanimod is combined with Diroximel fumarate.]
[N03AX25, cenobamate, The metabolism of Ozanimod can be increased when combined with Cenobamate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Ozanimod.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Antilymphocyte immunoglobulin (horse) is combined with Ozanimod.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The metabolism of Ozanimod can be decreased when combined with Selumetinib.]
[M01AH02, rofecoxib, The metabolism of Ozanimod can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Ozanimod.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Ozanimod.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Ozanimod.]
[L01EH03, tucatinib, The metabolism of Ozanimod can be decreased when combined with Tucatinib.]
[L01EX17, capmatinib, Capmatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Ozanimod.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Ozanimod can be increased when it is combined with Selpercatinib.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Ozanimod is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Ozanimod.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Ozanimod can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Ozanimod.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Voclosporin is combined with Ozanimod.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Ozanimod.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Ozanimod.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Ponesimod is combined with Ozanimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Ozanimod.]
[A02BA01, cimetidine, The metabolism of Ozanimod can be decreased when combined with Cimetidine.]
[L01XX73, sotorasib, The serum concentration of Ozanimod can be increased when it is combined with Sotorasib.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Ozanimod.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Ozanimod is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Ozanimod.]
[L04AA48, belumosudil, Belumosudil may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Anifrolumab is combined with Ozanimod.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Ozanimod is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[B06AX04, mitapivat, The metabolism of Ozanimod can be increased when combined with Mitapivat.]
[L01EJ03, pacritinib, Pacritinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[J02AC06, oteseconazole, Oteseconazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Ozanimod is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Ozanimod can be increased when it is combined with Linzagolix.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Ozanimod is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ozanimod.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Ozanimod.]
[N02CC05, almotriptan, The metabolism of Ozanimod can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EA01, imatinib, Imatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Ozanimod can be decreased when combined with Loratadine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Meprednisone is combined with Ozanimod.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Ozanimod.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Ozanimod.]
[S01XA18, cyclosporine, Ozanimod may increase the immunosuppressive activities of Cyclosporine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Ozanimod.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ozanimod.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Ozanimod.]
[J04BA02, dapsone, The metabolism of Ozanimod can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Ozanimod.]
[L02BB02, nilutamide, The metabolism of Ozanimod can be decreased when combined with Nilutamide.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Ozanimod.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Ozanimod.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ozanimod.]
[S03BA01, dexamethasone, Dexamethasone may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[G04BD04, oxybutynin, The metabolism of Ozanimod can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Ozanimod.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N03AC01, paramethadione, The metabolism of Ozanimod can be decreased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Ozanimod can be decreased when combined with Clopidogrel.]
[S01BC03, diclofenac, The metabolism of Ozanimod can be decreased when combined with Diclofenac.]
[A10BG03, pioglitazone, The metabolism of Ozanimod can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Ozanimod.]
[L01EB02, erlotinib, The metabolism of Ozanimod can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pirarubicin is combined with Ozanimod.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Difluocortolone is combined with Ozanimod.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Ozanimod.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Ozanimod.]
[J05AE08, atazanavir, The metabolism of Ozanimod can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Ozanimod can be decreased when combined with Treprostinil.]
[C08DB01, diltiazem, The metabolism of Ozanimod can be decreased when combined with Diltiazem.]
[A03FA02, cisapride, The metabolism of Ozanimod can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Ozanimod.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Ozanimod is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Ozanimod can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ozanimod can be increased when combined with Rifapentine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Ozanimod.]
[L01EX01, sunitinib, Sunitinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ozanimod.]
[S01BC05, ketorolac, The metabolism of Ozanimod can be decreased when combined with Ketorolac.]
[R03AC12, salmeterol, The metabolism of Ozanimod can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Ozanimod can be decreased when combined with Domperidone.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Ozanimod.]
[C10AA01, simvastatin, The metabolism of Ozanimod can be decreased when combined with Simvastatin.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Ozanimod.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Ozanimod.]
[D01BA02, terbinafine, The metabolism of Ozanimod can be decreased when combined with Terbinafine.]
[C03CA04, torsemide, The metabolism of Ozanimod can be decreased when combined with Torasemide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Ozanimod.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Ozanimod is combined with Trofosfamide.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ozanimod.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Ozanimod which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ozanimod.]
[N05CF01, zopiclone, The metabolism of Ozanimod can be decreased when combined with Zopiclone.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Ozanimod.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Ozanimod.]
[G03CC04, estrone, Estrone may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The metabolism of Ozanimod can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Ozanimod can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Ozanimod can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Ozanimod can be decreased when combined with Ethinylestradiol.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Ozanimod.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Ozanimod.]
