[P02BB01, trichlorfon, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Metrifonate.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B02AB01, aprotinin, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, Flavoxate may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01AA12, tobramycin, Flavoxate may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AX02, tramadol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Flavoxate may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Flavoxate.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Flavoxate.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Flavoxate.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03DX07, roflumilast, Flavoxate may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Flavoxate may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Tyrothricin.]
[R02AA14, oxyquinoline, Flavoxate may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Flavoxate may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B01AF01, rivaroxaban, Flavoxate may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Indacaterol.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B01AA03, warfarin, Flavoxate may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B06AC02, icatibant, Flavoxate may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Flavoxate may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Flavoxate may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Flavoxate.]
[J01DH04, doripenem, Flavoxate may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Flavoxate.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B03XA04, peginesatide, Flavoxate may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Flavoxate is combined with Mirabegron.]
[L02BB04, enzalutamide, Flavoxate may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Flavoxate.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Octopamine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[D02BA02, octinoxate, Flavoxate may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06DA02, donepezil, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Flavoxate.]
[V09IX04, fluorodeoxyglucose F18, Flavoxate may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V08CA11, gadofosveset, Flavoxate may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Flavoxate may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Flavoxate may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Flavoxate may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Flavoxate.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Flavoxate.]
[L03AA12, ancestim, Flavoxate may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Flavoxate.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01EE01, trametinib, Flavoxate may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V09AX05, florbetapir F-18, Flavoxate may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BJ03, lixisenatide, Flavoxate may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Flavoxate may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AP08, sofosbuvir, Flavoxate may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Flavoxate may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L04AA32, apremilast, Flavoxate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Flavoxate may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Betaine.]
[V03AB34, fomepizole, Flavoxate may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Flavoxate.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Flavoxate.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03AC19, olodaterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Flavoxate is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V04CX03, methacholine, Flavoxate may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Flavoxate.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Flavoxate.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Flavoxate.]
[S03AA06, gentamicin, Flavoxate may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Flavoxate may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Flavoxate is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Flavoxate.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V03AB37, idarucizumab, Flavoxate may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flavoxate.]
[L01XG03, ixazomib, Flavoxate may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Flavoxate may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A02AD05, aluminum magnesium silicate, Flavoxate may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[L01XX27, arsenic trioxide, Flavoxate may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[N06DA03, rivastigmine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Rivastigmine.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Flavoxate is combined with Butorphanol.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Flavoxate.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R03CC12, bambuterol, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Bambuterol.]
[A06AH05, naldemedine, Flavoxate may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Flavoxate may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[P01CA02, benznidazole, Flavoxate may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07XX13, valbenazine, Flavoxate may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01MA23, delafloxacin, Flavoxate may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Bitolterol is combined with Flavoxate.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Flavoxate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01BX04, capsaicin, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AX18, acrivastine, Flavoxate may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Flavoxate.]
[L02BB05, apalutamide, Flavoxate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Flavoxate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Flavoxate.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AX24, cannabidiol, The risk or severity of Tachycardia and drowsiness can be increased when Flavoxate is combined with Cannabidiol.]
[L04AA37, baricitinib, Flavoxate may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01GB14, plazomicin, Flavoxate may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Flavoxate may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[D08AE05, chloroxylenol, Flavoxate may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Flavoxate is combined with Revefenacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Flavoxate.]
[B01AC23, cilostazol, Flavoxate may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
