[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Epirubicin.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Aldosterone.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Epirubicin.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Bendamustine.]
[L04AA29, tofacitinib, Epirubicin may increase the immunosuppressive activities of Tofacitinib.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Epirubicin.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Epirubicin.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dimethyl fumarate.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Epirubicin is combined with Everolimus.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Benzyl alcohol.]
[L03AA14, lipegfilgrastim, Epirubicin may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ibrutinib.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Epirubicin is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Epirubicin.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Epirubicin.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Epirubicin.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Epirubicin.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Epirubicin is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Epirubicin is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Epirubicin.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Epirubicin.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Epirubicin is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Epirubicin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Epirubicin.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Epirubicin.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mepolizumab.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ixekizumab.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Bupivacaine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Epirubicin is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Arsenic trioxide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Brodalumab.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Epirubicin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Epirubicin.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Epirubicin is combined with Linezolid.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Epirubicin.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Epirubicin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Capecitabine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Epirubicin is combined with Vorinostat.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Epirubicin.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Epirubicin.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Epirubicin.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Epirubicin.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Epirubicin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Capsaicin.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Epirubicin.]
[N03AX24, cannabidiol, The metabolism of Epirubicin can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Baricitinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Chloroprocaine.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Epirubicin.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Epirubicin.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Epirubicin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Epirubicin is combined with Siponimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Epirubicin.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Risankizumab.]
[L01EX15, pexidartinib, Epirubicin may increase the hepatotoxic activities of Pexidartinib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Upadacitinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Epirubicin.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Epirubicin is combined with Deflazacort.]
[L01FD01, trastuzumab, The risk or severity of cardiotoxicity can be increased when Trastuzumab is combined with Epirubicin.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Diroximel fumarate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Teprotumumab.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ozanimod.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Epirubicin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Epirubicin.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Epirubicin is combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Epirubicin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Epirubicin is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Stepronin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Satralizumab.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Epirubicin.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fludarabine.]
[L01FD06, margetuximab, The risk or severity of cardiotoxicity can be increased when Margetuximab is combined with Epirubicin.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Voclosporin.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Epirubicin.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Epirubicin.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Epirubicin.]
[A02BA01, cimetidine, The serum concentration of Epirubicin can be increased when it is combined with Cimetidine.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cisplatin.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Epirubicin is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Anifrolumab.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Epirubicin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Levobupivacaine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Deucravacitinib.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Epirubicin is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Epirubicin.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Epirubicin.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Epirubicin.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Epirubicin.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Epirubicin.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Epirubicin.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Epirubicin may increase the immunosuppressive activities of Cyclosporine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cytarabine.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Daunorubicin.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Epirubicin.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Epirubicin.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Epirubicin.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Oxaliplatin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dexamethasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Epirubicin.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Epirubicin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Cinchocaine.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ixabepilone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pirarubicin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Epirubicin.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Epirubicin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Epirubicin.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Lenalidomide.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Pramocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Epirubicin.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Epirubicin.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Epirubicin is combined with Sirolimus.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Natalizumab.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Epirubicin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Epirubicin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Doxorubicin.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Temozolomide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Epirubicin.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Epirubicin is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Epirubicin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Epirubicin.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Antilymphocyte immunoglobulin (horse).]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluocinolone acetonide.]
[M01AG01, mefenamic acid, The metabolism of Epirubicin can be decreased when combined with Mefenamic acid.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Epirubicin.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Epirubicin.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Estramustine.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluticasone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Epirubicin.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Epirubicin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Epirubicin.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Epirubicin.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Epirubicin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Epirubicin.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fludrocortisone.]
[N05CD03, flunitrazepam, The metabolism of Epirubicin can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Epirubicin.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Epirubicin.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Epirubicin is combined with Fluorouracil.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Epirubicin.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dasatinib.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Epirubicin.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Epirubicin.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Epirubicin is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Epirubicin.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Epirubicin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Altretamine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Epirubicin.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Epirubicin.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Epirubicin.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Epirubicin is combined with Hydroxyurea.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Epirubicin.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ifosfamide.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Epirubicin is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Epirubicin is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Epirubicin is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Epirubicin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Epirubicin.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Epirubicin.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Articaine.]
