[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Busulfan.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Busulfan is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Busulfan can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Busulfan can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Busulfan can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Busulfan can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Busulfan can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Busulfan can be increased when combined with Alpelisib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Upadacitinib.]
[N07XX11, pitolisant, The serum concentration of Busulfan can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Busulfan can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Busulfan can be increased when it is combined with Lefamulin.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Busulfan.]
[J01DB01, cephalexin, The metabolism of Busulfan can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Busulfan can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Busulfan can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Busulfan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Busulfan is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Busulfan can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Busulfan can be decreased when it is combined with Cenobamate.]
[L01XX72, tazemetostat, The metabolism of Busulfan can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Teprotumumab.]
[J05AB16, remdesivir, The metabolism of Busulfan can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Busulfan can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Busulfan can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Busulfan is combined with Ozanimod.]
[M01AH02, rofecoxib, The metabolism of Busulfan can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Busulfan can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Busulfan can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Busulfan can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Busulfan can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Busulfan.]
[S03AA08, chloramphenicol, The metabolism of Busulfan can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Busulfan.]
[D07XB03, fluprednidene, The metabolism of Busulfan can be increased when combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Busulfan.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Busulfan is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Busulfan is combined with Stepronin.]
[R06AX22, ebastine, The metabolism of Busulfan can be decreased when combined with Ebastine.]
[L04AC19, satralizumab, The serum concentration of Busulfan can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The metabolism of Busulfan can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Busulfan.]
[N05AA01, chlorpromazine, The metabolism of Busulfan can be increased when combined with Chlorpromazine.]
[B06AC06, berotralstat, The serum concentration of Busulfan can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Busulfan can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Busulfan is combined with Fludarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Busulfan is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Busulfan can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Busulfan can be increased when combined with Felbamate.]
[R03BA03, flunisolide, The metabolism of Busulfan can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Busulfan can be increased when combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Busulfan is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Busulfan.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Busulfan.]
[A02BA01, cimetidine, The metabolism of Busulfan can be decreased when combined with Cimetidine.]
[L01XX73, sotorasib, The serum concentration of Busulfan can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Busulfan can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Busulfan can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Busulfan.]
[N06AB04, citalopram, The metabolism of Busulfan can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Busulfan is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Busulfan is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Busulfan can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Busulfan is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Busulfan can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Busulfan can be decreased when it is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Busulfan can be decreased when combined with Avacopan.]
[N06AX25, St. John's wort extract, The metabolism of Busulfan can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Busulfan can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Busulfan is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Busulfan can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Busulfan.]
[C10AB01, clofibrate, The metabolism of Busulfan can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Busulfan can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Busulfan can be increased when it is combined with Pacritinib.]
[C01EB24, mavacamten, The serum concentration of Busulfan can be decreased when it is combined with Mavacamten.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Busulfan is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Busulfan is combined with Deucravacitinib.]
[J05AX31, lenacapavir, The metabolism of Busulfan can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Busulfan is combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Busulfan can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Busulfan can be increased when combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Busulfan is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Busulfan is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Busulfan can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Busulfan is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Busulfan.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Busulfan.]
[J02AC02, itraconazole, The metabolism of Busulfan can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Busulfan.]
[N05BA10, ketazolam, The metabolism of Busulfan can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Busulfan can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Busulfan can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Busulfan.]
[S01BA03, cortisone, The metabolism of Busulfan can be increased when combined with Cortisone.]
[C08CA11, manidipine, The metabolism of Busulfan can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Busulfan can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Busulfan can be decreased when combined with Mequitazine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Busulfan.]
