[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Palbociclib.]
[L01EC01, vemurafenib, The serum concentration of Vemurafenib can be increased when it is combined with Palbociclib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Palbociclib.]
[L01ED01, crizotinib, The metabolism of Palbociclib can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Palbociclib.]
[R03DC01, zafirlukast, The metabolism of Palbociclib can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The absorption of Palbociclib can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The metabolism of Palbociclib can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Palbociclib can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Palbociclib.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Palbociclib.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Palbociclib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Palbociclib.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Palbociclib.]
[J02AC03, voriconazole, The metabolism of Palbociclib can be decreased when combined with Voriconazole.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Palbociclib.]
[R07AX02, ivacaftor, The metabolism of Palbociclib can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Palbociclib can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Palbociclib.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Palbociclib.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Palbociclib.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Palbociclib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Palbociclib.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Palbociclib.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Palbociclib.]
[G04BD12, mirabegron, The serum concentration of Mirabegron can be increased when it is combined with Palbociclib.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Palbociclib.]
[V03AX03, cobicistat, The metabolism of Palbociclib can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Palbociclib can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Palbociclib can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Palbociclib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Palbociclib.]
[A02AA05, magnesium silicate, The absorption of Palbociclib can be decreased when combined with Magnesium silicate.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Palbociclib.]
[A02AC02, calcium silicate, The absorption of Palbociclib can be decreased when combined with Calcium silicate.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Palbociclib.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Palbociclib.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Palbociclib.]
[N05CA04, barbital, The metabolism of Palbociclib can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Palbociclib can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Palbociclib.]
[N06DA02, donepezil, Palbociclib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Palbociclib can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Palbociclib.]
[H01CB05, pasireotide, The metabolism of Palbociclib can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be increased when it is combined with Palbociclib.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Palbociclib.]
[B01AF02, apixaban, Palbociclib may decrease the excretion rate of Apixaban which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Palbociclib.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Palbociclib can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Palbociclib.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Palbociclib.]
[A10BK02, canagliflozin, The serum concentration of Canagliflozin can be increased when it is combined with Palbociclib.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Palbociclib.]
[A06AX06, tegaserod, Palbociclib may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Benzocaine.]
[M01AH01, celecoxib, Palbociclib may decrease the excretion rate of Celecoxib which could result in a higher serum level.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Palbociclib.]
[L01EC02, dabrafenib, The serum concentration of Palbociclib can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Palbociclib.]
[J05AJ03, dolutegravir, Palbociclib may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C02KX05, riociguat, Palbociclib may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Palbociclib may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Palbociclib.]
[N03AF04, eslicarbazepine, The metabolism of Palbociclib can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Palbociclib can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Palbociclib may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Palbociclib can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Palbociclib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Palbociclib can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Palbociclib can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Palbociclib can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Palbociclib.]
[L04AC11, siltuximab, The metabolism of Palbociclib can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Palbociclib.]
[B01AC26, vorapaxar, The metabolism of Palbociclib can be decreased when combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Palbociclib.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Palbociclib.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Palbociclib.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Palbociclib.]
[N07XX08, tafamidis, The serum concentration of Palbociclib can be increased when it is combined with Tafamidis.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Palbociclib is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Palbociclib can be decreased when combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Palbociclib.]
[J01XA05, oritavancin, The metabolism of Palbociclib can be increased when combined with Oritavancin.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Palbociclib.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Palbociclib.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Palbociclib.]
[L01EX09, nintedanib, The metabolism of Palbociclib can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Palbociclib.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Palbociclib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Palbociclib.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Palbociclib.]
[N06AX11, mirtazapine, The metabolism of Palbociclib can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Palbociclib can be increased when combined with Secukinumab.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Palbociclib can be decreased when combined with Fusidic acid.]
[L01EX08, lenvatinib, Palbociclib may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Palbociclib.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Palbociclib can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Palbociclib.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Palbociclib.]
[J05AP06, asunaprevir, The metabolism of Palbociclib can be increased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Palbociclib.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Palbociclib.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[A06AD03, magnesium peroxide, The absorption of Palbociclib can be decreased when combined with Magnesium peroxide.]
[S01EC01, acetazolamide, The metabolism of Palbociclib can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The absorption of Palbociclib can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Palbociclib.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Palbociclib.]
[J02AC05, isavuconazole, The metabolism of Palbociclib can be increased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Palbociclib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Palbociclib.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Palbociclib.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Palbociclib.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Palbociclib.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Palbociclib.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Palbociclib.]
[M04AB05, lesinurad, The metabolism of Palbociclib can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[N05CA05, aprobarbital, The metabolism of Palbociclib can be increased when combined with Aprobarbital.]
[A02AB06, aloglutamol, The absorption of Palbociclib can be decreased when combined with Aloglutamol.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Palbociclib.]
[A02AD05, aluminum magnesium silicate, The absorption of Palbociclib can be decreased when combined with Almasilate.]
[A02AB03, aluminum phosphate, The absorption of Palbociclib can be decreased when combined with Aluminium phosphate.]
[N05AX17, pimavanserin, The metabolism of Palbociclib can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Palbociclib can be decreased when combined with Buprenorphine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Palbociclib.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Palbociclib.]
[M02AA03, clofezone, The absorption of Palbociclib can be decreased when combined with Rabeprazole.]
[L01XK03, rucaparib, The metabolism of Palbociclib can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Palbociclib can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Palbociclib can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ocrelizumab.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Palbociclib can be increased when combined with Calcitriol.]
[A12AA04, calcium carbonate, The absorption of Palbociclib can be decreased when combined with Calcium carbonate.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Palbociclib.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Palbociclib.]
[J05AE09, tipranavir, The metabolism of Palbociclib can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Palbociclib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Palbociclib can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Palbociclib.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L04AC14, sarilumab, The metabolism of Palbociclib can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Palbociclib may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Palbociclib.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Palbociclib can be decreased when combined with Bifonazole.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Acetylcholine.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Palbociclib.]
[L01XX59, enasidenib, The metabolism of Palbociclib can be increased when combined with Enasidenib.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Palbociclib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Palbociclib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Palbociclib.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Palbociclib.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Palbociclib.]
[A02BX12, bismuth subnitrate, The absorption of Palbociclib can be decreased when combined with Bismuth subnitrate.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Palbociclib.]
[J05AG03, efavirenz, The metabolism of Palbociclib can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Palbociclib.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Palbociclib.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Palbociclib.]
[R03BA02, budesonide, The metabolism of Palbociclib can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Palbociclib.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Palbociclib.]
[J05AX18, letermovir, The metabolism of Palbociclib can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Palbociclib may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Capsaicin.]
[A10BK04, ertugliflozin, Palbociclib may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Palbociclib can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Palbociclib can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Palbociclib.]
[B02BX09, fostamatinib, The metabolism of Palbociclib can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Palbociclib can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Baricitinib.]
[V03AE10, sodium zirconium cyclosilicate, The absorption of Palbociclib can be decreased when combined with Sodium zirconium cyclosilicate.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Palbociclib.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Palbociclib.]
[L01XX62, ivosidenib, The metabolism of Palbociclib can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Palbociclib can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Palbociclib may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Palbociclib can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Palbociclib can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Palbociclib.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Palbociclib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Chloroprocaine.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Palbociclib.]
[R03BB08, revefenacin, Palbociclib may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Palbociclib can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Palbociclib can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Palbociclib.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Palbociclib.]
[L01EX13, gilteritinib, The metabolism of Palbociclib can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, Palbociclib may decrease the excretion rate of Glasdegib which could result in a higher serum level.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ravulizumab.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Palbociclib.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Palbociclib.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Palbociclib.]
[P02BX04, triclabendazole, The metabolism of Palbociclib can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Palbociclib can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Palbociclib.]
[J01FA09, clarithromycin, The metabolism of Palbociclib can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Palbociclib.]
[N05BA09, clobazam, The metabolism of Palbociclib can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Palbociclib can be increased when combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Palbociclib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Palbociclib can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Palbociclib.]
[L02BB06, darolutamide, The serum concentration of Palbociclib can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Palbociclib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Palbociclib.]
[N07XX11, pitolisant, The serum concentration of Palbociclib can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Palbociclib can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Palbociclib may decrease the excretion rate of Lefamulin which could result in a higher serum level.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Palbociclib.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Palbociclib.]
[J01DB01, cephalexin, The metabolism of Palbociclib can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Palbociclib can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Palbociclib can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Palbociclib.]
[N02CC08, lasmiditan, The serum concentration of Palbociclib can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Palbociclib is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Palbociclib.]
[B06AX03, voxelotor, The serum concentration of Palbociclib can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Palbociclib can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Palbociclib.]
