[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dolasetron.]
[N06AF04, tranylcypromine, The metabolism of Dolasetron can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Dolasetron.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Triazolam.]
[A03AB12, mepenzolate, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Trifluperidol.]
[N05AA05, triflupromazine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Dolasetron.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Dolasetron.]
[R06AC04, tripelennamine, The metabolism of Dolasetron can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Dolasetron.]
[A03BB01, butylscopolamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Dolasetron can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Dolasetron can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Dolasetron.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Dolasetron can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Dolasetron can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Dolasetron can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Dolasetron can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Dolasetron can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Dolasetron.]
[C08DA01, verapamil, The metabolism of Dolasetron can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Dolasetron can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Dolasetron can be decreased when combined with Vinblastine.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Dolasetron can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Dolasetron can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Dolasetron.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ziprasidone.]
[G04BD07, tolterodine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The metabolism of Dolasetron can be decreased when combined with Atenolol.]
[J02AC03, voriconazole, The metabolism of Dolasetron can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Dolasetron is combined with Atracurium.]
[S01FA01, atropine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Dolasetron.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[A08AA11, lorcaserin, The metabolism of Dolasetron can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Dolasetron can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Dolasetron can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Dolasetron can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Dolasetron can be decreased when it is combined with Enzalutamide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Dolasetron can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Dolasetron is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Dolasetron is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Dolasetron is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Dolasetron.]
[R06AC06, thonzylamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Dolasetron can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Dolasetron.]
[G04BE03, sildenafil, The metabolism of Dolasetron can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Dolasetron.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Dolasetron.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Dolasetron.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Dolasetron can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Dolasetron can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Dolasetron.]
[A06AX06, tegaserod, The metabolism of Dolasetron can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Dolasetron can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Dolasetron is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Dolasetron can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Dolasetron can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Dolasetron.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Dolasetron can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Dolasetron.]
[C07AB04, acebutolol, The metabolism of Dolasetron can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Dolasetron can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Dolasetron can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Dolasetron can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Dolasetron can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ceritinib.]
[A03BA03, hyoscyamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Dolasetron.]
[D11AA01, glycopyrronium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Dolasetron can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Dolasetron can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Acepromazine.]
[N04AA02, biperiden, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Dolasetron.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Dolasetron.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dicoumarol.]
[N06AX11, mirtazapine, Dolasetron may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Dolasetron can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Dolasetron can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Dolasetron can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tioclomarol.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Dolasetron.]
[J05AP06, asunaprevir, The metabolism of Dolasetron can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Dolasetron is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Dolasetron can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Dolasetron can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Dolasetron.]
[J02AC05, isavuconazole, The metabolism of Dolasetron can be decreased when combined with Isavuconazole.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dolasetron.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Dolasetron can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dolasetron.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Dolasetron.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Dolasetron.]
[N07BC01, buprenorphine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Dolasetron.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Dolasetron.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Dolasetron.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Dolasetron.]
[S01GX07, azelastine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Dolasetron can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Dolasetron.]
[L01EF02, ribociclib, The metabolism of Dolasetron can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Dolasetron can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dolasetron.]
[J05AE09, tipranavir, The metabolism of Dolasetron can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Dolasetron.]
[L04AB02, infliximab, The metabolism of Dolasetron can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Dolasetron can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Dolasetron.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Dolasetron.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Dolasetron.]
[J05AG03, efavirenz, The metabolism of Dolasetron can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Dolasetron.]
[N04AA11, bornaprine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Dolasetron.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Dolasetron.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Dolasetron.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Dolasetron can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Dolasetron can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Dolasetron.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Dolasetron.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Dolasetron.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Dolasetron.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Dolasetron.]
[L01XX62, ivosidenib, The metabolism of Dolasetron can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Dolasetron.]
[N03AX17, stiripentol, The metabolism of Dolasetron can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Dolasetron.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Dolasetron.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Dolasetron is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Dolasetron.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Dolasetron.]
[R03BB08, revefenacin, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Dolasetron can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Dolasetron can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Dolasetron.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Dolasetron.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Dolasetron can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Dolasetron can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Dolasetron can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Dolasetron can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Dolasetron.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dolasetron.]
[L01EJ02, fedratinib, The metabolism of Dolasetron can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Dolasetron can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Dolasetron.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Dolasetron.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Dolasetron.]
[N03AX25, cenobamate, The serum concentration of Dolasetron can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Dolasetron can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dolasetron.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Dolasetron can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dolasetron.]
[H02CA02, osilodrostat, The metabolism of Dolasetron can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Dolasetron can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Dolasetron is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dolasetron.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Dolasetron.]
[C01BD07, dronedarone, The metabolism of Dolasetron can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Dolasetron.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Dolasetron.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Dolasetron.]
[A03AA08, dihexyverine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Dolasetron is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Dolasetron.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Dolasetron.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Dolasetron.]
[P01BB01, proguanil, The metabolism of Dolasetron can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Dolasetron is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Dolasetron can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Dolasetron is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Dolasetron can be decreased when combined with Chloroquine.]
