[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cyclobenzaprine.]
[G04BD07, tolterodine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Cyclobenzaprine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Atracurium.]
[S01FA01, atropine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Cyclobenzaprine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Cyclobenzaprine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Cyclobenzaprine.]
[M03BX01, baclofen, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Baclofen.]
[A08AA11, lorcaserin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lorcaserin.]
[V03AX03, cobicistat, The metabolism of Cyclobenzaprine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Cyclobenzaprine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Teriflunomide.]
[N05CA04, barbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Cyclobenzaprine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Cyclobenzaprine.]
[S01GA07, brimonidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brimonidine.]
[N04BD02, rasagiline, Cyclobenzaprine may increase the serotonergic activities of Rasagiline.]
[A03FA09, mosapride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Donepezil.]
[N03AX22, perampanel, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Perampanel.]
[N02CC03, zolmitriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diethyl ether.]
[L04AX06, pomalidomide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Cyclobenzaprine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Naratriptan.]
[N04AC01, benztropine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levomilnacipran.]
[N06AX26, vortioxetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Cyclobenzaprine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Cyclobenzaprine can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Cyclobenzaprine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Cyclobenzaprine can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Cyclobenzaprine can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Cyclobenzaprine can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Cyclobenzaprine.]
[L01XH04, belinostat, The metabolism of Cyclobenzaprine can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of respiratory depression can be increased when Naloxegol is combined with Cyclobenzaprine.]
[N04AA02, biperiden, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Cyclobenzaprine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Dicoumarol.]
[N06AX11, mirtazapine, Cyclobenzaprine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Cyclobenzaprine can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, The metabolism of Cyclobenzaprine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Tioclomarol.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Cyclobenzaprine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Acetophenazine.]
[J02AC05, isavuconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Osimertinib.]
[N05CA05, aprobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Cyclobenzaprine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dexbrompheniramine.]
[N06AA19, amineptin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amineptine.]
[N05AX17, pimavanserin, Cyclobenzaprine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Cyclobenzaprine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Bupivacaine.]
[N07BC01, buprenorphine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Buspirone.]
[N02AF01, butorphanol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Butorphanol.]
[S01GX07, azelastine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Cyclobenzaprine can be increased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Cyclobenzaprine can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Cyclobenzaprine.]
[N02BF02, pregabalin, The therapeutic efficacy of Cyclobenzaprine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Cyclobenzaprine can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxybuprocaine.]
[J01XX08, linezolid, Cyclobenzaprine may increase the serotonergic activities of Linezolid.]
[J05AE09, tipranavir, The metabolism of Cyclobenzaprine can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Cyclobenzaprine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Cyclobenzaprine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Cyclobenzaprine may increase the serotonergic activities of Safinamide.]
[L01XX59, enasidenib, The metabolism of Cyclobenzaprine can be decreased when combined with Enasidenib.]
[A02BX12, bismuth subnitrate, Cyclobenzaprine may increase the neurotoxic activities of Bismuth subnitrate.]
[J05AG03, efavirenz, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Efavirenz.]
[N04AA11, bornaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Cyclobenzaprine can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vinylbital.]
[L02BB05, apalutamide, The metabolism of Cyclobenzaprine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Carbamazepine.]
[A03AA03, camylofine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Cyclobenzaprine.]
[N03AX24, cannabidiol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cannabidiol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Cyclobenzaprine.]
[L01XX62, ivosidenib, The metabolism of Cyclobenzaprine can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cetirizine.]
[N05CM04, carbromal, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Cyclobenzaprine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Cyclobenzaprine.]
[R03BB08, revefenacin, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Cyclobenzaprine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Cyclobenzaprine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Cyclobenzaprine can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Cyclobenzaprine is combined with Amifampridine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Cyclobenzaprine.]
[A03FA08, cinitapride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Cyclobenzaprine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Cyclobenzaprine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Cyclobenzaprine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cyamemazine.]
[S01AA13, fusidic acid, The metabolism of Cyclobenzaprine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Cyclobenzaprine can be decreased when combined with Pipemidic acid.]
[N07XX11, pitolisant, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Cyclobenzaprine.]
[G04BE04, yohimbine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Cyclobenzaprine can be increased when combined with Insulin pork.]
[S01EX02, dapiprazole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dapiprazole.]
[N02CC08, lasmiditan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lasmiditan.]
[N03AX25, cenobamate, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Cyclobenzaprine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dexbrompheniramine.]
[N02AX03, dezocine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Cyclobenzaprine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Cyclobenzaprine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Cyclobenzaprine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Cyclobenzaprine.]
[A07DA04, difenoxin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Cyclobenzaprine can be decreased when combined with Rofecoxib.]
[C01BD07, dronedarone, The metabolism of Cyclobenzaprine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Cyclobenzaprine.]
[A03AA08, dihexyverine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Cyclobenzaprine can be decreased when combined with Capmatinib.]
[G04BD09, trospium, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Cyclobenzaprine is combined with Oliceridine.]
[D01AE07, chlorphenesin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorphenesin.]
[R06AB04, chlorpheniramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chlorzoxazone.]
[N05BX03, etifoxine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Cyclobenzaprine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Cyclobenzaprine can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, Cyclobenzaprine may increase the neurotoxic activities of Naxitamab.]
[P03AX07, abametapir, The serum concentration of Cyclobenzaprine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Cyclobenzaprine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Cyclobenzaprine.]
[J01MB07, flumequine, The metabolism of Cyclobenzaprine can be decreased when combined with Flumequine.]
[N01AB05, trichloroethylene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Cyclobenzaprine can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Cyclobenzaprine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cyclobenzaprine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Cyclobenzaprine can be increased when combined with Somapacitan.]
