[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[C03DB02, triamterene, Empagliflozin may increase the diuretic activities of Triamterene.]
[C03AA06, trichlormethiazide, Empagliflozin may increase the diuretic activities of Trichlormethiazide.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Empagliflozin.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Empagliflozin.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Empagliflozin.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Empagliflozin.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Empagliflozin.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Empagliflozin.]
[C02BA01, trimethaphan, Empagliflozin may increase the hypotensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Empagliflozin.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Azilsartan medoxomil is combined with Empagliflozin.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Empagliflozin.]
[C04AX07, vincamine, Empagliflozin may increase the hypotensive activities of Vincamine.]
[C03BA10, xipamide, Empagliflozin may increase the diuretic activities of Xipamide.]
[J05AE02, indinavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Vemurafenib.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, Empagliflozin may increase the diuretic activities of Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Empagliflozin.]
[C07AB03, atenolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Atenolol.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Empagliflozin.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Empagliflozin.]
[M03BX01, baclofen, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Baclofen.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Empagliflozin.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Empagliflozin.]
[J05AE04, nelfinavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Empagliflozin.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Empagliflozin.]
[H01CB05, pasireotide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension can be increased when Sildenafil is combined with Empagliflozin.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Empagliflozin.]
[A10BH04, alogliptin, Empagliflozin may increase the hypoglycemic activities of Alogliptin.]
[C03AA01, bendroflumethiazide, Empagliflozin may increase the diuretic activities of Bendroflumethiazide.]
[A10BK02, canagliflozin, Empagliflozin may increase the diuretic activities of Canagliflozin.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Gemifloxacin.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Empagliflozin.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin detemir.]
[A10BX05, pramlintide, Empagliflozin may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Dabrafenib.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Empagliflozin.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Empagliflozin.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Riociguat is combined with Empagliflozin.]
[A10BJ03, lixisenatide, Empagliflozin may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Empagliflozin may increase the hypotensive activities of Macitentan.]
[G03AC08, etonogestrel, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Simeprevir.]
[A10BK01, dapagliflozin, Empagliflozin may increase the diuretic activities of Dapagliflozin.]
[C07AB04, acebutolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Acebutolol.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Empagliflozin.]
[S01ED02, betaxolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Empagliflozin may increase the hypotensive activities of Bethanidine.]
[A10BJ04, albiglutide, Empagliflozin may increase the hypoglycemic activities of Albiglutide.]
[L01ED02, ceritinib, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ceritinib.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Pipemidic acid.]
[A10BJ05, dulaglutide, Empagliflozin may increase the hypoglycemic activities of Dulaglutide.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, Empagliflozin may increase the hypoglycemic activities of Acarbose.]
[S01EC01, acetazolamide, Empagliflozin may increase the diuretic activities of Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin degludec.]
[B01AC27, selexipag, Empagliflozin may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Empagliflozin may increase the hypoglycemic activities of Acetohexamide.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Empagliflozin.]
[N04BC01, bromocriptine, Empagliflozin may increase the hypoglycemic activities of Bromocriptine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Empagliflozin.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Empagliflozin.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Empagliflozin.]
[C03CA02, bumetanide, Empagliflozin may increase the diuretic activities of Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Empagliflozin.]
[C07AA19, bupranolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Bupranolol.]
[L02AE01, buserelin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sparfloxacin.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Empagliflozin.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Empagliflozin.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Empagliflozin.]
[A10BX06, benfluorex, Empagliflozin may increase the hypoglycemic activities of Benfluorex.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Empagliflozin.]
[J05AE09, tipranavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Tipranavir.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Empagliflozin.]
[J01MA23, delafloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Delafloxacin.]
[L01XH01, vorinostat, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Bisoprolol.]
[S01EC04, brinzolamide, Empagliflozin may increase the diuretic activities of Brinzolamide.]
[C07AA17, bopindolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Nesiritide is combined with Empagliflozin.]
[C03DA03, canrenone, Empagliflozin may increase the diuretic activities of Canrenone.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Empagliflozin.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Empagliflozin.]
[A10BJ06, semaglutide, Empagliflozin may increase the hypoglycemic activities of Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Ertugliflozin.]
[C09AA01, captopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Captopril.]
[C07AG02, carvedilol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Empagliflozin.]
[C07AB08, celiprolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Celiprolol.]
[A10BB06, carbutamide, Empagliflozin may increase the hypoglycemic activities of Carbutamide.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Empagliflozin.]
[C09AA08, cilazapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Cilazapril.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Empagliflozin.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Empagliflozin.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Empagliflozin.]
[C09CA06, candesartan, Empagliflozin may increase the hypotensive activities of Candesartan.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Empagliflozin.]
[C03BX03, cicletanine, Empagliflozin may increase the diuretic activities of Cicletanine.]
[C03AA09, cyclothiazide, Empagliflozin may increase the diuretic activities of Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Empagliflozin.]
[G03AC09, desogestrel, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Desogestrel.]
[L04AA53, teprotumumab, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Teprotumumab.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Gatifloxacin.]
[G03DB08, dienogest, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Empagliflozin.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Empagliflozin.]
[C02AA06, methoserpidine, Empagliflozin may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Empagliflozin is combined with Opicapone.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Empagliflozin.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Empagliflozin.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Empagliflozin.]
[C03AA04, chlorothiazide, Empagliflozin may increase the diuretic activities of Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Empagliflozin may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, Empagliflozin may increase the diuretic activities of Chlorthalidone.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Empagliflozin.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Empagliflozin.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Empagliflozin is combined with Vericiguat.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be increased when Fenoldopam is combined with Empagliflozin.]
[J01MB07, flumequine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Empagliflozin.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Empagliflozin.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin human.]
[H04AA02, dasiglucagon, Empagliflozin may increase the hypotensive activities of Dasiglucagon.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Empagliflozin.]
[J01MB06, cinoxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Empagliflozin.]
[H01AC07, somapacitan, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, Empagliflozin may increase the diuretic activities of Finerenone.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Lonapegsomatropin.]
[A10BB12, glimepiride, Empagliflozin may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Empagliflozin may increase the hypoglycemic activities of Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Empagliflozin.]
[B06AX04, mitapivat, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Empagliflozin.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Empagliflozin.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Clonidine is combined with Empagliflozin.]
[A10BX16, tirzepatide, Empagliflozin may increase the hypoglycemic activities of Tirzepatide.]
[C03BA03, clopamide, Empagliflozin may increase the diuretic activities of Clopamide.]
[N05AH02, clozapine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, Empagliflozin may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Empagliflozin may increase the hypoglycemic activities of Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Empagliflozin.]
[H01AC08, somatrogon, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Somatrogon.]
[C02KB01, metyrosine, Empagliflozin may increase the hypotensive activities of Metyrosine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Empagliflozin.]
[A10BX03, nateglinide, Empagliflozin may increase the hypoglycemic activities of Nateglinide.]
[H01AC03, mecasermin, Empagliflozin may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Empagliflozin.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Empagliflozin.]
[C08CA09, lacidipine, Empagliflozin may increase the hypotensive activities of Lacidipine.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Empagliflozin.]
[N07BC04, lofexidine, The risk or severity of adverse effects can be increased when Lofexidine is combined with Empagliflozin.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Lomefloxacin.]
[C09AA03, lisinopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Lisinopril.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Empagliflozin.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Empagliflozin.]
[C07AA14, mepindolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Empagliflozin.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Empagliflozin.]
[C03DA04, eplerenone, Empagliflozin may increase the diuretic activities of Eplerenone.]
[C03AA07, cyclopenthiazide, Empagliflozin may increase the diuretic activities of Cyclopenthiazide.]
[A10BF02, miglitol, Empagliflozin may increase the hypoglycemic activities of Miglitol.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Empagliflozin.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Empagliflozin.]
[C09AA13, moexipril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Moexipril.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Rosuvastatin.]
[C03XA02, conivaptan, Empagliflozin may increase the diuretic activities of Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Empagliflozin is combined with Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Empagliflozin.]
[G03XA01, danazol, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Danazol.]
[C02CC04, debrisoquin, Empagliflozin may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Empagliflozin.]
[C07AB12, nebivolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Empagliflozin.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Empagliflozin.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Empagliflozin.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Empagliflozin.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Empagliflozin.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Empagliflozin.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Empagliflozin.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Empagliflozin.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Aliskiren is combined with Empagliflozin.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Empagliflozin.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Empagliflozin.]
[V03AH01, diazoxide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Empagliflozin.]
[S01EC02, dichlorphenamide, Empagliflozin may increase the diuretic activities of Diclofenamide.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Phthalylsulfathiazole.]
[C02DG01, pinacidil, Empagliflozin may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Empagliflozin.]
[A10BG03, pioglitazone, Empagliflozin may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Empagliflozin is combined with Pipamperone.]
[C03CA03, piretanide, Empagliflozin may increase the diuretic activities of Piretanide.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Empagliflozin.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Empagliflozin.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Empagliflozin.]
[C02DB01, dihydralazine, Empagliflozin may increase the hypotensive activities of Dihydralazine.]
[J05AE08, atazanavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Atazanavir.]
[B01AC21, treprostinil, Empagliflozin may increase the hypotensive activities of Treprostinil.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Empagliflozin.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Empagliflozin.]
[C09AA06, quinapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dipyridamole is combined with Empagliflozin.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Empagliflozin.]
[C09AA05, ramipril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Ramipril.]
[S01XA23, sirolimus, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, Empagliflozin may increase the hypoglycemic activities of Disopyramide.]
[N05AX08, risperidone, Empagliflozin may increase the hypotensive activities of Risperidone.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Empagliflozin.]
[J01MB01, rosoxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, Empagliflozin may increase the hypoglycemic activities of Sunitinib.]
[C03XA01, tolvaptan, Empagliflozin may increase the diuretic activities of Tolvaptan.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Fosamprenavir.]
[G04BE08, tadalafil, Empagliflozin may increase the hypotensive activities of Tadalafil.]
[C02KX02, ambrisentan, Empagliflozin may increase the hypotensive activities of Ambrisentan.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Empagliflozin.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Empagliflozin.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Empagliflozin.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Empagliflozin.]
[C09AA11, spirapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Spirapril.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Empagliflozin.]
[J01MA05, temafloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Temafloxacin.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Terazosin is combined with Empagliflozin.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Empagliflozin.]
[C07AA16, tertatolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Empagliflozin.]
[C09AA02, enalapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Enalapril.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Empagliflozin.]
[C03CA04, torsemide, Empagliflozin may increase the diuretic activities of Torasemide.]
[C09AA10, trandolapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Trandolapril.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Empagliflozin.]
[L02AE04, triptorelin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Triptorelin.]
[C02CA06, urapidil, Empagliflozin may increase the hypotensive activities of Urapidil.]
[J01MA04, enoxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Empagliflozin.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Empagliflozin.]
