[P02BB01, trichlorfon, The therapeutic efficacy of Biperiden can be decreased when used in combination with Metrifonate.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Biperiden.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Biperiden is combined with Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Biperiden is combined with Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Biperiden.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Biperiden is combined with Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Biperiden.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01AA05, tyrothricin, The therapeutic efficacy of Biperiden can be decreased when used in combination with Tyrothricin.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Indacaterol.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Biperiden can be decreased when used in combination with Zuclopenthixol.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AE04, ziprasidone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Ziprasidone.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Biperiden.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Biperiden.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Biperiden.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Biperiden is combined with Mirabegron.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Biperiden.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Octopamine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06DA02, donepezil, The therapeutic efficacy of Biperiden can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Biperiden is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Biperiden.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Biperiden.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Biperiden.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Biperiden.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Biperiden.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Biperiden.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Biperiden.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Biperiden.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Biperiden.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Biperiden.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Biperiden.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Biperiden.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Biperiden is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Biperiden.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A16AA06, betaine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Biperiden.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Biperiden.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Biperiden.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03AC19, olodaterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Biperiden is combined with Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Biperiden.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V04CX03, methacholine, Biperiden may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Biperiden.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Biperiden is combined with Naloxegol.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Biperiden.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Biperiden.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Biperiden.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Biperiden.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Biperiden is combined with Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Biperiden.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Biperiden is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Biperiden can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Biperiden.]
[N05AX15, cariprazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Cariprazine.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Biperiden.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Biperiden.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Biperiden is combined with Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06DA03, rivastigmine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Rivastigmine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Biperiden is combined with Butorphanol.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Biperiden.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Biperiden.]
[R03CC12, bambuterol, The therapeutic efficacy of Biperiden can be decreased when used in combination with Bambuterol.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Biperiden.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Biperiden.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Biperiden.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Biperiden.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Bitolterol.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Biperiden.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Biperiden is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Biperiden.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BX04, capsaicin, The therapeutic efficacy of Biperiden can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Biperiden.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Biperiden.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Biperiden is combined with Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Biperiden.]
[N03AX24, cannabidiol, The risk or severity of Tachycardia and drowsiness can be increased when Biperiden is combined with Cannabidiol.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Biperiden.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Biperiden.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Biperiden.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Biperiden.]
[N03AX17, stiripentol, The metabolism of Biperiden can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Biperiden.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Biperiden is combined with Chlorphenoxamine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Biperiden.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Biperiden.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Biperiden.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Biperiden.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Biperiden.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Biperiden.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Biperiden.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Biperiden.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Biperiden.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Biperiden.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Biperiden is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AD10, lumateperone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Biperiden.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Biperiden is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Biperiden.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Biperiden is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Biperiden.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AX07, oliceridine, The risk or severity of urinary retention, reduced gastrointestinal motility, and constipation can be increased when Biperiden is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Biperiden.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Biperiden.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Biperiden can be decreased when used in combination with Chlorprothixene.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Biperiden.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Biperiden is combined with Fenozolone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Biperiden.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Biperiden.]
[L01XA01, cisplatin, The therapeutic efficacy of Biperiden can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Biperiden.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Biperiden.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Biperiden.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AH02, clozapine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Clozapine.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Biperiden is combined with Cocaine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Biperiden is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Biperiden is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Biperiden.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Biperiden is combined with Homatropine.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Biperiden.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Biperiden.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[H01AX01, pegvisomant, The therapeutic efficacy of Biperiden can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Biperiden is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Biperiden.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Biperiden.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AX13, loratadine, Biperiden may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Biperiden.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Biperiden is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Biperiden is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Biperiden.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Biperiden.]
