[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Diethylstilbestrol.]
[J05AP09, dasabuvir, The risk or severity of liver enzyme elevations can be increased when Diethylstilbestrol is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Diethylstilbestrol.]
[L01FF01, nivolumab, Diethylstilbestrol may increase the thrombogenic activities of Nivolumab.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Diethylstilbestrol.]
[B01AF03, edoxaban, Diethylstilbestrol may decrease the anticoagulant activities of Edoxaban.]
[L04AC10, secukinumab, The metabolism of Diethylstilbestrol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Diethylstilbestrol.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Diethylstilbestrol.]
[N02BE01, acetaminophen, Diethylstilbestrol may increase the hepatotoxic activities of Acetaminophen.]
[B01AA11, tioclomarol, Diethylstilbestrol may decrease the anticoagulant activities of Tioclomarol.]
[J05AP06, asunaprevir, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Diethylstilbestrol.]
[B01AC25, cangrelor, Diethylstilbestrol may decrease the anticoagulant activities of Cangrelor.]
[C10AX14, alirocumab, Diethylstilbestrol may increase the thrombogenic activities of Alirocumab.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Diethylstilbestrol.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Diethylstilbestrol is combined with Flibanserin.]
[C10AX13, evolocumab, Diethylstilbestrol may increase the thrombogenic activities of Evolocumab.]
[M02AA25, aceclofenac, Aceclofenac may increase the thrombogenic activities of Diethylstilbestrol.]
[S01EC01, acetazolamide, The metabolism of Diethylstilbestrol can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Diethylstilbestrol.]
[D05BB02, acitretin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Acitretin.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Diethylstilbestrol.]
[V03AB37, idarucizumab, Diethylstilbestrol may increase the thrombogenic activities of Idarucizumab.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Diethylstilbestrol.]
[A16AB13, asfotase alfa, Diethylstilbestrol may increase the thrombogenic activities of Asfotase alfa.]
[R03DX09, mepolizumab, Diethylstilbestrol may increase the thrombogenic activities of Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Diethylstilbestrol.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Diethylstilbestrol.]
[L01FC01, daratumumab, Diethylstilbestrol may increase the thrombogenic activities of Daratumumab.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Diethylstilbestrol.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Diethylstilbestrol.]
[L01FE03, necitumumab, Diethylstilbestrol may increase the thrombogenic activities of Necitumumab.]
[L01FX08, elotuzumab, Diethylstilbestrol may increase the thrombogenic activities of Elotuzumab.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Diethylstilbestrol.]
[J06BB02, tetanus immune globulin, Diethylstilbestrol may increase the thrombogenic activities of Tetanus immune globulin, human.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Diethylstilbestrol.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Diethylstilbestrol.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Diethylstilbestrol.]
[M04AB05, lesinurad, The metabolism of Diethylstilbestrol can be increased when combined with Lesinurad.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Diethylstilbestrol.]
[N05CA05, aprobarbital, The metabolism of Diethylstilbestrol can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Diethylstilbestrol can be increased when combined with Brivaracetam.]
[L04AC13, ixekizumab, Diethylstilbestrol may increase the thrombogenic activities of Ixekizumab.]
[R03DX08, reslizumab, Diethylstilbestrol may increase the thrombogenic activities of Reslizumab.]
[J06BC04, obiltoxaximab, Diethylstilbestrol may increase the thrombogenic activities of Obiltoxaximab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Diethylstilbestrol.]
[N06AA19, amineptin, The serum concentration of Amineptine can be increased when it is combined with Diethylstilbestrol.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Diethylstilbestrol.]
[L01FF05, atezolizumab, Diethylstilbestrol may increase the thrombogenic activities of Atezolizumab.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Diethylstilbestrol.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Diethylstilbestrol.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Diethylstilbestrol.]
[J06BC03, bezlotoxumab, Diethylstilbestrol may increase the thrombogenic activities of Bezlotoxumab.]
[L01FX10, olaratumab, Diethylstilbestrol may increase the thrombogenic activities of Olaratumab.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Diethylstilbestrol.]
[J01CE04, azidocillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Azidocillin.]
[L01XK03, rucaparib, Diethylstilbestrol may decrease the excretion rate of Rucaparib which could result in a higher serum level.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Diethylstilbestrol.]
[J01CA06, bacampicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Bacampicillin.]
[L04AC12, brodalumab, Diethylstilbestrol may increase the thrombogenic activities of Brodalumab.]
[L01EF02, ribociclib, The metabolism of Diethylstilbestrol can be decreased when combined with Ribociclib.]
[L01FF04, avelumab, Diethylstilbestrol may increase the thrombogenic activities of Avelumab.]
[L04AA36, ocrelizumab, Diethylstilbestrol may increase the thrombogenic activities of Ocrelizumab.]
[D11AH05, dupilumab, Diethylstilbestrol may increase the thrombogenic activities of Dupilumab.]
[N02BF02, pregabalin, The metabolism of Diethylstilbestrol can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Diethylstilbestrol can be increased when combined with Beclamide.]
[D05AX03, calcitriol, The metabolism of Diethylstilbestrol can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, Diethylstilbestrol may increase the thrombogenic activities of Daclizumab.]
[J05AE09, tipranavir, The metabolism of Diethylstilbestrol can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Diethylstilbestrol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Diethylstilbestrol can be decreased when combined with Midostaurin.]
[L01FF03, durvalumab, Diethylstilbestrol may increase the thrombogenic activities of Durvalumab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Diethylstilbestrol.]
[L04AC14, sarilumab, The metabolism of Diethylstilbestrol can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Diethylstilbestrol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, Diethylstilbestrol may decrease the anticoagulant activities of Betrixaban.]
[L04AC16, guselkumab, Diethylstilbestrol may increase the thrombogenic activities of Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Diethylstilbestrol.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Diethylstilbestrol.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Diethylstilbestrol.]
[J06BD01, palivizumab, Diethylstilbestrol may increase the thrombogenic activities of Palivizumab.]
[L01FB01, inotuzumab ozogamicin, Diethylstilbestrol may increase the thrombogenic activities of Inotuzumab ozogamicin.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Diethylstilbestrol.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Diethylstilbestrol.]
[J05AG03, efavirenz, The metabolism of Diethylstilbestrol can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, Diethylstilbestrol may increase the thrombogenic activities of Basiliximab.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Diethylstilbestrol.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Diethylstilbestrol.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[R03DX10, benralizumab, Diethylstilbestrol may increase the thrombogenic activities of Benralizumab.]
[N06AA15, butriptyline, The serum concentration of Butriptyline can be increased when it is combined with Diethylstilbestrol.]
[B02BX06, emicizumab, Diethylstilbestrol may increase the thrombogenic activities of Emicizumab.]
[A10BK04, ertugliflozin, Diethylstilbestrol may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Diethylstilbestrol can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Carbenicillin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Diethylstilbestrol.]
[J05AX23, ibalizumab, Diethylstilbestrol may increase the thrombogenic activities of Ibalizumab.]
[M05BX05, burosumab, Diethylstilbestrol may increase the thrombogenic activities of Burosumab.]
[N03AX24, cannabidiol, The metabolism of Diethylstilbestrol can be increased when combined with Cannabidiol.]
[N02CD01, erenumab, Diethylstilbestrol may increase the thrombogenic activities of Erenumab.]
[B02BX08, avatrombopag, The metabolism of Diethylstilbestrol can be increased when combined with Avatrombopag.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Diethylstilbestrol.]
[L01XX62, ivosidenib, The metabolism of Diethylstilbestrol can be increased when combined with Ivosidenib.]
[L04AC17, tildrakizumab, Diethylstilbestrol may increase the thrombogenic activities of Tildrakizumab.]
[L01FX09, mogamulizumab, Diethylstilbestrol may increase the thrombogenic activities of Mogamulizumab.]
[N03AX17, stiripentol, The metabolism of Diethylstilbestrol can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Diethylstilbestrol may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Diethylstilbestrol can be increased when combined with Tecovirimat.]
[B06AC05, lanadelumab, Diethylstilbestrol may increase the thrombogenic activities of Lanadelumab.]
[J01AA13, eravacycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Eravacycline.]
[N02CD03, fremanezumab, Diethylstilbestrol may increase the thrombogenic activities of Fremanezumab.]
[L01EM04, duvelisib, Diethylstilbestrol may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01FF06, cemiplimab, Diethylstilbestrol may increase the thrombogenic activities of Cemiplimab.]
[N02CD02, galcanezumab, Diethylstilbestrol may increase the thrombogenic activities of Galcanezumab.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Diethylstilbestrol.]
[J01AA14, sarecycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Omadacycline.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Diethylstilbestrol.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Diethylstilbestrol.]
[L01XK04, talazoparib, Diethylstilbestrol may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[R03BB08, revefenacin, Diethylstilbestrol may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Diethylstilbestrol can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Diethylstilbestrol can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Diethylstilbestrol.]
[L01XJ03, glasdegib, Diethylstilbestrol may decrease the excretion rate of Glasdegib which could result in a higher serum level.]
[L04AA43, ravulizumab, Diethylstilbestrol may increase the thrombogenic activities of Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Diethylstilbestrol.]
[B01AX07, caplacizumab, Diethylstilbestrol may increase the thrombogenic activities of Caplacizumab.]
