[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[N05AA05, triflupromazine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, The serum concentration of Trimebutine can be decreased when it is combined with Efavirenz.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Alimemazine.]
[N03AC02, trimethadione, The serum concentration of Trimethadione can be decreased when it is combined with Efavirenz.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Efavirenz.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Efavirenz.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Efavirenz.]
[A03BB01, butylscopolamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Efavirenz.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Efavirenz.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Efavirenz.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Efavirenz.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Efavirenz.]
[L02BX03, abiraterone, The serum concentration of Efavirenz can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Efavirenz.]
[J05AP03, boceprevir, The serum concentration of Boceprevir can be decreased when it is combined with Efavirenz.]
[J05AP02, telaprevir, The serum concentration of Telaprevir can be decreased when it is combined with Efavirenz.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Efavirenz.]
[N03AX21, ezogabine, The metabolism of Ezogabine can be increased when combined with Efavirenz.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Efavirenz.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Efavirenz.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Efavirenz.]
[C08DA01, verapamil, The serum concentration of Verapamil can be decreased when it is combined with Efavirenz.]
[N06AX09, viloxazine, The metabolism of Efavirenz can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Efavirenz.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Efavirenz.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Efavirenz.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Efavirenz.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Efavirenz.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Efavirenz.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Efavirenz.]
[J05AE02, indinavir, The serum concentration of Indinavir can be decreased when it is combined with Efavirenz.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Efavirenz can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Efavirenz.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Efavirenz.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Efavirenz.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Efavirenz.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Efavirenz.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Efavirenz.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Efavirenz.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Efavirenz.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Efavirenz.]
[C07AB03, atenolol, Atenolol may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The metabolism of Efavirenz can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be increased when combined with Efavirenz.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Efavirenz is combined with Atracurium.]
[S01FA01, atropine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Efavirenz.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Efavirenz.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Efavirenz.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Efavirenz.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Efavirenz.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Efavirenz.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Efavirenz.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Efavirenz.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Efavirenz.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Efavirenz.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Efavirenz.]
[L02BB04, enzalutamide, The serum concentration of Efavirenz can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Efavirenz.]
[L04AA31, teriflunomide, The serum concentration of Efavirenz can be decreased when it is combined with Teriflunomide.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Efavirenz.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Efavirenz.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Efavirenz can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Efavirenz.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Efavirenz is combined with Rasagiline.]
[C08CA13, lercanidipine, The serum concentration of Lercanidipine can be decreased when it is combined with Efavirenz.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Efavirenz is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Efavirenz.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Efavirenz.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Efavirenz.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Efavirenz.]
[R06AC06, thonzylamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Efavirenz.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Efavirenz is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Efavirenz.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Efavirenz.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Efavirenz.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Efavirenz.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Efavirenz.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Efavirenz.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Efavirenz.]
[C04AX11, bencyclane, The serum concentration of Bencyclane can be decreased when it is combined with Efavirenz.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Efavirenz.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Efavirenz.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Efavirenz.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Benperidol.]
[A10BK02, canagliflozin, The serum concentration of Canagliflozin can be decreased when it is combined with Efavirenz.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Efavirenz may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Efavirenz.]
[A06AX06, tegaserod, The metabolism of Efavirenz can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Efavirenz.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Naratriptan.]
[L04AA18, everolimus, The serum concentration of Everolimus can be decreased when it is combined with Efavirenz.]
[N04AC01, benztropine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Efavirenz.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Efavirenz.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be decreased when it is combined with Efavirenz.]
[C08EA02, bepridil, The risk or severity of ventricular arrhythmias can be increased when Efavirenz is combined with Bepridil.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Efavirenz.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be increased when combined with Efavirenz.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Efavirenz.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Efavirenz.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Efavirenz.]
[G03AC08, etonogestrel, The therapeutic efficacy of Etonogestrel can be decreased when used in combination with Efavirenz.]
[N03AF04, eslicarbazepine, The metabolism of Eslicarbazepine can be increased when combined with Efavirenz.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Efavirenz.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Efavirenz.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Efavirenz.]
[A16AA07, metreleptin, The metabolism of Efavirenz can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Efavirenz.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Efavirenz.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Efavirenz.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Efavirenz.]
[L04AC11, siltuximab, The metabolism of Efavirenz can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Efavirenz.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Efavirenz.]
[A03BA03, hyoscyamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Efavirenz.]
[L01XH04, belinostat, The metabolism of Belinostat can be increased when combined with Efavirenz.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Efavirenz.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Efavirenz.]
[D11AA01, glycopyrronium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Efavirenz.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Acepromazine.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Efavirenz.]
[N04AA02, biperiden, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Efavirenz.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Efavirenz.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Efavirenz.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Efavirenz.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Efavirenz.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Efavirenz.]
[N06AX11, mirtazapine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Efavirenz can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Efavirenz.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Efavirenz.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Efavirenz.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Efavirenz.]
[A03AA09, difemerine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Efavirenz.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Efavirenz.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Efavirenz.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Efavirenz.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be increased when combined with Efavirenz.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Efavirenz.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Efavirenz.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Efavirenz.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Efavirenz.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Efavirenz.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Efavirenz.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Efavirenz.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Efavirenz.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Efavirenz.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Efavirenz.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Efavirenz.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Efavirenz.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Efavirenz.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Efavirenz.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Efavirenz.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Efavirenz.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Efavirenz.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Efavirenz.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Bromazepam.]
[N04BC01, bromocriptine, The serum concentration of Bromocriptine can be increased when it is combined with Efavirenz.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Efavirenz.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Amineptine.]
[C08CA01, amlodipine, The serum concentration of Amlodipine can be decreased when it is combined with Efavirenz.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Efavirenz.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Efavirenz can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Efavirenz.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Efavirenz.]
[N07BC01, buprenorphine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Efavirenz.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Efavirenz.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Efavirenz.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Efavirenz.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Efavirenz.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Efavirenz.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Efavirenz.]
[S01GX07, azelastine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Efavirenz.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Efavirenz.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Efavirenz.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Efavirenz.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Efavirenz.]
[N02BF02, pregabalin, The therapeutic efficacy of Efavirenz can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Efavirenz can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Efavirenz.]
[J05AF06, abacavir, The metabolism of Abacavir can be increased when combined with Efavirenz.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Efavirenz.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Efavirenz.]
[L04AB02, infliximab, The metabolism of Efavirenz can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Efavirenz.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Efavirenz.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Efavirenz.]
[J01MA23, delafloxacin, The metabolism of Delafloxacin can be increased when combined with Efavirenz.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Efavirenz.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Efavirenz.]
[L01EH02, neratinib, The serum concentration of Neratinib can be increased when it is combined with Efavirenz.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Efavirenz.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Efavirenz.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Efavirenz.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Efavirenz.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Efavirenz.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Efavirenz.]
[N04AA11, bornaprine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Bromperidol.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Efavirenz.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Efavirenz.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Efavirenz.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Butobarbital.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Efavirenz.]
[N01BX04, capsaicin, The metabolism of Efavirenz can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Efavirenz is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Efavirenz.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Efavirenz.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Efavirenz.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Efavirenz.]
[A03AA03, camylofine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Carbinoxamine.]
