[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Everolimus.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Everolimus.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Everolimus is combined with Belatacept.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Everolimus.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Everolimus.]
[B01AC24, ticagrelor, The serum concentration of Everolimus can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Everolimus can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Everolimus can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Everolimus.]
[C04AX07, vincamine, The serum concentration of Vincamine can be increased when it is combined with Everolimus.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Everolimus.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Everolimus.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Everolimus.]
[A11HA03, vitamin E, The metabolism of Everolimus can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Everolimus.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Everolimus.]
[N05AF05, zuclopenthixol, The metabolism of Everolimus can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Everolimus can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Everolimus can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Everolimus.]
[L01ED01, crizotinib, The metabolism of Everolimus can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Everolimus.]
[R03DC01, zafirlukast, The metabolism of Everolimus can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Everolimus can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Everolimus can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Everolimus.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Everolimus.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Everolimus is combined with Ruxolitinib.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Everolimus.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Everolimus.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Everolimus.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Everolimus.]
[J02AC03, voriconazole, The serum concentration of Everolimus can be increased when it is combined with Voriconazole.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Everolimus.]
[R07AX02, ivacaftor, The serum concentration of Everolimus can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Everolimus.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Everolimus.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Everolimus.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Everolimus.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Everolimus.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Everolimus.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Everolimus.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Everolimus.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Everolimus.]
[G04BD12, mirabegron, The serum concentration of Everolimus can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Everolimus can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The serum concentration of Everolimus can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Everolimus can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Everolimus can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Everolimus.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Everolimus is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Everolimus.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Abetimus.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Everolimus.]
[L01EX05, regorafenib, The serum concentration of Everolimus can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Everolimus can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Everolimus.]
[J05AE04, nelfinavir, The metabolism of Everolimus can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Everolimus.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Everolimus.]
[N03AX22, perampanel, The metabolism of Everolimus can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Everolimus.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Everolimus.]
[H01CB05, pasireotide, The metabolism of Everolimus can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Everolimus can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The serum concentration of Everolimus can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Everolimus.]
[C10AX12, lomitapide, The serum concentration of Everolimus can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Everolimus.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Everolimus can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Everolimus.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Everolimus.]
[A10BK02, canagliflozin, The serum concentration of Everolimus can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Everolimus is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Everolimus.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Everolimus.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Everolimus.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Everolimus.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Everolimus.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Everolimus is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Everolimus can be decreased when combined with Fusidic acid.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Everolimus can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Everolimus.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Everolimus.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Everolimus.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Everolimus.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Everolimus.]
[L03AA14, lipegfilgrastim, Everolimus may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Everolimus.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Everolimus.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Everolimus.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Everolimus.]
[N03AF04, eslicarbazepine, The metabolism of Everolimus can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Everolimus can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Everolimus.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Everolimus.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Everolimus.]
[N05CH03, tasimelteon, The metabolism of Everolimus can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Everolimus can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Everolimus can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Everolimus can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Everolimus.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Everolimus.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Everolimus.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Everolimus.]
[L04AC11, siltuximab, The metabolism of Everolimus can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Everolimus.]
[B01AC26, vorapaxar, The serum concentration of Everolimus can be increased when it is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Everolimus.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Everolimus is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Everolimus is combined with Idelalisib.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Everolimus.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Everolimus is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The serum concentration of Everolimus can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Everolimus.]
[J01XA05, oritavancin, The metabolism of Everolimus can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Everolimus.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Everolimus.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Everolimus.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Everolimus is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Everolimus can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Everolimus is combined with Blinatumomab.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Everolimus.]
[L01XK01, olaparib, The metabolism of Everolimus can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The serum concentration of Dicoumarol can be increased when it is combined with Everolimus.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Everolimus.]
[N06AX11, mirtazapine, The metabolism of Everolimus can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Everolimus can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Everolimus can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Everolimus.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Everolimus.]
[J05AP07, daclatasvir, The serum concentration of Everolimus can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Everolimus can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Everolimus.]
[B01AA11, tioclomarol, The serum concentration of Tioclomarol can be increased when it is combined with Everolimus.]
[J05AP06, asunaprevir, The serum concentration of Everolimus can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Everolimus.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Everolimus.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Everolimus.]
[A04AD14, rolapitant, The serum concentration of Everolimus can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Everolimus can be increased when it is combined with Flibanserin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Everolimus.]
[S01EC01, acetazolamide, The metabolism of Everolimus can be decreased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Everolimus.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Everolimus.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Everolimus can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Everolimus.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Everolimus.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Everolimus.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Everolimus.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Everolimus.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Everolimus.]
[M04AB05, lesinurad, The metabolism of Everolimus can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Everolimus.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Everolimus.]
[N05CA05, aprobarbital, The metabolism of Everolimus can be increased when combined with Aprobarbital.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Everolimus can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The serum concentration of Bromocriptine can be increased when it is combined with Everolimus.]
[N05AX17, pimavanserin, The metabolism of Everolimus can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Everolimus.]
[N07BC01, buprenorphine, The metabolism of Everolimus can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Everolimus.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Everolimus.]
[L01XX27, arsenic trioxide, The serum concentration of Everolimus can be increased when it is combined with Arsenic trioxide.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Everolimus.]
[L01XK03, rucaparib, The metabolism of Everolimus can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Everolimus can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Everolimus can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Everolimus.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Everolimus.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Everolimus.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Everolimus is combined with Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Everolimus.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Everolimus can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Everolimus.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Everolimus.]
[J05AE09, tipranavir, The serum concentration of Everolimus can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Everolimus.]
[L04AB02, infliximab, The metabolism of Everolimus can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Everolimus can be increased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Everolimus can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Everolimus.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Everolimus can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Everolimus.]
[L01XX59, enasidenib, The serum concentration of Everolimus can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Everolimus can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Everolimus.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Everolimus is combined with Vorinostat.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Everolimus.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Everolimus.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Everolimus.]
[J05AG03, efavirenz, The serum concentration of Everolimus can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Everolimus.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Everolimus.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Everolimus.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Everolimus.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Everolimus.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Everolimus.]
[L01EL02, acalabrutinib, The metabolism of Everolimus can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Everolimus can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Everolimus may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Everolimus.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Everolimus.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Everolimus is combined with Captopril.]
[L02BB05, apalutamide, The metabolism of Everolimus can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Everolimus.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Everolimus.]
[C07AG02, carvedilol, The serum concentration of Everolimus can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Everolimus can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Everolimus can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Everolimus.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Everolimus is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Everolimus.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Everolimus.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Everolimus.]
[H01CC03, elagolix, The serum concentration of Everolimus can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Everolimus can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Everolimus.]
[N03AX17, stiripentol, The metabolism of Everolimus can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Everolimus.]
[J05AX24, tecovirimat, The metabolism of Everolimus can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Everolimus can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Everolimus can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Everolimus can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Everolimus.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Everolimus.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Everolimus.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Everolimus.]
[R03BB08, revefenacin, Everolimus may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The serum concentration of Everolimus can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Everolimus can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Everolimus.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Everolimus.]
[L01EX13, gilteritinib, The metabolism of Everolimus can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Everolimus can be increased when it is combined with Glasdegib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Ravulizumab.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Everolimus.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Everolimus.]
