[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Memantine.]
[J01EA01, trimethoprim, The serum concentration of Memantine can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Memantine.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Memantine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Memantine.]
[M03AA02, tubocurarine, Memantine may increase the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, Memantine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Memantine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Memantine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Memantine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Memantine can be increased when it is combined with Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Memantine.]
[S01AA28, vancomycin, Memantine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Memantine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Memantine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Memantine.]
[N06AX09, viloxazine, Memantine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[B01AA03, warfarin, Memantine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Memantine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Memantine can be decreased when used in combination with Zuclopenthixol.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Memantine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Memantine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Memantine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AE04, ziprasidone, The therapeutic efficacy of Memantine can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Memantine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Memantine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The therapeutic efficacy of Tolterodine can be decreased when used in combination with Memantine.]
[J01DH04, doripenem, Memantine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Memantine may increase the bradycardic activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Memantine.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Memantine.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be decreased when used in combination with Memantine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Memantine.]
[H02AB11, prednylidene, The therapeutic efficacy of Memantine can be decreased when used in combination with Prednylidene.]
[B03XA04, peginesatide, Memantine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Memantine.]
[G04BD12, mirabegron, Memantine may increase the neuromuscular blocking activities of Mirabegron.]
[L02BB04, enzalutamide, Memantine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[A02AA05, magnesium silicate, Magnesium silicate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02AC02, calcium silicate, Calcium silicate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[H02AA01, aldosterone, The therapeutic efficacy of Memantine can be decreased when used in combination with Aldosterone.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Memantine.]
[D02BA02, octinoxate, Memantine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Memantine may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Memantine.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Memantine.]
[G04BD10, darifenacin, The therapeutic efficacy of Darifenacin can be decreased when used in combination with Memantine.]
[V09IX04, fluorodeoxyglucose F18, Memantine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Memantine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Memantine.]
[A16AX08, teduglutide, Memantine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Memantine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Memantine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Memantine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Memantine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Memantine.]
[L03AA12, ancestim, Memantine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N04AC01, benztropine, The therapeutic efficacy of Benzatropine can be decreased when used in combination with Memantine.]
[L01EC02, dabrafenib, The serum concentration of Memantine can be increased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01EE01, trametinib, Memantine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Memantine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Memantine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[J05AJ03, dolutegravir, The serum concentration of Memantine can be increased when it is combined with Dolutegravir.]
[A10BJ03, lixisenatide, Memantine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Memantine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Memantine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Memantine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Memantine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, Memantine may increase the bradycardic activities of Acebutolol.]
[N05CH03, tasimelteon, Memantine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Memantine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Memantine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Memantine may increase the bradycardic activities of Betaxolol.]
[V03AB34, fomepizole, Memantine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be decreased when used in combination with Memantine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Memantine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Memantine.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Memantine is combined with Methacholine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Memantine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Memantine.]
[S03AA06, gentamicin, Memantine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Memantine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L01EX08, lenvatinib, The serum concentration of Memantine can be increased when it is combined with Lenvatinib.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Memantine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Memantine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Memantine can be decreased when used in combination with Brexpiprazole.]
[A06AD03, magnesium peroxide, Magnesium peroxide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AX15, cariprazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01EC01, acetazolamide, The excretion of Memantine can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V03AB37, idarucizumab, Memantine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Memantine.]
[J02AC05, isavuconazole, The serum concentration of Memantine can be increased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Memantine.]
[L01XG03, ixazomib, Memantine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Memantine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Memantine.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02AB06, aloglutamol, Aloglutamol may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Memantine.]
[N05BA08, bromazepam, Memantine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Almasilate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02AB03, aluminum phosphate, Aluminium phosphate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be decreased when combined with Memantine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Levobupivacaine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AA19, bupranolol, Memantine may increase the bradycardic activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Memantine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Memantine.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Memantine.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03CC12, bambuterol, Memantine may increase the neuromuscular blocking activities of Bambuterol.]
[A06AH05, naldemedine, Memantine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Memantine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01HA02, benoxinate, Memantine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R05DB01, benzonatate, Memantine may increase the neuromuscular blocking activities of Benzonatate.]
[P01CA02, benznidazole, Memantine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Memantine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Memantine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Memantine is combined with Bethanechol.]
[J01MA23, delafloxacin, Memantine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Memantine is combined with Acetylcholine.]
[L01BC06, capecitabine, Memantine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Memantine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AB07, bisoprolol, Memantine may increase the bradycardic activities of Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Memantine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AA17, bopindolol, Memantine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Memantine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The therapeutic efficacy of Memantine can be decreased when used in combination with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Memantine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Memantine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Memantine is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The serum concentration of Memantine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Memantine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Memantine.]
[C07AG02, carvedilol, Memantine may increase the bradycardic activities of Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Memantine.]
[L04AA37, baricitinib, Memantine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[V03AE10, sodium zirconium cyclosilicate, Sodium zirconium cyclosilicate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01GB14, plazomicin, Memantine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Memantine may increase the bradycardic activities of Celiprolol.]
[P01BA07, tafenoquine, The serum concentration of Memantine can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Memantine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Memantine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N01BA04, chloroprocaine, Memantine may increase the neuromuscular blocking activities of Chloroprocaine.]
[D08AE05, chloroxylenol, Memantine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Memantine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Memantine.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Memantine.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Memantine is combined with Amifampridine.]
[A06AX05, prucalopride, Memantine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Memantine.]
[A09AB04, citric acid, The excretion of Memantine can be decreased when combined with Citric acid.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Memantine.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Memantine.]
[N06BA14, solriamfetol, Memantine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The serum concentration of Memantine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Memantine.]
[H02AB14, cloprednol, The therapeutic efficacy of Memantine can be decreased when used in combination with Cloprednol.]
[H02AB17, cortivazol, The therapeutic efficacy of Memantine can be decreased when used in combination with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Memantine.]
[N07XX11, pitolisant, Memantine may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Memantine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[H02AB13, deflazacort, The therapeutic efficacy of Memantine can be decreased when used in combination with Deflazacort.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Memantine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Memantine.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Memantine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M09AX08, golodirsen, Memantine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Memantine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
