[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Tixocortol.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Indacaterol.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AX09, viloxazine, Tixocortol may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Tixocortol.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Tixocortol.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Tixocortol.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[B01AA03, warfarin, Tixocortol may increase the anticoagulant activities of Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Tixocortol.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Brentuximab vedotin is combined with Tixocortol.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Tixocortol.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Trovafloxacin.]
[G03AC10, drospirenone, The serum concentration of Tixocortol can be increased when it is combined with Drospirenone.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Tixocortol.]
[N02BA01, aspirin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Tixocortol.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Tixocortol.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Tixocortol.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Tixocortol.]
[J02AC03, voriconazole, The serum concentration of Tixocortol can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Tixocortol.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Tixocortol is combined with Prednylidene.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Tixocortol.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Tixocortol.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Tixocortol.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Tixocortol.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Tixocortol.]
[A08AA11, lorcaserin, Lorcaserin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G04BD12, mirabegron, Mirabegron may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Tixocortol.]
[L02BB04, enzalutamide, Enzalutamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Bosutinib is combined with Tixocortol.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Tixocortol.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Tixocortol.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Tixocortol.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Tixocortol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Tixocortol.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06DA02, donepezil, The therapeutic efficacy of Donepezil can be decreased when used in combination with Tixocortol.]
[L04AA29, tofacitinib, Tixocortol may increase the immunosuppressive activities of Tofacitinib.]
[V09IX04, fluorodeoxyglucose F18, Tixocortol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Ponatinib is combined with Tixocortol.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BH04, alogliptin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Tixocortol.]
[C03AA01, bendroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tixocortol.]
[N02BA10, benorilate, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Tixocortol.]
[J01MA15, gemifloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Pramlintide.]
[L03AA12, ancestim, Tixocortol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Tixocortol.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Benzydamine.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Tixocortol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BJ03, lixisenatide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Lixisenatide.]
[C02KX04, macitentan, Macitentan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Tixocortol.]
[N06AX26, vortioxetine, Vortioxetine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03AC08, etonogestrel, The serum concentration of Tixocortol can be increased when it is combined with Etonogestrel.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BK01, dapagliflozin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Droxidopa.]
[N05CH03, tasimelteon, Tasimelteon may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Apremilast is combined with Tixocortol.]
[L02BG02, formestane, The risk or severity of edema formation can be increased when Formestane is combined with Tixocortol.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Tixocortol.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Tixocortol.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BJ04, albiglutide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Tixocortol.]
[L01ED02, ceritinib, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Ceritinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Tixocortol.]
[B01AA07, acenocoumarol, Tixocortol may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Tixocortol.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Idelalisib is combined with Tixocortol.]
[A10BK03, empagliflozin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Tixocortol is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BJ05, dulaglutide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Tixocortol.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Tixocortol.]
[S03AA06, gentamicin, Tixocortol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Tixocortol.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Olaparib is combined with Tixocortol.]
[B01AA01, dicumarol, Tixocortol may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Edoxaban may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Tixocortol.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Tixocortol.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Tixocortol.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Tixocortol.]
[B01AA11, tioclomarol, Tixocortol may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BF01, acarbose, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin degludec.]
[V03AB37, idarucizumab, Tixocortol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Tixocortol.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Tixocortol.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tixocortol.]
[L01XG03, ixazomib, Tixocortol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Acetohexamide.]
[M04AB05, lesinurad, Tixocortol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ixekizumab.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Tixocortol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Levobupivacaine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Tixocortol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Tixocortol.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Tixocortol.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Sparfloxacin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Brodalumab.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Tixocortol.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ocrelizumab.]
[A06AH05, naldemedine, Tixocortol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Tixocortol may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BX06, benfluorex, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Benfluorex.]
[H05BX05, calcifediol, The therapeutic efficacy of Calcifediol can be decreased when used in combination with Tixocortol.]
[D05AX03, calcitriol, The therapeutic efficacy of Calcitriol can be decreased when used in combination with Tixocortol.]
[P01CA02, benznidazole, Tixocortol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Tixocortol.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Tixocortol.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N07XX13, valbenazine, Tixocortol may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Tixocortol.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Tixocortol.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Tixocortol.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Bitolterol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Tixocortol.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Tixocortol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Tixocortol.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Bumadizone.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Tixocortol is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Semaglutide.]
[N01BX04, capsaicin, The therapeutic efficacy of Capsaicin can be decreased when used in combination with Tixocortol.]
[A10BK04, ertugliflozin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Ertugliflozin.]
[R06AX18, acrivastine, Tixocortol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Tixocortol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tixocortol.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Tixocortol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Tixocortol is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01GB14, plazomicin, Tixocortol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Celiprolol.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N03AX17, stiripentol, Tixocortol may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BB06, carbutamide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Carbutamide.]
[D08AE05, chloroxylenol, Tixocortol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Tixocortol.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ravulizumab.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
