[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Frovatriptan.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Frovatriptan is combined with Xenon.]
[C03BA10, xipamide, Frovatriptan may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Frovatriptan can be increased when it is combined with Vemurafenib.]
[J01MA13, trovafloxacin, The metabolism of Frovatriptan can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Frovatriptan.]
[G04BD07, tolterodine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Frovatriptan may decrease the antihypertensive activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Frovatriptan can be decreased when combined with Peginterferon alfa-2a.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Atracurium.]
[S01FA01, atropine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Frovatriptan.]
[L04AX01, azathioprine, The metabolism of Frovatriptan can be decreased when combined with Azathioprine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Frovatriptan is combined with Mirabegron.]
[L04AA31, teriflunomide, The serum concentration of Frovatriptan can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Barbital.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Frovatriptan.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Rasagiline.]
[C08CA13, lercanidipine, Frovatriptan may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Frovatriptan.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N02CC03, zolmitriptan, The risk or severity of vasospastic reactions can be increased when Frovatriptan is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Diethyl ether.]
[C03AA01, bendroflumethiazide, Frovatriptan may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Frovatriptan is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Frovatriptan can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Frovatriptan can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Frovatriptan can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Frovatriptan.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Frovatriptan.]
[N04AC01, benztropine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levomilnacipran.]
[C08EA02, bepridil, Frovatriptan may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Frovatriptan may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Frovatriptan may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Frovatriptan can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Frovatriptan can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Frovatriptan may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, Frovatriptan may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Frovatriptan can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Frovatriptan can be decreased when combined with Betaxolol.]
[C02CC01, bethanidine, Frovatriptan may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Frovatriptan can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Frovatriptan.]
[L01XH04, belinostat, The metabolism of Frovatriptan can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Olodaterol.]
[D11AA01, glycopyrronium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Acepromazine.]
[N04AA02, biperiden, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Frovatriptan.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dicoumarol.]
[N06AX11, mirtazapine, Frovatriptan may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Frovatriptan can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, The metabolism of Frovatriptan can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tioclomarol.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Frovatriptan is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Frovatriptan is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Frovatriptan.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Acetophenazine.]
[L01EB04, osimertinib, The serum concentration of Frovatriptan can be decreased when it is combined with Osimertinib.]
[B01AC27, selexipag, Frovatriptan may decrease the antihypertensive activities of Selexipag.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Bromazepam.]
[N04BC01, bromocriptine, Bromocriptine may increase the vasoconstricting activities of Frovatriptan.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Frovatriptan.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Amineptine.]
[C08CA01, amlodipine, Frovatriptan may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Frovatriptan can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Frovatriptan.]
[C07AA19, bupranolol, Frovatriptan may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Frovatriptan.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Frovatriptan.]
[S01GX07, azelastine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Frovatriptan can be increased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Frovatriptan is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Frovatriptan.]
[N02BF02, pregabalin, The therapeutic efficacy of Frovatriptan can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Frovatriptan can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Frovatriptan may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Frovatriptan.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Frovatriptan.]
[L04AB02, infliximab, The metabolism of Frovatriptan can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Safinamide.]
[L01XX59, enasidenib, The metabolism of Frovatriptan can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Frovatriptan may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Frovatriptan.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Frovatriptan.]
[N04AA11, bornaprine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Frovatriptan is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Frovatriptan can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vinylbital.]
[C09AA01, captopril, Frovatriptan may decrease the antihypertensive activities of Captopril.]
[N03AF01, carbamazepine, The metabolism of Frovatriptan can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Frovatriptan.]
[L03AB06, interferon alfa-n1, The metabolism of Frovatriptan can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Frovatriptan.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Frovatriptan.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Frovatriptan.]
[C07AB08, celiprolol, Frovatriptan may decrease the antihypertensive activities of Celiprolol.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Frovatriptan.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Frovatriptan is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Frovatriptan.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Frovatriptan.]
[R03BB08, revefenacin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Frovatriptan can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Frovatriptan can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Frovatriptan can be decreased when used in combination with Gilteritinib.]
[C09AA08, cilazapril, Frovatriptan may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Frovatriptan.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Frovatriptan can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Frovatriptan.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Frovatriptan is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Frovatriptan.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Frovatriptan.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cloxazolam.]
[C09CA06, candesartan, Frovatriptan may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Frovatriptan can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cyamemazine.]
[C03BX03, cicletanine, Frovatriptan may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Frovatriptan.]
[N07XX11, pitolisant, The metabolism of Frovatriptan can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Frovatriptan.]
[C03AA09, cyclothiazide, Frovatriptan may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Frovatriptan can be increased when combined with Insulin pork.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Frovatriptan.]
[A16AX16, givosiran, The serum concentration of Frovatriptan can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Frovatriptan.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Frovatriptan can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Frovatriptan can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Frovatriptan can be decreased when combined with Osilodrostat.]
[J01MB04, pipemidic acid, The metabolism of Frovatriptan can be decreased when combined with Pipemidic acid.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Frovatriptan is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Frovatriptan.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Frovatriptan.]
[M01AH02, rofecoxib, The metabolism of Frovatriptan can be decreased when combined with Rofecoxib.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Frovatriptan.]
[C02AA06, methoserpidine, Frovatriptan may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Frovatriptan can be decreased when combined with Capmatinib.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Dopexamine.]
[G04BD09, trospium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Frovatriptan is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Frovatriptan is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Frovatriptan.]
[C08CA17, levamlodipine, Frovatriptan may decrease the antihypertensive activities of Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Remimazolam.]
[N07XX04, sodium oxybate, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Frovatriptan can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Frovatriptan is combined with Oliceridine.]
[C03AA04, chlorothiazide, Frovatriptan may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Frovatriptan may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Frovatriptan.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Frovatriptan is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Frovatriptan.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Frovatriptan is combined with Etofenamate.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Frovatriptan is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Frovatriptan can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Frovatriptan can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Frovatriptan.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Fenbufen.]
