[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[A12CC09, magnesium orotate, The risk or severity of hypotension can be increased when Magnesium orotate is combined with Amlodipine.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Amlodipine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Pramlintide.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Amlodipine.]
[A12CC05, magnesium aspartate, The risk or severity of hypotension can be increased when Magnesium aspartate is combined with Amlodipine.]
[L01EC02, dabrafenib, The metabolism of Amlodipine can be increased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Amlodipine.]
[C08EA02, bepridil, Amlodipine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, Amlodipine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Lixisenatide.]
[C02KX04, macitentan, Amlodipine may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Amlodipine.]
[N03AF04, eslicarbazepine, The metabolism of Amlodipine can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Amlodipine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Dapagliflozin.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Amlodipine.]
[C07AB04, acebutolol, Amlodipine may increase the arrhythmogenic activities of Acebutolol.]
[A16AA07, metreleptin, The metabolism of Amlodipine can be increased when combined with Metreleptin.]
[L02BG02, formestane, The metabolism of Amlodipine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Amlodipine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Amlodipine.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Amlodipine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Albiglutide.]
[L01ED02, ceritinib, Amlodipine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Amlodipine may increase the arrhythmogenic activities of Hyoscyamine.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Empagliflozin.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Amlodipine.]
[S01EE02, unoprostone, Amlodipine may increase the hypotensive activities of Unoprostone.]
[N05AA04, acepromazine, The risk or severity of hypotension can be increased when Acepromazine is combined with Amlodipine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Amlodipine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Dulaglutide.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Amlodipine.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Amlodipine.]
[N02BE01, acetaminophen, The metabolism of Amlodipine can be increased when combined with Acetaminophen.]
[C01EB17, ivabradine, Amlodipine may increase the bradycardic activities of Ivabradine.]
[N05AX16, brexpiprazole, The risk or severity of hypotension can be increased when Brexpiprazole is combined with Amlodipine.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Amlodipine.]
[A06AD03, magnesium peroxide, The risk or severity of hypotension can be increased when Magnesium peroxide is combined with Amlodipine.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Amlodipine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Acarbose.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Amlodipine.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Amlodipine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin degludec.]
[J02AC05, isavuconazole, The metabolism of Amlodipine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Amlodipine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Acetohexamide.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Amlodipine.]
[N05CA05, aprobarbital, The metabolism of Amlodipine can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Amlodipine.]
[L01XX52, venetoclax, The metabolism of Amlodipine can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The risk or severity of hypotension can be increased when Bromocriptine is combined with Amlodipine.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Amlodipine.]
[S01AA13, fusidic acid, The metabolism of Amlodipine can be decreased when combined with Fusidic acid.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Amlodipine.]
[C07AA19, bupranolol, Amlodipine may increase the arrhythmogenic activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Amlodipine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Amlodipine may increase the bradycardic activities of Rivastigmine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Amlodipine.]
[L01EF02, ribociclib, The metabolism of Amlodipine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Amlodipine.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Amlodipine.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Amlodipine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Benfluorex.]
[D05AX03, calcitriol, The metabolism of Amlodipine can be increased when combined with Calcitriol.]
[G04BA03, calcium chloride, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Amlodipine.]
[J05AE09, tipranavir, The metabolism of Amlodipine can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium gluconate.]
[L01EX10, midostaurin, The metabolism of Amlodipine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Amlodipine.]
[D01AC10, bifonazole, The therapeutic efficacy of Bifonazole can be increased when used in combination with Amlodipine.]
[P03AC02, bioallethrin, Amlodipine may increase the arrhythmogenic activities of Bioallethrin.]
[L01XX59, enasidenib, The metabolism of Amlodipine can be increased when combined with Enasidenib.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Amlodipine.]
[J05AG03, efavirenz, The serum concentration of Amlodipine can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of bradycardia can be increased when Amlodipine is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Nesiritide.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Canrenone.]
[R03BA02, budesonide, The metabolism of Amlodipine can be increased when combined with Budesonide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Amlodipine.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Amlodipine.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Amlodipine.]
[C01AA02, acetyldigoxins, Amlodipine may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Semaglutide.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Ertugliflozin.]
[C09AA01, captopril, Amlodipine may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Amlodipine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Amlodipine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Amlodipine.]
[C07AG02, carvedilol, Amlodipine may increase the arrhythmogenic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Amlodipine.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Amlodipine.]
[C07AB08, celiprolol, Amlodipine may increase the arrhythmogenic activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Amlodipine can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Amlodipine can be decreased when combined with Stiripentol.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Carbutamide.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Amlodipine.]
[L01ED05, lorlatinib, The metabolism of Amlodipine can be increased when combined with Lorlatinib.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Amlodipine.]
[C01BG07, cifenline, Amlodipine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Amlodipine may increase the hypotensive activities of Cilazapril.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Amlodipine.]
[S01ED05, carteolol, Amlodipine may increase the arrhythmogenic activities of Carteolol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Amlodipine.]
[J01FA09, clarithromycin, The risk or severity of adverse effects can be increased when Clarithromycin is combined with Amlodipine.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Amlodipine.]
[N05BA09, clobazam, The metabolism of Amlodipine can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Amlodipine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Amlodipine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Amlodipine may increase the hypotensive activities of Candesartan.]
[A12CC06, magnesium lactate, The risk or severity of hypotension can be increased when Magnesium lactate is combined with Amlodipine.]
[H02AB17, cortivazol, The metabolism of Amlodipine can be increased when combined with Cortivazol.]
[C03BX03, cicletanine, Amlodipine may increase the arrhythmogenic activities of Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Amlodipine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Amlodipine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Amlodipine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Amlodipine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Amlodipine.]
[J01DB09, cephradine, The metabolism of Amlodipine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Amlodipine can be increased when combined with Deflazacort.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Amlodipine.]
[N03AX25, cenobamate, The metabolism of Amlodipine can be increased when combined with Cenobamate.]
[J05AE05, amprenavir, The metabolism of Amlodipine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Amlodipine.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Amlodipine.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Amlodipine.]
[M01AH02, rofecoxib, The metabolism of Amlodipine can be increased when combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Amlodipine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, Amlodipine may increase the arrhythmogenic activities of Dronedarone.]
[C02AA06, methoserpidine, Amlodipine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Amlodipine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Amlodipine is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Amlodipine.]
[D07XB03, fluprednidene, The metabolism of Amlodipine can be increased when combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Amlodipine.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Amlodipine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Amlodipine.]
[C08CA17, levamlodipine, Amlodipine may increase the hypotensive activities of Levamlodipine.]
[L04AC19, satralizumab, The serum concentration of Amlodipine can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The metabolism of Amlodipine can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, The metabolism of Amlodipine can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the hypotensive activities of Amlodipine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Amlodipine.]
[N06BX18, vinpocetine, Amlodipine may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Amlodipine.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Amlodipine.]
[B06AC06, berotralstat, The metabolism of Amlodipine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Amlodipine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Amlodipine may increase the arrhythmogenic activities of Hydroquinine.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Amlodipine.]
[P03AX07, abametapir, The serum concentration of Amlodipine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Amlodipine is combined with Vericiguat.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Amlodipine.]
[C01CA19, fenoldopam, Amlodipine may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Amlodipine.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Amlodipine.]
[R03BA03, flunisolide, The metabolism of Amlodipine can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Amlodipine can be increased when combined with Fluocinolone acetonide.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Amlodipine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Amlodipine.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Amlodipine.]
[H04AA02, dasiglucagon, Amlodipine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Amlodipine can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, Amlodipine may increase the arrhythmogenic activities of Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Amlodipine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Amlodipine can be decreased when combined with Ciprofloxacin.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Finerenone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Amlodipine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Amlodipine is combined with Mobocertinib.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Amlodipine.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Gliquidone.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Amlodipine.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of Amlodipine can be increased when combined with St. John's Wort.]
[C10AB01, clofibrate, The metabolism of Amlodipine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Amlodipine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Levobupivacaine.]
[N06AA04, clomipramine, Clomipramine may decrease the antihypertensive activities of Amlodipine.]
[S01EA04, clonidine, Clonidine may increase the atrioventricular blocking (AV block) activities of Amlodipine.]
[C01EB24, mavacamten, The metabolism of Amlodipine can be increased when combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Tirzepatide.]
[J02AC06, oteseconazole, The therapeutic efficacy of Oteseconazole can be increased when used in combination with Amlodipine.]
[N05AH02, clozapine, The metabolism of Amlodipine can be increased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Amlodipine can be increased when combined with Somatrogon.]
[C02KB01, metyrosine, Amlodipine may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Amlodipine.]
[C01BA13, hydroquinidine, Amlodipine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, The risk or severity of hypotension can be increased when Hydrotalcite is combined with Amlodipine.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Amlodipine.]
[A04AA03, tropisetron, Amlodipine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Amlodipine.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Amlodipine.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin glargine.]
[J01FA15, telithromycin, The risk or severity of adverse effects can be increased when Telithromycin is combined with Amlodipine.]
