[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Clobazam may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Trifluoperazine.]
[S01AD02, trifluridine, Clobazam may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Clobazam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Clobazam.]
[J01EA01, trimethoprim, Clobazam may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Clobazam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Clobazam is combined with Triprolidine.]
[A03BB01, butylscopolamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Clobazam can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Clobazam.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Clobazam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Clobazam is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be increased when combined with Clobazam.]
[L01FX04, ipilimumab, Clobazam may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Clobazam.]
[R02AA14, oxyquinoline, Clobazam may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Clobazam can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Clobazam can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Clobazam can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Clobazam.]
[S01AA28, vancomycin, Clobazam may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Clobazam is combined with Ezogabine.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Clobazam.]
[R03AC18, indacaterol, The serum concentration of Indacaterol can be increased when it is combined with Clobazam.]
[B01AC24, ticagrelor, The serum concentration of Clobazam can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Clobazam can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Clobazam can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Clobazam.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Clobazam.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Clobazam.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Clobazam.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Clobazam.]
[J05AE02, indinavir, The metabolism of Clobazam can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Clobazam is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Clobazam can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Clobazam.]
[M05BA05, tiludronic acid, Clobazam may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Clobazam may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Clobazam.]
[R03DC01, zafirlukast, The metabolism of Clobazam can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Clobazam can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Clobazam is combined with Ziprasidone.]
[G03AC10, drospirenone, The serum concentration of Drospirenone can be decreased when it is combined with Clobazam.]
[V03AC02, deferiprone, Clobazam may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Clobazam.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Clobazam.]
[J01DH04, doripenem, Clobazam may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Clobazam.]
[J02AC03, voriconazole, The serum concentration of Clobazam can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Clobazam is combined with Atracurium.]
[S01FA01, atropine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Clobazam may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Clobazam.]
[R07AX02, ivacaftor, The serum concentration of Clobazam can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Clobazam may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Clobazam may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Clobazam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Clobazam.]
[J01CA09, azlocillin, The therapeutic efficacy of Clobazam can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Clobazam may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Clobazam.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Clobazam.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Clobazam.]
[L01XG02, carfilzomib, The serum concentration of Clobazam can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Clobazam can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Clobazam can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Clobazam can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Clobazam.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Clobazam.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Barbital.]
[D02BA02, octinoxate, Clobazam may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Clobazam can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Clobazam.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Clobazam is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Clobazam is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Clobazam.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Clobazam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Clobazam.]
[R06AC06, thonzylamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Clobazam.]
[V09IX04, fluorodeoxyglucose F18, Clobazam may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Clobazam is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Clobazam.]
[V08CA11, gadofosveset, Clobazam may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Clobazam.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Clobazam.]
[A16AX08, teduglutide, The serum concentration of Clobazam can be increased when it is combined with Teduglutide.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Clobazam.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Clobazam.]
[A16AX09, glycerol phenylbutyrate, Clobazam may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Clobazam.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Clobazam.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Clobazam is combined with Benperidol.]
[A10BK02, canagliflozin, The serum concentration of Clobazam can be increased when it is combined with Canagliflozin.]
[M04AB03, benzbromarone, The metabolism of Clobazam can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Clobazam.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Clobazam.]
[L03AA12, ancestim, Clobazam may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Clobazam.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Clobazam is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Clobazam.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Clobazam.]
[L01EC02, dabrafenib, The serum concentration of Clobazam can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EE01, trametinib, Clobazam may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Clobazam.]
[V09AX05, florbetapir F-18, Clobazam may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Clobazam can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Clobazam.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Clobazam.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Clobazam.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Clobazam.]
[A10BJ03, lixisenatide, Clobazam may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Clobazam may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Clobazam.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Clobazam.]
[G03AC08, etonogestrel, The serum concentration of Etonogestrel can be decreased when it is combined with Clobazam.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Clobazam is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Clobazam can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Clobazam can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Clobazam.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Clobazam is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Clobazam.]
[C01CA27, droxidopa, Clobazam may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Clobazam.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Clobazam is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Clobazam can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Clobazam can be increased when combined with Apremilast.]
[L02BG02, formestane, Clobazam may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Clobazam can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Clobazam.]
[V03AB34, fomepizole, Clobazam may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Clobazam can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Clobazam.]
[B01AC26, vorapaxar, The serum concentration of Clobazam can be increased when it is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Clobazam.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Clobazam.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Clobazam.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Clobazam is combined with Alfaxalone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[D11AA01, glycopyrronium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05CM19, suvorexant, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Clobazam can be increased when it is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Clobazam can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Naloxegol is combined with Clobazam.]
[N04AA02, biperiden, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Clobazam.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Clobazam.]
[S03AA06, gentamicin, Clobazam may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Clobazam.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Clobazam.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Clobazam.]
[N06AX11, mirtazapine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Clobazam can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Clobazam.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Clobazam.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Clobazam.]
[J05AP07, daclatasvir, The serum concentration of Clobazam can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Clobazam.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A03AA09, difemerine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Clobazam.]
[A07DA06, eluxadoline, The risk or severity of adverse effects can be increased when Eluxadoline is combined with Clobazam.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Clobazam.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Clobazam.]
[A04AD14, rolapitant, The serum concentration of Clobazam can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Clobazam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Clobazam can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Clobazam may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Clobazam.]
[J02AC05, isavuconazole, The serum concentration of Clobazam can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Clobazam.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Clobazam.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Clobazam.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Clobazam.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Clobazam.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Clobazam.]
[M04AB05, lesinurad, Clobazam may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Clobazam.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Clobazam.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Clobazam is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Clobazam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Clobazam is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Clobazam may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Clobazam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Clobazam is combined with Dexbrompheniramine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Clobazam is combined with Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Clobazam.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Clobazam.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Clobazam is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Clobazam.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Clobazam.]
[N07BC01, buprenorphine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Clobazam.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Clobazam.]
[L01XX27, arsenic trioxide, The serum concentration of Clobazam can be increased when it is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Clobazam.]
[M02AA03, clofezone, The metabolism of Clobazam can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Clobazam.]
[R06AX09, azatadine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Clobazam.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Clobazam.]
[L01EF02, ribociclib, The metabolism of Clobazam can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R03DA08, bamifylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Bamifylline.]
[A06AH05, naldemedine, Clobazam may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Clobazam.]
[N02BF02, pregabalin, The therapeutic efficacy of Clobazam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Beclamide.]
[N06BC01, caffeine, The therapeutic efficacy of Clobazam can be decreased when used in combination with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Clobazam may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The therapeutic efficacy of Clobazam can be decreased when used in combination with Linezolid.]
[J05AF06, abacavir, Clobazam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Clobazam can be decreased when combined with Tipranavir.]
