[S02DA03, antipyrine, The protein binding of Chlorpropamide can be decreased when combined with Antipyrine.]
[N05AC02, thioridazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Thioridazine.]
[G04BE06, moxisylyte, Chlorpropamide may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Protirelin.]
[N05AL03, tiapride, Chlorpropamide may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01ED01, timolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Chlorpropamide may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Chlorpropamide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Tolbutamide.]
[M02AA21, tolmetin, The protein binding of Chlorpropamide can be decreased when combined with Tolmetin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AF04, tranylcypromine, The metabolism of Chlorpropamide can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Chlorpropamide.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Chlorpropamide.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Chlorpropamide may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Chlorpropamide may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AA05, triflupromazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Chlorpropamide.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Chlorpropamide.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Chlorpropamide.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Chlorpropamide.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Chlorpropamide.]
[R06AD01, trimeprazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Chlorpropamide.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Chlorpropamide.]
[D05BA01, trioxsalen, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Trioxsalen.]
[R03DX07, roflumilast, Chlorpropamide may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Chlorpropamide may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Chlorpropamide may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, Linagliptin may increase the hypoglycemic activities of Chlorpropamide.]
[J05AG05, rilpivirine, The metabolism of Chlorpropamide can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Chlorpropamide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Chlorpropamide may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Chlorpropamide may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Chlorpropamide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Chlorpropamide.]
[N06AX09, viloxazine, Chlorpropamide may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[B01AA03, warfarin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Warfarin.]
[C03BA10, xipamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The excretion of Zidovudine can be decreased when combined with Chlorpropamide.]
[J05AE02, indinavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M05BA05, tiludronic acid, Chlorpropamide may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Chlorpropamide may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[R03DC01, zafirlukast, The metabolism of Chlorpropamide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Chlorpropamide may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01XA15, ascorbic acid, Ascorbic acid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Drospirenone.]
[V03AC02, deferiprone, Chlorpropamide may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Chlorpropamide.]
[L01EJ01, ruxolitinib, Chlorpropamide may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Chlorpropamide may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Chlorpropamide may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The serum concentration of Chlorpropamide can be increased when it is combined with Voriconazole.]
[M01CB03, auranofin, Chlorpropamide may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Chlorpropamide.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Chlorpropamide.]
[B03XA04, peginesatide, Chlorpropamide may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Chlorpropamide may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Chlorpropamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Chlorpropamide.]
[M03BX01, baclofen, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Baclofen.]
[A08AA11, lorcaserin, Chlorpropamide may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Chlorpropamide may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, The serum concentration of Chlorpropamide can be decreased when it is combined with Enzalutamide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Chlorpropamide.]
[L01EX05, regorafenib, The metabolism of Chlorpropamide can be decreased when combined with Regorafenib.]
[D02BA02, octinoxate, Chlorpropamide may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Chlorpropamide.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Chlorpropamide.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Chlorpropamide.]
[V09IX04, fluorodeoxyglucose F18, Chlorpropamide may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Chlorpropamide.]
[H01CB05, pasireotide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Chlorpropamide can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Chlorpropamide may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Chlorpropamide.]
[A16AX08, teduglutide, Chlorpropamide may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Chlorpropamide.]
[A10BH04, alogliptin, Alogliptin may increase the hypoglycemic activities of Chlorpropamide.]
[A16AX09, glycerol phenylbutyrate, Chlorpropamide may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Chlorpropamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Chlorpropamide.]
[N02BA10, benorilate, The protein binding of Chlorpropamide can be decreased when combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Chlorpropamide.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Chlorpropamide can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Chlorpropamide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Pramlintide.]
[L03AA12, ancestim, Chlorpropamide may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The protein binding of Chlorpropamide can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Chlorpropamide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The protein binding of Chlorpropamide can be decreased when combined with Benzydamine.]
[L01EE01, trametinib, Chlorpropamide may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Parathyroid hormone.]
[V09AX05, florbetapir F-18, Chlorpropamide may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Chlorpropamide.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Chlorpropamide.]
[A10BJ03, lixisenatide, Lixisenatide may increase the hypoglycemic activities of Chlorpropamide.]
[C02KX04, macitentan, Chlorpropamide may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Chlorpropamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Simeprevir.]
[J05AP08, sofosbuvir, Chlorpropamide may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Chlorpropamide.]
[C01CA27, droxidopa, Chlorpropamide may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Chlorpropamide may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, Metreleptin may increase the hypoglycemic activities of Chlorpropamide.]
[L04AA32, apremilast, The metabolism of Chlorpropamide can be increased when combined with Apremilast.]
[L02BG02, formestane, Chlorpropamide may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Chlorpropamide.]
[S01ED02, betaxolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Chlorpropamide may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of hypoglycemia can be increased when Bezafibrate is combined with Chlorpropamide.]
[A10BJ04, albiglutide, Albiglutide may increase the hypoglycemic activities of Chlorpropamide.]
[L04AC11, siltuximab, The metabolism of Chlorpropamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Acenocoumarol.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Chlorpropamide.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Chlorpropamide.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01XA05, oritavancin, The metabolism of Chlorpropamide can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AA04, acepromazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Acepromazine.]
[A10BJ05, dulaglutide, Dulaglutide may increase the hypoglycemic activities of Chlorpropamide.]
[D05BA03, 5-methoxypsoralen, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bergapten.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Chlorpropamide.]
[S03AA06, gentamicin, Chlorpropamide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Dicoumarol.]
[B01AF03, edoxaban, Chlorpropamide may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The metabolism of Chlorpropamide can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[B01AA11, tioclomarol, Chlorpropamide may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Chlorpropamide.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Chlorpropamide.]
[M02AA25, aceclofenac, The protein binding of Chlorpropamide can be decreased when combined with Aceclofenac.]
[M01AB11, acemetacin, The protein binding of Chlorpropamide can be decreased when combined with Acemetacin.]
[S01EC01, acetazolamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin degludec.]
[N05AB07, acetophenazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Chlorpropamide can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Chlorpropamide may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Chlorpropamide.]
[J02AC05, isavuconazole, The metabolism of Chlorpropamide can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Chlorpropamide.]
[L01XG03, ixazomib, Chlorpropamide may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Acetohexamide.]
[M04AB05, lesinurad, Chlorpropamide may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The protein binding of Chlorpropamide can be decreased when combined with Alminoprofen.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Chlorpropamide.]
[N03AX23, brivaracetam, Chlorpropamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Chlorpropamide may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Chlorpropamide may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Chlorpropamide.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Chlorpropamide.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Chlorpropamide.]
[C03CA02, bumetanide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Bumetanide.]
[N01BB01, bupivacaine, Chlorpropamide may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Chlorpropamide.]
[L02AE01, buserelin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Buserelin.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Chlorpropamide.]
[M02AA03, clofezone, Chlorpropamide may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Chlorpropamide.]
[L01XK03, rucaparib, The metabolism of Chlorpropamide can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Chlorpropamide.]
[A06AH05, naldemedine, Chlorpropamide may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Chlorpropamide may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Chlorpropamide.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Chlorpropamide.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Benfluorex.]
[P01CA02, benznidazole, Chlorpropamide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Chlorpropamide.]
[J05AF06, abacavir, Chlorpropamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Benzylthiouracil.]
[N07XX13, valbenazine, Chlorpropamide may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Chlorpropamide can be increased when combined with Infliximab.]
[H05AA04, abaloparatide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Abaloparatide.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Chlorpropamide.]
[J01MA23, delafloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Chlorpropamide can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Chlorpropamide can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Chlorpropamide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C07AA17, bopindolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Bopindolol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Chlorpropamide.]
[M01AB07, bumadizone, The protein binding of Chlorpropamide can be decreased when combined with Bumadizone.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Chlorpropamide.]
[A10BJ06, semaglutide, Semaglutide may increase the hypoglycemic activities of Chlorpropamide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Ertugliflozin.]
[R06AX18, acrivastine, Chlorpropamide may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Chlorpropamide.]
[L02BB05, apalutamide, Chlorpropamide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Chlorpropamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[H03BB01, carbimazole, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Carbimazole.]
[R05CB03, carbocysteine, The risk or severity of adverse effects can be increased when Chlorpropamide is combined with Carbocisteine.]
[C07AG02, carvedilol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Chlorpropamide can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Chlorpropamide can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Chlorpropamide may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
