[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[N05AC02, thioridazine, Thioridazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Doxepin.]
[B02AB01, aprotinin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Doxepin is combined with Moxisylyte.]
[B03AB03, sodium ironedetate, Doxepin can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CJ01, thyrotropin, The risk or severity of Cardiac Arrhythmia can be increased when Thyrotropin is combined with Doxepin.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[B01AC05, ticlopidine, The metabolism of Doxepin can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Doxepin is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Doxepin.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S01AA12, tobramycin, Doxepin may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Doxepin may decrease the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Tolazoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[V04CA01, tolbutamide, Doxepin may decrease the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Tolmetin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic activities of Doxepin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Doxepin.]
[L01XF01, tretinoin, The metabolism of Doxepin can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Doxepin can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Doxepin may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AA05, triflupromazine, The serum concentration of Doxepin can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The serum concentration of Doxepin can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Doxepin.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[R06AC04, tripelennamine, The metabolism of Doxepin can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A03BB01, butylscopolamine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Doxepin can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Doxepin can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Doxepin.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C09CA09, azilsartan medoxomil, Doxepin may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Doxepin.]
[L01FX04, ipilimumab, Doxepin may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Vandetanib.]
[R02AA14, oxyquinoline, Doxepin may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Doxepin can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, Doxepin may decrease the hypoglycemic activities of Linagliptin.]
[J05AP03, boceprevir, The metabolism of Doxepin can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Doxepin can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, Doxepin can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA28, vancomycin, Doxepin may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[B01AF01, rivaroxaban, Doxepin may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Doxepin.]
[B01AC24, ticagrelor, The metabolism of Doxepin can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, Verapamil may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[N06AX09, viloxazine, The metabolism of Doxepin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Doxepin can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Doxepin may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Doxepin.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Doxepin is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Doxepin is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Doxepin can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, Doxepin can cause a decrease in the absorption of Indinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01EC01, vemurafenib, The serum concentration of Doxepin can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[B06AC02, icatibant, Doxepin may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Doxepin can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Doxepin can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Doxepin can be decreased when combined with Rabeprazole.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Doxepin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Doxepin may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Doxepin may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Doxepin may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the orthostatic hypotensive activities of Doxepin.]
[L03AB11, peginterferon alfa-2a, The metabolism of Doxepin can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Doxepin can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01FA01, atropine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Doxepin.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Doxepin.]
[B03XA04, peginesatide, Doxepin may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Doxepin can be decreased when combined with Azathioprine.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[G04BE10, avanafil, Doxepin may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of CNS depression and hypotonia can be increased when Baclofen is combined with Doxepin.]
[A08AA11, lorcaserin, The metabolism of Doxepin can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Doxepin is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Doxepin can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Doxepin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Doxepin can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Doxepin.]
[L01EA04, bosutinib, Doxepin can cause a decrease in the absorption of Bosutinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA31, teriflunomide, The serum concentration of Doxepin can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Doxepin.]
[L01EX05, regorafenib, The metabolism of Doxepin can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Doxepin can be increased when combined with Barbital.]
[D02BA02, octinoxate, Doxepin may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, Doxepin can cause a decrease in the absorption of Nelfinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Doxepin.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic activities of Doxepin.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Doxepin is combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N06DA02, donepezil, The therapeutic efficacy of Doxepin can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AC06, thonzylamine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Doxepin can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Doxepin may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Doxepin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Doxepin.]
[V08CA11, gadofosveset, Doxepin may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Doxepin.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Doxepin.]
[A16AX08, teduglutide, Doxepin may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Doxepin is combined with Bencyclane.]
[A10BH04, alogliptin, Doxepin may decrease the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Doxepin can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G03XC05, ospemifene, The metabolism of Doxepin can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BK02, canagliflozin, Doxepin may decrease the hypoglycemic activities of Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Doxepin can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Doxepin can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Doxepin can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Doxepin can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The risk or severity of Cardiac Arrhythmia can be increased when Tiratricol is combined with Doxepin.]
[A10AE05, insulin detemir, Doxepin may decrease the hypoglycemic activities of Insulin detemir.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Doxepin.]
[L03AA12, ancestim, Doxepin may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Doxepin can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L04AA18, everolimus, The metabolism of Doxepin can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Doxepin can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Benzydamine.]
[L01EE01, trametinib, Doxepin may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V09AX05, florbetapir F-18, Doxepin may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Doxepin can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Doxepin is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of hypotension can be increased when Doxepin is combined with Bepridil.]
[C02KX05, riociguat, Doxepin may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Doxepin may decrease the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Doxepin may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Doxepin.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[D01AC18, luliconazole, The serum concentration of Doxepin can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Doxepin can be decreased when combined with Simeprevir.]
[V03AE05, sucroferric oxyhydroxide, Doxepin can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Doxepin may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BK01, dapagliflozin, Doxepin may decrease the hypoglycemic activities of Dapagliflozin.]
[C01CA27, droxidopa, Doxepin may increase the vasopressor activities of Droxidopa.]
[C07AB04, acebutolol, Acebutolol may increase the orthostatic hypotensive activities of Doxepin.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A16AA07, metreleptin, The metabolism of Doxepin can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Doxepin can be increased when combined with Apremilast.]
[L02BG02, formestane, Doxepin may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Doxepin.]
[A16AA06, betaine, The therapeutic efficacy of Doxepin can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, Betaxolol may increase the orthostatic hypotensive activities of Doxepin.]
[V03AB34, fomepizole, Doxepin may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Doxepin.]
[A10BJ04, albiglutide, Doxepin may decrease the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Doxepin can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Doxepin can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Doxepin may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Doxepin is combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Doxepin can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BK03, empagliflozin, Doxepin may decrease the hypoglycemic activities of Empagliflozin.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Doxepin.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Doxepin is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05CM19, suvorexant, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Doxepin can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Doxepin can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AA04, acepromazine, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Doxepin may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Doxepin.]
[A10BJ05, dulaglutide, Doxepin may decrease the hypoglycemic activities of Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Doxepin is combined with Naloxegol.]
[N04AA02, biperiden, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Doxepin.]
[V03AE08, ferric citrate, Doxepin can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Doxepin.]
[S03AA06, gentamicin, Doxepin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Doxepin.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Doxepin is combined with Dicoumarol.]
[B01AF03, edoxaban, Doxepin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Doxepin may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Doxepin can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Doxepin can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Doxepin can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[A03AA09, difemerine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Doxepin is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Doxepin can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Doxepin is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Doxepin can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Doxepin.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BF01, acarbose, Doxepin may decrease the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Aceclofenac.]
