[S02DA03, antipyrine, The metabolism of Ibrutinib can be decreased when combined with Antipyrine.]
[J01FA08, troleandomycin, The metabolism of Ibrutinib can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Ibrutinib can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Ibrutinib.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Ibrutinib.]
[L02BX03, abiraterone, The metabolism of Ibrutinib can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Ibrutinib can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ibrutinib can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ibrutinib can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Ibrutinib can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Urokinase.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Ibrutinib.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The metabolism of Ibrutinib can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Ibrutinib can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ibrutinib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Ibrutinib can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Ibrutinib.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Ibrutinib.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Ibrutinib.]
[A11HA03, vitamin E, Vitamin E may increase the antiplatelet activities of Ibrutinib.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ibrutinib.]
[N05AF05, zuclopenthixol, The metabolism of Ibrutinib can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Ibrutinib can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Ibrutinib can be decreased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Ibrutinib can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Ibrutinib can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Ibrutinib can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Ibrutinib can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The metabolism of Ibrutinib can be decreased when combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Ibrutinib.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Ibrutinib.]
[G04BD07, tolterodine, The metabolism of Ibrutinib can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Ibrutinib can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Ibrutinib.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Ibrutinib.]
[J02AC03, voriconazole, The metabolism of Ibrutinib can be decreased when combined with Voriconazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ibrutinib.]
[R07AX02, ivacaftor, The metabolism of Ibrutinib can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Ibrutinib.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Ibrutinib.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ibrutinib.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Ibrutinib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ibrutinib.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Ibrutinib.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Ibrutinib.]
[A08AA11, lorcaserin, The metabolism of Ibrutinib can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Ibrutinib can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Ibrutinib.]
[V03AX03, cobicistat, The metabolism of Ibrutinib can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ibrutinib can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Ibrutinib can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Ibrutinib can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ibrutinib.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Defibrotide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Ibrutinib.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Ibrutinib.]
[L01EX05, regorafenib, The metabolism of Ibrutinib can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The metabolism of Ibrutinib can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ibrutinib.]
[C08CA13, lercanidipine, The metabolism of Ibrutinib can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Ibrutinib can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Ibrutinib can be decreased when combined with Perampanel.]
[L04AA29, tofacitinib, Ibrutinib may increase the immunosuppressive activities of Tofacitinib.]
[G04BD10, darifenacin, The metabolism of Ibrutinib can be decreased when combined with Darifenacin.]
[H01CB05, pasireotide, The metabolism of Ibrutinib can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Ibrutinib can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ibrutinib.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Ibrutinib can be decreased when combined with Lomitapide.]
[A10BH04, alogliptin, The metabolism of Ibrutinib can be decreased when combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ibrutinib can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Ibrutinib.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ibrutinib.]
[G03XC05, ospemifene, The metabolism of Ibrutinib can be decreased when combined with Ospemifene.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Ibrutinib.]
[A06AX06, tegaserod, The metabolism of Ibrutinib can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Ibrutinib.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Ibrutinib can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Ibrutinib can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Ibrutinib can be decreased when combined with Benzatropine.]
[L01EC02, dabrafenib, The metabolism of Ibrutinib can be decreased when combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Benzyl alcohol.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Ibrutinib.]
[N06AX28, levomilnacipran, The metabolism of Ibrutinib can be decreased when combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Ibrutinib can be decreased when combined with Bepridil.]
[L03AA14, lipegfilgrastim, Ibrutinib may increase the myelosuppressive activities of Lipegfilgrastim.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The metabolism of Ibrutinib can be decreased when combined with Fusidic acid.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Ibrutinib.]
[J05AP05, simeprevir, The metabolism of Ibrutinib can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Ibrutinib can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Ibrutinib can be decreased when combined with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Ibrutinib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ibrutinib can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Ibrutinib.]
[S01ED02, betaxolol, The metabolism of Ibrutinib can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Argatroban.]
[L04AC11, siltuximab, The metabolism of Ibrutinib can be decreased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ibrutinib can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Ibrutinib.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Ibrutinib.]
[L01EM01, idelalisib, The metabolism of Ibrutinib can be decreased when combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The metabolism of Ibrutinib can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Ibrutinib can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Ibrutinib.]
[N04AA02, biperiden, The metabolism of Ibrutinib can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ibrutinib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Ibrutinib.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ibrutinib.]
[L01XK01, olaparib, The metabolism of Ibrutinib can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Ibrutinib can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Ibrutinib can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Ibrutinib can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The metabolism of Ibrutinib can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Ibrutinib.]
[N02BE01, acetaminophen, The metabolism of Ibrutinib can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Ibrutinib.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Ibrutinib can be decreased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Ibrutinib.]
[A04AD14, rolapitant, The metabolism of Ibrutinib can be decreased when combined with Rolapitant.]
[S01EC01, acetazolamide, The metabolism of Ibrutinib can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The metabolism of Ibrutinib can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ibrutinib.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Ibrutinib.]
[J02AC05, isavuconazole, The metabolism of Ibrutinib can be decreased when combined with Isavuconazole.]
[J05AP10, elbasvir, The metabolism of Ibrutinib can be decreased when combined with Elbasvir.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Ibrutinib can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The metabolism of Ibrutinib can be decreased when combined with Bromocriptine.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Ibrutinib can be decreased when combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Ibrutinib can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Ibrutinib can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Ibrutinib.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Ibrutinib.]
[P01BE02, artemether, The metabolism of Ibrutinib can be decreased when combined with Artemether.]
[M02AA03, clofezone, The metabolism of Ibrutinib can be decreased when combined with Rabeprazole.]
[S01GX07, azelastine, The metabolism of Ibrutinib can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Ibrutinib can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ibrutinib can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Ibrutinib.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Ibrutinib.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Ibrutinib.]
[J05AE09, tipranavir, The metabolism of Ibrutinib can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Ibrutinib.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ibrutinib.]
[L04AB02, infliximab, The metabolism of Ibrutinib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ibrutinib can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Ibrutinib.]
[L04AC14, sarilumab, The metabolism of Ibrutinib can be decreased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Ibrutinib can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ibrutinib.]
[L01XX59, enasidenib, The metabolism of Ibrutinib can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Ibrutinib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Ibrutinib.]
[J05AG03, efavirenz, The metabolism of Ibrutinib can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Ibrutinib can be decreased when combined with Bopindolol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Ibrutinib.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Ibrutinib.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Ibrutinib.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Ibrutinib.]
[C04AX20, buflomedil, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Buflomedil.]
[L01EL02, acalabrutinib, The metabolism of Ibrutinib can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Ibrutinib can be decreased when combined with Letermovir.]
[N01BX04, capsaicin, The metabolism of Ibrutinib can be decreased when combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Ibrutinib can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Ibrutinib.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Ibrutinib.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Ibrutinib.]
[C07AG02, carvedilol, The metabolism of Ibrutinib can be decreased when combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Ibrutinib can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Ibrutinib can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Ibrutinib.]
[C07AB08, celiprolol, The metabolism of Ibrutinib can be decreased when combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Ibrutinib.]
[L01XX62, ivosidenib, The metabolism of Ibrutinib can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Ibrutinib can be decreased when combined with Tafenoquine.]
[N03AX17, stiripentol, The metabolism of Ibrutinib can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Ibrutinib.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ibrutinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Chloroprocaine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Ibrutinib.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Ibrutinib.]
[L04AA39, emapalumab, The metabolism of Ibrutinib can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Ibrutinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Ibrutinib can be decreased when combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Ibrutinib can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Ibrutinib can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Ibrutinib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Ibrutinib can be decreased when combined with Alpelisib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Ibrutinib can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Ibrutinib can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ibrutinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Ibrutinib.]
[G04BE04, yohimbine, The metabolism of Ibrutinib can be decreased when combined with Yohimbine.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Ibrutinib.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Diroximel fumarate.]
[N03AX25, cenobamate, The metabolism of Ibrutinib can be decreased when combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Ibrutinib can be increased when it is combined with Givosiran.]
[R06AB02, dexchlorpheniramine, The metabolism of Ibrutinib can be decreased when combined with Dexchlorpheniramine.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Ibrutinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Ibrutinib.]
[M01AX21, diacetylrhein, The metabolism of Ibrutinib can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The metabolism of Ibrutinib can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Ibrutinib can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Ibrutinib can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Ibrutinib can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Ibrutinib.]
[N02AA08, dihydrocodeine, The metabolism of Ibrutinib can be decreased when combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Ibrutinib can be decreased when combined with Eletriptan.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Ibrutinib.]
[C08CA16, clevidipine, The metabolism of Ibrutinib can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Ibrutinib can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Ibrutinib can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Ibrutinib.]
[S03AA08, chloramphenicol, The metabolism of Ibrutinib can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ibrutinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Ibrutinib.]
[G04BD09, trospium, The metabolism of Ibrutinib can be decreased when combined with Trospium.]
