[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Propranolol.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Propranolol.]
[R06AC04, tripelennamine, The metabolism of Propranolol can be decreased when combined with Tripelennamine.]
[J01FA08, troleandomycin, The metabolism of Propranolol can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Propranolol can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Propranolol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Propranolol.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Propranolol.]
[L01FX04, ipilimumab, Propranolol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Propranolol.]
[R02AA14, oxyquinoline, Propranolol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Propranolol can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Propranolol.]
[J05AP03, boceprevir, The metabolism of Propranolol can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Propranolol can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Propranolol can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Propranolol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Propranolol may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Propranolol may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, Propranolol may decrease the bronchodilatory activities of Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Propranolol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Propranolol.]
[N06AX09, viloxazine, The metabolism of Propranolol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Propranolol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Propranolol may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Propranolol.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Propranolol can be increased when it is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Propranolol can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Propranolol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The metabolism of Propranolol can be decreased when combined with Pipemidic acid.]
[N05AF05, zuclopenthixol, Propranolol may increase the orthostatic hypotensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Propranolol can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Propranolol can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[M05BA05, tiludronic acid, Propranolol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Propranolol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Propranolol.]
[R03DC01, zafirlukast, The serum concentration of Propranolol can be increased when it is combined with Zafirlukast.]
[A02BC04, rabeprazole, The serum concentration of Propranolol can be increased when it is combined with Rabeprazole.]
[J01MA13, trovafloxacin, The metabolism of Propranolol can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Propranolol is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Propranolol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The serum concentration of Propranolol can be decreased when it is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Propranolol.]
[G04BD07, tolterodine, Propranolol may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Propranolol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Propranolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Propranolol can be decreased when combined with Peginterferon alfa-2a.]
[L01FA01, rituximab, Propranolol may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The serum concentration of Propranolol can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, Propranolol may increase the arrhythmogenic activities of Atropine.]
[M01CB03, auranofin, Propranolol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The serum concentration of Propranolol can be increased when it is combined with Vismodegib.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Propranolol.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Propranolol.]
[H02AB11, prednylidene, The metabolism of Propranolol can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Propranolol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Propranolol may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Propranolol.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Propranolol.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Propranolol.]
[A08AA11, lorcaserin, The metabolism of Propranolol can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Propranolol can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Propranolol can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Propranolol can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Propranolol can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, The serum concentration of Propranolol can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Propranolol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Propranolol.]
[N05CA04, barbital, The serum concentration of Propranolol can be decreased when it is combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Propranolol.]
[D02BA02, octinoxate, Propranolol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Propranolol can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Propranolol.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Propranolol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Propranolol.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Propranolol.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Propranolol.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Propranolol.]
[L04AA29, tofacitinib, Propranolol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The serum concentration of the active metabolites of Zolmitriptan can be reduced when Zolmitriptan is used in combination with Propranolol resulting in a loss in efficacy.]
[G04BD10, darifenacin, The metabolism of Propranolol can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Propranolol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Propranolol.]
[H01CB05, pasireotide, Propranolol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Propranolol can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Propranolol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Propranolol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Propranolol.]
[A16AX08, teduglutide, Propranolol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, Propranolol may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Propranolol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Propranolol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Propranolol.]
[G03XC05, ospemifene, The metabolism of Propranolol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Propranolol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Propranolol.]
[J01MA15, gemifloxacin, The metabolism of Propranolol can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The serum concentration of Propranolol can be increased when it is combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Propranolol can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Propranolol can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Propranolol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Propranolol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Propranolol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Propranolol.]
[L03AA12, ancestim, Propranolol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Propranolol.]
[N02CC02, naratriptan, The metabolism of Naratriptan can be decreased when combined with Propranolol.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Propranolol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA18, everolimus, The metabolism of Propranolol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Propranolol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Propranolol.]
[L01EE01, trametinib, Propranolol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Propranolol.]
[V09AX05, florbetapir F-18, Propranolol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The serum concentration of Propranolol can be increased when it is combined with Levomilnacipran.]
[C08EA02, bepridil, Propranolol may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, Propranolol may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Propranolol.]
[C02KX04, macitentan, Propranolol may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Propranolol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Propranolol.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The serum concentration of Propranolol can be increased when it is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Propranolol can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Propranolol can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Propranolol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Propranolol.]
[C01CA27, droxidopa, Propranolol may decrease the bronchodilatory activities of Droxidopa.]
[C07AB04, acebutolol, Propranolol may increase the arrhythmogenic activities of Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Propranolol.]
[A16AA07, metreleptin, The metabolism of Propranolol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Propranolol can be increased when combined with Apremilast.]
[L02BG02, formestane, Propranolol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Propranolol.]
[S03BA03, betamethasone, The serum concentration of Propranolol can be decreased when it is combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Propranolol.]
[V03AB34, fomepizole, Propranolol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Propranolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Propranolol.]
[L04AC11, siltuximab, The metabolism of Propranolol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Propranolol may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Propranolol.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Propranolol.]
[L01XH04, belinostat, The metabolism of Propranolol can be increased when combined with Belinostat.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Propranolol.]
[R03AC19, olodaterol, Propranolol may decrease the bronchodilatory activities of Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[S01EE02, unoprostone, Propranolol may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Propranolol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The serum concentration of Propranolol can be increased when it is combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05AA04, acepromazine, The serum concentration of Propranolol can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Propranolol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Propranolol.]
[N04AA02, biperiden, The metabolism of Propranolol can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Propranolol.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Propranolol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Propranolol.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Propranolol.]
[B01AF03, edoxaban, Propranolol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Propranolol can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Propranolol can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Propranolol can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Propranolol.]
[N02BE01, acetaminophen, The metabolism of Propranolol can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C01EB17, ivabradine, Propranolol may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Propranolol can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, Propranolol may increase the orthostatic hypotensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Propranolol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Propranolol.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Propranolol.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Propranolol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Propranolol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Propranolol.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Propranolol.]
[N05AB07, acetophenazine, The serum concentration of Propranolol can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The serum concentration of Propranolol can be increased when it is combined with Lansoprazole.]
[V03AB37, idarucizumab, Propranolol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Propranolol.]
[J02AC05, isavuconazole, The serum concentration of Propranolol can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Propranolol can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propranolol.]
[L01XG03, ixazomib, Propranolol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Propranolol may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Propranolol.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Propranolol.]
[M04AB05, lesinurad, Propranolol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Propranolol.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Propranolol.]
[N03AX23, brivaracetam, Propranolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Propranolol can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Propranolol.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Propranolol.]
[A02AD05, aluminum magnesium silicate, Propranolol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Propranolol.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Propranolol.]
[A05AA04, obeticholic acid, The metabolism of Propranolol can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Propranolol.]
[C07AA19, bupranolol, Propranolol may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The serum concentration of Propranolol can be increased when it is combined with Buprenorphine.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Propranolol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Propranolol is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Propranolol may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The serum concentration of Propranolol can be decreased when it is combined with Artemether.]
[M02AA03, clofezone, The serum concentration of Propranolol can be increased when it is combined with Rabeprazole.]
[S01GX07, azelastine, The serum concentration of Propranolol can be increased when it is combined with Azelastine.]
[L01XK03, rucaparib, The serum concentration of Propranolol can be increased when it is combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Propranolol can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Propranolol.]
[R03CC12, bambuterol, Propranolol may decrease the bronchodilatory activities of Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Bamifylline.]
[A06AH05, naldemedine, Propranolol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Propranolol may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Propranolol.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Propranolol is combined with Caffeine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Propranolol.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Propranolol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Propranolol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Propranolol.]
[J05AF06, abacavir, Propranolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Propranolol can be increased when it is combined with Tipranavir.]
