[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tranylcypromine.]
[N04BC07, apomorphine, Tranylcypromine may increase the orthostatic hypotensive activities of Apomorphine.]
[L04AX02, thalidomide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Tranylcypromine.]
[R06AD03, thiethylperazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Thiethylperazine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Tranylcypromine.]
[N05AB08, thioproperazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Tranylcypromine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Tranylcypromine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Tranylcypromine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Tranylcypromine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Tranylcypromine.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Tranylcypromine.]
[M02AX02, tolazoline, Tranylcypromine may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Tranylcypromine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Tranylcypromine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome and seizure can be increased when Tranylcypromine is combined with Tramadol.]
[C01DX11, trapidil, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Trapidil.]
[N06AX05, trazodone, Tranylcypromine may increase the serotonergic activities of Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Tranylcypromine.]
[C03DB02, triamterene, Tranylcypromine may increase the orthostatic hypotensive activities of Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Tranylcypromine may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Tranylcypromine.]
[C02BA01, trimethaphan, Tranylcypromine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Tranylcypromine.]
[N06AA06, trimipramine, Tranylcypromine may increase the serotonergic activities of Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Tranylcypromine.]
[A03BB01, butylscopolamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Tranylcypromine.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome and hypomania can be increased when Tryptophan is combined with Tranylcypromine.]
[C09CA09, azilsartan medoxomil, Tranylcypromine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Tranylcypromine.]
[A10BH05, linagliptin, Tranylcypromine may increase the hypoglycemic activities of Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Tranylcypromine.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Ticagrelor.]
[C08DA01, verapamil, Tranylcypromine may increase the orthostatic hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of hypertension can be increased when Viloxazine is combined with Tranylcypromine.]
[C04AX07, vincamine, Tranylcypromine may increase the hypotensive activities of Vincamine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Tranylcypromine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Tranylcypromine.]
[N01AX15, xenon, The risk or severity of adverse effects can be increased when Xenon is combined with Tranylcypromine.]
[C03BA10, xipamide, Tranylcypromine may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Tranylcypromine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Tranylcypromine.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Levetiracetam.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Tranylcypromine.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Tranylcypromine.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Tranylcypromine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Tranylcypromine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Tranylcypromine.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Tranylcypromine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Tranylcypromine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Tranylcypromine.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Tranylcypromine.]
[M03BX01, baclofen, The risk or severity of hypotension can be increased when Baclofen is combined with Tranylcypromine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Tranylcypromine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Tranylcypromine.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Tranylcypromine.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Octopamine.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Tranylcypromine.]
[S01GA07, brimonidine, The metabolism of Brimonidine can be decreased when combined with Tranylcypromine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Rasagiline.]
[C08CA13, lercanidipine, Tranylcypromine may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Tranylcypromine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Tranylcypromine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Tranylcypromine.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Tranylcypromine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Tranylcypromine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Tranylcypromine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Tranylcypromine.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Apixaban.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Tranylcypromine.]
[C03AA01, bendroflumethiazide, Tranylcypromine may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Tranylcypromine.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Benperidol.]
[A10BK02, canagliflozin, Tranylcypromine may increase the orthostatic hypotensive activities of Canagliflozin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Tranylcypromine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Tranylcypromine.]
[A10BX05, pramlintide, Tranylcypromine may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Tranylcypromine.]
[N02CC02, naratriptan, The metabolism of Naratriptan can be decreased when combined with Tranylcypromine.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Tranylcypromine.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Tranylcypromine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Tranylcypromine.]
[N06AX28, levomilnacipran, Tranylcypromine may increase the serotonergic activities of Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Tranylcypromine.]
[C02KX05, riociguat, Tranylcypromine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Tranylcypromine may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Tranylcypromine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Tranylcypromine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Tranylcypromine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Eslicarbazepine.]
[S01EA03, apraclonidine, Tranylcypromine may increase the alpha-adrenergic activities of Apraclonidine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Tranylcypromine.]
[C01CA27, droxidopa, Tranylcypromine may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Tranylcypromine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Tranylcypromine.]
[N07CA01, betahistine, The metabolism of Betahistine can be decreased when combined with Tranylcypromine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Tranylcypromine.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Argatroban.]
[C02CC01, bethanidine, Tranylcypromine may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, Tranylcypromine may increase the hepatotoxic activities of Bezafibrate.]
[A10BJ04, albiglutide, Tranylcypromine may increase the hypoglycemic activities of Albiglutide.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Tranylcypromine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Tranylcypromine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Alfaxalone.]
[A10BK03, empagliflozin, Tranylcypromine may increase the orthostatic hypotensive activities of Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Tranylcypromine.]
[D11AA01, glycopyrronium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Tranylcypromine.]
[N05AA04, acepromazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Acepromazine.]
[A10BJ05, dulaglutide, Tranylcypromine may increase the hypoglycemic activities of Dulaglutide.]
[N04AA02, biperiden, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Tranylcypromine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Tranylcypromine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Tranylcypromine.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Edoxaban.]
[N06AX11, mirtazapine, Tranylcypromine may increase the serotonergic activities of Mirtazapine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Tranylcypromine.]
[A03AA09, difemerine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Tranylcypromine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Tranylcypromine.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Tranylcypromine.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Tranylcypromine.]
[A10BF01, acarbose, Tranylcypromine may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Tranylcypromine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Tranylcypromine.]
[B01AC27, selexipag, Tranylcypromine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Tranylcypromine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Tranylcypromine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Tranylcypromine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bromazepam.]
[N04BC01, bromocriptine, Tranylcypromine may increase the hypertensive activities of Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Tranylcypromine.]
[N06AA19, amineptin, Tranylcypromine may increase the serotonergic activities of Amineptine.]
[C08CA01, amlodipine, Tranylcypromine may increase the hypotensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Aniracetam.]
[C03CA02, bumetanide, Tranylcypromine may increase the orthostatic hypotensive activities of Bumetanide.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Tranylcypromine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Tranylcypromine.]
[N07BC01, buprenorphine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Buspirone.]
[L01XX27, arsenic trioxide, Tranylcypromine may increase the orthostatic hypotensive activities of Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Tranylcypromine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Tranylcypromine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Tranylcypromine.]
[S01GX07, azelastine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Tranylcypromine.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Tranylcypromine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Beclamide.]
[C09AA07, benazepril, Tranylcypromine may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, Tranylcypromine may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Tranylcypromine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Tranylcypromine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Safinamide.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Tranylcypromine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Tranylcypromine.]
[C07AB07, bisoprolol, Tranylcypromine may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tranylcypromine.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Tranylcypromine.]
[N04AA11, bornaprine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, Tranylcypromine may increase the orthostatic hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Tranylcypromine.]
[N06AA15, butriptyline, Tranylcypromine may increase the serotonergic activities of Butriptyline.]
[A10BJ06, semaglutide, Tranylcypromine may increase the hypoglycemic activities of Semaglutide.]
[A10BK04, ertugliflozin, Tranylcypromine may increase the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vinylbital.]
[C09AA01, captopril, Tranylcypromine may increase the hypotensive activities of Captopril.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tranylcypromine.]
[A03AA03, camylofine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Tranylcypromine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Tranylcypromine.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Tranylcypromine.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Tranylcypromine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Tranylcypromine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Tranylcypromine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Tranylcypromine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Tranylcypromine.]
[N03AX17, stiripentol, The metabolism of Tranylcypromine can be decreased when combined with Stiripentol.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Tranylcypromine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Tranylcypromine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Tranylcypromine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Tranylcypromine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Tranylcypromine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Tranylcypromine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Tranylcypromine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Tranylcypromine can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Tranylcypromine is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Tranylcypromine.]
[C09AA08, cilazapril, Tranylcypromine may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Tranylcypromine.]
[A03FA08, cinitapride, The metabolism of Cinitapride can be decreased when combined with Tranylcypromine.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Tranylcypromine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Tranylcypromine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Tranylcypromine.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Tranylcypromine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Tranylcypromine.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Tranylcypromine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Cloxazolam.]
