[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propafenone.]
[J05AE02, indinavir, The metabolism of Propafenone can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Propafenone can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Propafenone.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Propafenone.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Propafenone.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Drospirenone.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Propafenone.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Propafenone.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Propafenone.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Propafenone can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Propafenone can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Propafenone.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Propafenone.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Propafenone.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Propafenone.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Propafenone.]
[A08AA11, lorcaserin, The metabolism of Propafenone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The metabolism of Propafenone can be decreased when combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Propafenone.]
[V03AX03, cobicistat, The metabolism of Propafenone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Propafenone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Propafenone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Propafenone.]
[L04AA31, teriflunomide, The serum concentration of Propafenone can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Propafenone.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Propafenone.]
[N05CA04, barbital, The serum concentration of Propafenone can be decreased when it is combined with Barbital.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Propafenone.]
[J05AE04, nelfinavir, The metabolism of Propafenone can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Propafenone.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Propafenone.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Propafenone.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Propafenone.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Propafenone.]
[L04AA29, tofacitinib, Propafenone may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Propafenone.]
[G04BD10, darifenacin, The metabolism of Propafenone can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Propafenone is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Propafenone.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Propafenone.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Propafenone.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Propafenone.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Bedaquiline.]
[C04AX11, bencyclane, Propafenone may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Propafenone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Propafenone can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Propafenone may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Propafenone.]
[G03XC05, ospemifene, The metabolism of Propafenone can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Propafenone.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Propafenone.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Propafenone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Propafenone.]
[A06AX06, tegaserod, The metabolism of Propafenone can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Propafenone.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Propafenone.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Propafenone.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Propafenone.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Propafenone.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Propafenone.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Propafenone.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Propafenone.]
[L01EC02, dabrafenib, The serum concentration of Propafenone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Propafenone.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Propafenone.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Propafenone.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Propafenone.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Propafenone.]
[C08EA02, bepridil, Propafenone may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Propafenone.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Propafenone.]
[C02KX04, macitentan, Propafenone may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Propafenone.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Propafenone.]
[J05AP05, simeprevir, The metabolism of Propafenone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Propafenone.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Propafenone.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Propafenone.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Propafenone.]
[A16AA07, metreleptin, The metabolism of Propafenone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Propafenone can be increased when combined with Apremilast.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Propafenone.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Betaxolol.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Propafenone.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Propafenone.]
[L04AC11, siltuximab, The metabolism of Propafenone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Propafenone may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Propafenone.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Propafenone.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Propafenone.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Propafenone.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Propafenone.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Propafenone.]
[A16AX10, eliglustat, The metabolism of Propafenone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Propafenone can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The serum concentration of Propafenone can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Propafenone may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Propafenone.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Propafenone.]
[N04AA02, biperiden, The metabolism of Propafenone can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Propafenone.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Propafenone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Propafenone.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Propafenone.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Propafenone.]
[L04AC10, secukinumab, The metabolism of Propafenone can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Propafenone can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Propafenone.]
[C01EB17, ivabradine, Propafenone may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Propafenone can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Propafenone.]
[A04AD14, rolapitant, The metabolism of Propafenone can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Propafenone is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Propafenone is combined with Cariprazine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Propafenone.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Propafenone.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Propafenone.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Propafenone.]
[N05AB07, acetophenazine, The serum concentration of Propafenone can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Propafenone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Propafenone.]
[J02AC05, isavuconazole, The metabolism of Propafenone can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Propafenone can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Propafenone.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Propafenone.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Propafenone.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Propafenone.]
[G04CA01, alfuzosin, Propafenone may increase the orthostatic hypotensive activities of Alfuzosin.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Propafenone.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Propafenone.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Propafenone.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Propafenone.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Propafenone.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Propafenone.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Propafenone.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Propafenone is combined with Amineptine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Propafenone.]
[A05AA04, obeticholic acid, The metabolism of Propafenone can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Propafenone.]
[C07AA19, bupranolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Propafenone.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Propafenone.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Propafenone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Propafenone may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Propafenone.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Propafenone.]
[L01XK03, rucaparib, The metabolism of Propafenone can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Propafenone.]
[L01EF02, ribociclib, The metabolism of Propafenone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Propafenone.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Propafenone.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Propafenone.]
[N07XX16, deutetrabenazine, The serum concentration of the active metabolites of Deutetrabenazine can be increased when Deutetrabenazine is used in combination with Propafenone.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Propafenone.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Propafenone.]
[C09AA07, benazepril, Propafenone may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Propafenone.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium carbonate.]
[G04BA03, calcium chloride, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Propafenone.]
[J05AE09, tipranavir, The serum concentration of Propafenone can be increased when it is combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Propafenone.]
[L04AB02, infliximab, The metabolism of Propafenone can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium Phosphate.]
[L01EX10, midostaurin, The metabolism of Propafenone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Propafenone is combined with Safinamide.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Propafenone is combined with Bethanechol.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Propafenone.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Propafenone.]
[P03AC02, bioallethrin, Propafenone may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Propafenone is combined with Acetylcholine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Propafenone.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Propafenone.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Propafenone.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Propafenone.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Propafenone.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Propafenone.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Propafenone.]
[J05AG03, efavirenz, The metabolism of Propafenone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Bopindolol.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Canrenone.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Propafenone is combined with Buflomedil.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Propafenone.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Propafenone.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Propafenone.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Propafenone.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Propafenone.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Propafenone.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Propafenone.]
[C09AA01, captopril, Propafenone may decrease the antihypertensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Propafenone is combined with Carbamoylcholine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Propafenone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Propafenone can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium polycarbophil.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Propafenone.]
[L03AB06, interferon alfa-n1, The metabolism of Propafenone can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Propafenone is combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Propafenone can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Propafenone.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Propafenone.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Propafenone.]
[C07AB08, celiprolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Propafenone.]
[L01XX62, ivosidenib, The metabolism of Propafenone can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Propafenone.]
[N03AX17, stiripentol, The metabolism of Propafenone can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Propafenone.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Propafenone.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Propafenone.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Propafenone.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Propafenone.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Propafenone.]
