[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Prednisone.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[P01AB02, tinidazole, Prednisone may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Prednisone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Tolmetin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Prednisone is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Prednisone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Prednisone may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Prednisone.]
[A16AX12, trientine, Prednisone may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Prednisone.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Prednisone.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Prednisone is combined with Mometasone.]
[A03AA05, trimebutine, Prednisone may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01FA08, troleandomycin, The metabolism of Prednisone can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Prednisone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Prednisone.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Belimumab.]
[L01FX04, ipilimumab, Prednisone may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Prednisone.]
[R02AA14, oxyquinoline, Prednisone may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Prednisone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Prednisone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Prednisone.]
[S01AA28, vancomycin, Prednisone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Prednisone is combined with Belatacept.]
[N03AX21, ezogabine, Prednisone may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Prednisone may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Prednisone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Prednisone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Prednisone.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Prednisone.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Prednisone.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[B01AA03, warfarin, Prednisone may increase the anticoagulant activities of Warfarin.]
[S01AA13, fusidic acid, The metabolism of Prednisone can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of tendinopathy can be increased when Prednisone is combined with Pipemidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Prednisone.]
[J05AE02, indinavir, The metabolism of Prednisone can be decreased when combined with Indinavir.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Prednisone is combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Prednisone may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Prednisone may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Prednisone can be decreased when combined with Crizotinib.]
[A02BC04, rabeprazole, Prednisone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Prednisone.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Prednisone can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The serum concentration of Prednisone can be increased when it is combined with Drospirenone.]
[V03AC02, deferiprone, Prednisone may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Prednisone.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Prednisone is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Ruxolitinib.]
[G04BD07, tolterodine, Prednisone may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Prednisone may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Prednisone.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Prednisone.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Prednisone.]
[J02AC03, voriconazole, The metabolism of Prednisone can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Prednisone.]
[M01CB03, auranofin, Prednisone may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Prednisone is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Prednisone.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Prednisone is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Prednisone is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Prednisone.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Prednisone.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Prednisone.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Prednisone.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Prednisone.]
[G04BD12, mirabegron, Prednisone may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Prednisone is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Prednisone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Prednisone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Prednisone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Prednisone is combined with Teriflunomide.]
[A02AA05, magnesium silicate, The bioavailability of Prednisone can be decreased when combined with Magnesium silicate.]
[A02AC02, calcium silicate, The bioavailability of Prednisone can be decreased when combined with Calcium silicate.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Prednisone is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Prednisone is combined with Aldosterone.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Prednisone is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Prednisone may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Prednisone can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Prednisone is combined with Bendamustine.]
[N04BD02, rasagiline, Prednisone may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N06DA02, donepezil, The therapeutic efficacy of Donepezil can be decreased when used in combination with Prednisone.]
[L04AA29, tofacitinib, Prednisone may increase the immunosuppressive activities of Tofacitinib.]
[V09IX04, fluorodeoxyglucose F18, Prednisone may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Prednisone may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Ponatinib.]
[A16AX08, teduglutide, Prednisone may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Prednisone.]
[C03AA01, bendroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Prednisone is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Prednisone is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Prednisone.]
[A10AE05, insulin detemir, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Pramlintide.]
[L03AA12, ancestim, Prednisone may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Celecoxib.]
[L04AA18, everolimus, The serum concentration of Prednisone can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Prednisone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Benzydamine.]
[L01EE01, trametinib, Prednisone may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Prednisone may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Prednisone may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Lixisenatide.]
[C02KX04, macitentan, Prednisone may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Prednisone.]
[G03AC08, etonogestrel, The serum concentration of Prednisone can be increased when it is combined with Etonogestrel.]
[J05AP05, simeprevir, The metabolism of Prednisone can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Prednisone may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Prednisone is combined with Droxidopa.]
[N05CH03, tasimelteon, Prednisone may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Prednisone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Prednisone is combined with Apremilast.]
[L02BG02, formestane, The risk or severity of edema formation can be increased when Formestane is combined with Prednisone.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Prednisone.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Prednisone.]
[V03AB34, fomepizole, Prednisone may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A10BJ04, albiglutide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Prednisone is combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Ceritinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Prednisone may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Prednisone is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Prednisone is combined with Idelalisib.]
[A10BK03, empagliflozin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Prednisone is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[V04CX03, methacholine, Prednisone may decrease effectiveness of Methacholine as a diagnostic agent.]
[A10BJ05, dulaglutide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Prednisone is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Prednisone is combined with Pirfenidone.]
[S03AA06, gentamicin, Prednisone may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Prednisone is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Prednisone is combined with Olaparib.]
[B01AA01, dicumarol, Prednisone may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Prednisone may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Prednisone is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Prednisone is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Prednisone.]
[B01AA11, tioclomarol, Prednisone may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Prednisone.]
[A06AD03, magnesium peroxide, The bioavailability of Prednisone can be decreased when combined with Magnesium peroxide.]
[A10BF01, acarbose, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin degludec.]
[V03AB37, idarucizumab, Prednisone may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Prednisone is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Prednisone can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Prednisone.]
[L01XG03, ixazomib, Prednisone may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Acetohexamide.]
[M04AB05, lesinurad, Prednisone may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Alminoprofen.]
[A02AB06, aloglutamol, The bioavailability of Prednisone can be decreased when combined with Aloglutamol.]
[N02BA02, aloxiprin, The serum concentration of Aloxiprin can be decreased when it is combined with Prednisone.]
[N03AX23, brivaracetam, Prednisone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Prednisone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Prednisone may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, The bioavailability of Prednisone can be decreased when combined with Almasilate.]
[A02AB03, aluminum phosphate, The bioavailability of Prednisone can be decreased when combined with Aluminium phosphate.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Prednisone is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Bupivacaine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Prednisone is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Prednisone is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Prednisone.]
[M02AA03, clofezone, Prednisone may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Prednisone.]
[S01AA26, azithromycin, The serum concentration of Prednisone can be increased when it is combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Prednisone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Prednisone.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Ocrelizumab.]
[A06AH05, naldemedine, Prednisone may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Prednisone may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[A10BX06, benfluorex, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Oxybuprocaine.]
[H05BX05, calcifediol, The therapeutic efficacy of Calcifediol can be decreased when used in combination with Prednisone.]
[D05AX03, calcitriol, The therapeutic efficacy of Calcitriol can be decreased when used in combination with Prednisone.]
[A12AA04, calcium carbonate, The bioavailability of Prednisone can be decreased when combined with Calcium carbonate.]
[P01CA02, benznidazole, Prednisone may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Prednisone.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Prednisone.]
[J05AF06, abacavir, Prednisone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Prednisone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Prednisone may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Prednisone.]
[L01EX10, midostaurin, The metabolism of Prednisone can be decreased when combined with Midostaurin.]
[L01FF03, durvalumab, The therapeutic efficacy of Durvalumab can be decreased when used in combination with Prednisone.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Prednisone is combined with Capecitabine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Prednisone is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Prednisone can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Prednisone.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Prednisone.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Prednisone is combined with Budesonide.]
