[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[J05AP03, boceprevir, The metabolism of Dapagliflozin can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Dapagliflozin can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Dapagliflozin can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Dapagliflozin may increase the excretion rate of Vancomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX21, ezogabine, Dapagliflozin may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Dapagliflozin may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC24, ticagrelor, The metabolism of Dapagliflozin can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Dapagliflozin can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Dapagliflozin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Dapagliflozin can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Dapagliflozin may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Dapagliflozin may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Dapagliflozin.]
[C03BA10, xipamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The metabolism of Dapagliflozin can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Dapagliflozin can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Dapagliflozin can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Dapagliflozin can be increased when it is combined with Vemurafenib.]
[M05BA05, tiludronic acid, Dapagliflozin may increase the excretion rate of Tiludronic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC02, icatibant, Dapagliflozin may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[L01ED01, crizotinib, The metabolism of Dapagliflozin can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Dapagliflozin can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Dapagliflozin may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Drospirenone.]
[V03AC02, deferiprone, Dapagliflozin may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Dapagliflozin.]
[L01EJ01, ruxolitinib, Dapagliflozin may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Dapagliflozin may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, Dapagliflozin may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB03, atenolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Dapagliflozin can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Dapagliflozin can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Dapagliflozin may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Dapagliflozin.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Dapagliflozin.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Dapagliflozin.]
[B03XA04, peginesatide, Dapagliflozin may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Dapagliflozin may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Dapagliflozin may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Dapagliflozin may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Dapagliflozin may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Dapagliflozin.]
[M03BX01, baclofen, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Baclofen.]
[A08AA11, lorcaserin, The metabolism of Dapagliflozin can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Dapagliflozin can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Dapagliflozin can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Dapagliflozin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Dapagliflozin can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Linaclotide.]
[L04AA31, teriflunomide, The serum concentration of Dapagliflozin can be decreased when it is combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Dapagliflozin.]
[L01EX05, regorafenib, The metabolism of Dapagliflozin can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Dapagliflozin.]
[D02BA02, octinoxate, Dapagliflozin may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE04, nelfinavir, The metabolism of Dapagliflozin can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Dapagliflozin.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Dapagliflozin.]
[N06DA02, donepezil, The metabolism of Dapagliflozin can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Dapagliflozin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Dapagliflozin.]
[G04BD10, darifenacin, The metabolism of Dapagliflozin can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Dapagliflozin may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Dapagliflozin.]
[H01CB05, pasireotide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Dapagliflozin can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Dapagliflozin may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Dapagliflozin.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Dapagliflozin.]
[A16AX08, teduglutide, Dapagliflozin may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Dapagliflozin.]
[A10BH04, alogliptin, Dapagliflozin may increase the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Dapagliflozin can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Dapagliflozin.]
[G03XC05, ospemifene, The metabolism of Dapagliflozin can be decreased when combined with Ospemifene.]
[A10BK02, canagliflozin, Dapagliflozin may increase the hypoglycemic activities of Canagliflozin.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Dapagliflozin can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Dapagliflozin can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Dapagliflozin.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Dapagliflozin.]
[A10BX05, pramlintide, Dapagliflozin may increase the hypoglycemic activities of Pramlintide.]
[L03AA12, ancestim, Dapagliflozin may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The metabolism of Dapagliflozin can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Everolimus.]
[N04AC01, benztropine, Dapagliflozin may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Dapagliflozin can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Dapagliflozin may increase the excretion rate of Benzydamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EE01, trametinib, Dapagliflozin may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Dapagliflozin.]
[V09AX05, florbetapir F-18, Dapagliflozin may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Dapagliflozin.]
[C08EA02, bepridil, The metabolism of Dapagliflozin can be decreased when combined with Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Riociguat.]
[A10BJ03, lixisenatide, Dapagliflozin may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Dapagliflozin may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Dapagliflozin.]
[N06AX26, vortioxetine, Dapagliflozin may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The metabolism of Dapagliflozin can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Dapagliflozin may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA13, fusidic acid, The metabolism of Dapagliflozin can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Pipemidic acid.]
[C01CA27, droxidopa, Dapagliflozin may increase the excretion rate of Droxidopa which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB04, acebutolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Dapagliflozin may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA07, metreleptin, The metabolism of Dapagliflozin can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Dapagliflozin can be increased when combined with Apremilast.]
[L02BG02, formestane, Dapagliflozin may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Dapagliflozin.]
[S01ED02, betaxolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Dapagliflozin may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Dapagliflozin may increase the hypotensive activities of Bethanidine.]
[A10BJ04, albiglutide, Dapagliflozin may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Dapagliflozin can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Dapagliflozin.]
[L01XH04, belinostat, The metabolism of Dapagliflozin can be increased when combined with Belinostat.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Dapagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Dapagliflozin.]
[V08AA01, diatrizoic acid, Dapagliflozin may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AA04, iothalamic acid, Dapagliflozin may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX10, eliglustat, The metabolism of Dapagliflozin can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Dapagliflozin can be decreased when combined with Oritavancin.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, Dapagliflozin may increase the hypoglycemic activities of Dulaglutide.]
[A06AH03, naloxegol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Naloxegol.]
[N04AA02, biperiden, The metabolism of Dapagliflozin can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Dapagliflozin.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Bisacodyl.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Dapagliflozin.]
[B01AA01, dicumarol, The metabolism of Dapagliflozin can be decreased when combined with Dicoumarol.]
[B01AF03, edoxaban, Dapagliflozin may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Dapagliflozin.]
[L04AC10, secukinumab, The metabolism of Dapagliflozin can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Dapagliflozin can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, Dapagliflozin may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Dapagliflozin may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP06, asunaprevir, The metabolism of Dapagliflozin can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Eluxadoline.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Dapagliflozin can be decreased when combined with Rolapitant.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium peroxide.]
[A10BF01, acarbose, Dapagliflozin may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, Dapagliflozin may increase the excretion rate of Aceclofenac which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB11, acemetacin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Dapagliflozin can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Dapagliflozin may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Dapagliflozin.]
[J02AC05, isavuconazole, The metabolism of Dapagliflozin can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Dapagliflozin can be decreased when it is combined with Osimertinib.]
[L01XG03, ixazomib, Dapagliflozin may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, Dapagliflozin may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Dapagliflozin may increase the hypoglycemic activities of Acetohexamide.]
[M04AB05, lesinurad, Dapagliflozin may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Dapagliflozin.]
[N03AX23, brivaracetam, Dapagliflozin may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX52, venetoclax, The metabolism of Dapagliflozin can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Dapagliflozin may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, Dapagliflozin may increase the hypoglycemic activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Dapagliflozin may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Dapagliflozin.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Dapagliflozin.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Dapagliflozin.]
[A05AA04, obeticholic acid, The metabolism of Dapagliflozin can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Dapagliflozin.]
[C07AA19, bupranolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Buprenorphine.]
[L02AE01, buserelin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Buserelin.]
[N05BE01, buspirone, Dapagliflozin may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Dapagliflozin.]
[M02AA03, clofezone, Dapagliflozin may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Butorphanol.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sparfloxacin.]
