[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Domperidone.]
[A03AB12, mepenzolate, The therapeutic efficacy of Domperidone can be decreased when used in combination with Mepenzolate.]
[N05AB06, trifluoperazine, The metabolism of Domperidone can be decreased when combined with Trifluoperazine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Domperidone can be decreased when used in combination with Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Domperidone can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Domperidone.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Domperidone.]
[J01EA01, trimethoprim, The metabolism of Domperidone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Domperidone.]
[R06AC04, tripelennamine, The metabolism of Domperidone can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Domperidone.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Domperidone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Domperidone can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Domperidone.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Domperidone can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Domperidone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Domperidone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Domperidone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Domperidone can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Domperidone.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Domperidone.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Domperidone.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Domperidone.]
[C08DA01, verapamil, The metabolism of Domperidone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Domperidone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Domperidone can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Domperidone.]
[B01AA03, warfarin, The metabolism of Domperidone can be decreased when combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Domperidone can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Domperidone can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Domperidone can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Domperidone.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Domperidone.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Domperidone.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Ziprasidone.]
[G04BD07, tolterodine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Tolterodine.]
[C07AB03, atenolol, The metabolism of Domperidone can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Domperidone can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Domperidone can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Domperidone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Domperidone.]
[H02AB11, prednylidene, The metabolism of Domperidone can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Domperidone can be decreased when combined with Azathioprine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Domperidone.]
[A08AA11, lorcaserin, The metabolism of Domperidone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Domperidone can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Domperidone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Domperidone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Domperidone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Domperidone can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Domperidone can be decreased when it is combined with Teriflunomide.]
[J05AE04, nelfinavir, The metabolism of Domperidone can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Domperidone.]
[N04BD02, rasagiline, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Rasagiline is combined with Domperidone.]
[C08CA13, lercanidipine, The metabolism of Domperidone can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Domperidone can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Domperidone.]
[N02CC03, zolmitriptan, The metabolism of Domperidone can be decreased when combined with Zolmitriptan.]
[R06AC06, thonzylamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Thonzylamine.]
[G04BD10, darifenacin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Domperidone can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Domperidone.]
[G04BE03, sildenafil, The metabolism of Domperidone can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Domperidone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Domperidone.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Domperidone.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Domperidone.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Domperidone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Domperidone can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Domperidone.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Domperidone.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Domperidone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Domperidone.]
[A06AX06, tegaserod, The metabolism of Domperidone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Domperidone can be decreased when combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Domperidone can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Domperidone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Domperidone is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Domperidone can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Domperidone can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Domperidone.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Domperidone.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Domperidone.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Domperidone.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Domperidone.]
[J05AP05, simeprevir, The metabolism of Domperidone can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Domperidone can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Domperidone can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Domperidone.]
[A16AA07, metreleptin, The metabolism of Domperidone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Domperidone can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Domperidone can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Domperidone can be decreased when combined with Betaxolol.]
[C10AB02, bezafibrate, The metabolism of Domperidone can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Domperidone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ceritinib is combined with Domperidone.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Domperidone.]
[L01XH04, belinostat, The metabolism of Domperidone can be increased when combined with Belinostat.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Domperidone.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Glycopyrronium.]
[A16AX10, eliglustat, The metabolism of Domperidone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Domperidone can be decreased when combined with Oritavancin.]
[N04AA02, biperiden, The therapeutic efficacy of Domperidone can be decreased when used in combination with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Domperidone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Domperidone.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Domperidone.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Domperidone.]
[L04AC10, secukinumab, The metabolism of Domperidone can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Domperidone.]
[L01XH03, panobinostat, The metabolism of Domperidone can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Domperidone.]
[N02BE01, acetaminophen, The metabolism of Domperidone can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Domperidone can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Brexpiprazole can be decreased when used in combination with Domperidone.]
[A04AD14, rolapitant, The metabolism of Domperidone can be decreased when combined with Rolapitant.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Domperidone.]
[J02AC05, isavuconazole, The metabolism of Domperidone can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Domperidone can be decreased when it is combined with Osimertinib.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Domperidone.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Domperidone.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Domperidone.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Domperidone.]
[L01XX52, venetoclax, The metabolism of Domperidone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Domperidone.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Domperidone.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Domperidone.]
[A05AA04, obeticholic acid, The metabolism of Domperidone can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Domperidone can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Domperidone.]
[N07BC01, buprenorphine, The metabolism of Domperidone can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Domperidone.]
[N05BE01, buspirone, The metabolism of Domperidone can be decreased when combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Arsenic trioxide is combined with Domperidone.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Domperidone.]
[S01GX07, azelastine, The metabolism of Domperidone can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Domperidone can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Domperidone.]
[L01EF02, ribociclib, The metabolism of Domperidone can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Domperidone.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Domperidone is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Domperidone.]
[N06BC01, caffeine, The metabolism of Domperidone can be decreased when combined with Caffeine.]
[J01XX08, linezolid, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Linezolid is combined with Domperidone.]
[J05AE09, tipranavir, The metabolism of Domperidone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Domperidone.]
[L04AB02, infliximab, The metabolism of Domperidone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Domperidone can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Domperidone.]
[N04BD03, safinamide, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Safinamide is combined with Domperidone.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Domperidone.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Domperidone.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Domperidone.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Domperidone.]
[J05AG03, efavirenz, The metabolism of Domperidone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Domperidone.]
[N04AA11, bornaprine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Bornaprine.]
[R03BA02, budesonide, The metabolism of Domperidone can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Domperidone can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Domperidone can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Domperidone.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Domperidone.]
[N01BX04, capsaicin, The metabolism of Domperidone can be increased when combined with Capsaicin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Domperidone.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Domperidone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Domperidone.]
[A03AA03, camylofine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Domperidone.]
[L03AB06, interferon alfa-n1, The metabolism of Domperidone can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Domperidone can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Domperidone can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Domperidone can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Domperidone.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Domperidone.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Domperidone.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Domperidone.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Domperidone.]
[N03AX17, stiripentol, The metabolism of Domperidone can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Domperidone can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Domperidone.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Domperidone.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Domperidone.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Chlorphenoxamine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Domperidone.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Domperidone.]
[R03BB08, revefenacin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Domperidone.]
[L04AA39, emapalumab, The metabolism of Domperidone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Domperidone can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Domperidone.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Domperidone.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Domperidone.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Domperidone.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Domperidone.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Domperidone.]
[J01FA09, clarithromycin, The metabolism of Domperidone can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Domperidone can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Domperidone can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Domperidone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Domperidone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Domperidone can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Domperidone can be decreased when combined with Alpelisib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Domperidone.]
[M03BX08, cyclobenzaprine, The metabolism of Domperidone can be decreased when combined with Cyclobenzaprine.]
[L01EJ02, fedratinib, The metabolism of Domperidone can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Domperidone can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Domperidone.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Domperidone.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Domperidone.]
[A10AE03, insulin, regular, pork, The metabolism of Domperidone can be increased when combined with Insulin pork.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Domperidone.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Domperidone.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Domperidone.]
[N03AX25, cenobamate, The serum concentration of Domperidone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Domperidone can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Domperidone.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Domperidone.]
[N05CM21, lemborexant, The serum concentration of Domperidone can be decreased when it is combined with Lemborexant.]
[M01AX21, diacetylrhein, The metabolism of Domperidone can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Domperidone.]
[H02CA02, osilodrostat, The metabolism of Domperidone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Domperidone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Domperidone can be decreased when combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Domperidone can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Domperidone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Domperidone.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Domperidone.]
[N02CC06, eletriptan, The metabolism of Domperidone can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Domperidone can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Domperidone can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Domperidone.]
[C01BD07, dronedarone, Domperidone may increase the QTc-prolonging activities of Dronedarone.]
[S03AA08, chloramphenicol, The metabolism of Domperidone can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Domperidone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Domperidone.]
[A03AA08, dihexyverine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Domperidone can be decreased when combined with Capmatinib.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Domperidone.]
[D07XB03, fluprednidene, The metabolism of Domperidone can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Domperidone.]
[G04BD09, trospium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Trospium.]
[L01EX22, selpercatinib, The serum concentration of Domperidone can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Domperidone.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Domperidone.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Domperidone.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Domperidone.]
[P01BB01, proguanil, The metabolism of Domperidone can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Domperidone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Domperidone.]
[P01BA01, chloroquine, The metabolism of Domperidone can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Domperidone can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Domperidone.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Domperidone can be decreased when used in combination with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Domperidone can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Domperidone can be decreased when combined with Cholecalciferol.]
[B06AC06, berotralstat, The metabolism of Domperidone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Domperidone can be decreased when combined with Lonafarnib.]
