[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Norfloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Norfloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Macimorelin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Norfloxacin can be increased when it is combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Norfloxacin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Norfloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Norfloxacin.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Norfloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Norfloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Norfloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Norfloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Norfloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Norfloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Inotersen.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Norfloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Norfloxacin.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Norfloxacin.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Triclabendazole.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Clarithromycin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Norfloxacin.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Ubidecarenone.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Norfloxacin.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Norfloxacin.]
[J01CF03, methicillin, The serum concentration of Norfloxacin can be increased when it is combined with Meticillin.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Norfloxacin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cicletanine.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Norfloxacin.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Norfloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Norfloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Norfloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Norfloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Norfloxacin.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Norfloxacin.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Norfloxacin.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Norfloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Norfloxacin.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Norfloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Norfloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Norfloxacin.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Norfloxacin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Norfloxacin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Norfloxacin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Chlorcyclizine.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Norfloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Norfloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Norfloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Norfloxacin.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Fostemsavir.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Norfloxacin.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Norfloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Norfloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Norfloxacin.]
