[S02DA03, antipyrine, The metabolism of Lacosamide can be decreased when combined with Antipyrine.]
[A10BB05, tolazamide, The metabolism of Lacosamide can be decreased when combined with Tolazamide.]
[V04CA01, tolbutamide, The metabolism of Lacosamide can be decreased when combined with Tolbutamide.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Lacosamide is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lacosamide.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Lacosamide can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Lacosamide can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Lacosamide.]
[A03AB12, mepenzolate, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Lacosamide.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Trifluperidol.]
[N05AA05, triflupromazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Lacosamide can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Lacosamide.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Lacosamide.]
[J01EA01, trimethoprim, The metabolism of Lacosamide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Lacosamide.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Lacosamide.]
[A03BB01, butylscopolamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Lacosamide can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Lacosamide.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Lacosamide.]
[R03DX07, roflumilast, The metabolism of Lacosamide can be decreased when combined with Roflumilast.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Lacosamide.]
[A10BH05, linagliptin, The metabolism of Lacosamide can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Lacosamide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Lacosamide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Lacosamide can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Lacosamide.]
[B01AC24, ticagrelor, The metabolism of Lacosamide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Lacosamide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Lacosamide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Lacosamide.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Lacosamide.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Lacosamide.]
[A11HA03, vitamin E, The metabolism of Lacosamide can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Lacosamide.]
[S01AA13, fusidic acid, The metabolism of Lacosamide can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The metabolism of Lacosamide can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Lacosamide.]
[J05AE02, indinavir, The metabolism of Lacosamide can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lacosamide.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Lacosamide.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Lacosamide.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Lacosamide.]
[R03DC01, zafirlukast, The metabolism of Lacosamide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Lacosamide can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Lacosamide.]
[N02BA01, aspirin, The metabolism of Lacosamide can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Lacosamide.]
[G04BD07, tolterodine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the bradycardic activities of Lacosamide.]
[J02AC03, voriconazole, The metabolism of Lacosamide can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Lacosamide is combined with Atracurium.]
[S01FA01, atropine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Lacosamide.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Lacosamide.]
[R07AX02, ivacaftor, The metabolism of Lacosamide can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Lacosamide can be increased when combined with Prednylidene.]
[J01CA09, azlocillin, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Lacosamide.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Lacosamide.]
[V03AX03, cobicistat, The metabolism of Lacosamide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Lacosamide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Lacosamide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Lacosamide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Lacosamide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Lacosamide.]
[J05AE04, nelfinavir, The metabolism of Lacosamide can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Lacosamide.]
[C08CA13, lercanidipine, Lercanidipine may increase the bradycardic activities of Lacosamide.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Lacosamide.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[L04AA29, tofacitinib, Lacosamide may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Lacosamide.]
[R06AC06, thonzylamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Lacosamide is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Lacosamide.]
[H01CB05, pasireotide, Lacosamide may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Lacosamide can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Lacosamide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Lacosamide.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Lacosamide.]
[C04AX11, bencyclane, Lacosamide may increase the bradycardic activities of Bencyclane.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Lacosamide can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the bradycardic activities of Lacosamide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Lacosamide.]
[G03XC05, ospemifene, The metabolism of Lacosamide can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Benperidol.]
[M04AB03, benzbromarone, The metabolism of Lacosamide can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Lacosamide can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Lacosamide.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Lacosamide.]
[N04AC01, benztropine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Lacosamide can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Lacosamide is combined with Levomilnacipran.]
[C08EA02, bepridil, Bepridil may increase the bradycardic activities of Lacosamide.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Lacosamide.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Lacosamide can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Lacosamide can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lacosamide.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Lacosamide.]
[C07AB04, acebutolol, Acebutolol may increase the bradycardic activities of Lacosamide.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Lacosamide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Lacosamide can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Lacosamide can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Lacosamide can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the bradycardic activities of Lacosamide.]
[L04AC11, siltuximab, The metabolism of Lacosamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Lacosamide may increase the bradycardic activities of Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Lacosamide.]
[A03BA03, hyoscyamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Lacosamide.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Lacosamide.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Lacosamide.]
[D11AA01, glycopyrronium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Lacosamide can be increased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Lacosamide.]
[N04AA02, biperiden, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Lacosamide can be decreased when combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Lacosamide.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Lacosamide.]
[B01AA01, dicumarol, The metabolism of Lacosamide can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Lacosamide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Lacosamide.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Lacosamide.]
[N02BE01, acetaminophen, The metabolism of Lacosamide can be increased when combined with Acetaminophen.]
[A03AA09, difemerine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Lacosamide may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Lacosamide can be increased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Lacosamide is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Lacosamide.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Lacosamide.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Lacosamide.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Lacosamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Lacosamide.]
[A02BC03, lansoprazole, The metabolism of Lacosamide can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Lacosamide.]
[J02AC05, isavuconazole, The metabolism of Lacosamide can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Lacosamide.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Lacosamide.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Lacosamide.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Lacosamide.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Lacosamide.]
[A10BB31, acetohexamide, The metabolism of Lacosamide can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lacosamide can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Lacosamide.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lacosamide.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Lacosamide.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Lacosamide.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Lacosamide.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Lacosamide.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Lacosamide.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Lacosamide.]
[C08CA01, amlodipine, Amlodipine may increase the bradycardic activities of Lacosamide.]
[N05AX17, pimavanserin, The metabolism of Lacosamide can be decreased when combined with Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Lacosamide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Bupivacaine.]
[C07AA19, bupranolol, Lacosamide may increase the bradycardic activities of Bupranolol.]
[N07BC01, buprenorphine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Lacosamide.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Lacosamide.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Lacosamide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Lacosamide.]
[M02AA03, clofezone, The metabolism of Lacosamide can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Lacosamide.]
[R06AX09, azatadine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Lacosamide can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Lacosamide can be decreased when combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Lacosamide can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, Lacosamide may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, The therapeutic efficacy of Lacosamide can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Beclamide.]
[N06BC01, caffeine, Lacosamide may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Lacosamide can be increased when combined with Calcitriol.]
[J01XX08, linezolid, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Linezolid.]
[J05AE09, tipranavir, The metabolism of Lacosamide can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Lacosamide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Lacosamide can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Lacosamide.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Lacosamide is combined with Safinamide.]
[L04AC14, sarilumab, The metabolism of Lacosamide can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Lacosamide can be increased when combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Lacosamide can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The metabolism of Lacosamide can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Lacosamide.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Lacosamide.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Lacosamide.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Lacosamide.]
[C07AB07, bisoprolol, Bisoprolol may increase the bradycardic activities of Lacosamide.]
[J05AG03, efavirenz, The metabolism of Lacosamide can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Lacosamide may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Lacosamide can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Lacosamide.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Lacosamide.]
[J05AX18, letermovir, The metabolism of Lacosamide can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Lacosamide is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vinylbital.]
[L02BB05, apalutamide, The serum concentration of Lacosamide can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Lacosamide can be decreased when it is combined with Carbamazepine.]
[A03AA03, camylofine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Lacosamide.]
[C07AG02, carvedilol, Carvedilol may increase the bradycardic activities of Lacosamide.]
[B02BX09, fostamatinib, The metabolism of Lacosamide can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Lacosamide.]
[B02BX08, avatrombopag, The metabolism of Lacosamide can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, Celiprolol may increase the bradycardic activities of Lacosamide.]
[L01XX62, ivosidenib, The metabolism of Lacosamide can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Lacosamide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Lacosamide can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Lacosamide.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Lacosamide.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Lacosamide.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Lacosamide is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Lacosamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Lacosamide.]
[R03DA02, oxtriphylline, Lacosamide may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Lacosamide.]
[R03BB08, revefenacin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lacosamide can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Lacosamide can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Lacosamide.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Lacosamide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Lacosamide.]
[J01FA09, clarithromycin, The metabolism of Lacosamide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Lacosamide.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Lacosamide.]
[H02AB14, cloprednol, The metabolism of Lacosamide can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Lacosamide.]
[C09CA06, candesartan, The metabolism of Lacosamide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Lacosamide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Lacosamide can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Lacosamide can be decreased when it is combined with Alpelisib.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Lacosamide.]
