[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[L01FX04, ipilimumab, Brivaracetam may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Brivaracetam may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Brivaracetam can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Brivaracetam can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Brivaracetam can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Brivaracetam can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Brivaracetam may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Brivaracetam.]
[B01AF01, rivaroxaban, Brivaracetam may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Brivaracetam can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Brivaracetam can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Brivaracetam can be decreased when combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B01AA03, warfarin, Brivaracetam may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Brivaracetam can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Brivaracetam.]
[J05AE02, indinavir, The metabolism of Brivaracetam can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Brivaracetam.]
[L01EC01, vemurafenib, The metabolism of Brivaracetam can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B06AC02, icatibant, Brivaracetam may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Brivaracetam can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Brivaracetam can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Brivaracetam.]
[V03AC02, deferiprone, Brivaracetam may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Brivaracetam may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Brivaracetam may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Brivaracetam can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Atracurium.]
[S01FA01, atropine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Brivaracetam.]
[B03XA04, peginesatide, Brivaracetam may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01CA09, azlocillin, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Brivaracetam.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Brivaracetam.]
[G04BD12, mirabegron, Brivaracetam may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Brivaracetam can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Brivaracetam can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Brivaracetam can be decreased when it is combined with Enzalutamide.]
[L01EX05, regorafenib, The metabolism of Brivaracetam can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Brivaracetam.]
[D02BA02, octinoxate, Brivaracetam may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Brivaracetam can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Brivaracetam.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Brivaracetam.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Brivaracetam.]
[R06AC06, thonzylamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Brivaracetam may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Brivaracetam.]
[G04BE03, sildenafil, The metabolism of Brivaracetam can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Brivaracetam may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Brivaracetam.]
[A16AX08, teduglutide, Brivaracetam may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Brivaracetam may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Brivaracetam may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Brivaracetam can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Brivaracetam can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Benzocaine.]
[L03AA12, ancestim, Brivaracetam may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Brivaracetam.]
[N04AC01, benztropine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Brivaracetam can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01EE01, trametinib, Brivaracetam may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Brivaracetam may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Brivaracetam may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Brivaracetam may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Brivaracetam.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Brivaracetam can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Brivaracetam may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Brivaracetam.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Brivaracetam may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Brivaracetam can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Brivaracetam can be increased when combined with Apremilast.]
[L02BG02, formestane, Brivaracetam may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Brivaracetam can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Brivaracetam can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Brivaracetam can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Brivaracetam can be decreased when combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Brivaracetam.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[D11AA01, glycopyrronium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CM19, suvorexant, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Brivaracetam can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Brivaracetam.]
[N04AA02, biperiden, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Brivaracetam can be decreased when combined with Pirfenidone.]
[S03AA06, gentamicin, Brivaracetam may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The metabolism of Brivaracetam can be decreased when combined with Dicoumarol.]
[B01AF03, edoxaban, Brivaracetam may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Brivaracetam can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03AA09, difemerine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Brivaracetam.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Brivaracetam.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Brivaracetam.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Brivaracetam.]
[A02BC03, lansoprazole, The metabolism of Brivaracetam can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Brivaracetam may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Brivaracetam can be decreased when combined with Trabectedin.]
[J02AC05, isavuconazole, The metabolism of Brivaracetam can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Brivaracetam.]
[L01XG03, ixazomib, Brivaracetam may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Brivaracetam can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, Brivaracetam may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Brivaracetam.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Brivaracetam can be decreased when combined with Fusidic acid.]
[L01XX52, venetoclax, The metabolism of Brivaracetam can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Brivaracetam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Brivaracetam.]
[A02AD05, aluminum magnesium silicate, Brivaracetam may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Brivaracetam.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Brivaracetam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Brivaracetam.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Brivaracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Bupivacaine.]
[N07BC01, buprenorphine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Brivaracetam.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Brivaracetam.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Brivaracetam.]
[R06AX09, azatadine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Brivaracetam can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Brivaracetam can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R03DA08, bamifylline, Brivaracetam may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AH05, naldemedine, Brivaracetam may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Brivaracetam may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Brivaracetam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Beclamide.]
[N06BC01, caffeine, Brivaracetam may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Brivaracetam may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Linezolid.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Brivaracetam can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Brivaracetam may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Brivaracetam can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Brivaracetam can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Safinamide.]
[J01MA23, delafloxacin, Brivaracetam may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Brivaracetam can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Brivaracetam.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Brivaracetam can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N04AA11, bornaprine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Budesonide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Brivaracetam.]
