[P02BB01, trichlorfon, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metrifonate.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Thiopental.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Thiopental.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiopental is combined with Thiothixene.]
[B02AB01, aprotinin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Aprotinin.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Thiopental is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Thiopental can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Thiopental is combined with Tilidine.]
[S01ED01, timolol, Thiopental may increase the hypotensive activities of Timolol.]
[M02AX02, tolazoline, Thiopental may increase the hypotensive activities of Tolazoline.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Thiopental is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Thiopental.]
[N06AF04, tranylcypromine, The metabolism of Thiopental can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Thiopental is combined with Trazodone.]
[L01XF01, tretinoin, Thiopental may increase the hypotensive activities of Tretinoin.]
[C03DB02, triamterene, Thiopental may increase the hypotensive activities of Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Thiopental is combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Thiopental can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiopental.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Thiopental is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Thiopental.]
[N04AA01, trihexyphenidyl, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Thiopental.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Thiopental.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Thiopental is combined with Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Thiopental.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Thiopental.]
[A03BB01, butylscopolamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Thiopental is combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Tropicamide.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Thiopental.]
[C09CA09, azilsartan medoxomil, Thiopental may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Thiopental is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Thiopental.]
[S01AA05, tyrothricin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Tyrothricin.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Thiopental.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Thiopental is combined with Ezogabine.]
[C08DA01, verapamil, Thiopental may increase the hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Thiopental is combined with Viloxazine.]
[C04AX07, vincamine, Thiopental may increase the hypotensive activities of Vincamine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Thiopental.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Thiopental.]
[C03BA10, xipamide, Thiopental may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Thiopental is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Thiopental is combined with Levetiracetam.]
[R03DC01, zafirlukast, The metabolism of Thiopental can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Thiopental can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Thiopental is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Thiopental.]
[N02BA01, aspirin, The metabolism of Thiopental can be increased when combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Thiopental may increase the hypotensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Voriconazole can be decreased when it is combined with Thiopental.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Thiopental is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Thiopental.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Thiopental.]
[J01CA09, azlocillin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Thiopental.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Thiopental is combined with Lorcaserin.]
[L02BB04, enzalutamide, The serum concentration of Thiopental can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Thiopental.]
[N05CA04, barbital, The metabolism of Thiopental can be increased when combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Thiopental.]
[C08CA13, lercanidipine, Thiopental may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Thiopental is combined with Mosapride.]
[N06DA02, donepezil, The therapeutic efficacy of Thiopental can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Thiopental.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Thiopental.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Thiopental.]
[R06AC06, thonzylamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Thiopental.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Thiopental is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Thiopental can be decreased when combined with Sildenafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Thiopental.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be increased when combined with Thiopental.]
[C03AA01, bendroflumethiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Thiopental is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Thiopental is combined with Benperidol.]
[A10BK02, canagliflozin, The serum concentration of Canagliflozin can be decreased when it is combined with Thiopental.]
[M04AB03, benzbromarone, The metabolism of Thiopental can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Thiopental.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Thiopental is combined with Naratriptan.]
[N04AC01, benztropine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Thiopental can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Thiopental.]
[C08EA02, bepridil, Thiopental may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Thiopental may increase the hypotensive activities of Riociguat.]
[C02KX04, macitentan, Thiopental may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Thiopental.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Thiopental is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Thiopental.]
[N03AF04, eslicarbazepine, The metabolism of Thiopental can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Thiopental can be increased when it is combined with Luliconazole.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Thiopental is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Thiopental may increase the hypotensive activities of Dapagliflozin.]
[C07AB04, acebutolol, Thiopental may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Thiopental is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Thiopental can be increased when combined with Apremilast.]
[A16AA06, betaine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Thiopental can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Thiopental may increase the hypotensive activities of Betaxolol.]
[C02CC01, bethanidine, Thiopental may increase the hypotensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Thiopental can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Thiopental.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Thiopental is combined with Alfaxalone.]
[A10BK03, empagliflozin, Thiopental may increase the hypotensive activities of Empagliflozin.]
[D11AA01, glycopyrronium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Thiopental.]
[J01XA05, oritavancin, The metabolism of Thiopental can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Thiopental.]
[V04CX03, methacholine, Thiopental may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Thiopental.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Thiopental is combined with Naloxegol.]
[N04AA02, biperiden, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Thiopental.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Thiopental.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be increased when combined with Thiopental.]
[N06AX11, mirtazapine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Thiopental can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Thiopental.]
[A03AA09, difemerine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The metabolism of Tioclomarol can be increased when combined with Thiopental.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Thiopental is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Thiopental is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Thiopental is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Thiopental.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Thiopental is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Thiopental.]
[A02BC03, lansoprazole, The metabolism of Thiopental can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Thiopental.]
[J02AC05, isavuconazole, The metabolism of Thiopental can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Thiopental.]
[B01AC27, selexipag, Thiopental may increase the hypotensive activities of Selexipag.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Thiopental.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Thiopental is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Thiopental is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Bromazepam.]
[N04BC01, bromocriptine, Thiopental may increase the hypotensive activities of Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Thiopental is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Thiopental.]
[N06AA19, amineptin, The metabolism of Amineptine can be increased when combined with Thiopental.]
[C08CA01, amlodipine, Thiopental may increase the hypotensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Thiopental.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Thiopental is combined with Aniracetam.]
[C03CA02, bumetanide, Thiopental may increase the hypotensive activities of Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Bupivacaine.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be decreased when it is combined with Thiopental.]
[N07BC01, buprenorphine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiopental.]
[L01XX27, arsenic trioxide, Thiopental may increase the hypotensive activities of Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Thiopental.]
[M02AA03, clofezone, The metabolism of Thiopental can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Thiopental is combined with Butorphanol.]
[R06AX09, azatadine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Thiopental can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Thiopental.]
[R03CC12, bambuterol, The therapeutic efficacy of Thiopental can be decreased when used in combination with Bambuterol.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be decreased when it is combined with Thiopental.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Thiopental is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Thiopental can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Beclamide.]
[N06BC01, caffeine, The serum concentration of Caffeine can be decreased when it is combined with Thiopental.]
[C09AA07, benazepril, Thiopental may increase the hypotensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Oxybuprocaine.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Thiopental.]
[J05AE09, tipranavir, The metabolism of Thiopental can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Thiopental can be increased when combined with Infliximab.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Thiopental.]
[L01XX59, enasidenib, The metabolism of Thiopental can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Thiopental may increase the hypotensive activities of Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Thiopental can be increased when combined with Efavirenz.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be decreased when it is combined with Thiopental.]
[N04AA11, bornaprine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, Thiopental may increase the hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Thiopental is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Thiopental is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Thiopental is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Thiopental can be increased when combined with Letermovir.]
[N06AA15, butriptyline, The metabolism of Butriptyline can be increased when combined with Thiopental.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Thiopental is combined with Vinylbital.]
[C09AA01, captopril, Thiopental may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, The serum concentration of Thiopental can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Thiopental.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Thiopental.]
[A03AA03, camylofine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Carbinoxamine.]
[C07AG02, carvedilol, Thiopental may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Thiopental.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Thiopental.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be decreased when it is combined with Thiopental.]
[N03AX17, stiripentol, The metabolism of Thiopental can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Thiopental can be decreased when combined with Tecovirimat.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Thiopental.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Thiopental is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be decreased when it is combined with Thiopental.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Thiopental.]
[R03BB08, revefenacin, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Thiopental can be increased when combined with Emapalumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Thiopental.]
[C09AA08, cilazapril, Thiopental may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Thiopental.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Thiopental is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Thiopental can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Thiopental is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Thiopental is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiopental.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Thiopental.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Thiopental is combined with Cloxazolam.]
[C09CA06, candesartan, Thiopental may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Thiopental can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Thiopental can be decreased when combined with Alpelisib.]
[J01DD01, cefotaxime, The therapeutic efficacy of Thiopental can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Thiopental.]
[C03BX03, cicletanine, Thiopental may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiopental.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Thiopental.]
[C03AA09, cyclothiazide, Thiopental may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Thiopental is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Thiopental.]
[J01DB03, cephalothin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Thiopental.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Thiopental.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Thiopental.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Thiopental.]
[N03AX25, cenobamate, The serum concentration of Thiopental can be increased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Thiopental.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Thiopental is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Thiopental.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Thiopental.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Thiopental.]
[H02CA02, osilodrostat, The serum concentration of Thiopental can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Thiopental can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Thiopental is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Thiopental is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Thiopental.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Thiopental.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Thiopental is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Thiopental is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiopental.]
[C08CA16, clevidipine, The metabolism of Thiopental can be decreased when combined with Clevidipine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Thiopental can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Thiopental can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Thiopental.]
[C02AA06, methoserpidine, Thiopental may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Thiopental.]
[N04BX04, opicapone, Thiopental may increase the hypotensive activities of Opicapone.]
[G04BD09, trospium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Thiopental.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Thiopental is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Thiopental is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Thiopental.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Thiopental.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Thiopental is combined with Remimazolam.]
[N07XX04, sodium oxybate, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Thiopental can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Thiopental is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Chloroquine.]
