[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Meperidine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Meperidine.]
[S01BA05, triamcinolone, The metabolism of Meperidine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Meperidine.]
[A16AX12, trientine, Meperidine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Meperidine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Meperidine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Meperidine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Meperidine.]
[R03BA07, mometasone, The metabolism of Meperidine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Meperidine.]
[R06AD01, trimeprazine, The risk or severity of hypotension and CNS depression can be increased when Alimemazine is combined with Meperidine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Meperidine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Meperidine.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Meperidine is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Meperidine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Meperidine.]
[J01FA08, troleandomycin, The metabolism of Meperidine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Meperidine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Meperidine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Meperidine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Meperidine.]
[L01FX04, ipilimumab, Meperidine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Meperidine.]
[R02AA14, oxyquinoline, Meperidine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Meperidine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Meperidine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Meperidine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Meperidine can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Meperidine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Meperidine is combined with Ezogabine.]
[B01AF01, rivaroxaban, Meperidine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, Meperidine can cause a decrease in the absorption of Ticagrelor resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08DA01, verapamil, The metabolism of Meperidine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Meperidine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Meperidine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Meperidine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Meperidine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Meperidine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, Meperidine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Meperidine can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Meperidine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Meperidine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Meperidine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Meperidine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Meperidine.]
[M05BA05, tiludronic acid, Meperidine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Meperidine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Meperidine.]
[R03DC01, zafirlukast, The metabolism of Meperidine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Meperidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Meperidine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Meperidine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Meperidine.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Meperidine.]
[J01DH04, doripenem, Meperidine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Meperidine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Meperidine.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Meperidine.]
[M01CB03, auranofin, Meperidine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Meperidine.]
[R07AX02, ivacaftor, The metabolism of Meperidine can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Meperidine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Meperidine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Meperidine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Meperidine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Meperidine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Meperidine is combined with Lorcaserin.]
[G04BD12, mirabegron, Meperidine may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Meperidine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Meperidine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Meperidine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Meperidine.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Meperidine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Meperidine.]
[N05CA04, barbital, Barbital may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[D02BA02, octinoxate, Meperidine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Meperidine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Rasagiline is combined with Meperidine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Meperidine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Meperidine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Meperidine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Meperidine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Meperidine.]
[V09IX04, fluorodeoxyglucose F18, Meperidine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Meperidine is combined with Diethyl ether.]
[H01CB05, pasireotide, The metabolism of Meperidine can be decreased when combined with Pasireotide.]
[V08CA11, gadofosveset, Meperidine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Meperidine.]
[A16AX08, teduglutide, Meperidine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Meperidine.]
[A10BH04, alogliptin, Meperidine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Meperidine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Meperidine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Meperidine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Meperidine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Benzocaine.]
[L03AA12, ancestim, Meperidine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Meperidine is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Meperidine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Meperidine.]
[L01EC02, dabrafenib, The serum concentration of Meperidine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EE01, trametinib, Meperidine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Meperidine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Meperidine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Meperidine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Meperidine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Meperidine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Meperidine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Meperidine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Meperidine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Meperidine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Meperidine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Meperidine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Meperidine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Meperidine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Meperidine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Meperidine can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, Meperidine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Meperidine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Meperidine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Meperidine.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Meperidine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Meperidine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Meperidine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Meperidine is combined with Alfaxalone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Meperidine.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05CM19, suvorexant, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Meperidine can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of hypotension and CNS depression can be increased when Acepromazine is combined with Meperidine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Meperidine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Meperidine is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Meperidine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Meperidine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Meperidine.]
[S03AA06, gentamicin, Meperidine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Meperidine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Meperidine is combined with Dicoumarol.]
[B01AF03, edoxaban, Meperidine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Meperidine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Meperidine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Meperidine.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Meperidine.]
[N02BE01, acetaminophen, The metabolism of Meperidine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Meperidine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Meperidine is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Meperidine can be increased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Meperidine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Meperidine is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Meperidine.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Meperidine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Meperidine.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Meperidine is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of hypotension and CNS depression can be increased when Acetophenazine is combined with Meperidine.]
[V03AB37, idarucizumab, Meperidine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Meperidine.]
[J02AC05, isavuconazole, The metabolism of Meperidine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Meperidine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Meperidine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Meperidine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Meperidine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Meperidine.]
[M04AB05, lesinurad, The metabolism of Meperidine can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Meperidine.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Meperidine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Meperidine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Meperidine is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Meperidine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Meperidine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Meperidine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Meperidine is combined with Amineptine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Meperidine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Meperidine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Meperidine.]
[N07BC01, buprenorphine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Meperidine is combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Meperidine.]
[L01XX27, arsenic trioxide, Meperidine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Meperidine.]
[M02AA03, clofezone, Meperidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The therapeutic efficacy of Meperidine can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Meperidine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Meperidine can be decreased when combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Meperidine.]
[L01EF02, ribociclib, The metabolism of Meperidine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[A06AH05, naldemedine, The therapeutic efficacy of Meperidine can be decreased when used in combination with Naldemedine.]
[N07XX16, deutetrabenazine, Meperidine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Meperidine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Meperidine is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Meperidine can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Meperidine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Linezolid is combined with Meperidine.]
[J05AF06, abacavir, Meperidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Meperidine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Meperidine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Meperidine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Meperidine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Meperidine.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Safinamide is combined with Meperidine.]
[L04AC14, sarilumab, The metabolism of Meperidine can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Meperidine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[D01AC10, bifonazole, The metabolism of Meperidine can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, Meperidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Meperidine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Meperidine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Meperidine.]
