[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Ketamine.]
[C02BA01, trimethaphan, Ketamine may increase the neuromuscular blocking activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Ketamine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Ketamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Ketamine.]
[A03BB01, butylscopolamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Ketamine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Ketamine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Ketamine.]
[M03AA02, tubocurarine, Ketamine may increase the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, Ketamine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Ketamine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Ketamine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Ketamine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Ketamine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ketamine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ketamine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Ketamine.]
[S01AA28, vancomycin, Ketamine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ketamine is combined with Ezogabine.]
[B01AF01, rivaroxaban, Ketamine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ketamine can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Ketamine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ketamine can be decreased when combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Ketamine.]
[S01AA13, fusidic acid, The metabolism of Ketamine can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Ketamine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Ketamine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Ketamine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Ketamine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ketamine.]
[L01EC01, vemurafenib, The metabolism of Ketamine can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B06AC02, icatibant, Ketamine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Ketamine can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Ketamine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Ketamine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Ketamine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Ketamine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Ketamine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Ketamine may increase the bradycardic activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Ketamine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Ketamine is combined with Atracurium.]
[S01FA01, atropine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ketamine.]
[H02AB11, prednylidene, The therapeutic efficacy of Ketamine can be decreased when used in combination with Prednylidene.]
[B03XA04, peginesatide, Ketamine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ketamine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Ketamine is combined with Lorcaserin.]
[G04BD12, mirabegron, Ketamine may increase the neuromuscular blocking activities of Mirabegron.]
[V03AX03, cobicistat, The metabolism of Ketamine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ketamine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Ketamine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Ketamine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Ketamine can be decreased when combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Octopamine.]
[H02AA01, aldosterone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Ketamine can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Barbital.]
[D02BA02, octinoxate, Ketamine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Ketamine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Ketamine is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Ketamine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Ketamine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Ketamine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Ketamine.]
[R06AC06, thonzylamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Ketamine.]
[V09IX04, fluorodeoxyglucose F18, Ketamine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Ketamine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Ketamine can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Ketamine can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Ketamine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ketamine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Ketamine.]
[A16AX08, teduglutide, Ketamine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Ketamine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Ketamine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Ketamine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Ketamine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Ketamine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Ketamine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Ketamine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Ketamine.]
[L03AA12, ancestim, Ketamine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Ketamine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Ketamine.]
[N04AC01, benztropine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Ketamine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Ketamine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Ketamine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Ketamine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Ketamine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Ketamine.]
[A10BJ03, lixisenatide, Ketamine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Ketamine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Ketamine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Ketamine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Ketamine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Ketamine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ketamine.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Ketamine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, Ketamine may increase the bradycardic activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Ketamine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Ketamine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ketamine can be increased when combined with Apremilast.]
[L02BG02, formestane, Ketamine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Ketamine may increase the bradycardic activities of Betaxolol.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Ketamine.]
[C10AB02, bezafibrate, The metabolism of Ketamine can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Ketamine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ketamine can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Ketamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Ketamine is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Ketamine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CM19, suvorexant, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Ketamine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Acepromazine.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Ketamine is combined with Methacholine.]
[N04AA02, biperiden, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Ketamine.]
[S03AA06, gentamicin, Ketamine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ketamine.]
[B01AA01, dicumarol, The metabolism of Ketamine can be decreased when combined with Dicoumarol.]
[B01AF03, edoxaban, Ketamine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Ketamine can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03AA09, difemerine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Ketamine.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Ketamine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Ketamine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Ketamine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Ketamine.]
[A02BC03, lansoprazole, The metabolism of Ketamine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Ketamine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ketamine.]
[J02AC05, isavuconazole, The metabolism of Ketamine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ketamine.]
[L01XG03, ixazomib, Ketamine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Ketamine.]
[A10BB31, acetohexamide, The metabolism of Ketamine can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, Ketamine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Ketamine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Ketamine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Ketamine.]
[A02AD05, aluminum magnesium silicate, Ketamine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Ketamine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Ketamine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Ketamine is combined with Amineptine.]
[N01AH05, anileridine, The therapeutic efficacy of Ketamine can be increased when used in combination with Anileridine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Ketamine is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Ketamine.]
[C07AA19, bupranolol, Ketamine may increase the bradycardic activities of Bupranolol.]
[N07BC01, buprenorphine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Ketamine.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Ketamine.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Ketamine.]
[S01GX07, azelastine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Ketamine can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Ketamine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R03CC12, bambuterol, Ketamine may increase the neuromuscular blocking activities of Bambuterol.]
[A06AH05, naldemedine, Ketamine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Ketamine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Ketamine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Ketamine is combined with Beclamide.]
[S01HA02, benoxinate, Ketamine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Ketamine may increase the neuromuscular blocking activities of Benzonatate.]
[P01CA02, benznidazole, Ketamine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Ketamine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Ketamine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Ketamine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ketamine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Ketamine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Ketamine is combined with Safinamide.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Ketamine is combined with Bethanechol.]
[J01MA23, delafloxacin, Ketamine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Ketamine is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Ketamine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ketamine.]
[C07AB07, bisoprolol, Ketamine may increase the bradycardic activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Bitolterol is combined with Ketamine.]
