[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Certolizumab pegol.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Certolizumab pegol.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Certolizumab pegol.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Certolizumab pegol.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Certolizumab pegol.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Certolizumab pegol.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Certolizumab pegol.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Certolizumab pegol.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Certolizumab pegol.]
[A03AA05, trimebutine, Certolizumab pegol may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Certolizumab pegol.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Certolizumab pegol.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Certolizumab pegol.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Certolizumab pegol.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Certolizumab pegol.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Certolizumab pegol.]
[L01FX04, ipilimumab, The risk or severity of adverse effects can be increased when Ipilimumab is combined with Certolizumab pegol.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Certolizumab pegol.]
[R02AA14, oxyquinoline, Certolizumab pegol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Certolizumab pegol.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be increased when combined with Certolizumab pegol.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be increased when combined with Certolizumab pegol.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be increased when combined with Certolizumab pegol.]
[S01AA28, vancomycin, Certolizumab pegol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Certolizumab pegol.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Certolizumab pegol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Certolizumab pegol.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Certolizumab pegol.]
[N06AX09, viloxazine, Certolizumab pegol may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Certolizumab pegol.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Certolizumab pegol.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Certolizumab pegol.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Certolizumab pegol.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be increased when combined with Certolizumab pegol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be increased when combined with Certolizumab pegol.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Certolizumab pegol.]
[J05AE02, indinavir, The metabolism of Indinavir can be increased when combined with Certolizumab pegol.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Certolizumab pegol.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Certolizumab pegol.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Certolizumab pegol.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be increased when combined with Certolizumab pegol.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be increased when combined with Certolizumab pegol.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Certolizumab pegol.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Certolizumab pegol.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Certolizumab pegol.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be increased when combined with Certolizumab pegol.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Certolizumab pegol.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be increased when combined with Certolizumab pegol.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be increased when combined with Certolizumab pegol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Certolizumab pegol.]
[L01FA01, rituximab, Rituximab may increase the immunosuppressive activities of Certolizumab pegol.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be increased when combined with Certolizumab pegol.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be increased when combined with Certolizumab pegol.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Certolizumab pegol.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Certolizumab pegol.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Prednylidene.]
[B03XA04, peginesatide, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with Peginesatide.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Certolizumab pegol.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be increased when combined with Certolizumab pegol.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Certolizumab pegol.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be increased when combined with Certolizumab pegol.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Certolizumab pegol.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Certolizumab pegol.]
[L01FD02, pertuzumab, The risk or severity of adverse effects can be increased when Pertuzumab is combined with Certolizumab pegol.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Certolizumab pegol.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be increased when combined with Certolizumab pegol.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Certolizumab pegol.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be increased when combined with Certolizumab pegol.]
[L02BB04, enzalutamide, The metabolism of Enzalutamide can be increased when combined with Certolizumab pegol.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Certolizumab pegol.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Certolizumab pegol.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Certolizumab pegol.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Certolizumab pegol.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Certolizumab pegol.]
[N05CA04, barbital, The metabolism of Barbital can be increased when combined with Certolizumab pegol.]
[D02BA02, octinoxate, Certolizumab pegol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be increased when combined with Certolizumab pegol.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be increased when combined with Certolizumab pegol.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Certolizumab pegol.]
[N06DA02, donepezil, The metabolism of Donepezil can be increased when combined with Certolizumab pegol.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Certolizumab pegol.]
[L04AA29, tofacitinib, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be increased when combined with Certolizumab pegol.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be increased when combined with Certolizumab pegol.]
[V09IX04, fluorodeoxyglucose F18, Certolizumab pegol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be increased when combined with Certolizumab pegol.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Certolizumab pegol.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Certolizumab pegol.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Certolizumab pegol.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Certolizumab pegol.]
[J06BC02, raxibacumab, The risk or severity of adverse effects can be increased when Raxibacumab is combined with Certolizumab pegol.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be increased when combined with Certolizumab pegol.]
[A16AX09, glycerol phenylbutyrate, Certolizumab pegol may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Certolizumab pegol.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be increased when combined with Certolizumab pegol.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be increased when combined with Certolizumab pegol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be increased when combined with Certolizumab pegol.]
[L03AA12, ancestim, Certolizumab pegol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be increased when combined with Certolizumab pegol.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Certolizumab pegol.]
[N04AC01, benztropine, The metabolism of Benzatropine can be increased when combined with Certolizumab pegol.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be increased when combined with Certolizumab pegol.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EE01, trametinib, Certolizumab pegol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be increased when combined with Certolizumab pegol.]
[V09AX05, florbetapir F-18, Certolizumab pegol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Certolizumab pegol.]
[C08EA02, bepridil, The metabolism of Bepridil can be increased when combined with Certolizumab pegol.]
[C02KX05, riociguat, The metabolism of Riociguat can be increased when combined with Certolizumab pegol.]
[L03AA14, lipegfilgrastim, The therapeutic efficacy of Lipegfilgrastim can be decreased when used in combination with Certolizumab pegol.]
[A10BJ03, lixisenatide, Certolizumab pegol may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Certolizumab pegol may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be increased when combined with Certolizumab pegol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Certolizumab pegol.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AP08, sofosbuvir, Certolizumab pegol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Certolizumab pegol.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be increased when combined with Certolizumab pegol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Certolizumab pegol.]
[L04AA32, apremilast, The therapeutic efficacy of Apremilast can be decreased when used in combination with Certolizumab pegol.]
[L02BG02, formestane, Certolizumab pegol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Certolizumab pegol.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be increased when combined with Certolizumab pegol.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Certolizumab pegol.]
[L01FG02, ramucirumab, The risk or severity of adverse effects can be increased when Ramucirumab is combined with Certolizumab pegol.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Certolizumab pegol.]
[L04AA33, vedolizumab, The risk or severity of infection can be increased when Certolizumab pegol is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Certolizumab pegol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Certolizumab pegol.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Certolizumab pegol.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be increased when combined with Certolizumab pegol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Certolizumab pegol.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be increased when combined with Certolizumab pegol.]
[L01FF02, pembrolizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Pembrolizumab.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A10BJ05, dulaglutide, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Certolizumab pegol.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be increased when combined with Certolizumab pegol.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Certolizumab pegol.]
[S03AA06, gentamicin, Certolizumab pegol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be increased when combined with Certolizumab pegol.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Certolizumab pegol.]
[L01FF01, nivolumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Nivolumab.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be increased when combined with Certolizumab pegol.]
[B01AF03, edoxaban, Certolizumab pegol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be increased when combined with Certolizumab pegol.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Certolizumab pegol.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Certolizumab pegol.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Certolizumab pegol.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Certolizumab pegol.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Certolizumab pegol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Certolizumab pegol.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be increased when combined with Certolizumab pegol.]
[C10AX14, alirocumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Alirocumab.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Certolizumab pegol.]
[C10AX13, evolocumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Evolocumab.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be increased when combined with Certolizumab pegol.]
[V03AB37, idarucizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Idarucizumab.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Certolizumab pegol.]
[A16AB13, asfotase alfa, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Asfotase alfa.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Certolizumab pegol.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Certolizumab pegol.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Certolizumab pegol.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Certolizumab pegol.]
[L01FC01, daratumumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Daratumumab.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Certolizumab pegol.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Certolizumab pegol.]
[L01FE03, necitumumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Necitumumab.]
[L01FX08, elotuzumab, The risk or severity of adverse effects can be increased when Elotuzumab is combined with Certolizumab pegol.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Certolizumab pegol.]
[J06BB02, tetanus immune globulin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tetanus immune globulin, human.]
[B01AC27, selexipag, The metabolism of Selexipag can be increased when combined with Certolizumab pegol.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be increased when combined with Certolizumab pegol.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be increased when combined with Certolizumab pegol.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Certolizumab pegol.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be increased when combined with Certolizumab pegol.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ixekizumab.]
[R03DX08, reslizumab, The risk or severity of adverse effects can be increased when Reslizumab is combined with Certolizumab pegol.]
[J06BC04, obiltoxaximab, The risk or severity of adverse effects can be increased when Obiltoxaximab is combined with Certolizumab pegol.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Certolizumab pegol.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be increased when combined with Certolizumab pegol.]
[A02AD05, aluminum magnesium silicate, Certolizumab pegol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be increased when combined with Certolizumab pegol.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Certolizumab pegol.]
[L01FF05, atezolizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Atezolizumab.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be increased when combined with Certolizumab pegol.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be increased when combined with Certolizumab pegol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Certolizumab pegol.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Certolizumab pegol.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Certolizumab pegol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Certolizumab pegol.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Certolizumab pegol.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be increased when combined with Certolizumab pegol.]
[J06BC03, bezlotoxumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Bezlotoxumab.]
[L01FX10, olaratumab, The risk or severity of adverse effects can be increased when Olaratumab is combined with Certolizumab pegol.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Certolizumab pegol.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be increased when combined with Certolizumab pegol.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Certolizumab pegol.]
