[S02DA03, antipyrine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Antipyrine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Nimodipine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Nimodipine is combined with Tretinoin.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Nimodipine.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Trichlormethiazide.]
[N05AB06, trifluoperazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nimodipine.]
[A03AA05, trimebutine, Nimodipine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Nimodipine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Nimodipine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Nimodipine.]
[C02BA01, trimethaphan, Nimodipine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of hypotension can be increased when Trimipramine is combined with Nimodipine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Nimodipine.]
[J01FA08, troleandomycin, The metabolism of Nimodipine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Nimodipine.]
[C09CA09, azilsartan medoxomil, Nimodipine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Nimodipine may increase the neuromuscular blocking activities of Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Vandetanib.]
[A10BH05, linagliptin, The metabolism of Nimodipine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Nimodipine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Nimodipine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Nimodipine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Nimodipine.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Nimodipine.]
[C08DA01, verapamil, Nimodipine may increase the arrhythmogenic activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Nimodipine can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Nimodipine may increase the hypotensive activities of Vincamine.]
[S01AA13, fusidic acid, The metabolism of Nimodipine can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Nimodipine.]
[C03BA10, xipamide, Nimodipine may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Nimodipine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Vemurafenib.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Nimodipine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Nimodipine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Drospirenone.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Nimodipine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Nimodipine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Nimodipine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Nimodipine.]
[L01FA01, rituximab, Nimodipine may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The serum concentration of Nimodipine can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, Nimodipine may increase the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Nimodipine may increase the arrhythmogenic activities of Atropine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Nimodipine.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Nimodipine.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Nimodipine.]
[V03AX03, cobicistat, The metabolism of Nimodipine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Nimodipine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Nimodipine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Nimodipine.]
[A02AA05, magnesium silicate, The risk or severity of hypotension can be increased when Magnesium silicate is combined with Nimodipine.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Nimodipine.]
[L01EX05, regorafenib, Nimodipine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Nimodipine.]
[C01AA01, acetyldigitoxin, Nimodipine may increase the arrhythmogenic activities of Acetyldigitoxin.]
[J05AE04, nelfinavir, The metabolism of Nimodipine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Nimodipine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Nimodipine.]
[C08CA13, lercanidipine, Nimodipine may increase the arrhythmogenic activities of Lercanidipine.]
[N06DA02, donepezil, Nimodipine may increase the bradycardic activities of Donepezil.]
[L04AA29, tofacitinib, Nimodipine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Nimodipine.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Nimodipine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Nimodipine.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Nimodipine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Bedaquiline.]
[C04AX11, bencyclane, Nimodipine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Alogliptin.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Bendroflumethiazide.]
[N02BA10, benorilate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, The risk or severity of hypotension can be increased when Magnesium orotate is combined with Nimodipine.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Nimodipine.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Nimodipine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Pramlintide.]
[M01AH01, celecoxib, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Nimodipine.]
[A12CC05, magnesium aspartate, The risk or severity of hypotension can be increased when Magnesium aspartate is combined with Nimodipine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Nimodipine.]
[L01EC02, dabrafenib, The serum concentration of Nimodipine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Benzydamine.]
[C08EA02, bepridil, Nimodipine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, Nimodipine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Lixisenatide.]
[C02KX04, macitentan, Nimodipine may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Nimodipine.]
[J05AP05, simeprevir, The metabolism of Nimodipine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Dapagliflozin.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Nimodipine.]
[C07AB04, acebutolol, Nimodipine may increase the arrhythmogenic activities of Acebutolol.]
[A16AA07, metreleptin, The metabolism of Nimodipine can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Nimodipine.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Nimodipine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Albiglutide.]
[L01ED02, ceritinib, Nimodipine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Nimodipine may increase the arrhythmogenic activities of Hyoscyamine.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Empagliflozin.]
[R03AC19, olodaterol, Olodaterol may decrease the antihypertensive activities of Nimodipine.]
[S01EE02, unoprostone, Nimodipine may increase the hypotensive activities of Unoprostone.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of hypotension can be increased when Acepromazine is combined with Nimodipine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Nimodipine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Dulaglutide.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Nimodipine.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Nimodipine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Panobinostat.]
[C01EB17, ivabradine, Nimodipine may increase the bradycardic activities of Ivabradine.]
[N05AX16, brexpiprazole, The risk or severity of hypotension can be increased when Brexpiprazole is combined with Nimodipine.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Nimodipine.]
[A06AD03, magnesium peroxide, The risk or severity of hypotension can be increased when Magnesium peroxide is combined with Nimodipine.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Nimodipine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Acarbose.]
[M02AA25, aceclofenac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Acemetacin.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin degludec.]
[J02AC05, isavuconazole, The metabolism of Nimodipine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Nimodipine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Acetohexamide.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Nimodipine.]
[M01AE16, alminoprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Alminoprofen.]
[L01XX52, venetoclax, The metabolism of Nimodipine can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The risk or severity of hypotension can be increased when Bromocriptine is combined with Nimodipine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Nimodipine.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Nimodipine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Nimodipine.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Nimodipine.]
[C07AA19, bupranolol, Nimodipine may increase the arrhythmogenic activities of Bupranolol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Nimodipine.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Nimodipine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Nimodipine may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Nimodipine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Nimodipine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Nimodipine.]
[L01EF02, ribociclib, The metabolism of Nimodipine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Nimodipine.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Nimodipine.]
[C09AA07, benazepril, Nimodipine may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Benfluorex.]
[G04BA03, calcium chloride, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Nimodipine.]
[J05AE09, tipranavir, The metabolism of Nimodipine can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium gluconate.]
[L01EX10, midostaurin, The metabolism of Nimodipine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Nimodipine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Nimodipine.]
[D01AC10, bifonazole, The therapeutic efficacy of Bifonazole can be increased when used in combination with Nimodipine.]
[P03AC02, bioallethrin, Nimodipine may increase the arrhythmogenic activities of Bioallethrin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Nimodipine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Nimodipine can be increased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Nimodipine.]
[J05AG03, efavirenz, The serum concentration of Nimodipine can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of bradycardia can be increased when Nimodipine is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Nesiritide.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Canrenone.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Nimodipine.]
[M01AB07, bumadizone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Bumadizone.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Nimodipine may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Semaglutide.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Ertugliflozin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Nimodipine.]
[C09AA01, captopril, Nimodipine may increase the hypotensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Nimodipine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Nimodipine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Nimodipine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Carbinoxamine.]
[C07AG02, carvedilol, Nimodipine may increase the arrhythmogenic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Nimodipine.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Nimodipine.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Encorafenib.]
[C07AB08, celiprolol, Nimodipine may increase the arrhythmogenic activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Nimodipine can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Nimodipine can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Nimodipine.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Carbutamide.]
[M01AC05, lornoxicam, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Nimodipine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Nimodipine.]
[C01BG07, cifenline, Nimodipine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Nimodipine may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Nimodipine.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Nimodipine.]
[S01ED05, carteolol, Nimodipine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Nimodipine.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Nimodipine.]
[J01FA09, clarithromycin, The metabolism of Nimodipine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Nimodipine.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Nimodipine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Nimodipine may increase the hypotensive activities of Candesartan.]
[A12CC06, magnesium lactate, The risk or severity of hypotension can be increased when Magnesium lactate is combined with Nimodipine.]
[C03BX03, cicletanine, Nimodipine may increase the arrhythmogenic activities of Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Nimodipine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Nimodipine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Nimodipine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Nimodipine.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Nimodipine.]
[N03AX25, cenobamate, The serum concentration of Nimodipine can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Nimodipine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Nimodipine.]
[J05AE05, amprenavir, The metabolism of Nimodipine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Nimodipine.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Nimodipine.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Nimodipine.]
[M01AH02, rofecoxib, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Nimodipine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Nimodipine may increase the arrhythmogenic activities of Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Nimodipine.]
[C02AA06, methoserpidine, Nimodipine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Nimodipine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Nimodipine is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Nimodipine.]
[M01AC04, droxicam, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Droxicam.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Nimodipine.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Nimodipine may increase the hypotensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Nimodipine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Nimodipine.]
[L04AC19, satralizumab, The serum concentration of Nimodipine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Chloroquine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of hypotension can be increased when Chlorpromazine is combined with Nimodipine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Nimodipine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the hypotensive activities of Nimodipine.]
[N02BA07, ethenzamide, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Ethenzamide.]
[N06BX18, vinpocetine, Nimodipine may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Etofenamate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Nimodipine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Nimodipine may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Nimodipine.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Nimodipine.]
[P03AX07, abametapir, The serum concentration of Nimodipine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Nimodipine is combined with Vericiguat.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Nimodipine.]
[M01AE05, fenbufen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Nimodipine may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Nimodipine.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Nimodipine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Nimodipine.]
