[S02DA03, antipyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Antipyrine.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Bumetanide.]
[A03AA05, trimebutine, Bumetanide may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Bumetanide is combined with Trimethaphan.]
[J01EA01, trimethoprim, Bumetanide may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Bumetanide is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Bumetanide may decrease the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, Bumetanide may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Bumetanide may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA14, oxyquinoline, Bumetanide may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Bumetanide.]
[S01AA28, vancomycin, Bumetanide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Bumetanide may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Bumetanide may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Indacaterol is combined with Bumetanide.]
[C08DA01, verapamil, Bumetanide may increase the excretion rate of Verapamil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX09, viloxazine, Bumetanide may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX07, vincamine, Bumetanide may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Bumetanide.]
[B03BA01, vitamin B12, Bumetanide may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, Bumetanide may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Bumetanide can be decreased when combined with Zidovudine.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Bumetanide.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Pamidronic acid is combined with Bumetanide.]
[M05BA05, tiludronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Tiludronic acid.]
[B06AC02, icatibant, Bumetanide may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC04, rabeprazole, Bumetanide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Ibandronate.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Bumetanide may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Bumetanide which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Bumetanide may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Bumetanide may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Bumetanide.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Bumetanide.]
[M03AC04, atracurium, Bumetanide may decrease the neuromuscular blocking activities of Atracurium.]
[M01CB03, auranofin, Bumetanide may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Bumetanide.]
[B03XA04, peginesatide, Bumetanide may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Bumetanide may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Bumetanide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Bumetanide may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Bumetanide may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Bumetanide.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Bumetanide.]
[M03BX01, baclofen, Bumetanide may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, Bumetanide may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, Bumetanide may increase the excretion rate of Mirabegron which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB04, enzalutamide, Bumetanide may increase the excretion rate of Enzalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Linaclotide.]
[L04AA31, teriflunomide, The excretion of Bumetanide can be decreased when combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Bumetanide.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Bumetanide.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Bumetanide may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Bumetanide.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Bumetanide.]
[V09IX04, fluorodeoxyglucose F18, Bumetanide may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Bumetanide.]
[V08CA11, gadofosveset, Bumetanide may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX08, teduglutide, Bumetanide may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Bumetanide.]
[A16AX09, glycerol phenylbutyrate, Bumetanide may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Bumetanide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypotension can be increased when Canagliflozin is combined with Bumetanide.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Bumetanide is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin detemir.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Bumetanide.]
[L03AA12, ancestim, Bumetanide may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Celecoxib.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Bumetanide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Bumetanide may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The excretion of Bumetanide can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Bumetanide may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Bumetanide may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, Bumetanide may increase the excretion rate of Levomilnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AJ03, dolutegravir, The excretion of Bumetanide can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of adverse effects can be increased when Bumetanide is combined with Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Bumetanide is combined with Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Bumetanide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Bumetanide.]
[C02KX04, macitentan, Bumetanide may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Bumetanide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Bumetanide may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP08, sofosbuvir, Bumetanide may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Bumetanide.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Droxidopa is combined with Bumetanide.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Acebutolol.]
[N05CH03, tasimelteon, Bumetanide may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA32, apremilast, Bumetanide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG02, formestane, Bumetanide may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Bumetanide.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Bumetanide.]
[V03AB34, fomepizole, Bumetanide may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Bumetanide may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Bezafibrate.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Bumetanide.]
[N07XX08, tafamidis, The excretion of Bumetanide can be decreased when combined with Tafamidis.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Bumetanide.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Bumetanide.]
[V08AA01, diatrizoic acid, Bumetanide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AA04, iothalamic acid, Bumetanide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA15, dihydrostreptomycin, The serum concentration of Dihydrostreptomycin can be increased when it is combined with Bumetanide.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Bumetanide is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Bumetanide.]
[A06AH03, naloxegol, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Naloxegol.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Bumetanide is combined with Bisacodyl.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Bumetanide.]
[B01AF03, edoxaban, Bumetanide may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX08, lenvatinib, The excretion of Bumetanide can be decreased when combined with Lenvatinib.]
[N02BE01, acetaminophen, Bumetanide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Bumetanide may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01EB17, ivabradine, The risk or severity of Cardiac Arrhythmia can be increased when Bumetanide is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Bumetanide.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Bumetanide.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium peroxide.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Bumetanide.]
[M02AA25, aceclofenac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin degludec.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Acipimox.]
[A02BC03, lansoprazole, The excretion of Bumetanide can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Bumetanide may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CX01, trabectedin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Trabectedin.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bumetanide.]
[L01XG03, ixazomib, Bumetanide may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, Bumetanide may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Bumetanide.]
[M04AB05, lesinurad, Bumetanide may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE16, alminoprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Alminoprofen.]
[N02BA02, aloxiprin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Aloxiprin.]
[N03AX23, brivaracetam, Bumetanide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA08, bromazepam, Bumetanide may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Bumetanide.]
[A02AD05, aluminum magnesium silicate, Bumetanide may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Bumetanide.]
[S01AA13, fusidic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Fusidic acid.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Bumetanide.]
[C07AA19, bupranolol, Bumetanide may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Buprenorphine.]
[N05BE01, buspirone, Bumetanide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, Bumetanide may increase the excretion rate of Arsenic trioxide which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA03, clofezone, Bumetanide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Butorphanol.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Plecanatide.]
[A07EC04, balsalazide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypokalemia can be increased when Bambuterol is combined with Bumetanide.]
[A06AH05, naldemedine, Bumetanide may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Bumetanide may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Bumetanide may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Benazepril is combined with Bumetanide.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Bumetanide.]
[P01CA02, benznidazole, Bumetanide may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX08, linezolid, The excretion of Bumetanide can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Bumetanide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX13, valbenazine, Bumetanide may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Bumetanide.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Bumetanide.]
[J01MA23, delafloxacin, Bumetanide may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC06, capecitabine, Bumetanide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX59, enasidenib, The excretion of Bumetanide can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Bumetanide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Bitolterol is combined with Bumetanide.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefprozil.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Bumetanide.]
[M01AB07, bumadizone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Bumadizone.]
[J05AX18, letermovir, The excretion of Bumetanide can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Bumetanide is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Bumetanide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Bumetanide.]
[R06AX18, acrivastine, Bumetanide may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Bumetanide.]
[L02BB05, apalutamide, The excretion of Bumetanide can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, Bumetanide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Bumetanide is combined with Calcium polycarbophil.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Bumetanide.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Bumetanide.]
[B02BX08, avatrombopag, The excretion of Bumetanide can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Bumetanide.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefepime.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefetamet.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefodizime.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Ceforanide.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefpodoxime.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Bumetanide.]
[J01GB14, plazomicin, The serum concentration of Plazomicin can be increased when it is combined with Bumetanide.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Celiprolol is combined with Bumetanide.]
[A16AX14, migalastat, Bumetanide may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, Bumetanide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GX12, cetirizine, Bumetanide may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Bumetanide.]
[N01BA04, chloroprocaine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Chloroprocaine.]
[D08AE05, chloroxylenol, Bumetanide may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC05, lornoxicam, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Inotersen.]
[L01AD01, carmustine, Bumetanide may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Bumetanide is combined with Prucalopride.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Bumetanide is combined with Cilazapril.]
[B01AC23, cilostazol, Bumetanide may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
