[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cisapride.]
[A03AB12, mepenzolate, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Cisapride is combined with Trifluperidol.]
[N05AA05, triflupromazine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Cisapride can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Cisapride.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Cisapride.]
[J01EA01, trimethoprim, The metabolism of Cisapride can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Cisapride.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Cisapride.]
[A03BB01, butylscopolamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The serum concentration of Cisapride can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Cisapride.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Cisapride.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Cisapride is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Cisapride.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Cisapride can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Cisapride can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Cisapride can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The risk or severity of QTc prolongation and Cardiac Arrhythmia can be increased when Telaprevir is combined with Cisapride.]
[J05AG05, rilpivirine, The metabolism of Cisapride can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Cisapride.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Cisapride.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Cisapride.]
[B01AC24, ticagrelor, The metabolism of Cisapride can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Cisapride can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Cisapride can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Cisapride.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Cisapride.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Cisapride.]
[A11HA03, vitamin E, The metabolism of Cisapride can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Cisapride.]
[J05AF01, zidovudine, The metabolism of Cisapride can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Cisapride.]
[J05AE02, indinavir, The serum concentration of Cisapride can be increased when it is combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Cisapride is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Cisapride.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Cisapride.]
[R03DC01, zafirlukast, The metabolism of Cisapride can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Cisapride.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Cisapride.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Cisapride.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Cisapride.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Cisapride.]
[J02AC03, voriconazole, The metabolism of Cisapride can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Cisapride is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Cisapride.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Cisapride.]
[R07AX02, ivacaftor, The metabolism of Cisapride can be decreased when combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Cisapride can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Cisapride.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Cisapride.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Cisapride.]
[V03AX03, cobicistat, The risk or severity of QTc prolongation and Cardiac Arrhythmia can be increased when Cobicistat is combined with Cisapride.]
[J05AJ02, elvitegravir, The metabolism of Cisapride can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Cisapride can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Cisapride.]
[L04AA31, teriflunomide, The metabolism of Cisapride can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Cisapride.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Barbital.]
[J05AE04, nelfinavir, The serum concentration of Cisapride can be increased when it is combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Cisapride is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Cisapride can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Cisapride.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Cisapride.]
[R06AC06, thonzylamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Cisapride.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Cisapride is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cisapride can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Cisapride.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Cisapride.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Cisapride.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Cisapride.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Cisapride.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Cisapride.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Cisapride.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Cisapride.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Cisapride can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Cisapride.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Cisapride.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Cisapride is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Cisapride.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Cisapride.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Cisapride.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Cisapride.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Cisapride.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Cisapride is combined with Naratriptan.]
[L04AA18, everolimus, The serum concentration of Cisapride can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Cisapride.]
[L01EC02, dabrafenib, The serum concentration of Cisapride can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Cisapride can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Cisapride.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Cisapride.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Cisapride.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Cisapride.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Cisapride.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Cisapride.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Cisapride is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The risk or severity of QTc prolongation and Cardiac Arrhythmia can be increased when Simeprevir is combined with Cisapride.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Cisapride is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Cisapride.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Cisapride.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Cisapride is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Cisapride can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Cisapride can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Cisapride can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Cisapride can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Cisapride.]
[V03AB34, fomepizole, The metabolism of Cisapride can be decreased when combined with Fomepizole.]
[C10AB02, bezafibrate, The metabolism of Cisapride can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Cisapride can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ceritinib is combined with Cisapride.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Cisapride.]
[A03BA03, hyoscyamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Cisapride.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Cisapride.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Cisapride is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cisapride.]
[D11AA01, glycopyrronium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Cisapride.]
[J01XA05, oritavancin, The metabolism of Cisapride can be increased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Acepromazine.]
[N04AA02, biperiden, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Cisapride.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Cisapride.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Cisapride.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Cisapride.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Cisapride is combined with Dicoumarol.]
[N06AX11, mirtazapine, Cisapride may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Cisapride can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Cisapride.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Cisapride.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Panobinostat is combined with Cisapride.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Cisapride.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Cisapride.]
[A03AA09, difemerine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Cisapride is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Ivabradine.]
[J05AP06, asunaprevir, The serum concentration of Cisapride can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Cisapride.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Cisapride.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Cisapride is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Cisapride can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Cisapride.]
[J02AC05, isavuconazole, The metabolism of Cisapride can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Cisapride.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Cisapride.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Cisapride.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Cisapride.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Cisapride.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Cisapride.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cisapride.]
[M04AB05, lesinurad, The metabolism of Cisapride can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Cisapride.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Cisapride is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Cisapride.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Cisapride is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Cisapride is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Cisapride.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Cisapride is combined with Amineptine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Cisapride.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Cisapride is combined with Aniracetam.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Cisapride.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Cisapride.]
[N07BC01, buprenorphine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Cisapride.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Cisapride.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Cisapride.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Cisapride is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Cisapride.]
[S01GX07, azelastine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Cisapride.]
[S01AA26, azithromycin, The serum concentration of Cisapride can be increased when it is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Cisapride can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The serum concentration of the active metabolites of Deutetrabenazine can be increased when Deutetrabenazine is used in combination with Cisapride.]
[N02BF02, pregabalin, The therapeutic efficacy of Cisapride can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Cisapride can be increased when combined with Calcitriol.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cisapride.]
[J05AE09, tipranavir, The serum concentration of Cisapride can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Cisapride.]
[L04AB02, infliximab, The metabolism of Cisapride can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Cisapride can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Cisapride.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Safinamide.]
[L04AC14, sarilumab, The metabolism of Cisapride can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Cisapride.]
[D01AC10, bifonazole, The metabolism of Cisapride can be decreased when combined with Bifonazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Cisapride.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Cisapride.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Cisapride.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Cisapride.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Cisapride.]
[J05AG03, efavirenz, The metabolism of Cisapride can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Cisapride.]
[N04AA11, bornaprine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Cisapride is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Cisapride can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Cisapride.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Cisapride.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Cisapride.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Cisapride.]
[N01BX04, capsaicin, The metabolism of Cisapride can be decreased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Cisapride is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Cisapride.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Cisapride can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Cisapride.]
[A03AA03, camylofine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Cisapride.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Cisapride.]
[B02BX09, fostamatinib, The metabolism of Cisapride can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Cisapride.]
[B02BX08, avatrombopag, The metabolism of Cisapride can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Cisapride.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Cisapride.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Cisapride.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Cisapride.]
[N03AX17, stiripentol, The metabolism of Cisapride can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Cisapride can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Cisapride.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Cisapride.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Cisapride.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Cisapride.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Cisapride is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Cisapride.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Cisapride.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Cisapride.]
[L01ED05, lorlatinib, The metabolism of Cisapride can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Cisapride can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Cisapride can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Cisapride.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Cisapride.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Cisapride.]
