[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[S01AA28, vancomycin, Isoniazid may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The therapeutic efficacy of Ezogabine can be decreased when used in combination with Isoniazid.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Isoniazid.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Isoniazid.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Isoniazid.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Isoniazid.]
[N06AX09, viloxazine, Isoniazid may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Isoniazid.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Isoniazid.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Isoniazid.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Isoniazid.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Isoniazid.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Isoniazid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Isoniazid.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Isoniazid.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Isoniazid.]
[N03AX14, levetiracetam, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Isoniazid.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Isoniazid.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Isoniazid.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Isoniazid.]
[M05BA05, tiludronic acid, Isoniazid may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Isoniazid may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Isoniazid.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Isoniazid.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Isoniazid.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ibandronate is combined with Isoniazid.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be decreased when combined with Isoniazid.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Isoniazid.]
[V03AC02, deferiprone, Isoniazid may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Isoniazid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Isoniazid.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Isoniazid.]
[J01DH04, doripenem, Isoniazid may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Isoniazid.]
[M01CB03, auranofin, Isoniazid may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Isoniazid.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Isoniazid.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Isoniazid.]
[H02AB11, prednylidene, The serum concentration of Isoniazid can be decreased when it is combined with Prednylidene.]
[B03XA04, peginesatide, Isoniazid may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Isoniazid.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Isoniazid.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Isoniazid.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Isoniazid.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Isoniazid.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Isoniazid.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Isoniazid.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Isoniazid.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Isoniazid.]
[H02AA01, aldosterone, The serum concentration of Isoniazid can be decreased when it is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Isoniazid.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Isoniazid.]
[D02BA02, octinoxate, Isoniazid may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nelfinavir can be decreased when combined with Isoniazid.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Isoniazid.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Isoniazid.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Isoniazid.]
[A03FA09, mosapride, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Isoniazid.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Isoniazid.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Isoniazid.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Isoniazid.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Isoniazid.]
[V09IX04, fluorodeoxyglucose F18, Isoniazid may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Isoniazid.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Isoniazid.]
[V08CA11, gadofosveset, Isoniazid may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Isoniazid.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Isoniazid.]
[A16AX08, teduglutide, Isoniazid may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Isoniazid.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Isoniazid.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Isoniazid.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Isoniazid.]
[A16AX09, glycerol phenylbutyrate, Isoniazid may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Isoniazid.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Isoniazid.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Isoniazid.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Isoniazid.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Isoniazid.]
[L03AA12, ancestim, Isoniazid may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Isoniazid.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Isoniazid.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Isoniazid.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EE01, trametinib, Isoniazid may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Isoniazid may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Isoniazid.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Isoniazid.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Isoniazid.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Isoniazid.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Isoniazid.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Isoniazid.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Isoniazid.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Isoniazid.]
[N03AF04, eslicarbazepine, The therapeutic efficacy of Eslicarbazepine can be decreased when used in combination with Isoniazid.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Isoniazid.]
[J05AP08, sofosbuvir, Isoniazid may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Isoniazid.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Isoniazid.]
[C01CA27, droxidopa, Isoniazid may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Isoniazid.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Isoniazid.]
[L02BG02, formestane, Isoniazid may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The serum concentration of Isoniazid can be decreased when it is combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Isoniazid.]
[V03AB34, fomepizole, Isoniazid may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Isoniazid.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Isoniazid.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Isoniazid.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Isoniazid.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Isoniazid.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Isoniazid.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Isoniazid.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Isoniazid.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Isoniazid.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Isoniazid.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Isoniazid.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Isoniazid.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Isoniazid.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Isoniazid.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Isoniazid.]
[S03AA06, gentamicin, Isoniazid may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Isoniazid.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Isoniazid.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Isoniazid.]
[B01AF03, edoxaban, Isoniazid may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Isoniazid may increase the serotonergic activities of Mirtazapine.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Isoniazid.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Isoniazid.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Isoniazid.]
[N02BE01, acetaminophen, Isoniazid may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Isoniazid is combined with Tioclomarol.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Isoniazid.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Isoniazid.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Isoniazid.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Isoniazid.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Isoniazid.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Isoniazid.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Isoniazid.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Isoniazid.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Isoniazid.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Isoniazid.]
[V03AB37, idarucizumab, Isoniazid may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Isoniazid.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Isoniazid.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Isoniazid.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Isoniazid.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Isoniazid.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Isoniazid.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Isoniazid.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Isoniazid.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Isoniazid.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Isoniazid.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Isoniazid.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Isoniazid.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Isoniazid.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Isoniazid.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Isoniazid.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Isoniazid.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Isoniazid.]
[A02AD05, aluminum magnesium silicate, Isoniazid may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[D07AC11, amcinonide, The serum concentration of Isoniazid can be decreased when it is combined with Amcinonide.]
[N06AA19, amineptin, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Isoniazid.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Isoniazid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Isoniazid.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Isoniazid.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Isoniazid.]
[L01XX27, arsenic trioxide, Isoniazid may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Isoniazid.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Isoniazid.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Isoniazid.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Isoniazid.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Isoniazid.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Isoniazid.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Isoniazid.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Isoniazid.]
[A06AH05, naldemedine, Isoniazid may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Isoniazid.]
[N02BF02, pregabalin, The therapeutic efficacy of Pregabalin can be decreased when used in combination with Isoniazid.]
[N03AX30, beclamide, The therapeutic efficacy of Beclamide can be decreased when used in combination with Isoniazid.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Isoniazid.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Isoniazid.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Isoniazid.]
[P01CA02, benznidazole, Isoniazid may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Isoniazid.]
