[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moclobemide.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Moclobemide.]
[C02BA01, trimethaphan, Moclobemide may increase the hypotensive activities of Trimethaphan.]
[N06AA06, trimipramine, Moclobemide may increase the serotonergic activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Moclobemide can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Moclobemide.]
[A03BB01, butylscopolamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Moclobemide.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome and hypomania can be increased when Tryptophan is combined with Moclobemide.]
[C09CA09, azilsartan medoxomil, Moclobemide may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tubocurarine.]
[L02BX03, abiraterone, The metabolism of Moclobemide can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, Moclobemide may increase the hypoglycemic activities of Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Moclobemide.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Ticagrelor.]
[C08DA01, verapamil, Moclobemide may increase the orthostatic hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of hypertension can be increased when Viloxazine is combined with Moclobemide.]
[L01CA01, vinblastine, The metabolism of Moclobemide can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Moclobemide may increase the hypotensive activities of Vincamine.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of adverse effects can be increased when Xenon is combined with Moclobemide.]
[C03BA10, xipamide, Moclobemide may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Moclobemide can be decreased when combined with Vemurafenib.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Moclobemide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Moclobemide can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Moclobemide may increase the hypotensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Moclobemide can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Moclobemide is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Moclobemide is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Moclobemide.]
[M03BX01, baclofen, The risk or severity of hypotension can be increased when Baclofen is combined with Moclobemide.]
[A08AA11, lorcaserin, The metabolism of Moclobemide can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Moclobemide can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Moclobemide can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Moclobemide can be decreased when it is combined with Enzalutamide.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Moclobemide is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Barbital.]
[S01GA07, brimonidine, The metabolism of Brimonidine can be decreased when combined with Moclobemide.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Moclobemide is combined with Rasagiline.]
[C08CA13, lercanidipine, Moclobemide may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Moclobemide.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Moclobemide can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Moclobemide.]
[G04BE03, sildenafil, The metabolism of Moclobemide can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Moclobemide.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Apixaban.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Moclobemide.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Moclobemide can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Moclobemide may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Moclobemide can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Moclobemide is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Benperidol.]
[A10BK02, canagliflozin, Moclobemide may increase the orthostatic hypotensive activities of Canagliflozin.]
[M04AB03, benzbromarone, The metabolism of Moclobemide can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Moclobemide can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Moclobemide.]
[A10BX05, pramlintide, Moclobemide may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The metabolism of Moclobemide can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The metabolism of Naratriptan can be decreased when combined with Moclobemide.]
[L04AA18, everolimus, The metabolism of Moclobemide can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Moclobemide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Moclobemide is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, Moclobemide may increase the serotonergic activities of Levomilnacipran.]
[C08EA02, bepridil, Moclobemide may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Moclobemide may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Moclobemide may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Moclobemide may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Moclobemide.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Moclobemide.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Moclobemide can be increased when it is combined with Luliconazole.]
[S01EA03, apraclonidine, Moclobemide may increase the alpha-adrenergic activities of Apraclonidine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Moclobemide.]
[A10BK01, dapagliflozin, Moclobemide may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C01CA27, droxidopa, Moclobemide may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, Moclobemide may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Moclobemide can be increased when combined with Apremilast.]
[N07CA01, betahistine, The metabolism of Betahistine can be decreased when combined with Moclobemide.]
[S01ED02, betaxolol, Moclobemide may increase the hypotensive activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Argatroban.]
[C02CC01, bethanidine, Moclobemide may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, Moclobemide may increase the hepatotoxic activities of Bezafibrate.]
[A10BJ04, albiglutide, Moclobemide may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Moclobemide can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Moclobemide may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Moclobemide.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Alfaxalone.]
[A10BK03, empagliflozin, Moclobemide may increase the orthostatic hypotensive activities of Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Olodaterol.]
[D11AA01, glycopyrronium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Moclobemide can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Moclobemide can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Acepromazine.]
[A10BJ05, dulaglutide, Moclobemide may increase the hypoglycemic activities of Dulaglutide.]
[N04AA02, biperiden, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Moclobemide.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Moclobemide.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Edoxaban.]
[N06AX11, mirtazapine, Moclobemide may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Moclobemide can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Moclobemide can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Moclobemide.]
[A03AA09, difemerine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Moclobemide can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Moclobemide.]
[A04AD14, rolapitant, The metabolism of Moclobemide can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Moclobemide.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Moclobemide.]
[A10BF01, acarbose, Moclobemide may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Moclobemide is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Moclobemide is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Moclobemide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Moclobemide can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Moclobemide.]
[J02AC05, isavuconazole, The metabolism of Moclobemide can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Moclobemide may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Moclobemide may increase the hypoglycemic activities of Acetohexamide.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Moclobemide is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Bromazepam.]
[N04BC01, bromocriptine, Moclobemide may increase the hypertensive activities of Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Moclobemide.]
[N06AA19, amineptin, Moclobemide may increase the serotonergic activities of Amineptine.]
[C08CA01, amlodipine, Moclobemide may increase the hypotensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Aniracetam.]
[C03CA02, bumetanide, Moclobemide may increase the orthostatic hypotensive activities of Bumetanide.]
[N01BB01, bupivacaine, Moclobemide may increase the orthostatic hypotensive activities of Bupivacaine.]
[C07AA19, bupranolol, Moclobemide may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Moclobemide is combined with Buspirone.]
[L01XX27, arsenic trioxide, Moclobemide may increase the orthostatic hypotensive activities of Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Moclobemide.]
[M02AA03, clofezone, The metabolism of Moclobemide can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Moclobemide.]
[S01GX07, azelastine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Moclobemide can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Moclobemide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Moclobemide can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Beclamide.]
[C09AA07, benazepril, Moclobemide may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, Moclobemide may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Moclobemide.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Moclobemide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Moclobemide.]
[L04AB02, infliximab, The metabolism of Moclobemide can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Safinamide.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Betrixaban.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Moclobemide.]
[C07AB07, bisoprolol, Moclobemide may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Moclobemide.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Moclobemide.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Moclobemide.]
[N04AA11, bornaprine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, Moclobemide may increase the orthostatic hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Moclobemide is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Moclobemide can be increased when combined with Letermovir.]
[N06AA15, butriptyline, Moclobemide may increase the serotonergic activities of Butriptyline.]
[A10BJ06, semaglutide, Moclobemide may increase the hypoglycemic activities of Semaglutide.]
[A10BK04, ertugliflozin, Moclobemide may increase the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Moclobemide is combined with Vinylbital.]
[C09AA01, captopril, Moclobemide may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, The serum concentration of Moclobemide can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Moclobemide.]
[A03AA03, camylofine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Moclobemide.]
[C07AG02, carvedilol, Moclobemide may increase the hypotensive activities of Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Moclobemide.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Moclobemide.]
[C07AB08, celiprolol, Moclobemide may increase the hypotensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Moclobemide.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Moclobemide.]
[N03AX17, stiripentol, The metabolism of Moclobemide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Moclobemide can be decreased when combined with Tecovirimat.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Moclobemide.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Moclobemide.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Moclobemide.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Moclobemide is combined with Carbromal.]
[A10BB06, carbutamide, Moclobemide may increase the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Moclobemide.]
[R06AA06, chlorphenoxamine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Moclobemide is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Moclobemide.]
[R03BB08, revefenacin, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Moclobemide can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Moclobemide can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Moclobemide is combined with Amifampridine.]
[C09AA08, cilazapril, Moclobemide may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Moclobemide.]
[A03FA08, cinitapride, The metabolism of Cinitapride can be decreased when combined with Moclobemide.]
[P02BX04, triclabendazole, The metabolism of Moclobemide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Moclobemide.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Moclobemide is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Moclobemide.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Moclobemide can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Cloxazolam.]
[C09CA06, candesartan, Moclobemide may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Moclobemide can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Moclobemide can be decreased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Cyamemazine.]
[C03BX03, cicletanine, Moclobemide may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Moclobemide.]
