[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Antipyrine is combined with Lurasidone.]
[N05AC02, thioridazine, Thioridazine may increase the hypotensive activities of Lurasidone.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lurasidone.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Lurasidone is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Lurasidone.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Lurasidone.]
[M02AX02, tolazoline, Tolazoline may increase the hypotensive activities of Lurasidone.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Lurasidone.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Lurasidone.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Lurasidone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lurasidone.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Lurasidone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Lurasidone.]
[C03AA06, trichlormethiazide, Lurasidone may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the hypotensive activities of Lurasidone.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Trifluperidol.]
[N05AA05, triflupromazine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Lurasidone.]
[A03AA05, trimebutine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Lurasidone.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Lurasidone.]
[C02BA01, trimethaphan, Lurasidone may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the hypotensive activities of Lurasidone.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Lurasidone.]
[A03BB01, butylscopolamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Lurasidone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lurasidone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Lurasidone.]
[C09CA09, azilsartan medoxomil, Lurasidone may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Lurasidone.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Vandetanib.]
[A10BH05, linagliptin, The metabolism of Lurasidone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Lurasidone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Lurasidone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Lurasidone.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Lurasidone.]
[C08DA01, verapamil, The metabolism of Lurasidone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Lurasidone can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Lurasidone may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Lurasidone.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Lurasidone is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Lurasidone can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Lurasidone is combined with Xenon.]
[C03BA10, xipamide, Lurasidone may decrease the antihypertensive activities of Xipamide.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pipemidic acid.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the hypotensive activities of Lurasidone.]
[J05AE02, indinavir, The metabolism of Lurasidone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lurasidone.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Lurasidone.]
[L01ED01, crizotinib, The metabolism of Lurasidone can be decreased when combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Lurasidone.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Lurasidone.]
[G04BD07, tolterodine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Lurasidone may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Lurasidone can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Lurasidone is combined with Atracurium.]
[S01FA01, atropine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, Lurasidone may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Lurasidone.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Lurasidone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Lurasidone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Lurasidone can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Lurasidone is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Lurasidone.]
[J05AE04, nelfinavir, The metabolism of Lurasidone can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Lurasidone.]
[C08CA13, lercanidipine, Lurasidone may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Lurasidone is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Lurasidone.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Lurasidone.]
[R06AC06, thonzylamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Lurasidone is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Lurasidone.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Lurasidone.]
[C03AA01, bendroflumethiazide, Lurasidone may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Lurasidone is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Benperidol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Lurasidone.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Moxifloxacin.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Tegaserod is combined with Lurasidone.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Lurasidone.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Lurasidone.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Lurasidone.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Lurasidone.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Lurasidone.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Lurasidone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Lurasidone is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Benzyl alcohol is combined with Lurasidone.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Lurasidone is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Bepridil.]
[C02KX05, riociguat, Lurasidone may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Lurasidone.]
[C02KX04, macitentan, Lurasidone may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Lurasidone.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Lurasidone can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lurasidone.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Lurasidone.]
[C01CA27, droxidopa, Lurasidone may decrease the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, Lurasidone may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Lurasidone can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, Lurasidone may decrease the antihypertensive activities of Betaxolol.]
[C02CC01, bethanidine, Lurasidone may decrease the antihypertensive activities of Bethanidine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Lurasidone.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ceritinib.]
[A03BA03, hyoscyamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Alfaxalone.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Lurasidone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Olodaterol.]
[D11AA01, glycopyrronium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Eliglustat.]
[N05AA04, acepromazine, Acepromazine may increase the hypotensive activities of Lurasidone.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Lurasidone.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Lurasidone.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Dicoumarol.]
[N06AX11, mirtazapine, Lurasidone may increase the serotonergic activities of Mirtazapine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Panobinostat.]
[A03AA09, difemerine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ivabradine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the hypotensive activities of Lurasidone.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Lurasidone.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Cariprazine is combined with Lurasidone.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Lurasidone.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Aceclofenac is combined with Lurasidone.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Lurasidone is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Lurasidone.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Lurasidone.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Lurasidone.]
[J02AC05, isavuconazole, The metabolism of Lurasidone can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Lurasidone may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Lurasidone.]
[G04CA01, alfuzosin, Lurasidone may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Lurasidone.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Lurasidone is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lurasidone.]
[L01XX52, venetoclax, The metabolism of Lurasidone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Lurasidone.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypotensive activities of Lurasidone.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Lurasidone.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Lurasidone.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Lurasidone.]
[C08CA01, amlodipine, Lurasidone may decrease the antihypertensive activities of Amlodipine.]
[N05AX17, pimavanserin, Pimavanserin may increase the neurotoxic activities of Lurasidone.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Lurasidone.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Lurasidone.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Lurasidone.]
[N07BC01, buprenorphine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Lurasidone.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Lurasidone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Lurasidone.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Lurasidone.]
[S01GX07, azelastine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Lurasidone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Lurasidone.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Bambuterol is combined with Lurasidone.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Lurasidone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Lurasidone is combined with Beclamide.]
[C09AA07, benazepril, Lurasidone may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Lurasidone.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Lurasidone.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Lurasidone.]
[J05AE09, tipranavir, The metabolism of Lurasidone can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Lurasidone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Lurasidone.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Delafloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Lurasidone.]
[A02BX12, bismuth subnitrate, Lurasidone may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Lurasidone may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Lurasidone.]
[J05AG03, efavirenz, The metabolism of Lurasidone can be decreased when combined with Efavirenz.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Lurasidone.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Lurasidone.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Lurasidone is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Lurasidone is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Lurasidone.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Lurasidone is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Lurasidone.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Lurasidone.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Lurasidone is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Acrivastine.]
[C09AA01, captopril, Lurasidone may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Lurasidone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Lurasidone can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Lurasidone.]
[C07AG02, carvedilol, Carvedilol may increase the hypotensive activities of Lurasidone.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Lurasidone.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Lurasidone.]
[L01XX62, ivosidenib, The metabolism of Lurasidone can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Lurasidone can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Lurasidone.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Lurasidone is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Lurasidone.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Lurasidone.]
[R06AA06, chlorphenoxamine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Lornoxicam is combined with Lurasidone.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Lurasidone.]
[R03BB08, revefenacin, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01EX13, gilteritinib, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cibenzoline.]
[C09AA08, cilazapril, Lurasidone may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Lurasidone.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Lurasidone.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Lurasidone.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Lurasidone is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Lurasidone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Lurasidone.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Lurasidone.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Lurasidone.]
[C09CA06, candesartan, Lurasidone may decrease the antihypertensive activities of Candesartan.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lurasidone.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Lurasidone can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Lurasidone.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Lurasidone.]
[C03AA09, cyclothiazide, Lurasidone may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lurasidone.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Lurasidone.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Lurasidone.]
[N03AX25, cenobamate, The serum concentration of Lurasidone can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Lurasidone.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Lurasidone.]
