[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Budesonide.]
[A10BB05, tolazamide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Budesonide.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Budesonide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Budesonide.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Budesonide.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Budesonide.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Budesonide.]
[A16AX12, trientine, Budesonide may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Budesonide.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Budesonide.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Budesonide is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Budesonide.]
[A03AA05, trimebutine, Budesonide may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01FA08, troleandomycin, The metabolism of Budesonide can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Budesonide.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Budesonide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Belimumab.]
[L01FX04, ipilimumab, Budesonide may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Budesonide.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Budesonide.]
[R02AA14, oxyquinoline, Budesonide may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Budesonide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Budesonide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Budesonide.]
[S01AA28, vancomycin, Budesonide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Budesonide is combined with Belatacept.]
[N03AX21, ezogabine, Budesonide may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Budesonide.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Budesonide.]
[C08DA01, verapamil, The metabolism of Budesonide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Budesonide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Budesonide.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Budesonide.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Budesonide.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[B01AA03, warfarin, Budesonide may increase the anticoagulant activities of Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Budesonide.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Budesonide.]
[J05AE02, indinavir, The metabolism of Budesonide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Budesonide.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Budesonide.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[B06AC02, icatibant, Budesonide may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Budesonide.]
[A02BC04, rabeprazole, Rabeprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Budesonide.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Budesonide can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The serum concentration of Budesonide can be increased when it is combined with Drospirenone.]
[V03AC02, deferiprone, Budesonide may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Budesonide.]
[N02BA01, aspirin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Budesonide.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DH04, doripenem, Budesonide may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Budesonide.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Budesonide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Budesonide.]
[J02AC03, voriconazole, The serum concentration of Budesonide can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Budesonide.]
[S01FA01, atropine, Atropine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Budesonide.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Budesonide.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Budesonide is combined with Prednylidene.]
[B03XA04, peginesatide, Budesonide may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Budesonide.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Budesonide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Budesonide.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Budesonide.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Budesonide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Budesonide.]
[A08AA11, lorcaserin, Budesonide may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Budesonide may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Budesonide is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Budesonide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Budesonide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Budesonide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Budesonide.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Budesonide is combined with Teriflunomide.]
[A02AA05, magnesium silicate, The bioavailability of Budesonide can be decreased when combined with Magnesium silicate.]
[A02AC02, calcium silicate, The bioavailability of Budesonide can be decreased when combined with Calcium silicate.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Budesonide is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Budesonide is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Budesonide.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Budesonide is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Budesonide may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Budesonide can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Budesonide is combined with Bendamustine.]
[N04BD02, rasagiline, Budesonide may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Budesonide.]
[N06DA02, donepezil, The therapeutic efficacy of Donepezil can be decreased when used in combination with Budesonide.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Budesonide.]
[L04AA29, tofacitinib, Budesonide may increase the immunosuppressive activities of Tofacitinib.]
[V09IX04, fluorodeoxyglucose F18, Budesonide may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Budesonide.]
[V08CA11, gadofosveset, Budesonide may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Budesonide.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Budesonide.]
[A16AX08, teduglutide, Budesonide may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Budesonide.]
[A10BH04, alogliptin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Budesonide.]
[C03AA01, bendroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Budesonide.]
[N02BA10, benorilate, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Budesonide is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Budesonide may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Pramlintide.]
[L03AA12, ancestim, Budesonide may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Celecoxib.]
[L04AA18, everolimus, The serum concentration of Budesonide can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Budesonide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Benzydamine.]
[L01EE01, trametinib, Budesonide may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Budesonide may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Budesonide.]
[A10BJ03, lixisenatide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Lixisenatide.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C02KX04, macitentan, Budesonide may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Budesonide is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Budesonide.]
[G03AC08, etonogestrel, The serum concentration of Budesonide can be increased when it is combined with Etonogestrel.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AP08, sofosbuvir, Budesonide may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Budesonide is combined with Droxidopa.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Budesonide.]
[A16AA07, metreleptin, The metabolism of Budesonide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Budesonide is combined with Apremilast.]
[L02BG02, formestane, The risk or severity of edema formation can be increased when Formestane is combined with Budesonide.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Budesonide.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Budesonide.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BJ04, albiglutide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Budesonide is combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Budesonide.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Budesonide may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Budesonide is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Budesonide.]
[A10BK03, empagliflozin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Budesonide is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Budesonide.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[V04CX03, methacholine, Budesonide may decrease effectiveness of Methacholine as a diagnostic agent.]
[A10BJ05, dulaglutide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Budesonide is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Budesonide is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Budesonide.]
[S03AA06, gentamicin, Budesonide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Budesonide is combined with Blinatumomab.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Budesonide.]
[B01AA01, dicumarol, Budesonide may increase the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Budesonide may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Budesonide.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Budesonide.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Budesonide.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Budesonide.]
[B01AA11, tioclomarol, Budesonide may increase the anticoagulant activities of Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Budesonide.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Budesonide.]
[A06AD03, magnesium peroxide, The bioavailability of Budesonide can be decreased when combined with Magnesium peroxide.]
[A10BF01, acarbose, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin degludec.]
[A02BC03, lansoprazole, Lansoprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB37, idarucizumab, Budesonide may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Budesonide.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Budesonide can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Budesonide.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Budesonide.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Budesonide.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Budesonide.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Budesonide.]
[A10BB31, acetohexamide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Acetohexamide.]
[M04AB05, lesinurad, Budesonide may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Budesonide.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Alminoprofen.]
[A02AB06, aloglutamol, The bioavailability of Budesonide can be decreased when combined with Aloglutamol.]
[N02BA02, aloxiprin, The serum concentration of Aloxiprin can be decreased when it is combined with Budesonide.]
[N03AX23, brivaracetam, Budesonide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Budesonide.]
[N05BA08, bromazepam, Budesonide may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, The bioavailability of Budesonide can be decreased when combined with Almasilate.]
[A02AB03, aluminum phosphate, The bioavailability of Budesonide can be decreased when combined with Aluminium phosphate.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Budesonide.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Budesonide.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Bumetanide.]
[N01BB01, bupivacaine, Levobupivacaine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Budesonide.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Budesonide.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Budesonide.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Budesonide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Budesonide.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Budesonide.]
[M02AA03, clofezone, Rabeprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA09, sparfloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Budesonide.]
[S01AA26, azithromycin, The serum concentration of Budesonide can be increased when it is combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Budesonide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Budesonide.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Ocrelizumab.]
[A06AH05, naldemedine, Budesonide may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Budesonide.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BX06, benfluorex, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Benfluorex.]
[H05BX05, calcifediol, The therapeutic efficacy of Calcifediol can be decreased when used in combination with Budesonide.]
[D05AX03, calcitriol, The therapeutic efficacy of Calcitriol can be decreased when used in combination with Budesonide.]
[A12AA04, calcium carbonate, The bioavailability of Budesonide can be decreased when combined with Calcium carbonate.]
