[S02DA03, antipyrine, The metabolism of Encorafenib can be decreased when combined with Antipyrine.]
[N03AF01, carbamazepine, The metabolism of Encorafenib can be increased when combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Encorafenib.]
[C07AG02, carvedilol, The metabolism of Encorafenib can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Encorafenib can be decreased when combined with Cannabidiol.]
[S01AA13, fusidic acid, The metabolism of Encorafenib can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Encorafenib.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Encorafenib.]
[L01XX62, ivosidenib, The metabolism of Encorafenib can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Encorafenib can be decreased when combined with Tafenoquine.]
[N03AX17, stiripentol, The metabolism of Encorafenib can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Encorafenib.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Encorafenib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Chloroprocaine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Encorafenib.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Encorafenib.]
[L04AA39, emapalumab, The metabolism of Encorafenib can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Encorafenib.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Encorafenib.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Encorafenib.]
[P02BX04, triclabendazole, The metabolism of Encorafenib can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Encorafenib can be decreased when combined with Clarithromycin.]
[N05BA09, clobazam, The metabolism of Encorafenib can be decreased when combined with Clobazam.]
[L04AB01, etanercept, The metabolism of Encorafenib can be increased when combined with Etanercept.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Encorafenib.]
[L01EJ02, fedratinib, The metabolism of Encorafenib can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Encorafenib can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Encorafenib.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Encorafenib.]
[G04BE04, yohimbine, The metabolism of Encorafenib can be decreased when combined with Yohimbine.]
[N03AX25, cenobamate, The serum concentration of Encorafenib can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Encorafenib can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Encorafenib.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Dexchlorpheniramine.]
[M01AX21, diacetylrhein, The metabolism of Encorafenib can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Encorafenib.]
[H02CA02, osilodrostat, The metabolism of Encorafenib can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Encorafenib can be decreased when combined with Amprenavir.]
[N02AA08, dihydrocodeine, The metabolism of Encorafenib can be decreased when combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Encorafenib can be decreased when combined with Eletriptan.]
[C08CA16, clevidipine, The metabolism of Encorafenib can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Encorafenib can be decreased when combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Encorafenib.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Encorafenib.]
[G04BD09, trospium, The metabolism of Encorafenib can be decreased when combined with Trospium.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Encorafenib.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Encorafenib.]
[P01BB01, proguanil, The metabolism of Encorafenib can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Encorafenib can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Encorafenib.]
[P01BA01, chloroquine, The metabolism of Encorafenib can be decreased when combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Encorafenib.]
[N05AA01, chlorpromazine, The metabolism of Encorafenib can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Encorafenib.]
[M03BB03, chlorzoxazone, The metabolism of Encorafenib can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Encorafenib can be decreased when combined with Cholecalciferol.]
[B06AC06, berotralstat, The metabolism of Encorafenib can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Encorafenib can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Encorafenib.]
[P03AX07, abametapir, The serum concentration of Encorafenib can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Encorafenib.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Encorafenib.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Encorafenib.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Encorafenib.]
[L03AB10, peginterferon alfa-2b, The metabolism of Encorafenib can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Encorafenib can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Encorafenib.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Encorafenib.]
[L01XX73, sotorasib, The serum concentration of Encorafenib can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Encorafenib.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Encorafenib is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Clemastine.]
[N06AX25, St. John's wort extract, The metabolism of Encorafenib can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Encorafenib can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Encorafenib.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Encorafenib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Encorafenib.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Encorafenib.]
[C01EB24, mavacamten, The serum concentration of Encorafenib can be decreased when it is combined with Mavacamten.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Encorafenib.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Encorafenib.]
[N05AH02, clozapine, The metabolism of Encorafenib can be decreased when combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Encorafenib can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Encorafenib can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Encorafenib can be decreased when combined with Codeine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Encorafenib.]
[A10BX03, nateglinide, The metabolism of Encorafenib can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Encorafenib can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Encorafenib can be decreased when combined with Ciclesonide.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Encorafenib.]
[N02CC05, almotriptan, The metabolism of Encorafenib can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Encorafenib can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Encorafenib.]
[L01EA01, imatinib, The serum concentration of Encorafenib can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Encorafenib can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Encorafenib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Encorafenib.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Encorafenib.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Encorafenib.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Lofexidine is combined with Encorafenib.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Encorafenib.]
[C08CA11, manidipine, The metabolism of Encorafenib can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Encorafenib.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Encorafenib.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Encorafenib.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Encorafenib.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Encorafenib.]
[N06AX07, minaprine, The metabolism of Encorafenib can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Encorafenib can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Encorafenib can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Encorafenib.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Encorafenib.]
[C03XA02, conivaptan, The metabolism of Encorafenib can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Encorafenib.]
[M01AH05, etoricoxib, The metabolism of Encorafenib can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Encorafenib can be decreased when combined with Danazol.]
[C02CC04, debrisoquin, The metabolism of Encorafenib can be decreased when combined with Debrisoquine.]
[C07AB12, nebivolol, The metabolism of Encorafenib can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Encorafenib can be decreased when combined with Nefazodone.]
[N06AB10, escitalopram, The serum concentration of Encorafenib can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Encorafenib.]
[N06AA01, desipramine, The metabolism of Encorafenib can be decreased when combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Encorafenib.]
[S03BA01, dexamethasone, The metabolism of Encorafenib can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Encorafenib can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Encorafenib can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Encorafenib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Encorafenib can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Encorafenib can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Encorafenib can be decreased when combined with Dextromethorphan.]
[N06AB05, paroxetine, The metabolism of Encorafenib can be decreased when combined with Paroxetine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Cinchocaine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Encorafenib.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Encorafenib.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Encorafenib.]
[C08CA03, isradipine, The metabolism of Encorafenib can be decreased when combined with Isradipine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Encorafenib.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Encorafenib.]
[J05AE08, atazanavir, The metabolism of Encorafenib can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Encorafenib.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Pramocaine.]
