[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methoxsalen.]
[J05AP08, sofosbuvir, Methoxsalen may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Methoxsalen may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Methoxsalen.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Methoxsalen.]
[L02BG02, formestane, Methoxsalen may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Methoxsalen.]
[V03AB34, fomepizole, Methoxsalen may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Methoxsalen.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Methoxsalen.]
[S03AA06, gentamicin, Methoxsalen may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Methoxsalen may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Methoxsalen.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Methoxsalen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Methoxsalen.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Methoxsalen may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methoxsalen.]
[L01XG03, ixazomib, Methoxsalen may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Methoxsalen may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AX23, brivaracetam, Methoxsalen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Methoxsalen.]
[A02AD05, aluminum magnesium silicate, Methoxsalen may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Methoxsalen.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Methoxsalen may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Methoxsalen may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Methoxsalen.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Methoxsalen.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Methoxsalen.]
[A06AH05, naldemedine, Methoxsalen may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Methoxsalen may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Methoxsalen.]
[P01CA02, benznidazole, Methoxsalen may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Methoxsalen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Methoxsalen may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, Methoxsalen may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Methoxsalen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Methoxsalen.]
[C07AB07, bisoprolol, Methoxsalen may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Methoxsalen.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Methoxsalen may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Methoxsalen.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Methoxsalen may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Methoxsalen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Methoxsalen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Methoxsalen.]
[L04AA37, baricitinib, Methoxsalen may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Methoxsalen.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01GB14, plazomicin, Methoxsalen may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Methoxsalen may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Methoxsalen.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[D08AE05, chloroxylenol, Methoxsalen may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Methoxsalen.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Methoxsalen.]
[A06AX05, prucalopride, Methoxsalen may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Methoxsalen.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Methoxsalen.]
[N06BA14, solriamfetol, Methoxsalen may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Methoxsalen.]
[N07XX11, pitolisant, Methoxsalen may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Methoxsalen.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Methoxsalen.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M09AX08, golodirsen, Methoxsalen may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Methoxsalen may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Methoxsalen.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Methoxsalen.]
[R02AA03, dichlorobenzyl alcohol, Methoxsalen may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Methoxsalen may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[L01XD01, porfimer sodium, Methoxsalen may increase the photosensitizing activities of Porfimer sodium.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Methoxsalen.]
[C08CA16, clevidipine, Methoxsalen may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[V08CA05, mangafodipir, Methoxsalen may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Methoxsalen.]
[P01BA01, chloroquine, Methoxsalen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Methoxsalen.]
[A10BB02, chlorpropamide, Methoxsalen may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Methoxsalen.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BA03, choline salicylate, Methoxsalen may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Methoxsalen may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Methoxsalen.]
[C01CA19, fenoldopam, Methoxsalen may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Methoxsalen may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Methoxsalen may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Methoxsalen.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[V08CA04, gadoteridol, Methoxsalen may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Methoxsalen.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01XA01, cisplatin, Methoxsalen may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Methoxsalen.]
[V09AB03, ioflupane I-123, Methoxsalen may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Methoxsalen may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Methoxsalen may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Methoxsalen.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Methoxsalen.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Methoxsalen.]
[N03AE01, clonazepam, Methoxsalen may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Methoxsalen.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Methoxsalen.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Methoxsalen.]
[J01GB12, arbekacin, Methoxsalen may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M04AC01, colchicine, Methoxsalen may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Methoxsalen may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Methoxsalen.]
[A04AA03, tropisetron, Methoxsalen may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Methoxsalen may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
