[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ezogabine.]
[B01AF01, rivaroxaban, Fentanyl may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Fentanyl can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Fentanyl can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Fentanyl can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Fentanyl can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Fentanyl may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Fentanyl.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[B01AA03, warfarin, Fentanyl may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Fentanyl.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Fentanyl can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Fentanyl can be decreased when combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Fentanyl may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Fentanyl may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Fentanyl can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Fentanyl can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Fentanyl can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The metabolism of Fentanyl can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Fentanyl may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Fentanyl is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Fentanyl.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Fentanyl.]
[J01DH04, doripenem, Fentanyl may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Fentanyl may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Fentanyl can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Fentanyl.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Fentanyl.]
[M01CB03, auranofin, Fentanyl may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[R07AX02, ivacaftor, The metabolism of Fentanyl can be decreased when combined with Ivacaftor.]
[B03XA04, peginesatide, Fentanyl may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Fentanyl may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Fentanyl may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Fentanyl.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Fentanyl is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Fentanyl can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Fentanyl can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Fentanyl can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Fentanyl.]
[L01EA04, bosutinib, The metabolism of Fentanyl can be decreased when combined with Bosutinib.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Fentanyl is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Fentanyl can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Fentanyl.]
[D02BA02, octinoxate, Fentanyl may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Fentanyl can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Rasagiline is combined with Fentanyl.]
[C08CA13, lercanidipine, Fentanyl may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Fentanyl is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[L04AA29, tofacitinib, Fentanyl may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Fentanyl.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Fentanyl.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Fentanyl.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Fentanyl.]
[V09IX04, fluorodeoxyglucose F18, Fentanyl may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Fentanyl is combined with Diethyl ether.]
[H01CB05, pasireotide, The metabolism of Fentanyl can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Fentanyl can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Fentanyl may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Fentanyl may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Fentanyl can be decreased when combined with Lomitapide.]
[C04AX11, bencyclane, Fentanyl may increase the bradycardic activities of Bencyclane.]
[A10BH04, alogliptin, Fentanyl may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Fentanyl may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Fentanyl is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Benzocaine.]
[L03AA12, ancestim, Fentanyl may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Fentanyl.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Fentanyl can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Fentanyl.]
[L01EC02, dabrafenib, The metabolism of Fentanyl can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Fentanyl is combined with Benzydamine.]
[L01EE01, trametinib, Fentanyl may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Fentanyl may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Levomilnacipran.]
[C08EA02, bepridil, Fentanyl may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Fentanyl may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Fentanyl may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Fentanyl may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Fentanyl can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Fentanyl may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Droxidopa.]
[C07AB04, acebutolol, Fentanyl may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Fentanyl can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Fentanyl can be increased when combined with Apremilast.]
[L02BG02, formestane, Fentanyl may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Fentanyl may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, Fentanyl may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Fentanyl may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Fentanyl can be decreased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Fentanyl can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Fentanyl.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Acenocoumarol.]
[L01EM01, idelalisib, The metabolism of Fentanyl can be decreased when combined with Idelalisib.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Fentanyl.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05CM19, suvorexant, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of hypotension and CNS depression can be increased when Acepromazine is combined with Fentanyl.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Fentanyl.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Fentanyl.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Fentanyl.]
[S03AA06, gentamicin, Fentanyl may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Fentanyl can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dicoumarol.]
[B01AF03, edoxaban, Fentanyl may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Fentanyl can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Fentanyl can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Fentanyl can be decreased when combined with Palbociclib.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Fentanyl.]
[N02BE01, acetaminophen, The metabolism of Fentanyl can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Fentanyl.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tioclomarol.]
[C01EB17, ivabradine, Fentanyl may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Fentanyl is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Fentanyl is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Fentanyl.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Fentanyl is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Fentanyl is combined with Acemetacin.]
[S01EC01, acetazolamide, The metabolism of Fentanyl can be decreased when combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of hypotension and CNS depression can be increased when Acetophenazine is combined with Fentanyl.]
[A02BC03, lansoprazole, The metabolism of Fentanyl can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Fentanyl may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The metabolism of Fentanyl can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fentanyl.]
[L01XG03, ixazomib, Fentanyl may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Fentanyl may decrease the antihypertensive activities of Selexipag.]
[M04AB05, lesinurad, Fentanyl may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Fentanyl can be decreased when combined with Elbasvir.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Fentanyl.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Fentanyl is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Fentanyl can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Bromazepam.]
[N04BC01, bromocriptine, The metabolism of Fentanyl can be decreased when combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Fentanyl may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fentanyl.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Amineptine.]
[C08CA01, amlodipine, Fentanyl may decrease the antihypertensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Fentanyl.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Fentanyl.]
[C07AA19, bupranolol, Fentanyl may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Fentanyl can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Fentanyl.]
[L01XX27, arsenic trioxide, Fentanyl may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[N06DA03, rivastigmine, Fentanyl may increase the bradycardic activities of Rivastigmine.]
[M02AA03, clofezone, The metabolism of Fentanyl can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, The metabolism of Fentanyl can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Fentanyl can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Fentanyl.]
[L01EF02, ribociclib, The metabolism of Fentanyl can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Fentanyl is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Bambuterol.]
[A06AH05, naldemedine, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Naldemedine.]
[N07XX16, deutetrabenazine, Fentanyl may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Fentanyl can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Beclamide.]
[C09AA07, benazepril, Fentanyl may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Fentanyl may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fentanyl.]
[J05AF06, abacavir, Fentanyl may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Fentanyl can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Fentanyl may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Fentanyl can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Fentanyl can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Safinamide is combined with Fentanyl.]
[L04AC14, sarilumab, The metabolism of Fentanyl can be decreased when combined with Sarilumab.]
