[P02BB01, trichlorfon, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Metrifonate.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Oxybutynin.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Oxybutynin.]
[R03BA07, mometasone, The metabolism of Oxybutynin can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Oxybutynin.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Oxybutynin can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Oxybutynin.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Oxybutynin.]
[S01AA05, tyrothricin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Oxybutynin.]
[A10BH05, linagliptin, The metabolism of Oxybutynin can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Oxybutynin can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Oxybutynin can be decreased when combined with Telaprevir.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Oxybutynin.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Oxybutynin.]
[C08DA01, verapamil, The metabolism of Oxybutynin can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Oxybutynin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Oxybutynin.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Oxybutynin.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Oxybutynin.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Oxybutynin.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Oxybutynin.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AE02, indinavir, The metabolism of Oxybutynin can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Oxybutynin.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Oxybutynin.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Oxybutynin.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Oxybutynin.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Oxybutynin.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Oxybutynin.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Oxybutynin.]
[J02AC03, voriconazole, The metabolism of Oxybutynin can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Oxybutynin.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Oxybutynin.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Oxybutynin.]
[H02AB11, prednylidene, The metabolism of Oxybutynin can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Oxybutynin.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Oxybutynin is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Oxybutynin can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Oxybutynin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Oxybutynin can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Oxybutynin.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Oxybutynin.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Oxybutynin.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AE04, nelfinavir, The metabolism of Oxybutynin can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08CA13, lercanidipine, The metabolism of Oxybutynin can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06DA02, donepezil, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Oxybutynin.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Oxybutynin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Oxybutynin.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Oxybutynin.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Oxybutynin.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Oxybutynin.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Oxybutynin.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Oxybutynin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Oxybutynin.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Oxybutynin.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Oxybutynin.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Oxybutynin.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Oxybutynin.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Oxybutynin.]
[L01EC02, dabrafenib, The serum concentration of Oxybutynin can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Oxybutynin.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Oxybutynin.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Oxybutynin.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AP05, simeprevir, The metabolism of Oxybutynin can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Oxybutynin.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Oxybutynin.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A16AA07, metreleptin, The metabolism of Oxybutynin can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Oxybutynin can be increased when combined with Apremilast.]
[A16AA06, betaine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Oxybutynin can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Oxybutynin.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Oxybutynin.]
[L04AC11, siltuximab, The metabolism of Oxybutynin can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Oxybutynin.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Oxybutynin.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Oxybutynin.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Oxybutynin.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Oxybutynin.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Oxybutynin.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Oxybutynin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[V04CX03, methacholine, Oxybutynin may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Oxybutynin.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Oxybutynin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Oxybutynin.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Oxybutynin.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Oxybutynin.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Oxybutynin.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Oxybutynin.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AC10, secukinumab, The metabolism of Oxybutynin can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Oxybutynin.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Oxybutynin.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Oxybutynin.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Oxybutynin.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Oxybutynin.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Oxybutynin is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Oxybutynin.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Oxybutynin.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Oxybutynin.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Oxybutynin.]
[J02AC05, isavuconazole, The metabolism of Oxybutynin can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Oxybutynin.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Oxybutynin.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Oxybutynin.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Oxybutynin.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Oxybutynin.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Oxybutynin.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Oxybutynin.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Oxybutynin.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Oxybutynin.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Oxybutynin.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Oxybutynin.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Buprenorphine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Oxybutynin.]
[N06DA03, rivastigmine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Oxybutynin.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Butorphanol.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XK03, rucaparib, The metabolism of Oxybutynin can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Oxybutynin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Oxybutynin.]
[L01EF02, ribociclib, The metabolism of Oxybutynin can be decreased when combined with Ribociclib.]
[R03CC12, bambuterol, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Bambuterol.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Oxybutynin.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AE09, tipranavir, The metabolism of Oxybutynin can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Oxybutynin.]
[L04AB02, infliximab, The metabolism of Oxybutynin can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Oxybutynin can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Oxybutynin.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Oxybutynin.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Oxybutynin.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Oxybutynin.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Oxybutynin.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Bitolterol is combined with Oxybutynin.]
[J05AG03, efavirenz, The metabolism of Oxybutynin can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Oxybutynin.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03BA02, budesonide, The metabolism of Oxybutynin can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Oxybutynin.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J05AX18, letermovir, The metabolism of Oxybutynin can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01BX04, capsaicin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Oxybutynin.]
[L02BB05, apalutamide, The metabolism of Oxybutynin can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Oxybutynin.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Oxybutynin.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Oxybutynin.]
[N03AX24, cannabidiol, The risk or severity of Tachycardia and drowsiness can be increased when Oxybutynin is combined with Cannabidiol.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Oxybutynin.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Oxybutynin.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Oxybutynin.]
[L01XX62, ivosidenib, The metabolism of Oxybutynin can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Oxybutynin.]
[N03AX17, stiripentol, The metabolism of Oxybutynin can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Oxybutynin.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Oxybutynin.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Oxybutynin.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Chlorphenoxamine.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Oxybutynin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Oxybutynin.]
[L04AA39, emapalumab, The metabolism of Oxybutynin can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Oxybutynin.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Oxybutynin.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Oxybutynin.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Oxybutynin.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Oxybutynin.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Oxybutynin.]
[J01FA09, clarithromycin, The metabolism of Oxybutynin can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Oxybutynin.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Oxybutynin.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H02AB14, cloprednol, The metabolism of Oxybutynin can be increased when combined with Cloprednol.]
