[S02DA03, antipyrine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Antipyrine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Olsalazine is combined with Moxisylyte.]
[N05AL03, tiapride, Olsalazine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Olsalazine is combined with Ticlopidine.]
[S01ED01, timolol, Olsalazine may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Olsalazine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Olsalazine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Olsalazine may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, The therapeutic efficacy of Tolazoline can be decreased when used in combination with Olsalazine.]
[V04CA01, tolbutamide, Olsalazine may increase the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Olsalazine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Olsalazine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Olsalazine is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of gastrointestinal bleeding can be increased when Trazodone is combined with Olsalazine.]
[S01BA05, triamcinolone, The risk or severity of gastrointestinal irritation can be increased when Triamcinolone is combined with Olsalazine.]
[C03DB02, triamterene, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Triamterene.]
[N05CD05, triazolam, Olsalazine may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Olsalazine.]
[A16AX12, trientine, Olsalazine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Olsalazine.]
[S01AD02, trifluridine, Olsalazine may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[D07AC02, fluclorolone, The risk or severity of gastrointestinal irritation can be increased when Fluclorolone is combined with Olsalazine.]
[R03BA07, mometasone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Olsalazine.]
[A03AA05, trimebutine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Trimebutine.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Trimethadione is combined with Olsalazine.]
[C02BA01, trimethaphan, The therapeutic efficacy of Trimethaphan can be decreased when used in combination with Olsalazine.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Olsalazine.]
[N06AA06, trimipramine, The risk or severity of gastrointestinal bleeding can be increased when Trimipramine is combined with Olsalazine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Olsalazine is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Azilsartan medoxomil is combined with Olsalazine.]
[R03DX07, roflumilast, Olsalazine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Olsalazine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Olsalazine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, Olsalazine may increase the hypoglycemic activities of Linagliptin.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Urokinase.]
[S01AA28, vancomycin, Olsalazine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Olsalazine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of bleeding can be increased when Verapamil is combined with Olsalazine.]
[N06AX09, viloxazine, Olsalazine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[C04AX07, vincamine, The therapeutic efficacy of Vincamine can be decreased when used in combination with Olsalazine.]
[B03BA01, vitamin B12, Olsalazine may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Olsalazine is combined with Xenon.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Olsalazine.]
[J05AF01, zidovudine, The risk or severity of bleeding can be increased when Zidovudine is combined with Olsalazine.]
[N05AF05, zuclopenthixol, The risk or severity of hypertension can be increased when Olsalazine is combined with Zuclopenthixol.]
[M05BA03, pamidronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Pamidronic acid.]
[M05BA05, tiludronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Tiludronic acid.]
[B06AC02, icatibant, Olsalazine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Lepirudin.]
[A02BC04, rabeprazole, Olsalazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Ibandronate.]
[J01MA13, trovafloxacin, Olsalazine may increase the neuroexcitatory activities of Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of hypertension can be increased when Ziprasidone is combined with Olsalazine.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Drospirenone.]
[V03AC02, deferiprone, Olsalazine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Olsalazine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Olsalazine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Olsalazine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Olsalazine may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Olsalazine can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Olsalazine.]
[M01CB03, auranofin, Olsalazine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[S01EE05, tafluprost, The therapeutic efficacy of Tafluprost can be decreased when used in combination with Olsalazine.]
[H02AB11, prednylidene, The risk or severity of gastrointestinal irritation can be increased when Prednylidene is combined with Olsalazine.]
[B03XA04, peginesatide, Olsalazine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Olsalazine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Olsalazine.]
[L01BC05, gemcitabine, Olsalazine may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Olsalazine may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Olsalazine.]
[M03BX01, baclofen, Olsalazine may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of adverse effects can be increased when Olsalazine is combined with Varicella zoster vaccine (live/attenuated).]
[A08AA11, lorcaserin, Olsalazine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Olsalazine is combined with Mirabegron.]
[L02BB04, enzalutamide, Olsalazine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Olsalazine is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of gastrointestinal irritation can be increased when Aldosterone is combined with Olsalazine.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be decreased when it is combined with Olsalazine.]
[D02BA02, octinoxate, Olsalazine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Olsalazine is combined with Rasagiline.]
[C08CA13, lercanidipine, The therapeutic efficacy of Lercanidipine can be decreased when used in combination with Olsalazine.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Olsalazine.]
[V09IX04, fluorodeoxyglucose F18, Olsalazine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Olsalazine is combined with Diethyl ether.]
[V08CA11, gadofosveset, Olsalazine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Apixaban.]
[A16AX08, teduglutide, Olsalazine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Bencyclane.]
[A10BH04, alogliptin, Olsalazine may increase the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, Olsalazine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Olsalazine.]
[L04AX06, pomalidomide, Olsalazine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of adverse effects can be increased when Olsalazine is combined with Benorilate.]
[A10BK02, canagliflozin, Olsalazine may increase the hypoglycemic activities of Canagliflozin.]
[J01MA15, gemifloxacin, Olsalazine may increase the neuroexcitatory activities of Gemifloxacin.]
[S01AE07, moxifloxacin, Olsalazine may increase the neuroexcitatory activities of Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be increased when used in combination with Olsalazine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin detemir.]
[A10BX05, pramlintide, Olsalazine may increase the hypoglycemic activities of Pramlintide.]
[L03AA12, ancestim, Olsalazine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of adverse effects can be increased when Celecoxib is combined with Olsalazine.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Olsalazine.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Olsalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Olsalazine may decrease the excretion rate of Benzatropine which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of adverse effects can be increased when Olsalazine is combined with Benzydamine.]
[L01EE01, trametinib, Olsalazine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Olsalazine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of gastrointestinal bleeding can be increased when Levomilnacipran is combined with Olsalazine.]
[C08EA02, bepridil, The therapeutic efficacy of Bepridil can be decreased when used in combination with Olsalazine.]
[C02KX05, riociguat, The therapeutic efficacy of Riociguat can be decreased when used in combination with Olsalazine.]
[A10BJ03, lixisenatide, Olsalazine may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, The therapeutic efficacy of Macitentan can be decreased when used in combination with Olsalazine.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Olsalazine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Olsalazine may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP08, sofosbuvir, Olsalazine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Olsalazine may increase the hypoglycemic activities of Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Olsalazine is combined with Droxidopa.]
[C07AB04, acebutolol, Olsalazine may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, Olsalazine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Olsalazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Olsalazine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of gastrointestinal irritation can be increased when Betamethasone is combined with Olsalazine.]
[S01ED02, betaxolol, Olsalazine may decrease the antihypertensive activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Argatroban.]
[V03AB34, fomepizole, Olsalazine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Olsalazine.]
[A10BJ04, albiglutide, Olsalazine may increase the hypoglycemic activities of Albiglutide.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Acenocoumarol.]
[A10BK03, empagliflozin, Olsalazine may increase the hypoglycemic activities of Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Olsalazine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01EE02, unoprostone, The therapeutic efficacy of Unoprostone can be decreased when used in combination with Olsalazine.]
[V08AA04, iothalamic acid, Olsalazine may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Acepromazine.]
[A10BJ05, dulaglutide, Olsalazine may increase the hypoglycemic activities of Dulaglutide.]
[S03AA06, gentamicin, Olsalazine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Edoxaban.]
[N06AX11, mirtazapine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Olsalazine.]
[N02BE01, acetaminophen, The risk or severity of adverse effects can be increased when Acetaminophen is combined with Olsalazine.]
[L01DC01, bleomycin, Olsalazine may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Olsalazine.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The risk or severity of hypertension can be increased when Olsalazine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Olsalazine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Cariprazine.]
[A10BF01, acarbose, Olsalazine may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of adverse effects can be increased when Olsalazine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin degludec.]
[V03AB37, idarucizumab, Olsalazine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, Olsalazine may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XG03, ixazomib, Olsalazine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The therapeutic efficacy of Selexipag can be decreased when used in combination with Olsalazine.]
[A10BB31, acetohexamide, Olsalazine may increase the hypoglycemic activities of Acetohexamide.]
[M04AB05, lesinurad, Olsalazine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of adverse effects can be increased when Olsalazine is combined with Alminoprofen.]
[N02BA02, aloxiprin, The risk or severity of bleeding, nephrotoxicity, and gastrointestinal bleeding can be increased when Olsalazine is combined with Aloxiprin.]
[N03AX23, brivaracetam, Olsalazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Olsalazine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, Olsalazine may increase the hypoglycemic activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Olsalazine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, The risk or severity of gastrointestinal bleeding can be increased when Amineptine is combined with Olsalazine.]
[C08CA01, amlodipine, Olsalazine may decrease the antihypertensive activities of Amlodipine.]
[M02AA09, bufexamac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Bufexamac.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Olsalazine.]
[N01BB01, bupivacaine, Olsalazine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, Olsalazine may decrease the antihypertensive activities of Bupranolol.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Olsalazine.]
[L01XX27, arsenic trioxide, Olsalazine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Olsalazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, Olsalazine may increase the neuroexcitatory activities of Sparfloxacin.]
[A07EC04, balsalazide, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Bambuterol.]
[A06AH05, naldemedine, Olsalazine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Olsalazine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Olsalazine may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[C09AA07, benazepril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Benazepril.]
[A10BX06, benfluorex, Olsalazine may increase the hypoglycemic activities of Benfluorex.]
[P01CA02, benznidazole, Olsalazine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Olsalazine.]
[J05AF06, abacavir, Olsalazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Olsalazine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Olsalazine is combined with Safinamide.]
[J01MA23, delafloxacin, Olsalazine may increase the neuroexcitatory activities of Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Olsalazine.]
[L01BC06, capecitabine, Olsalazine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Olsalazine may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Olsalazine.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Cefprozil is combined with Olsalazine.]
[C07AA17, bopindolol, Olsalazine may decrease the antihypertensive activities of Bopindolol.]
[S01BC11, bromfenac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Bromfenac.]
[C03DA03, canrenone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Canrenone.]
[R03BA02, budesonide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Olsalazine.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Olsalazine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Bumadizone.]
[S01EE06, latanoprostene bunod, The therapeutic efficacy of Latanoprostene bunod can be decreased when used in combination with Olsalazine.]
[N06AA15, butriptyline, The risk or severity of gastrointestinal bleeding can be increased when Butriptyline is combined with Olsalazine.]
[C01AA02, acetyldigoxins, Olsalazine may decrease the excretion rate of Acetyldigoxin which could result in a higher serum level.]
[A10BJ06, semaglutide, Olsalazine may increase the hypoglycemic activities of Semaglutide.]
[A10BK04, ertugliflozin, Olsalazine may increase the hypoglycemic activities of Ertugliflozin.]
[R06AX18, acrivastine, Olsalazine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Olsalazine.]
[L02BB05, apalutamide, Olsalazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Olsalazine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, Olsalazine may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Olsalazine is combined with Cannabidiol.]
[L04AA37, baricitinib, Olsalazine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefepime.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefetamet.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefodizime.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Ceforanide is combined with Olsalazine.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefpodoxime.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Ceftibuten.]
[J01GB14, plazomicin, Olsalazine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Olsalazine may decrease the antihypertensive activities of Celiprolol.]
[A16AX14, migalastat, Olsalazine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Olsalazine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Olsalazine may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[A10BB06, carbutamide, Olsalazine may increase the hypoglycemic activities of Carbutamide.]
[D08AE05, chloroxylenol, Olsalazine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Inotersen.]
[L01AD01, carmustine, Olsalazine may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[A06AX05, prucalopride, Olsalazine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Olsalazine is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Olsalazine is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Olsalazine is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Olsalazine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Olsalazine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Olsalazine.]
[N05BA09, clobazam, Olsalazine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of gastrointestinal irritation can be increased when Cloprednol is combined with Olsalazine.]
[C09CA06, candesartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Candesartan is combined with Olsalazine.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Olsalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of gastrointestinal irritation can be increased when Cortivazol is combined with Olsalazine.]
