[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Diazepam.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Diazepam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Diazepam.]
[A03BB01, butylscopolamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Diazepam can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Diazepam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Diazepam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Diazepam is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Diazepam.]
[L01FX04, ipilimumab, Diazepam may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Diazepam may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Diazepam can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Diazepam can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Diazepam can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Diazepam.]
[S01AA28, vancomycin, Diazepam may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Diazepam is combined with Ezogabine.]
[B01AF01, rivaroxaban, Diazepam may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Diazepam.]
[C08DA01, verapamil, The metabolism of Diazepam can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Diazepam can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Diazepam.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Diazepam.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Diazepam.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Diazepam can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Diazepam is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Diazepam can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Diazepam is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Diazepam can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M05BA05, tiludronic acid, Diazepam may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Diazepam may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Diazepam.]
[R03DC01, zafirlukast, The metabolism of Diazepam can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Diazepam.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Diazepam is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Diazepam.]
[V03AC02, deferiprone, Diazepam may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Diazepam may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Diazepam may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The serum concentration of Diazepam can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Diazepam is combined with Atracurium.]
[S01FA01, atropine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Diazepam may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Diazepam.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Diazepam.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Diazepam.]
[H02AB11, prednylidene, The metabolism of Diazepam can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Diazepam may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Diazepam may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Diazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01CA09, azlocillin, The therapeutic efficacy of Diazepam can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Diazepam.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Diazepam is combined with Lorcaserin.]
[G04BD12, mirabegron, Diazepam may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Diazepam can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Diazepam can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Diazepam can be decreased when it is combined with Enzalutamide.]
[L01EX05, regorafenib, The metabolism of Diazepam can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Barbital.]
[D02BA02, octinoxate, Diazepam may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Diazepam can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Diazepam is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Diazepam can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Diazepam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Diazepam is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Diazepam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Diazepam.]
[R06AC06, thonzylamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Diazepam.]
[V09IX04, fluorodeoxyglucose F18, Diazepam may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diazepam is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Diazepam.]
[G04BE03, sildenafil, The metabolism of Diazepam can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Diazepam may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Diazepam.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Diazepam.]
[A16AX08, teduglutide, The serum concentration of Diazepam can be increased when it is combined with Teduglutide.]
[A10BH04, alogliptin, Diazepam may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Diazepam may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Diazepam is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Diazepam.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Diazepam is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Diazepam can be decreased when combined with Benzbromarone.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Diazepam.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Benzocaine.]
[L03AA12, ancestim, Diazepam may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Diazepam is combined with Naratriptan.]
[N04AC01, benztropine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Diazepam can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01EE01, trametinib, Diazepam may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Benzyl alcohol.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Parathyroid hormone can be decreased when used in combination with Diazepam.]
[V09AX05, florbetapir F-18, Diazepam may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Diazepam is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Diazepam may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Diazepam may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Diazepam.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Diazepam is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Diazepam.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Diazepam is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Diazepam can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Diazepam can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Diazepam may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Diazepam is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Diazepam may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Diazepam is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Diazepam can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Diazepam can be increased when combined with Apremilast.]
[L02BG02, formestane, Diazepam may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Diazepam can be increased when combined with Betamethasone.]
[V03AB34, fomepizole, Diazepam may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Diazepam can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Diazepam can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Diazepam.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Diazepam is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Diazepam.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[D11AA01, glycopyrronium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CM19, suvorexant, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Diazepam.]
[J01XA05, oritavancin, The metabolism of Diazepam can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Naloxegol is combined with Diazepam.]
[N04AA02, biperiden, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Diazepam.]
[S03AA06, gentamicin, Diazepam may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Diazepam.]
[B01AA01, dicumarol, The metabolism of Diazepam can be decreased when combined with Dicoumarol.]
[B01AF03, edoxaban, Diazepam may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of adverse effects can be increased when Diazepam is combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Diazepam can be increased when combined with Secukinumab.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Diazepam.]
[N02BE01, acetaminophen, Diazepam may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A03AA09, difemerine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Diazepam.]
[A07DA06, eluxadoline, The risk or severity of adverse effects can be increased when Eluxadoline is combined with Diazepam.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Diazepam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Diazepam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Diazepam.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Diazepam can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Diazepam may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Diazepam.]
[J02AC05, isavuconazole, The metabolism of Diazepam can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Diazepam.]
[L01XG03, ixazomib, Diazepam may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Diazepam can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Diazepam.]
[M04AB05, lesinurad, Diazepam may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Diazepam.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Diazepam is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Diazepam can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Diazepam is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Diazepam may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Diazepam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Diazepam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Diazepam is combined with Amineptine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Diazepam.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Diazepam is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Bupivacaine.]
[N07BC01, buprenorphine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Diazepam.]
[L01XX27, arsenic trioxide, Diazepam may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Diazepam.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Diazepam.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Diazepam.]
[R06AX09, azatadine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Diazepam can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Diazepam can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R03DA08, bamifylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Bamifylline.]
[A06AH05, naldemedine, Diazepam may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Diazepam is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Diazepam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Beclamide.]
[N06BC01, caffeine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Diazepam may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The therapeutic efficacy of Diazepam can be decreased when used in combination with Linezolid.]
[J05AF06, abacavir, Diazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Diazepam can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Diazepam.]
[N07XX13, valbenazine, Diazepam may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Diazepam can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Diazepam can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Diazepam.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Safinamide.]
[J01MA23, delafloxacin, Diazepam may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
