[J01EC01, sulfamethoxazole, The metabolism of Alfuzosin can be decreased when combined with Sulfamethoxazole.]
[J05AP02, telaprevir, The metabolism of Alfuzosin can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Alfuzosin can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ezogabine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Alfuzosin.]
[B01AC24, ticagrelor, The metabolism of Alfuzosin can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, Verapamil may increase the hypotensive activities of Alfuzosin.]
[N06AX09, viloxazine, The metabolism of Alfuzosin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Alfuzosin can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Alfuzosin may increase the hypotensive activities of Vincamine.]
[C03BA10, xipamide, Alfuzosin may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the hypotensive activities of Alfuzosin.]
[J05AE02, indinavir, The metabolism of Alfuzosin can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Alfuzosin.]
[L01FX05, brentuximab vedotin, The metabolism of Alfuzosin can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Alfuzosin can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Alfuzosin can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Alfuzosin can be decreased when combined with Rabeprazole.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ziprasidone.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Tolterodine.]
[C07AB03, atenolol, Alfuzosin may increase the hypotensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Alfuzosin can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Atropine.]
[R07AX02, ivacaftor, The metabolism of Alfuzosin can be decreased when combined with Ivacaftor.]
[G04BE10, avanafil, Alfuzosin may increase the hypotensive activities of Avanafil.]
[G04BD12, mirabegron, The therapeutic efficacy of Mirabegron can be decreased when used in combination with Alfuzosin.]
[V03AX03, cobicistat, The metabolism of Alfuzosin can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Alfuzosin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Alfuzosin can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Alfuzosin can be decreased when combined with Bosutinib.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Alfuzosin.]
[L01EX05, regorafenib, The metabolism of Alfuzosin can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The metabolism of Alfuzosin can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, Alfuzosin may increase the hypotensive activities of Lercanidipine.]
[H01CB05, pasireotide, The metabolism of Alfuzosin can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Alfuzosin.]
[C10AX12, lomitapide, The metabolism of Alfuzosin can be decreased when combined with Lomitapide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Alfuzosin is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, Alfuzosin may increase the hypotensive activities of Bendroflumethiazide.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Moxifloxacin.]
[L04AA18, everolimus, The metabolism of Alfuzosin can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Alfuzosin.]
[L01EC02, dabrafenib, The metabolism of Alfuzosin can be decreased when combined with Dabrafenib.]
[C08EA02, bepridil, Alfuzosin may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Alfuzosin may increase the hypotensive activities of Riociguat.]
[C02KX04, macitentan, Alfuzosin may increase the hypotensive activities of Macitentan.]
[J05AP05, simeprevir, The metabolism of Alfuzosin can be decreased when combined with Simeprevir.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Alfuzosin.]
[C07AB04, acebutolol, Alfuzosin may increase the hypotensive activities of Acebutolol.]
[A16AA07, metreleptin, The metabolism of Alfuzosin can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, Alfuzosin may increase the hypotensive activities of Betaxolol.]
[C02CC01, bethanidine, Alfuzosin may increase the hypotensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Alfuzosin can be decreased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Alfuzosin can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Hyoscyamine.]
[L01EM01, idelalisib, The metabolism of Alfuzosin can be decreased when combined with Idelalisib.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Alfuzosin.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Eliglustat.]
[N05AA04, acepromazine, Acepromazine may increase the hypotensive activities of Alfuzosin.]
[L01XK01, olaparib, The metabolism of Alfuzosin can be decreased when combined with Olaparib.]
[N06AX11, mirtazapine, Mirtazapine may increase the hypotensive activities of Alfuzosin.]
[L01EF01, palbociclib, The metabolism of Alfuzosin can be decreased when combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Alfuzosin can be decreased when combined with Acetaminophen.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ivabradine.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the hypotensive activities of Alfuzosin.]
[S01EC01, acetazolamide, The metabolism of Alfuzosin can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The metabolism of Alfuzosin can be decreased when combined with Lansoprazole.]
[J02AC05, isavuconazole, The metabolism of Alfuzosin can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Alfuzosin may increase the hypotensive activities of Selexipag.]
[S01AA13, fusidic acid, The metabolism of Alfuzosin can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Pipemidic acid.]
[J05AP10, elbasvir, The metabolism of Alfuzosin can be decreased when combined with Elbasvir.]
[L01XX52, venetoclax, The metabolism of Alfuzosin can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypotensive activities of Alfuzosin.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dexbrompheniramine.]
[C08CA01, amlodipine, Alfuzosin may increase the hypotensive activities of Amlodipine.]
[C07AA19, bupranolol, Alfuzosin may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Alfuzosin can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Buserelin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Alfuzosin can be decreased when combined with Rabeprazole.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Azatadine.]
[S01GX07, azelastine, The metabolism of Alfuzosin can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Alfuzosin can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Alfuzosin can be decreased when combined with Ribociclib.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Alfuzosin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Alfuzosin.]
[C09AA07, benazepril, Alfuzosin may increase the hypotensive activities of Benazepril.]
[J05AE09, tipranavir, The metabolism of Alfuzosin can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Alfuzosin can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Alfuzosin can be decreased when combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Alfuzosin can be decreased when combined with Bifonazole.]
[L01XX59, enasidenib, The metabolism of Alfuzosin can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Vorinostat.]
[C07AB07, bisoprolol, Alfuzosin may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Alfuzosin.]
[J05AG03, efavirenz, The metabolism of Alfuzosin can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Alfuzosin.]
[C04AX20, buflomedil, Buflomedil may increase the hypotensive activities of Alfuzosin.]
[L01EL02, acalabrutinib, The metabolism of Alfuzosin can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Alfuzosin can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Alfuzosin can be decreased when combined with Capsaicin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Acrivastine.]
[C09AA01, captopril, Alfuzosin may increase the hypotensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Alfuzosin can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Alfuzosin can be increased when combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Carbinoxamine.]
[C07AG02, carvedilol, Carvedilol may increase the hypotensive activities of Alfuzosin.]
[B02BX09, fostamatinib, The metabolism of Alfuzosin can be decreased when combined with Fostamatinib.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Encorafenib.]
[C07AB08, celiprolol, Alfuzosin may increase the hypotensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Alfuzosin can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Alfuzosin can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Alfuzosin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Inotersen.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cibenzoline.]
[C09AA08, cilazapril, Alfuzosin may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Alfuzosin can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Alfuzosin can be decreased when combined with Clarithromycin.]
[C09CA06, candesartan, Alfuzosin may increase the hypotensive activities of Candesartan.]
[L01EM03, alpelisib, The metabolism of Alfuzosin can be decreased when combined with Alpelisib.]
[C03BX03, cicletanine, Alfuzosin may increase the hypotensive activities of Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Alfuzosin can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Alfuzosin.]
[C03AA09, cyclothiazide, Alfuzosin may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may increase the hypotensive activities of Alfuzosin.]
[S01EX02, dapiprazole, Dapiprazole may increase the hypotensive activities of Alfuzosin.]
[N03AX25, cenobamate, The metabolism of Alfuzosin can be decreased when combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dexchlorpheniramine.]
[J05AB16, remdesivir, The metabolism of Alfuzosin can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Alfuzosin can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Alfuzosin can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, Dutasteride may increase the hypotensive activities of Alfuzosin.]
[C08CA16, clevidipine, The metabolism of Alfuzosin can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the hypotensive activities of Alfuzosin.]
[J01FA13, dirithromycin, The metabolism of Alfuzosin can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Alfuzosin can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Chlorcyclizine.]
[C02AA06, methoserpidine, Alfuzosin may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Alfuzosin.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Alfuzosin.]
[C08CA17, levamlodipine, Alfuzosin may increase the hypotensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Fostemsavir.]
[L04AC19, satralizumab, The serum concentration of Alfuzosin can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Alfuzosin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Alfuzosin may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the hypotensive activities of Alfuzosin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Alfuzosin may increase the hypotensive activities of Chlorthalidone.]
[N06BX18, vinpocetine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Vinpocetine.]
[B06AC06, berotralstat, The metabolism of Alfuzosin can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Alfuzosin can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Relugolix.]
[P03AX07, abametapir, The serum concentration of Alfuzosin can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Felbamate.]
[C01CA19, fenoldopam, Alfuzosin may increase the hypotensive activities of Fenoldopam.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Flumequine.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Alfuzosin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Alfuzosin.]
[H04AA02, dasiglucagon, Alfuzosin may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Alfuzosin can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Alfuzosin can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Alfuzosin can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The metabolism of Alfuzosin can be decreased when combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Alfuzosin can be decreased when combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Clemastine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Alfuzosin.]
[N06AX25, St. John's wort extract, The metabolism of Alfuzosin can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The metabolism of Alfuzosin can be decreased when combined with Clofazimine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Clomipramine.]
[S01EA04, clonidine, Alfuzosin may increase the hypotensive activities of Clonidine.]
[C01EB24, mavacamten, The serum concentration of Alfuzosin can be decreased when it is combined with Mavacamten.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Granisetron.]
[N05AH02, clozapine, Clozapine may increase the hypotensive activities of Alfuzosin.]
[H01AC08, somatrogon, The metabolism of Alfuzosin can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cocaine.]
[C02KB01, metyrosine, Alfuzosin may increase the hypotensive activities of Metyrosine.]
[M04AC01, colchicine, The metabolism of Alfuzosin can be decreased when combined with Colchicine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Desflurane.]
[C04AX28, ifenprodil, Ifenprodil may increase the hypotensive activities of Alfuzosin.]
[J01FA15, telithromycin, The metabolism of Alfuzosin can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Desloratadine.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Alfuzosin.]
[J02AC02, itraconazole, The metabolism of Alfuzosin can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Alfuzosin can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Alfuzosin can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Alfuzosin can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Alfuzosin may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levocabastine.]
[N07BC04, lofexidine, Alfuzosin may increase the hypotensive activities of Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Lomefloxacin.]
[C09AA03, lisinopril, Alfuzosin may increase the hypotensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Alfuzosin can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Alfuzosin.]
[R06AD07, mequitazine, The metabolism of Alfuzosin can be decreased when combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Adenosine.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Alfuzosin is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cyclizine.]
[C03DA04, eplerenone, Alfuzosin may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Melperone.]
[C03AA07, cyclopenthiazide, Alfuzosin may increase the hypotensive activities of Cyclopenthiazide.]
[J01FA03, midecamycin, The metabolism of Alfuzosin can be decreased when combined with Midecamycin.]
[S01XA18, cyclosporine, The metabolism of Alfuzosin can be decreased when combined with Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cyproheptadine.]
[C09AA13, moexipril, Alfuzosin may increase the hypotensive activities of Moexipril.]
[C03XA02, conivaptan, The metabolism of Alfuzosin can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Alfuzosin may increase the hypotensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Alfuzosin.]
[M01AH05, etoricoxib, The metabolism of Alfuzosin can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Alfuzosin can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, The metabolism of Alfuzosin can be decreased when combined with Daunorubicin.]
[C02CC04, debrisoquin, Alfuzosin may increase the hypotensive activities of Debrisoquine.]
[C07AB12, nebivolol, Alfuzosin may increase the hypotensive activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Alfuzosin can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Alfuzosin may increase the hypotensive activities of Nicorandil.]
[C01CA23, theodrenaline, Alfuzosin may decrease the hypertensive activities of Theodrenaline.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Alfuzosin.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Alfuzosin can be decreased when combined with Desipramine.]
[C09XA02, aliskiren, Alfuzosin may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Alfuzosin can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Alfuzosin can be decreased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Alfuzosin can be decreased when combined with Oxybutynin.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Amphetamine.]
[N06AB05, paroxetine, The metabolism of Alfuzosin can be decreased when combined with Paroxetine.]
[A03AX15, peppermint oil, The metabolism of Alfuzosin can be decreased when combined with Peppermint oil.]
[N05BA01, diazepam, The metabolism of Alfuzosin can be decreased when combined with Diazepam.]
[V03AH01, diazoxide, Alfuzosin may increase the hypotensive activities of Diazoxide.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Foscarnet.]
