[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BH04, alogliptin, Alogliptin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Glycerol phenylbutyrate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AX06, pomalidomide, Pomalidomide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Benzocaine.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02KX04, macitentan, Macitentan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX26, vortioxetine, Vortioxetine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CH03, tasimelteon, Tasimelteon may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AA32, apremilast, Apremilast may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Amikacin is combined with Acenocoumarol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CX03, methacholine, The therapeutic efficacy of Methacholine can be decreased when used in combination with Amikacin.]
[S03AA06, gentamicin, Amikacin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Amikacin is combined with Dicoumarol.]
[B01AF03, edoxaban, Edoxaban may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Amikacin is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, Amikacin may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XG03, ixazomib, Ixazomib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M04AB05, lesinurad, Lesinurad may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AX23, brivaracetam, Brivaracetam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Almasilate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03CA02, bumetanide, The serum concentration of Amikacin can be increased when it is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Bupivacaine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CE04, azidocillin, The serum concentration of Amikacin can be decreased when it is combined with Azidocillin.]
[J01CA06, bacampicillin, The serum concentration of Amikacin can be decreased when it is combined with Bacampicillin.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Deutetrabenazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Benznidazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07XX13, valbenazine, Valbenazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07AB02, bethanechol, The therapeutic efficacy of Bethanechol can be decreased when used in combination with Amikacin.]
[J01MA23, delafloxacin, Delafloxacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01EB09, acetylcholine, The therapeutic efficacy of Acetylcholine can be decreased when used in combination with Amikacin.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R03BA02, budesonide, Budesonide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Amikacin is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Capsaicin.]
[R06AX18, acrivastine, Acrivastine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01EB02, carbachol, The therapeutic efficacy of Carbamoylcholine can be decreased when used in combination with Amikacin.]
[L02BB05, apalutamide, Apalutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AF01, carbamazepine, Amikacin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA03, carbenicillin, The serum concentration of Amikacin can be decreased when it is combined with Carbenicillin.]
[L04AA37, baricitinib, Baricitinib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DE01, cefepime, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Amikacin.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01GB14, plazomicin, Amikacin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AX17, stiripentol, Stiripentol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA14, solriamfetol, Solriamfetol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CF03, methicillin, The serum concentration of Amikacin can be decreased when it is combined with Meticillin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07XX11, pitolisant, Pitolisant may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M09AX08, golodirsen, Golodirsen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AA03, dichlorobenzyl alcohol, Dichlorobenzyl alcohol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03DB08, dienogest, Dienogest may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C08CA16, clevidipine, Clevidipine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Dyclonine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA03, choline salicylate, Choline salicylate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01XA01, cisplatin, Amikacin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Levobupivacaine.]
[N06AA04, clomipramine, Clomipramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CF02, cloxacillin, The serum concentration of Amikacin can be decreased when it is combined with Cloxacillin.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01GB12, arbekacin, Amikacin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA18, hetacillin, The serum concentration of Amikacin can be decreased when it is combined with Hetacillin.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01XB01, colistin, Amikacin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A04AA03, tropisetron, Tropisetron may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Amikacin is combined with Lanatoside C.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AB12, bemiparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07BC04, lofexidine, Lofexidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA14, methampicillin, The serum concentration of Amikacin can be decreased when it is combined with Metampicillin.]
[N05AD03, metylperon, Melperone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AF07, tenofovir disoproxil, Amikacin may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01DX16, nicorandil, Nicorandil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M03AC11, cisatracurium, Amikacin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Amikacin which could result in a higher serum level.]
