[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nabilone.]
[N02AX01, tilidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tilidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Nabilone.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Nabilone.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Nabilone is combined with Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Nabilone.]
[M03BX04, tolperisone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Nabilone is combined with Tramadol.]
[N06AF04, tranylcypromine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[N06AX05, trazodone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Nabilone is combined with Tretinoin.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Nabilone.]
[N05CD05, triazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Triazolam.]
[C03AA06, trichlormethiazide, Nabilone may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia and drowsiness can be increased when Mepenzolate is combined with Nabilone.]
[N05AB06, trifluoperazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N05AD02, trifluperidol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trifluperidol.]
[N05AA05, triflupromazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia and drowsiness can be increased when Trihexyphenidyl is combined with Nabilone.]
[A03AA05, trimebutine, The risk or severity of Tachycardia and drowsiness can be increased when Trimebutine is combined with Nabilone.]
[R06AD01, trimeprazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alimemazine.]
[N03AC02, trimethadione, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trimethadione.]
[C02BA01, trimethaphan, Nabilone may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Nabilone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trimipramine.]
[R06AX07, triprolidine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Triprolidine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia and drowsiness can be increased when Butylscopolamine is combined with Nabilone.]
[J01FA08, troleandomycin, The metabolism of Nabilone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N06AX02, tryptophan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tryptophan.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Nabilone is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tubocurarine.]
[A10BH05, linagliptin, The metabolism of Nabilone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Nabilone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Nabilone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Nabilone can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ezogabine.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Nabilone can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Nabilone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Nabilone can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Nabilone may increase the hypotensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Nabilone can be increased when combined with Warfarin.]
[C03BA10, xipamide, Nabilone may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Nabilone.]
[N05AF05, zuclopenthixol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Nabilone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Nabilone can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Nabilone can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Nabilone can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Nabilone is combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Nabilone.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Nabilone.]
[G04BD07, tolterodine, The risk or severity of Tachycardia and drowsiness can be increased when Tolterodine is combined with Nabilone.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Nabilone.]
[J02AC03, voriconazole, The metabolism of Nabilone can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Atracurium.]
[S01FA01, atropine, The risk or severity of Tachycardia and drowsiness can be increased when Atropine is combined with Nabilone.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Nabilone.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Nabilone.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[A08AA11, lorcaserin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of Tachycardia can be increased when Nabilone is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Nabilone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Nabilone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Nabilone can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Nabilone can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Barbital.]
[J05AE04, nelfinavir, The metabolism of Nabilone can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[N04BD02, rasagiline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of adverse effects can be increased when Nabilone is combined with Lercanidipine.]
[A03FA09, mosapride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mosapride.]
[N06DA02, donepezil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N03AX22, perampanel, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N02CC03, zolmitriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zolmitriptan.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia and drowsiness can be increased when Thonzylamine is combined with Nabilone.]
[G04BD10, darifenacin, The risk or severity of Tachycardia and drowsiness can be increased when Darifenacin is combined with Nabilone.]
[N01AA01, ethyl ether, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Nabilone.]
[G04BE03, sildenafil, The metabolism of Nabilone can be decreased when combined with Sildenafil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Nabilone.]
[C03AA01, bendroflumethiazide, The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Nabilone.]
[L04AX06, pomalidomide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Nabilone.]
[N05AD07, benperidol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Benperidol.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Nabilone is combined with Canagliflozin.]
[M04AB03, benzbromarone, The metabolism of Nabilone can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.]
[M01AH01, celecoxib, The metabolism of Nabilone can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Naratriptan.]
[N04AC01, benztropine, The risk or severity of Tachycardia and drowsiness can be increased when Benzatropine is combined with Nabilone.]
[L01EC02, dabrafenib, The serum concentration of Nabilone can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Benzyl alcohol.]
[N06AX28, levomilnacipran, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of adverse effects can be increased when Nabilone is combined with Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Nabilone is combined with Riociguat.]
[C02KX04, macitentan, Nabilone may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N03AF04, eslicarbazepine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Nabilone can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Nabilone is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Nabilone is combined with Droxidopa.]
[C07AB04, acebutolol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Acebutolol.]
[N05CH03, tasimelteon, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Nabilone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Nabilone can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Nabilone.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Nabilone.]
[L04AC11, siltuximab, The metabolism of Nabilone can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Nabilone can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia and drowsiness can be increased when Hyoscyamine is combined with Nabilone.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Nabilone.]
[N01AX05, alfaxalone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Nabilone is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Nabilone.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia and drowsiness can be increased when Glycopyrronium is combined with Nabilone.]
[N05CM19, suvorexant, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[J01XA05, oritavancin, The metabolism of Nabilone can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Acepromazine.]
[N04AA02, biperiden, The risk or severity of Tachycardia and drowsiness can be increased when Biperiden is combined with Nabilone.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Nabilone.]
[B01AA01, dicumarol, The metabolism of Nabilone can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Nabilone can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Nabilone may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, The risk or severity of Tachycardia and drowsiness can be increased when Difemerine is combined with Nabilone.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Nabilone.]
[N05AX16, brexpiprazole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Brexpiprazole.]
[G02CX02, flibanserin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flibanserin.]
[N05AX15, cariprazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cariprazine.]
[S01EC01, acetazolamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Acetazolamide.]
[N05AB07, acetophenazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Nabilone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Nabilone.]
[J02AC05, isavuconazole, The metabolism of Nabilone can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Nabilone may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Nabilone can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Nabilone.]
[N05CA05, aprobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Aprobarbital.]
[N03AX23, brivaracetam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Nabilone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bromazepam.]
[N04BC01, bromocriptine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bromocriptine.]
[A03AX08, alverine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Alverine.]
[R06AB01, brompheniramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[N06AA19, amineptin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amineptine.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Nabilone.]
[N06BX11, aniracetam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Aniracetam.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Nabilone is combined with Bumetanide.]
[N01BB01, bupivacaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bupivacaine.]
[C07AA19, bupranolol, Nabilone may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Nabilone is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Nabilone.]
[N02AF01, butorphanol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Butorphanol.]
[S01GX07, azelastine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Nabilone can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Nabilone can be decreased when combined with Ribociclib.]
[R03CC12, bambuterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Bambuterol.]
[N02BF02, pregabalin, The therapeutic efficacy of Nabilone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Beclamide.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Nabilone is combined with Benazepril.]
[S01HA02, benoxinate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxybuprocaine.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Nabilone.]
[J05AE09, tipranavir, The metabolism of Nabilone can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Nabilone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Nabilone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Safinamide.]
[J01MA23, delafloxacin, The metabolism of Nabilone can be increased when combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Nabilone can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Nabilone can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Nabilone is combined with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Bitolterol.]
[J05AG03, efavirenz, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[N04AA11, bornaprine, The risk or severity of Tachycardia and drowsiness can be increased when Bornaprine is combined with Nabilone.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Nabilone is combined with Nesiritide.]
[N05AD06, bromperidol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bromperidol.]
[N05CD09, brotizolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Brotizolam.]
[N05CA03, butobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Butobarbital.]
[N06AA15, butriptyline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Butriptyline.]
[N05CA08, butylvinal, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vinylbital.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Nabilone is combined with Captopril.]
[L02BB05, apalutamide, The metabolism of Nabilone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[A03AA03, camylofine, The risk or severity of Tachycardia and drowsiness can be increased when Camylofin is combined with Nabilone.]
[R06AA08, carbinoxamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Carbinoxamine.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Nabilone is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Nabilone.]
[N03AX24, cannabidiol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Nabilone can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Nabilone can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Nabilone can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Nabilone.]
[S01GX12, cetirizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cetirizine.]
[N05CM04, carbromal, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Nabilone.]
[N01BA04, chloroprocaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia and drowsiness can be increased when Chlorphenoxamine is combined with Nabilone.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Nabilone.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Nabilone.]
[R03BB08, revefenacin, The risk or severity of Tachycardia and drowsiness can be increased when Revefenacin is combined with Nabilone.]
[L04AA39, emapalumab, The metabolism of Nabilone can be increased when combined with Emapalumab.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Nabilone is combined with Cilazapril.]
[B01AC23, cilostazol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Cilostazol.]
[A03FA08, cinitapride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Nabilone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Nabilone is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Nabilone.]
[J01FA09, clarithromycin, The metabolism of Nabilone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Nabilone.]
[N06AX29, brexanolone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Nabilone.]
[N05BA09, clobazam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N05BA22, cloxazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cloxazolam.]
[C09CA06, candesartan, The metabolism of Nabilone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Nabilone can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Nabilone can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cyamemazine.]
[C03BX03, cicletanine, Nabilone may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nabilone.]
[N07XX11, pitolisant, The serum concentration of Nabilone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Nabilone.]
[C03AA09, cyclothiazide, Nabilone may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Nabilone.]
[G03AC09, desogestrel, The metabolism of Nabilone can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Nabilone.]
[N03AX25, cenobamate, The serum concentration of Nabilone can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[N02AX03, dezocine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dezocine.]
[L01EX18, avapritinib, The metabolism of Nabilone can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lemborexant.]
[N05AD10, lumateperone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Nabilone can be decreased when combined with Diacerein.]
[J05AE05, amprenavir, The metabolism of Nabilone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N05CC04, dichloralphenazone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Nabilone.]
[A07DA04, difenoxin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Difenoxin.]
[N02AA08, dihydrocodeine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dihydrocodeine.]
[N02CC06, eletriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Nabilone.]
[L01XF03, bexarotene, The metabolism of Nabilone can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Nabilone can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Nabilone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Valpromide.]
[N05BA02, chlordiazepoxide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlordiazepoxide.]
[C02AA06, methoserpidine, Nabilone may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Nabilone.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia and drowsiness can be increased when Dihexyverine is combined with Nabilone.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Nabilone is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of Tachycardia and drowsiness can be increased when Trospium is combined with Nabilone.]
[N05CM02, chlormethiazole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clomethiazole.]
[M03BB02, chlormezanone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlormezanone.]
[R02AD04, dyclonine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dyclonine.]
[C08CA17, levamlodipine, Nabilone may increase the hypotensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Nabilone.]
