[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Thalidomide.]
[N02AX02, tramadol, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Thalidomide.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Thalidomide.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Thalidomide.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Thalidomide.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Thalidomide.]
[A03AB12, mepenzolate, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Thalidomide.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluclorolone.]
[N04AA01, trihexyphenidyl, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Thalidomide.]
[A03AA05, trimebutine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02BA01, trimethaphan, Thalidomide may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Thalidomide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03BB01, butylscopolamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Thalidomide is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Thalidomide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Belimumab.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be increased when combined with Thalidomide.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be increased when combined with Thalidomide.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Thalidomide.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Thalidomide.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Thalidomide is combined with Belatacept.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Thalidomide.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Thalidomide.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Thalidomide.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Thalidomide.]
[C04AX07, vincamine, Thalidomide may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Thalidomide.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Thalidomide.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Thalidomide is combined with Warfarin.]
[C03BA10, xipamide, Thalidomide may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Thalidomide.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J05AE02, indinavir, The metabolism of Indinavir can be increased when combined with Thalidomide.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EC01, vemurafenib, The metabolism of Thalidomide can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Thalidomide is combined with Pamidronic acid.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Tiludronic acid.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Thalidomide.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Thalidomide.]
[R03DC01, zafirlukast, The metabolism of Thalidomide can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Thalidomide is combined with Ibandronate.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03AC10, drospirenone, Drospirenone may increase the thrombogenic activities of Thalidomide.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Thalidomide.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Thalidomide.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ruxolitinib.]
[G04BD07, tolterodine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Thalidomide.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Thalidomide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Thalidomide.]
[J02AC03, voriconazole, The metabolism of Thalidomide can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01FA01, atropine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Thalidomide.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Thalidomide.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Thalidomide.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Thalidomide is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of thromboembolism can be increased when Thalidomide is combined with Peginesatide.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Thalidomide.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Thalidomide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Thalidomide.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Thalidomide.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Thalidomide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Thalidomide.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Thalidomide is combined with Pertuzumab.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be increased when combined with Thalidomide.]
[L02BB04, enzalutamide, The serum concentration of Thalidomide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Thalidomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Thalidomide is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Thalidomide can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Thalidomide.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Bendamustine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Thalidomide.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06DA02, donepezil, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA29, tofacitinib, Thalidomide may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AC06, thonzylamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Thalidomide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Thalidomide.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ponatinib.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Thalidomide.]
[C03AA01, bendroflumethiazide, The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Thalidomide.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Thalidomide.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Thalidomide is combined with Dimethyl fumarate.]
[M04AB03, benzbromarone, The metabolism of Thalidomide can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AH01, celecoxib, The metabolism of Thalidomide can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Thalidomide is combined with Everolimus.]
[N04AC01, benztropine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Thalidomide can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08EA02, bepridil, The risk or severity of adverse effects can be increased when Thalidomide is combined with Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Thalidomide is combined with Riociguat.]
[L03AA14, lipegfilgrastim, Thalidomide may increase the myelosuppressive activities of Lipegfilgrastim.]
[C02KX04, macitentan, Thalidomide may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ibrutinib.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03AC08, etonogestrel, Etonogestrel may increase the thrombogenic activities of Thalidomide.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Dapagliflozin.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA32, apremilast, The metabolism of Thalidomide can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Thalidomide.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Thalidomide.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Thalidomide.]
[C02CC01, bethanidine, Thalidomide may increase the hypotensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Thalidomide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Thalidomide can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Thalidomide.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Vedolizumab.]
[A03BA03, hyoscyamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Thalidomide is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Thalidomide is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Idelalisib.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Thalidomide.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Thalidomide is combined with Peginterferon beta-1a.]
[D11AA01, glycopyrronium, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J01XA05, oritavancin, The metabolism of Thalidomide can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Decitabine.]
[N04AA02, biperiden, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Thalidomide is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Thalidomide.]
[N06AX11, mirtazapine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC10, secukinumab, The metabolism of Thalidomide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Thalidomide is combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Thalidomide.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Thalidomide.]
[A03AA09, difemerine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Thalidomide is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Thalidomide.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Thalidomide.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A02BC03, lansoprazole, The metabolism of Thalidomide can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Thalidomide.]
[B01AC27, selexipag, Thalidomide may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The metabolism of Thalidomide can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Thalidomide.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Thalidomide.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ixekizumab.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Thalidomide.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Thalidomide.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AA19, bupranolol, Thalidomide may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Thalidomide.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Thalidomide.]
[N02AF01, butorphanol, Butorphanol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XK03, rucaparib, The metabolism of Thalidomide can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Brodalumab.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Thalidomide.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Benazepril is combined with Thalidomide.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Thalidomide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Thalidomide.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Thalidomide.]
[L04AB02, infliximab, The metabolism of Thalidomide can be increased when combined with Infliximab.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Thalidomide can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Thalidomide.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Thalidomide can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Thalidomide is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Thalidomide.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Thalidomide.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04AA11, bornaprine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Thalidomide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Thalidomide.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Thalidomide.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nesiritide.]
